DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,420.25,428.7,419.9,427.45,447.0,272.75,CSBBANK
2025-11-13,426.6,432.0,421.1,426.4,447.0,272.75,CSBBANK
2025-11-12,436.6,436.95,423.1,426.0,447.0,272.75,CSBBANK
2025-11-11,441.7,443.8,430.0,431.95,447.0,272.75,CSBBANK
2025-11-10,433.0,447.0,432.0,438.3,447.0,272.75,CSBBANK
2025-11-07,430.0,433.7,415.75,431.5,445.6,272.75,CSBBANK
2025-11-06,426.8,434.0,414.65,424.4,445.6,272.75,CSBBANK
2025-11-04,410.6,420.0,407.55,418.65,445.6,272.75,CSBBANK
2025-11-03,416.9,423.0,407.15,408.75,445.6,272.75,CSBBANK
2025-10-31,411.5,415.9,406.65,413.35,445.6,272.75,CSBBANK
2025-10-30,413.0,414.5,408.55,411.05,445.6,272.75,CSBBANK
2025-10-29,421.0,422.65,409.85,411.25,445.6,272.75,CSBBANK
2025-10-28,416.0,426.5,413.95,420.8,445.6,272.75,CSBBANK
2025-10-27,403.4,421.0,400.6,417.25,445.6,272.75,CSBBANK
2025-10-24,414.2,416.6,400.1,401.95,445.6,272.75,CSBBANK
2025-10-23,416.75,422.5,408.85,413.15,445.6,272.75,CSBBANK
2025-10-21,425.0,427.5,417.65,422.55,445.6,272.75,CSBBANK
2025-10-20,391.05,426.1,391.05,423.75,445.6,272.75,CSBBANK
2025-10-17,395.9,400.2,388.15,392.3,445.6,272.75,CSBBANK
2025-10-16,386.6,407.55,386.6,391.4,445.6,272.75,CSBBANK
2025-10-15,387.0,389.1,382.5,386.6,445.6,272.75,CSBBANK
2025-10-14,384.5,387.8,381.0,385.3,445.6,272.75,CSBBANK
2025-10-13,387.95,393.2,382.8,384.5,445.6,272.75,CSBBANK
2025-10-10,398.65,399.95,386.15,389.8,445.6,272.75,CSBBANK
2025-10-09,392.0,400.0,392.0,397.95,445.6,272.75,CSBBANK
2025-10-08,386.8,396.0,382.15,393.55,445.6,272.75,CSBBANK
2025-10-07,384.7,392.0,380.2,385.6,445.6,272.75,CSBBANK
2025-10-06,388.3,402.5,383.0,386.85,445.6,272.75,CSBBANK
2025-10-03,391.5,394.65,378.45,385.75,445.6,272.75,CSBBANK
2025-10-01,372.75,386.0,366.15,380.6,445.6,272.75,CSBBANK
2025-09-30,368.7,372.6,364.55,371.5,445.6,272.75,CSBBANK
2025-09-29,360.65,369.65,358.6,366.55,445.6,272.75,CSBBANK
2025-09-26,357.5,364.05,349.8,360.65,445.6,272.75,CSBBANK
2025-09-25,361.5,361.5,355.05,358.7,445.6,272.75,CSBBANK
2025-09-24,349.0,360.5,346.95,358.1,445.6,272.75,CSBBANK
2025-09-23,347.8,355.2,345.5,348.2,445.6,272.75,CSBBANK
2025-09-22,351.0,352.4,345.8,347.8,445.6,272.75,CSBBANK
2025-09-19,354.6,354.7,349.3,350.6,445.6,272.75,CSBBANK
2025-09-18,355.0,358.95,351.05,352.8,445.6,272.75,CSBBANK
2025-09-17,365.1,365.45,351.5,354.95,445.6,272.75,CSBBANK
2025-09-16,375.0,381.0,358.8,362.2,445.6,272.75,CSBBANK
2025-09-15,370.0,376.65,366.95,374.3,445.6,272.75,CSBBANK
2025-09-12,368.85,371.2,365.6,368.6,445.6,272.75,CSBBANK
2025-09-11,367.0,372.0,366.05,368.85,445.6,272.75,CSBBANK
2025-09-10,361.4,372.1,360.65,368.05,445.6,272.75,CSBBANK
2025-09-09,358.75,363.7,356.0,361.4,445.6,272.75,CSBBANK
2025-09-08,359.8,360.3,354.9,355.85,445.6,272.75,CSBBANK
2025-09-05,365.75,369.5,355.2,357.95,445.6,272.75,CSBBANK
2025-09-04,365.85,367.45,359.75,362.75,445.6,272.75,CSBBANK
2025-09-03,374.0,379.25,361.65,362.45,445.6,272.75,CSBBANK
2025-09-02,373.25,378.7,370.1,371.2,445.6,272.75,CSBBANK
2025-09-01,365.25,377.5,360.3,373.6,445.6,272.75,CSBBANK
2025-08-29,371.45,375.9,361.1,362.6,445.6,272.75,CSBBANK
2025-08-28,386.8,386.8,370.1,371.9,445.6,272.75,CSBBANK
2025-08-26,386.05,400.7,384.5,389.55,445.6,272.75,CSBBANK
2025-08-25,402.0,405.0,381.0,385.9,445.6,272.75,CSBBANK
2025-08-22,414.7,414.7,400.2,403.0,445.6,272.75,CSBBANK
2025-08-21,403.0,418.25,400.1,415.6,445.6,272.75,CSBBANK
