DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,92.95,93.51,88.5,89.94,143.25,67.11,CUBEXTUB
2025-11-13,93.4,94.39,90.09,91.0,143.25,67.11,CUBEXTUB
2025-11-12,91.34,92.39,90.37,91.76,143.25,67.11,CUBEXTUB
2025-11-11,91.0,91.61,90.0,91.34,143.25,67.11,CUBEXTUB
2025-11-10,91.01,93.41,90.5,91.0,143.25,67.11,CUBEXTUB
2025-11-07,92.44,92.44,89.57,91.76,143.25,67.11,CUBEXTUB
2025-11-06,91.25,92.0,89.7,90.56,143.25,67.11,CUBEXTUB
2025-11-04,92.23,93.43,89.01,91.39,143.25,67.11,CUBEXTUB
2025-11-03,96.75,96.8,90.55,92.23,143.25,67.11,CUBEXTUB
2025-10-31,94.8,95.49,93.0,93.8,143.25,67.11,CUBEXTUB
2025-10-30,95.9,96.0,92.26,93.44,143.25,67.11,CUBEXTUB
2025-10-29,97.0,97.0,90.59,93.9,143.25,67.11,CUBEXTUB
2025-10-28,94.63,96.42,93.0,94.3,143.25,67.11,CUBEXTUB
2025-10-27,96.9,96.99,93.28,94.63,143.25,67.11,CUBEXTUB
2025-10-24,97.19,97.97,94.5,94.9,143.25,67.11,CUBEXTUB
2025-10-23,99.2,99.2,94.21,95.11,143.25,67.11,CUBEXTUB
2025-10-21,96.0,98.89,95.01,97.48,143.25,67.11,CUBEXTUB
2025-10-20,93.8,96.49,93.75,94.42,143.25,67.11,CUBEXTUB
2025-10-17,97.38,99.96,93.25,93.78,143.25,67.11,CUBEXTUB
2025-10-16,93.62,97.0,93.61,94.36,143.25,67.11,CUBEXTUB
2025-10-15,95.44,96.3,92.21,93.62,143.25,67.11,CUBEXTUB
2025-10-14,97.3,97.3,93.0,94.28,143.25,67.11,CUBEXTUB
2025-10-13,95.81,98.89,94.0,96.11,143.25,67.11,CUBEXTUB
2025-07-09,103.4,103.4,95.0,95.81,143.25,67.11,CUBEXTUB
2025-07-08,102.0,102.17,98.01,98.68,143.25,67.11,CUBEXTUB
2025-07-07,103.65,103.65,99.01,100.8,143.25,67.11,CUBEXTUB
2025-07-04,103.88,103.88,100.15,101.13,143.25,67.11,CUBEXTUB
2025-07-03,102.0,103.19,100.72,101.02,143.25,67.11,CUBEXTUB
2025-07-02,104.9,105.0,99.97,100.97,143.25,67.11,CUBEXTUB
2025-07-01,106.81,107.49,103.17,103.99,143.25,67.11,CUBEXTUB
2025-06-30,105.0,108.88,105.0,105.11,143.25,67.11,CUBEXTUB
2025-06-27,107.1,107.51,105.21,106.43,143.25,67.11,CUBEXTUB
2025-06-26,104.91,108.0,104.61,105.92,143.25,67.11,CUBEXTUB
2025-06-25,108.8,108.8,105.23,106.76,143.25,67.11,CUBEXTUB
2025-06-24,106.99,110.0,104.26,107.35,143.25,67.11,CUBEXTUB
2025-06-23,103.0,103.95,100.0,102.14,143.25,67.11,CUBEXTUB
2025-06-20,102.3,107.0,102.3,103.62,143.25,67.11,CUBEXTUB
2025-06-19,108.2,110.43,103.3,104.57,143.25,67.11,CUBEXTUB
2025-06-18,112.4,112.4,107.11,108.2,143.25,67.11,CUBEXTUB
2025-06-17,110.0,112.72,109.0,109.13,143.25,67.11,CUBEXTUB
2025-06-16,109.8,115.0,105.99,111.06,143.25,67.11,CUBEXTUB
2025-06-13,109.0,111.5,108.0,109.56,143.25,67.11,CUBEXTUB
2025-06-12,116.0,116.5,110.71,111.55,143.25,67.11,CUBEXTUB
2025-06-11,118.4,119.06,113.41,115.26,143.25,67.11,CUBEXTUB
2025-06-10,115.09,119.75,112.83,116.74,143.25,67.11,CUBEXTUB
2025-06-09,109.7,115.0,109.33,112.83,143.25,67.11,CUBEXTUB
2025-06-06,98.24,107.9,98.0,107.56,143.25,67.11,CUBEXTUB
2025-06-05,97.98,100.86,97.31,98.24,143.25,67.11,CUBEXTUB
2025-06-04,95.01,97.0,94.11,96.06,143.25,67.11,CUBEXTUB
2025-06-03,94.06,98.0,93.6,94.98,143.25,67.11,CUBEXTUB
2025-06-02,94.98,96.0,92.56,94.83,143.25,67.11,CUBEXTUB
2025-05-30,92.61,95.0,92.61,94.28,143.25,67.11,CUBEXTUB
2025-05-29,94.47,95.25,92.95,93.48,143.25,67.11,CUBEXTUB
2025-05-28,93.5,94.98,91.94,93.77,143.25,67.11,CUBEXTUB
2025-05-27,93.99,93.99,91.2,93.07,143.25,67.11,CUBEXTUB
2025-05-26,93.64,94.37,91.0,92.6,143.25,67.11,CUBEXTUB
2025-05-23,92.0,92.97,91.39,92.01,143.25,67.11,CUBEXTUB
2025-05-22,95.96,95.96,91.25,92.1,143.25,67.11,CUBEXTUB
2025-05-21,94.95,97.0,94.94,95.96,143.25,67.11,CUBEXTUB
2025-05-20,96.5,96.5,92.11,94.95,143.25,67.11,CUBEXTUB
2025-05-19,92.78,95.88,88.14,94.57,143.25,67.11,CUBEXTUB
2025-05-16,95.99,96.89,91.31,92.78,143.25,67.11,CUBEXTUB
2025-05-15,86.8,89.0,83.0,88.09,143.25,67.11,CUBEXTUB
2025-05-14,83.2,86.52,82.38,84.94,143.25,67.11,CUBEXTUB
2025-05-13,78.0,82.92,77.1,81.86,143.25,67.11,CUBEXTUB
2025-05-12,70.0,75.4,70.0,75.4,143.25,67.11,CUBEXTUB
2025-05-09,71.5,72.25,67.11,68.55,143.25,67.11,CUBEXTUB
2025-05-08,70.0,73.5,70.0,71.5,143.25,68.91,CUBEXTUB
2025-05-07,70.44,71.5,68.91,69.76,143.25,68.91,CUBEXTUB
2025-05-06,76.12,76.12,69.83,70.44,143.25,69.83,CUBEXTUB
2025-05-05,75.1,78.2,74.0,74.46,143.25,73.0,CUBEXTUB
2025-05-02,73.0,76.03,73.0,74.42,143.25,73.0,CUBEXTUB
2025-04-30,78.14,78.14,73.7,73.9,143.25,73.7,CUBEXTUB
2025-04-29,78.57,79.33,76.53,76.95,143.25,75.76,CUBEXTUB
2025-04-28,77.87,79.5,76.42,77.97,143.25,75.76,CUBEXTUB
2025-04-25,81.0,81.0,76.6,77.87,143.25,75.76,CUBEXTUB
2025-04-24,79.3,82.06,79.0,80.42,143.25,75.76,CUBEXTUB
2025-04-23,82.9,83.85,79.6,81.19,143.25,75.76,CUBEXTUB
2025-04-22,84.8,85.25,80.2,81.64,143.25,75.76,CUBEXTUB
2025-04-21,82.0,85.59,82.0,83.44,143.25,75.76,CUBEXTUB
2025-04-17,82.73,83.84,80.15,81.21,143.25,75.76,CUBEXTUB
2025-04-16,86.6,87.39,79.35,80.71,143.25,75.76,CUBEXTUB
2025-04-15,84.4,86.98,83.04,85.31,143.25,75.76,CUBEXTUB
2025-04-11,81.2,84.29,80.62,83.56,143.25,75.76,CUBEXTUB
2025-04-09,78.5,82.01,78.0,78.56,143.25,75.76,CUBEXTUB
2025-04-08,83.0,83.0,79.46,80.13,143.25,75.76,CUBEXTUB
2025-04-07,80.0,83.69,78.42,79.54,143.25,75.76,CUBEXTUB
2025-04-04,92.99,95.0,86.0,86.33,143.25,75.76,CUBEXTUB
2025-04-03,86.0,91.0,86.0,90.48,143.25,75.76,CUBEXTUB
2025-04-02,84.88,86.76,83.0,86.76,143.25,75.76,CUBEXTUB
2025-04-01,79.45,82.63,75.76,82.63,143.25,75.76,CUBEXTUB
2025-03-28,84.0,84.0,76.49,78.7,143.25,76.49,CUBEXTUB
2025-03-27,85.99,85.99,80.0,80.52,143.25,79.95,CUBEXTUB
2025-03-26,85.16,87.0,82.5,82.74,143.25,79.95,CUBEXTUB
2025-03-25,90.0,91.45,84.16,84.98,143.25,79.95,CUBEXTUB
2025-01-22,136.99,143.25,131.0,132.63,143.25,68.45,CUBEXTUB
2025-01-21,130.0,140.28,125.29,134.03,140.28,68.45,CUBEXTUB
2025-01-20,117.0,127.53,117.0,127.53,127.55,68.45,CUBEXTUB
2025-01-17,125.99,125.99,112.25,115.94,127.55,65.3,CUBEXTUB
2025-01-16,121.45,126.55,119.5,121.1,127.55,65.3,CUBEXTUB
2025-01-15,112.0,124.9,106.43,118.14,127.55,65.3,CUBEXTUB
2025-01-14,105.23,110.0,103.23,107.28,127.55,65.3,CUBEXTUB
2025-01-13,96.81,111.0,90.0,109.09,127.55,65.3,CUBEXTUB
2025-01-10,85.6,99.91,81.5,96.84,127.55,59.6,CUBEXTUB
2025-01-09,83.21,87.0,83.06,83.26,127.55,59.6,CUBEXTUB
2025-01-08,87.71,87.71,83.0,84.59,127.55,59.6,CUBEXTUB
2025-01-07,85.24,88.0,84.21,85.99,127.55,59.6,CUBEXTUB
2025-01-06,89.0,89.99,81.45,84.88,127.55,59.6,CUBEXTUB
2025-01-03,87.9,91.2,86.4,87.27,127.55,59.6,CUBEXTUB
2025-01-02,86.88,88.5,85.5,86.43,127.55,59.6,CUBEXTUB
2025-01-01,86.48,87.65,83.32,84.73,127.55,59.6,CUBEXTUB
2024-12-31,84.19,86.24,83.58,84.73,127.55,59.6,CUBEXTUB
2024-12-30,88.77,88.77,83.09,84.17,127.55,59.6,CUBEXTUB
2024-12-27,86.3,87.88,83.0,83.89,127.55,59.6,CUBEXTUB
2024-12-26,88.55,90.96,85.02,86.25,127.55,59.6,CUBEXTUB
2024-12-24,91.76,93.61,88.0,88.82,127.55,59.6,CUBEXTUB
2024-12-23,92.55,95.34,90.9,91.57,127.55,59.6,CUBEXTUB
2024-12-20,95.44,96.8,91.2,92.51,127.55,58.05,CUBEXTUB
2024-12-19,94.67,97.5,92.66,95.44,127.55,58.05,CUBEXTUB
2024-12-18,94.95,95.9,93.5,94.68,127.55,58.05,CUBEXTUB
2024-12-17,97.99,101.0,94.22,94.95,127.55,58.05,CUBEXTUB
2024-12-16,101.99,101.99,96.36,96.62,127.55,58.05,CUBEXTUB
2024-12-13,100.0,101.21,95.97,99.37,127.55,58.05,CUBEXTUB
2024-12-12,99.0,105.7,99.0,100.39,127.55,58.05,CUBEXTUB
2024-12-11,97.45,99.74,96.01,97.02,127.55,58.05,CUBEXTUB
2024-12-10,98.12,102.99,95.21,96.79,127.55,58.05,CUBEXTUB
2024-12-09,93.4,100.25,92.67,97.44,127.55,58.05,CUBEXTUB
2024-12-06,92.0,98.55,90.61,91.66,127.55,58.05,CUBEXTUB
2024-12-05,93.2,93.21,89.5,90.37,127.55,58.05,CUBEXTUB
2024-12-04,91.4,93.0,89.01,91.95,127.55,58.05,CUBEXTUB
2024-12-03,88.61,92.19,87.2,89.84,127.55,58.05,CUBEXTUB
2024-12-02,88.3,92.37,88.3,90.17,127.55,58.05,CUBEXTUB
2024-11-29,97.7,97.7,90.0,90.79,127.55,58.05,CUBEXTUB
2024-11-28,86.24,93.25,86.0,91.69,127.55,58.05,CUBEXTUB
2024-11-27,84.99,90.25,81.49,86.24,127.55,58.05,CUBEXTUB
2024-11-26,83.37,85.0,80.2,82.07,127.55,58.05,CUBEXTUB
2024-11-25,89.4,89.4,80.8,83.37,127.55,58.05,CUBEXTUB
2024-11-22,87.71,88.34,83.61,85.15,127.55,58.05,CUBEXTUB
2024-11-21,91.7,91.7,85.56,85.99,127.55,58.05,CUBEXTUB
2024-11-19,90.01,92.79,88.89,90.04,127.55,58.05,CUBEXTUB
2024-11-18,98.0,98.0,88.8,89.71,127.55,58.05,CUBEXTUB
2024-11-14,99.0,99.39,92.26,98.51,127.55,58.05,CUBEXTUB
2024-11-13,99.9,99.9,95.57,96.82,127.55,58.05,CUBEXTUB
2024-11-12,104.2,104.2,94.0,95.8,127.55,58.05,CUBEXTUB
2024-11-11,105.9,105.9,99.11,101.07,127.55,58.05,CUBEXTUB
2024-11-08,108.6,108.6,103.15,103.58,127.55,52.4,CUBEXTUB
2024-11-07,108.0,110.98,104.0,104.84,127.55,52.4,CUBEXTUB
2024-11-06,107.1,111.5,107.0,108.71,127.55,52.4,CUBEXTUB
2024-11-05,110.9,112.05,106.0,109.39,127.55,52.4,CUBEXTUB
2024-11-04,107.0,115.0,107.0,109.89,127.55,52.4,CUBEXTUB
2024-11-01,105.2,107.7,103.0,105.33,127.55,48.75,CUBEXTUB
2024-10-31,103.09,105.15,101.71,103.33,127.55,48.75,CUBEXTUB
2024-10-30,102.2,106.4,100.05,104.26,127.55,48.75,CUBEXTUB
2024-10-29,103.2,103.2,99.15,101.07,127.55,48.75,CUBEXTUB
2024-10-28,99.2,103.49,99.2,102.1,127.55,48.75,CUBEXTUB
2024-10-25,104.2,104.5,97.51,100.97,127.55,47.85,CUBEXTUB
2024-10-24,105.2,111.0,100.81,103.67,127.55,47.85,CUBEXTUB
2024-10-23,101.0,111.0,100.01,101.9,127.55,47.85,CUBEXTUB
2024-10-22,107.7,110.9,99.0,101.71,127.55,47.85,CUBEXTUB
2024-10-21,108.95,110.2,105.22,109.14,127.55,47.85,CUBEXTUB
2024-10-18,108.2,110.89,104.0,106.13,127.55,47.85,CUBEXTUB
2024-10-17,109.1,114.0,106.75,107.53,127.55,47.85,CUBEXTUB
