DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,253.5,254.64,244.78,251.93,254.64,55.75,CUPID
2025-10-16,251.4,254.24,249.27,253.85,254.24,55.75,CUPID
2025-10-15,251.42,252.94,249.0,250.23,252.94,55.75,CUPID
2025-10-14,249.4,251.95,245.62,249.47,251.95,55.75,CUPID
2025-10-13,242.11,250.9,242.11,248.46,250.9,55.75,CUPID
2025-10-10,237.95,247.9,233.51,246.26,248.4,55.75,CUPID
2025-10-09,215.54,248.4,210.6,240.29,248.4,55.75,CUPID
2025-10-08,216.0,217.9,209.08,214.82,223.0,55.75,CUPID
2025-10-07,218.9,221.9,214.15,214.98,223.0,55.75,CUPID
2025-10-06,218.0,219.43,215.55,217.58,223.0,55.75,CUPID
2025-10-03,219.23,222.4,212.05,214.73,223.0,55.75,CUPID
2025-10-01,216.61,220.4,213.5,217.3,223.0,55.75,CUPID
2025-09-30,221.0,221.0,213.15,214.96,223.0,55.75,CUPID
2025-09-29,217.3,221.39,213.62,219.89,223.0,55.75,CUPID
2025-09-26,216.91,221.5,213.41,215.52,223.0,55.75,CUPID
2025-09-25,221.89,222.5,216.94,218.26,223.0,55.75,CUPID
2025-09-24,218.0,223.0,215.21,221.93,223.0,55.75,CUPID
2025-09-23,218.29,221.0,214.61,220.1,221.0,55.75,CUPID
2025-09-22,214.69,218.1,211.01,217.92,218.1,55.75,CUPID
2025-09-19,207.79,215.9,206.5,214.59,215.9,55.75,CUPID
2025-09-18,208.79,210.69,205.7,207.1,212.8,55.75,CUPID
2025-09-17,205.4,212.8,202.5,208.68,212.8,55.75,CUPID
2025-09-16,208.89,210.25,201.6,204.76,210.25,55.75,CUPID
2025-09-15,199.45,208.0,198.33,207.42,208.0,55.75,CUPID
2025-09-12,201.99,206.0,191.01,198.32,206.0,55.75,CUPID
2025-09-11,202.7,204.44,198.25,201.38,204.44,55.75,CUPID
2025-09-10,196.99,204.0,193.87,202.68,204.0,55.75,CUPID
2025-09-09,188.0,198.99,187.3,196.57,198.99,55.75,CUPID
2025-09-08,175.0,192.0,164.34,188.02,192.0,55.75,CUPID
2025-09-05,179.5,181.35,174.02,175.22,187.0,55.75,CUPID
2025-09-04,181.75,182.95,173.11,179.02,187.0,55.75,CUPID
2025-09-03,186.49,186.49,171.23,180.52,187.0,55.75,CUPID
2025-09-02,172.97,187.0,171.14,181.02,187.0,55.75,CUPID
2025-09-01,172.89,173.49,171.05,172.61,174.12,55.75,CUPID
2025-08-29,172.04,173.0,170.2,172.29,174.12,55.75,CUPID
2025-08-28,169.96,173.48,169.09,171.99,174.12,55.75,CUPID
2025-08-26,172.11,172.81,169.1,169.96,174.12,55.75,CUPID
2025-08-25,172.9,172.99,170.13,171.85,174.12,55.75,CUPID
2025-08-22,171.82,172.39,169.6,171.94,174.12,55.75,CUPID
2025-08-21,166.01,174.12,166.01,171.33,174.12,55.75,CUPID
2025-08-20,172.25,172.75,166.0,166.82,173.39,55.75,CUPID
