DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,1965.9,2002.5,1961.2,1983.7,2019.1,1601.0,DALBHARAT
2025-04-25,1984.0,2019.1,1946.3,1965.9,2019.1,1601.0,DALBHARAT
2025-04-24,1950.0,1980.0,1922.8,1974.1,1988.35,1601.0,DALBHARAT
2025-04-23,1909.8,1916.3,1870.1,1889.4,1988.35,1601.0,DALBHARAT
2025-04-22,1908.1,1948.0,1898.0,1903.5,1988.35,1601.0,DALBHARAT
2025-04-21,1851.0,1932.0,1851.0,1922.5,1988.35,1601.0,DALBHARAT
2025-04-17,1826.2,1864.9,1795.7,1851.6,1988.35,1601.0,DALBHARAT
2025-04-16,1855.5,1889.9,1831.3,1846.4,1988.35,1601.0,DALBHARAT
2025-04-15,1849.0,1885.4,1821.1,1869.2,1988.35,1601.0,DALBHARAT
2025-04-11,1839.95,1849.0,1798.5,1811.65,2044.55,1601.0,DALBHARAT
2025-04-09,1800.0,1835.0,1776.85,1825.9,2044.55,1601.0,DALBHARAT
2025-04-08,1820.0,1847.0,1803.2,1808.35,2044.55,1601.0,DALBHARAT
2025-04-07,1700.0,1812.05,1700.0,1786.25,2044.55,1601.0,DALBHARAT
2025-04-04,1863.95,1870.0,1832.1,1845.45,2058.9,1601.0,DALBHARAT
2025-04-03,1816.9,1883.35,1807.0,1857.15,2058.9,1601.0,DALBHARAT
2025-04-02,1782.15,1829.7,1767.75,1817.15,2058.9,1601.0,DALBHARAT
2025-04-01,1821.95,1839.6,1781.8,1786.45,2058.9,1601.0,DALBHARAT
2025-03-28,1813.55,1859.6,1804.3,1821.55,2058.9,1601.0,DALBHARAT
2025-03-27,1755.0,1821.45,1743.15,1813.55,2058.9,1601.0,DALBHARAT
2025-03-26,1747.0,1785.0,1742.35,1760.75,2058.9,1601.0,DALBHARAT
2025-03-25,1780.0,1786.95,1742.0,1745.7,2058.9,1601.0,DALBHARAT
2025-03-24,1772.95,1772.95,1725.0,1744.75,2058.9,1601.0,DALBHARAT
2025-03-21,1705.0,1760.55,1680.0,1747.4,2058.9,1601.0,DALBHARAT
2025-03-20,1721.0,1726.5,1692.3,1696.25,2058.9,1601.0,DALBHARAT
2025-03-19,1714.4,1755.15,1704.2,1726.25,2058.9,1601.0,DALBHARAT
2025-03-18,1665.0,1720.0,1658.2,1714.4,2058.9,1601.0,DALBHARAT
2025-03-17,1625.95,1671.0,1602.4,1663.35,2058.9,1601.0,DALBHARAT
2025-03-13,1640.05,1641.1,1601.15,1607.1,2058.9,1601.0,DALBHARAT
2025-03-12,1694.85,1696.95,1601.0,1641.1,2058.9,1601.0,DALBHARAT
2025-03-11,1673.7,1694.95,1638.5,1686.45,2058.9,1638.5,DALBHARAT
2025-03-10,1696.3,1706.25,1661.1,1673.7,2058.9,1651.4,DALBHARAT
2025-03-07,1705.5,1715.9,1680.5,1696.35,2103.15,1651.4,DALBHARAT
2025-03-06,1725.05,1733.0,1688.1,1713.9,2103.15,1651.4,DALBHARAT
2025-03-05,1669.2,1722.5,1669.2,1707.1,2103.15,1651.4,DALBHARAT
2025-03-04,1700.0,1705.85,1655.0,1699.25,2103.15,1651.4,DALBHARAT
2025-03-03,1708.0,1720.5,1679.5,1711.9,2103.15,1651.4,DALBHARAT
2025-02-28,1721.45,1726.8,1664.45,1689.65,2122.5,1651.4,DALBHARAT
2025-02-27,1716.05,1753.2,1684.4,1730.1,2122.5,1651.4,DALBHARAT
2025-02-25,1731.05,1746.35,1705.0,1728.05,2122.5,1651.4,DALBHARAT
2025-02-24,1731.0,1750.75,1722.3,1737.25,2122.5,1651.4,DALBHARAT
2025-02-21,1766.45,1793.6,1734.5,1741.75,2127.95,1651.4,DALBHARAT
2025-02-20,1770.0,1800.15,1755.0,1784.4,2127.95,1651.4,DALBHARAT
2025-02-19,1783.8,1809.0,1760.0,1770.75,2127.95,1651.4,DALBHARAT
2025-02-18,1800.0,1808.9,1766.85,1799.9,2127.95,1651.4,DALBHARAT
2025-02-17,1771.0,1813.0,1746.1,1808.15,2127.95,1651.4,DALBHARAT
2025-02-14,1800.25,1815.5,1760.5,1782.45,2149.0,1651.4,DALBHARAT
2025-02-13,1800.05,1825.0,1792.55,1798.4,2149.0,1651.4,DALBHARAT
2025-02-12,1795.5,1809.8,1741.5,1800.05,2149.0,1651.4,DALBHARAT
2025-02-11,1806.7,1827.3,1780.15,1786.05,2149.0,1651.4,DALBHARAT
2025-02-10,1860.0,1860.0,1809.0,1823.25,2149.0,1651.4,DALBHARAT
2025-02-07,1875.05,1878.5,1838.15,1849.75,2270.2,1651.4,DALBHARAT
2025-02-06,1885.0,1887.85,1857.05,1868.0,2270.2,1651.4,DALBHARAT
2025-02-05,1855.0,1918.95,1843.65,1887.55,2270.2,1651.4,DALBHARAT
2025-02-04,1800.0,1857.6,1800.0,1852.7,2270.2,1651.4,DALBHARAT
2025-02-03,1800.05,1840.15,1788.6,1810.45,2270.2,1651.4,DALBHARAT
2025-02-01,1875.0,1892.0,1794.9,1827.4,2300.0,1651.4,DALBHARAT
2025-01-31,1842.75,1872.7,1833.05,1866.35,2300.0,1651.4,DALBHARAT
2025-01-30,1856.45,1871.05,1830.0,1851.9,2300.0,1651.4,DALBHARAT
2025-01-29,1813.05,1868.35,1805.15,1856.45,2300.0,1651.4,DALBHARAT
2025-01-28,1804.3,1833.95,1779.0,1813.2,2300.0,1651.4,DALBHARAT
2025-01-27,1800.05,1809.6,1790.8,1795.95,2300.0,1651.4,DALBHARAT
2025-01-24,1837.0,1858.0,1798.55,1802.95,2300.0,1651.4,DALBHARAT
2025-01-23,1775.0,1849.0,1768.75,1828.35,2300.0,1651.4,DALBHARAT
2025-01-22,1702.0,1805.65,1702.0,1799.05,2300.0,1651.4,DALBHARAT
2025-01-21,1758.0,1796.0,1758.0,1771.2,2300.0,1651.4,DALBHARAT
2025-01-20,1730.6,1759.6,1701.6,1752.05,2300.0,1651.4,DALBHARAT
2025-01-17,1739.0,1741.2,1695.7,1721.95,2336.95,1651.4,DALBHARAT
2025-01-16,1745.0,1762.0,1731.25,1740.65,2336.95,1651.4,DALBHARAT
2025-01-15,1725.0,1742.75,1712.0,1737.0,2336.95,1651.4,DALBHARAT
2025-01-14,1703.3,1739.0,1688.0,1729.0,2336.95,1651.4,DALBHARAT
2025-01-13,1725.0,1757.35,1673.5,1702.1,2336.95,1651.4,DALBHARAT
2025-01-10,1800.0,1808.5,1720.25,1727.5,2405.0,1651.4,DALBHARAT
2025-01-09,1795.0,1813.4,1775.8,1802.3,2405.0,1651.4,DALBHARAT
2025-01-08,1804.0,1848.0,1796.0,1800.1,2405.0,1651.4,DALBHARAT
2025-01-07,1764.65,1810.6,1764.65,1799.25,2405.0,1651.4,DALBHARAT
2025-01-06,1808.45,1840.85,1745.5,1755.85,2405.0,1651.4,DALBHARAT
2025-01-03,1814.0,1831.0,1800.0,1807.85,2428.6,1651.4,DALBHARAT
2025-01-02,1765.0,1836.2,1763.2,1816.2,2428.6,1651.4,DALBHARAT
2025-01-01,1768.8,1789.0,1759.3,1770.95,2428.6,1651.4,DALBHARAT
2024-12-31,1779.0,1779.0,1744.5,1767.25,2428.6,1651.4,DALBHARAT
2024-12-30,1740.0,1781.0,1727.55,1771.35,2428.6,1651.4,DALBHARAT
2024-12-27,1740.25,1755.0,1728.15,1740.4,2428.6,1651.4,DALBHARAT
2024-12-26,1719.35,1752.0,1713.0,1738.55,2428.6,1651.4,DALBHARAT
2024-12-24,1769.2,1774.4,1715.0,1717.65,2428.6,1651.4,DALBHARAT
2024-12-23,1785.5,1802.75,1734.7,1759.95,2428.6,1651.4,DALBHARAT
2024-12-20,1851.9,1862.9,1795.0,1801.9,2428.6,1651.4,DALBHARAT
2024-12-19,1839.5,1868.75,1839.5,1851.9,2428.6,1651.4,DALBHARAT
2024-12-18,1929.5,1951.5,1874.0,1879.3,2428.6,1651.4,DALBHARAT
2024-12-17,1955.0,1958.95,1925.35,1934.1,2428.6,1651.4,DALBHARAT
2024-12-16,1925.65,1955.9,1920.05,1945.95,2428.6,1651.4,DALBHARAT
2024-12-13,1930.25,1935.25,1848.15,1921.6,2430.7,1651.4,DALBHARAT
2024-12-12,1973.8,1974.6,1924.95,1935.25,2430.7,1651.4,DALBHARAT
2024-12-11,1909.95,1972.9,1909.0,1966.6,2430.7,1651.4,DALBHARAT
2024-12-10,1898.05,1908.35,1876.0,1898.7,2430.7,1651.4,DALBHARAT
2024-12-09,1931.95,1931.95,1890.0,1897.75,2430.7,1651.4,DALBHARAT
2024-12-06,1916.85,1928.55,1903.55,1926.05,2430.7,1651.4,DALBHARAT
2024-12-05,1938.0,1953.6,1889.45,1913.8,2430.7,1651.4,DALBHARAT
2024-12-04,1929.0,1945.35,1903.85,1936.7,2430.7,1651.4,DALBHARAT
2024-12-03,1879.75,1946.65,1879.75,1930.8,2430.7,1651.4,DALBHARAT
2024-12-02,1850.0,1894.05,1835.1,1879.75,2430.7,1651.4,DALBHARAT
2024-11-29,1819.3,1836.45,1812.3,1820.35,2430.7,1651.4,DALBHARAT
2024-11-28,1836.5,1845.15,1809.0,1819.3,2430.7,1651.4,DALBHARAT
2024-11-27,1822.85,1847.45,1802.3,1836.45,2430.7,1651.4,DALBHARAT
2024-11-26,1826.8,1850.0,1804.35,1826.2,2430.7,1651.4,DALBHARAT
2024-11-25,1813.0,1865.0,1812.6,1826.8,2430.7,1651.4,DALBHARAT
2024-11-22,1778.0,1823.0,1764.55,1808.25,2430.7,1651.4,DALBHARAT
2024-11-21,1725.0,1782.75,1705.05,1771.6,2430.7,1651.4,DALBHARAT
2024-11-19,1700.65,1770.0,1698.55,1745.25,2430.7,1651.4,DALBHARAT
2024-11-18,1709.95,1730.0,1680.2,1686.35,2430.7,1651.4,DALBHARAT
2024-11-14,1736.1,1746.05,1676.55,1713.8,2430.7,1651.4,DALBHARAT
2024-11-13,1782.0,1788.25,1734.7,1737.6,2430.7,1651.4,DALBHARAT
2024-11-12,1760.0,1793.9,1752.0,1786.7,2430.7,1651.4,DALBHARAT
2024-11-11,1762.0,1782.1,1742.85,1755.35,2430.7,1651.4,DALBHARAT
2024-11-08,1800.0,1804.45,1759.85,1768.05,2430.7,1651.4,DALBHARAT
2024-11-07,1818.0,1823.55,1790.1,1798.25,2430.7,1651.4,DALBHARAT
2024-11-06,1799.75,1827.75,1766.45,1817.55,2430.7,1651.4,DALBHARAT
2024-11-05,1789.75,1810.0,1762.0,1793.6,2430.7,1651.4,DALBHARAT
2024-11-04,1838.0,1840.45,1771.3,1789.75,2430.7,1651.4,DALBHARAT
2024-11-01,1854.25,1854.25,1833.2,1838.2,2430.7,1651.4,DALBHARAT
2024-10-31,1836.85,1863.9,1818.15,1833.2,2430.7,1651.4,DALBHARAT
2024-10-30,1793.25,1854.55,1787.0,1840.25,2430.7,1651.4,DALBHARAT
2024-10-29,1797.95,1804.5,1772.05,1796.8,2430.7,1651.4,DALBHARAT
2024-10-28,1765.9,1817.55,1765.9,1796.3,2430.7,1651.4,DALBHARAT
2024-10-25,1790.0,1839.0,1762.05,1771.45,2430.7,1651.4,DALBHARAT
2024-10-24,1762.3,1834.4,1751.0,1812.95,2430.7,1651.4,DALBHARAT
2024-10-23,1807.0,1829.9,1757.0,1760.85,2430.7,1651.4,DALBHARAT
2024-10-22,1815.2,1837.35,1792.35,1804.45,2430.7,1651.4,DALBHARAT
2024-10-21,1782.1,1856.0,1760.8,1830.8,2430.7,1651.4,DALBHARAT
2024-10-18,1838.75,1859.8,1815.0,1852.15,2430.7,1651.4,DALBHARAT
2024-10-17,1867.25,1869.0,1822.85,1835.0,2430.7,1651.4,DALBHARAT
2024-10-16,1879.9,1892.45,1848.45,1867.25,2430.7,1651.4,DALBHARAT
2024-10-15,1898.0,1898.0,1853.7,1885.95,2430.7,1651.4,DALBHARAT
2024-10-14,1881.0,1918.4,1869.4,1889.3,2430.7,1651.4,DALBHARAT
2024-10-11,1849.0,1879.05,1827.25,1872.95,2430.7,1651.4,DALBHARAT
2024-10-10,1840.75,1864.95,1835.05,1848.35,2430.7,1651.4,DALBHARAT
2024-10-09,1887.95,1900.0,1831.25,1840.75,2430.7,1651.4,DALBHARAT
2024-10-08,1862.0,1914.5,1853.75,1879.95,2430.7,1651.4,DALBHARAT
2024-10-07,1939.0,1955.35,1843.55,1853.7,2430.7,1651.4,DALBHARAT
2024-10-04,1958.0,1982.0,1912.55,1937.5,2430.7,1651.4,DALBHARAT
2024-10-03,1932.15,1973.4,1932.1,1950.0,2430.7,1651.4,DALBHARAT
2024-10-01,1930.0,1968.45,1930.0,1956.55,2430.7,1651.4,DALBHARAT
2024-09-30,1904.95,1954.4,1889.45,1933.2,2430.7,1651.4,DALBHARAT
2024-09-27,1934.0,1982.95,1888.05,1894.75,2430.7,1651.4,DALBHARAT
2024-09-26,1918.45,1925.0,1904.5,1915.75,2430.7,1651.4,DALBHARAT
2024-09-25,1930.0,1938.8,1904.5,1910.35,2430.7,1651.4,DALBHARAT
2024-09-24,1905.05,1933.85,1895.25,1929.7,2430.7,1651.4,DALBHARAT
2024-09-23,1840.0,1905.0,1837.15,1900.1,2430.7,1651.4,DALBHARAT
2024-09-20,1829.0,1853.45,1819.8,1835.9,2430.7,1651.4,DALBHARAT
2024-09-19,1839.95,1844.25,1794.25,1822.25,2430.7,1651.4,DALBHARAT
2024-09-18,1822.0,1861.35,1812.6,1834.45,2430.7,1651.4,DALBHARAT
2024-09-17,1858.95,1861.1,1818.55,1822.0,2430.7,1651.4,DALBHARAT
2024-09-16,1913.3,1917.4,1851.6,1856.55,2430.7,1651.4,DALBHARAT
2024-09-13,1887.35,1913.15,1882.1,1902.1,2430.7,1651.4,DALBHARAT
2024-09-12,1905.0,1905.0,1875.05,1887.35,2430.7,1651.4,DALBHARAT
2024-09-11,1887.4,1905.0,1875.05,1898.85,2430.7,1651.4,DALBHARAT
2024-09-10,1887.35,1912.45,1879.75,1887.4,2430.7,1651.4,DALBHARAT
2024-09-09,1860.0,1884.95,1833.1,1875.65,2430.7,1651.4,DALBHARAT
2024-09-06,1919.95,1922.75,1865.0,1876.25,2430.7,1651.4,DALBHARAT
2024-09-05,1927.0,1945.85,1896.05,1913.75,2430.7,1651.4,DALBHARAT
2024-09-04,1907.4,1935.0,1895.5,1926.6,2430.7,1651.4,DALBHARAT
2024-09-03,1924.75,1930.0,1904.0,1915.5,2430.7,1651.4,DALBHARAT
2024-09-02,1900.0,1940.0,1900.0,1920.0,2430.7,1651.4,DALBHARAT
2024-08-30,1860.0,1894.8,1855.15,1891.05,2430.7,1651.4,DALBHARAT
2024-08-29,1824.6,1856.9,1820.0,1845.65,2430.7,1651.4,DALBHARAT
2024-08-28,1813.4,1837.85,1810.4,1824.3,2430.7,1651.4,DALBHARAT
2024-08-27,1815.0,1832.0,1810.0,1821.8,2430.7,1651.4,DALBHARAT
2024-08-26,1820.0,1820.0,1791.55,1814.9,2430.7,1651.4,DALBHARAT
2024-08-23,1804.0,1809.0,1778.25,1804.05,2430.7,1651.4,DALBHARAT
2024-08-22,1756.75,1803.45,1756.75,1799.4,2430.7,1651.4,DALBHARAT
2024-08-21,1757.5,1773.0,1752.4,1755.45,2430.7,1651.4,DALBHARAT
2024-08-20,1771.8,1782.55,1751.7,1767.7,2430.7,1651.4,DALBHARAT
2024-08-19,1757.95,1786.35,1755.85,1768.95,2430.7,1651.4,DALBHARAT
2024-08-16,1730.0,1754.75,1726.45,1750.8,2430.7,1651.4,DALBHARAT
2024-08-14,1735.25,1737.65,1705.45,1726.45,2430.7,1651.4,DALBHARAT
2024-08-13,1735.0,1746.95,1719.2,1735.25,2430.7,1651.4,DALBHARAT
2024-08-12,1753.1,1754.0,1726.15,1745.0,2430.7,1651.4,DALBHARAT
2024-08-09,1770.0,1789.9,1736.5,1740.6,2430.7,1651.4,DALBHARAT
2024-08-08,1757.8,1777.55,1735.0,1770.05,2430.7,1651.4,DALBHARAT
2024-08-07,1736.95,1766.3,1724.25,1757.75,2430.7,1651.4,DALBHARAT
2024-08-06,1757.0,1794.2,1722.2,1730.75,2430.7,1651.4,DALBHARAT
2024-08-05,1782.75,1788.35,1744.05,1756.55,2430.7,1651.4,DALBHARAT
2024-08-02,1800.1,1822.0,1785.35,1798.7,2430.7,1651.4,DALBHARAT
2024-08-01,1845.1,1866.0,1803.45,1813.25,2430.7,1651.4,DALBHARAT
2024-07-31,1868.45,1869.0,1841.45,1850.55,2430.7,1651.4,DALBHARAT
2024-07-30,1834.3,1855.75,1826.5,1851.8,2430.7,1651.4,DALBHARAT
2024-07-29,1822.0,1842.0,1816.65,1834.3,2430.7,1651.4,DALBHARAT
2024-07-26,1785.0,1842.0,1771.0,1812.2,2430.7,1651.4,DALBHARAT
2024-07-25,1765.05,1780.0,1753.45,1771.55,2430.7,1651.4,DALBHARAT
2024-07-24,1781.5,1803.0,1769.0,1771.45,2430.7,1651.4,DALBHARAT
2024-07-23,1779.8,1808.45,1751.1,1778.45,2430.7,1651.4,DALBHARAT
2024-07-22,1802.0,1818.5,1767.1,1771.15,2430.7,1651.4,DALBHARAT
2024-07-19,1944.0,1944.0,1803.05,1818.7,2430.7,1651.4,DALBHARAT
2024-07-18,1915.9,1925.8,1888.0,1916.85,2430.7,1651.4,DALBHARAT
2024-07-16,1940.0,1947.95,1891.0,1915.9,2430.7,1651.4,DALBHARAT
2024-07-15,1945.05,1960.0,1913.55,1929.2,2430.7,1651.4,DALBHARAT
2024-07-12,1879.8,1947.3,1863.0,1933.6,2430.7,1651.4,DALBHARAT
2024-07-11,1865.0,1882.65,1848.7,1865.6,2430.7,1651.4,DALBHARAT
2024-07-10,1865.0,1874.7,1807.65,1865.3,2430.7,1651.4,DALBHARAT
2024-07-09,1855.0,1881.0,1848.25,1867.6,2430.7,1651.4,DALBHARAT
2024-07-08,1855.0,1865.4,1843.6,1855.85,2430.7,1651.4,DALBHARAT
2024-07-05,1842.95,1867.4,1833.2,1858.15,2430.7,1651.4,DALBHARAT
2024-07-04,1860.0,1870.25,1834.1,1842.35,2430.7,1651.4,DALBHARAT
2024-07-03,1845.0,1863.0,1830.0,1855.95,2430.7,1651.4,DALBHARAT
2024-07-02,1865.0,1868.0,1820.0,1839.45,2430.7,1651.4,DALBHARAT
2024-07-01,1820.0,1858.9,1809.9,1849.95,2430.7,1651.4,DALBHARAT
2024-06-28,1799.95,1820.6,1792.85,1813.45,2430.7,1651.4,DALBHARAT
2024-06-27,1835.0,1835.0,1786.8,1792.2,2430.7,1651.4,DALBHARAT
2024-06-26,1794.15,1852.75,1772.6,1819.8,2430.7,1651.4,DALBHARAT
2024-06-25,1833.85,1834.0,1808.4,1816.6,2430.7,1651.4,DALBHARAT
2024-06-24,1817.25,1824.75,1778.05,1818.6,2430.7,1651.4,DALBHARAT
2024-06-21,1869.6,1869.6,1803.05,1823.2,2430.7,1651.4,DALBHARAT
2024-06-20,1860.0,1864.4,1832.3,1862.4,2430.7,1651.4,DALBHARAT
2024-06-19,1888.5,1889.4,1850.0,1854.5,2430.7,1651.4,DALBHARAT
2024-06-18,1895.0,1899.0,1873.0,1889.0,2430.7,1651.4,DALBHARAT
2024-06-14,1888.95,1900.0,1857.7,1882.35,2430.7,1651.4,DALBHARAT
2024-06-13,1910.0,1910.0,1878.55,1901.8,2430.7,1651.4,DALBHARAT
2024-06-12,1895.0,1912.55,1870.0,1900.1,2430.7,1651.4,DALBHARAT
2024-06-11,1890.05,1900.8,1871.0,1887.95,2430.7,1651.4,DALBHARAT
2024-06-10,1825.0,1878.95,1809.95,1875.5,2430.7,1651.4,DALBHARAT
2024-06-07,1766.1,1829.35,1757.3,1809.95,2430.7,1651.4,DALBHARAT
2024-06-06,1747.0,1779.8,1741.6,1766.1,2430.7,1651.4,DALBHARAT
2024-06-05,1714.85,1745.25,1693.15,1735.15,2430.7,1651.4,DALBHARAT
2024-06-04,1845.0,1845.0,1651.4,1695.25,2430.7,1651.4,DALBHARAT
2024-06-03,1824.95,1882.0,1800.0,1858.0,2430.7,1698.9,DALBHARAT
2024-05-31,1766.05,1784.95,1750.0,1775.7,2430.7,1698.9,DALBHARAT
2024-05-30,1775.45,1779.9,1743.05,1767.35,2430.7,1698.9,DALBHARAT
2024-05-29,1800.0,1810.95,1772.05,1775.45,2430.7,1698.9,DALBHARAT
2024-05-28,1803.0,1811.9,1786.35,1801.55,2430.7,1698.9,DALBHARAT
2024-05-27,1799.0,1811.95,1789.6,1807.65,2430.7,1698.9,DALBHARAT
2024-05-24,1820.0,1822.45,1788.0,1792.45,2430.7,1698.9,DALBHARAT
2024-05-23,1846.0,1846.0,1801.5,1812.3,2430.7,1698.9,DALBHARAT
2024-05-22,1847.8,1856.3,1825.65,1846.85,2430.7,1698.9,DALBHARAT
2024-05-21,1828.0,1860.15,1820.0,1847.8,2430.7,1698.9,DALBHARAT
2024-05-18,1817.4,1823.2,1808.05,1818.95,2430.7,1698.9,DALBHARAT
2024-05-17,1794.0,1820.0,1785.0,1814.5,2430.7,1698.9,DALBHARAT
2024-05-16,1780.0,1797.1,1761.5,1789.45,2430.7,1698.9,DALBHARAT
2024-05-15,1757.75,1765.0,1733.15,1760.95,2430.7,1698.9,DALBHARAT
2024-05-14,1743.15,1761.95,1730.4,1757.75,2430.7,1698.9,DALBHARAT
2024-05-13,1720.0,1747.2,1698.9,1742.7,2430.7,1698.9,DALBHARAT
