DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,33.99,34.0,33.32,33.5,47.9,28.0,DAMODARIND
2025-10-15,33.99,33.99,33.2,33.72,47.9,28.0,DAMODARIND
2025-10-14,33.92,34.0,33.34,33.72,47.9,28.0,DAMODARIND
2025-10-13,33.99,34.0,32.3,33.53,47.9,28.0,DAMODARIND
2025-10-10,33.79,34.0,32.86,33.82,47.9,28.0,DAMODARIND
2025-10-09,33.75,33.75,32.1,32.86,47.9,28.0,DAMODARIND
2025-10-08,33.99,33.99,32.0,32.79,47.9,28.0,DAMODARIND
2025-10-07,33.99,33.99,33.2,33.52,47.9,28.0,DAMODARIND
2025-10-06,35.0,35.0,33.56,33.62,47.9,28.0,DAMODARIND
2025-10-03,34.0,34.0,33.2,33.98,47.9,28.0,DAMODARIND
2025-10-01,35.49,35.49,33.9,33.99,47.9,28.0,DAMODARIND
2025-09-30,35.0,35.78,34.9,35.1,47.9,28.0,DAMODARIND
2025-09-29,35.17,35.9,34.8,34.99,47.9,28.0,DAMODARIND
2025-09-26,36.79,36.79,34.61,34.99,48.89,28.0,DAMODARIND
2025-09-25,35.69,38.0,35.65,36.17,48.89,28.0,DAMODARIND
2025-09-24,35.78,35.97,34.61,34.92,48.89,28.0,DAMODARIND
2025-09-23,36.7,36.7,35.4,35.78,48.89,28.0,DAMODARIND
2025-09-22,36.1,36.75,35.1,35.88,48.89,28.0,DAMODARIND
2025-09-19,35.69,38.8,35.52,36.79,50.0,28.0,DAMODARIND
2025-09-18,37.1,37.1,35.5,35.86,50.0,28.0,DAMODARIND
2025-09-17,37.9,37.9,35.2,36.05,50.0,28.0,DAMODARIND
2025-09-16,36.29,37.4,35.06,36.79,50.0,28.0,DAMODARIND
2025-09-15,34.9,35.5,34.2,35.35,50.0,28.0,DAMODARIND
2025-09-12,34.42,35.34,34.41,34.73,51.2,28.0,DAMODARIND
2025-09-11,36.45,36.45,34.0,34.38,51.2,28.0,DAMODARIND
2025-09-10,36.29,36.29,34.92,35.43,51.2,28.0,DAMODARIND
2025-09-09,35.99,35.99,34.6,35.3,51.2,28.0,DAMODARIND
2025-09-08,36.25,36.99,34.34,35.52,51.2,28.0,DAMODARIND
2025-09-05,36.2,36.2,34.3,35.2,51.2,28.0,DAMODARIND
2025-09-04,37.5,37.5,34.5,35.16,51.2,28.0,DAMODARIND
2025-09-03,37.25,37.4,35.5,36.41,51.2,28.0,DAMODARIND
2025-09-02,36.3,37.2,35.6,36.23,51.2,28.0,DAMODARIND
2025-09-01,36.27,36.85,34.35,35.22,51.2,28.0,DAMODARIND
2025-08-29,36.69,36.7,35.25,36.11,51.2,28.0,DAMODARIND
2025-08-28,36.05,36.05,35.11,36.0,51.2,28.0,DAMODARIND
2025-08-26,36.67,37.65,35.53,36.05,51.2,28.0,DAMODARIND
2025-08-25,36.96,38.79,35.51,36.74,51.2,28.0,DAMODARIND
2025-08-22,36.5,36.5,35.5,35.91,51.2,28.0,DAMODARIND
2025-08-21,36.95,37.0,35.5,35.8,51.2,28.0,DAMODARIND
2025-08-20,37.25,37.25,35.6,35.89,51.2,28.0,DAMODARIND
2025-08-19,35.55,39.0,35.55,36.17,51.2,28.0,DAMODARIND
2025-08-18,36.26,39.0,35.1,35.82,51.2,28.0,DAMODARIND
2025-08-14,36.5,36.5,35.26,35.98,53.2,28.0,DAMODARIND
2025-08-13,36.43,36.99,34.0,34.95,53.2,28.0,DAMODARIND
2025-08-12,36.7,36.99,35.99,36.42,53.2,28.0,DAMODARIND
2025-08-11,36.8,37.0,34.5,36.19,53.2,28.0,DAMODARIND
2025-08-08,36.65,36.65,35.25,36.0,53.2,28.0,DAMODARIND
2025-08-07,36.62,36.9,35.25,35.78,53.2,28.0,DAMODARIND
2025-08-06,36.71,36.95,36.0,36.43,53.2,28.0,DAMODARIND
2025-08-05,36.43,38.0,36.0,36.9,53.2,28.0,DAMODARIND
2025-08-04,36.7,37.36,35.1,35.72,53.2,28.0,DAMODARIND
2025-08-01,36.0,38.45,35.1,36.24,54.24,28.0,DAMODARIND
2025-07-31,36.9,37.8,36.01,36.31,54.24,28.0,DAMODARIND
2025-07-30,38.29,38.79,37.1,37.33,54.24,28.0,DAMODARIND
2025-07-29,37.49,38.29,37.06,38.19,54.24,28.0,DAMODARIND
2025-07-28,37.5,38.38,37.5,37.58,54.24,28.0,DAMODARIND
2025-07-25,37.94,39.79,37.25,37.82,54.24,28.0,DAMODARIND
2025-07-24,38.77,38.77,37.61,37.93,54.24,28.0,DAMODARIND
2025-07-23,37.43,39.0,37.01,38.58,54.24,28.0,DAMODARIND
2025-07-22,37.44,38.89,36.52,36.8,54.24,28.0,DAMODARIND
2025-07-21,38.0,38.34,36.55,36.82,54.24,28.0,DAMODARIND
2025-07-18,37.64,38.54,37.35,37.53,54.24,28.0,DAMODARIND
2025-07-17,38.12,38.64,37.5,37.72,54.24,28.0,DAMODARIND
2025-07-16,39.3,39.3,38.1,38.15,54.24,28.0,DAMODARIND
2025-07-15,38.0,39.3,37.8,38.62,54.24,28.0,DAMODARIND
2025-07-14,39.0,39.0,37.76,37.76,54.24,28.0,DAMODARIND
2025-07-11,39.38,40.4,38.0,38.81,55.0,28.0,DAMODARIND
2025-07-10,37.22,39.99,37.21,39.0,55.0,28.0,DAMODARIND
