DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,3018.4,3018.4,2925.0,2941.2,3268.8,1351.15,DATAPATTNS
2025-11-21,3103.0,3144.0,3011.0,3028.4,3268.8,1351.15,DATAPATTNS
2025-11-20,3050.0,3215.0,3042.7,3104.6,3268.8,1351.15,DATAPATTNS
2025-11-19,3108.0,3108.9,3027.1,3055.2,3268.8,1351.15,DATAPATTNS
2025-11-18,3072.5,3156.0,3055.4,3114.4,3268.8,1351.15,DATAPATTNS
2025-11-17,3110.0,3193.6,3061.1,3085.9,3268.8,1351.15,DATAPATTNS
2025-11-14,2991.0,3120.0,2970.2,3100.7,3268.8,1351.15,DATAPATTNS
2025-11-13,2940.0,3044.5,2886.6,3003.4,3268.8,1351.15,DATAPATTNS
2025-11-12,2778.9,2830.0,2718.0,2792.2,3268.8,1351.15,DATAPATTNS
2025-11-11,2644.4,2808.0,2638.4,2756.7,3268.8,1351.15,DATAPATTNS
2025-11-10,2625.0,2699.1,2610.3,2644.4,3268.8,1351.15,DATAPATTNS
2025-11-07,2607.9,2626.1,2545.0,2616.2,3268.8,1351.15,DATAPATTNS
2025-11-06,2700.5,2707.9,2604.0,2613.8,3268.8,1351.15,DATAPATTNS
2025-11-04,2752.0,2764.6,2690.0,2700.5,3268.8,1351.15,DATAPATTNS
2025-11-03,2744.0,2775.3,2722.8,2751.5,3268.8,1351.15,DATAPATTNS
2025-10-31,2710.0,2755.6,2710.0,2744.0,3268.8,1351.15,DATAPATTNS
2025-10-30,2752.4,2778.4,2700.3,2708.0,3268.8,1351.15,DATAPATTNS
2025-10-29,2787.5,2787.5,2740.9,2753.0,3268.8,1351.15,DATAPATTNS
2025-10-28,2790.8,2830.0,2759.9,2787.5,3268.8,1351.15,DATAPATTNS
2025-10-27,2798.7,2803.2,2745.0,2790.8,3268.8,1351.15,DATAPATTNS
2025-10-24,2811.8,2864.0,2785.2,2798.7,3268.8,1351.15,DATAPATTNS
2025-10-23,2843.0,2861.3,2785.0,2797.9,3268.8,1351.15,DATAPATTNS
2025-10-21,2804.0,2850.0,2801.0,2842.0,3268.8,1351.15,DATAPATTNS
2025-10-20,2820.0,2823.2,2758.7,2782.0,3268.8,1351.15,DATAPATTNS
2025-10-17,2730.0,2890.0,2725.0,2806.8,3268.8,1351.15,DATAPATTNS
2025-10-16,2707.0,2744.1,2685.0,2731.7,3268.8,1351.15,DATAPATTNS
2025-10-15,2769.9,2785.0,2689.5,2697.2,3268.8,1351.15,DATAPATTNS
2025-10-14,2728.0,2771.0,2720.4,2759.0,3268.8,1351.15,DATAPATTNS
2025-10-13,2775.1,2805.8,2708.0,2717.6,3268.8,1351.15,DATAPATTNS
2025-10-10,2824.9,2891.5,2784.6,2805.3,3268.8,1351.15,DATAPATTNS
2025-10-09,2786.7,2853.0,2760.8,2824.9,3268.8,1351.15,DATAPATTNS
2025-10-08,2822.0,2825.1,2771.6,2781.2,3268.8,1351.15,DATAPATTNS
2025-10-07,2841.7,2854.8,2782.6,2822.0,3268.8,1351.15,DATAPATTNS
2025-10-06,2839.0,2866.4,2806.4,2841.7,3268.8,1351.15,DATAPATTNS
2025-10-03,2644.1,2873.9,2632.0,2835.3,3268.8,1351.15,DATAPATTNS
2025-10-01,2559.9,2653.0,2533.4,2630.9,3268.8,1351.15,DATAPATTNS
2025-09-30,2560.4,2597.4,2504.0,2549.4,3268.8,1351.15,DATAPATTNS
2025-09-29,2669.6,2710.0,2510.0,2541.4,3268.8,1351.15,DATAPATTNS
2025-09-26,2765.0,2765.0,2631.5,2654.9,3268.8,1351.15,DATAPATTNS
2025-09-25,2742.0,2838.0,2730.1,2752.8,3268.8,1351.15,DATAPATTNS
2025-09-24,2770.0,2793.9,2722.6,2737.9,3268.8,1351.15,DATAPATTNS
2025-09-23,2814.2,2860.0,2764.7,2773.3,3268.8,1351.15,DATAPATTNS
2025-09-22,2860.2,2902.9,2800.0,2814.2,3268.8,1351.15,DATAPATTNS
2025-09-19,2828.9,2874.9,2803.5,2860.2,3268.8,1351.15,DATAPATTNS
2025-09-18,2892.5,2892.5,2820.2,2833.8,3268.8,1351.15,DATAPATTNS
2025-09-17,2770.0,2925.0,2765.8,2870.2,3268.8,1351.15,DATAPATTNS
2025-09-16,2730.0,2777.0,2686.0,2762.1,3268.8,1351.15,DATAPATTNS
2025-09-15,2750.0,2834.9,2685.1,2717.2,3268.8,1351.15,DATAPATTNS
2025-09-12,2592.0,2726.3,2551.1,2711.0,3268.8,1351.15,DATAPATTNS
2025-09-11,2573.9,2689.0,2565.3,2576.9,3268.8,1351.15,DATAPATTNS
2025-09-10,2566.1,2587.4,2538.2,2568.6,3268.8,1351.15,DATAPATTNS
2025-09-09,2539.0,2576.3,2537.2,2560.8,3268.8,1351.15,DATAPATTNS
2025-09-08,2476.8,2554.6,2470.9,2538.6,3268.8,1351.15,DATAPATTNS
2025-09-05,2454.0,2520.0,2415.2,2476.8,3268.8,1351.15,DATAPATTNS
2025-09-04,2588.0,2588.0,2430.1,2443.3,3268.8,1351.15,DATAPATTNS
2025-09-03,2545.5,2590.4,2527.9,2546.5,3268.8,1351.15,DATAPATTNS
2025-09-02,2530.0,2597.0,2490.9,2545.5,3268.8,1351.15,DATAPATTNS
2025-09-01,2407.0,2522.5,2407.0,2511.8,3268.8,1351.15,DATAPATTNS
2025-08-29,2430.0,2458.7,2376.0,2402.8,3268.8,1351.15,DATAPATTNS
2025-08-28,2493.9,2498.2,2417.0,2425.8,3268.8,1351.15,DATAPATTNS
2025-08-26,2552.1,2593.9,2488.0,2505.6,3268.8,1351.15,DATAPATTNS
2025-08-25,2639.0,2650.0,2548.7,2557.4,3268.8,1351.15,DATAPATTNS
2025-08-22,2598.0,2680.9,2560.1,2590.6,3268.8,1351.15,DATAPATTNS
2025-08-21,2560.3,2610.9,2538.1,2599.9,3268.8,1351.15,DATAPATTNS
2025-08-20,2552.1,2578.5,2505.6,2560.3,3268.8,1351.15,DATAPATTNS
2025-08-19,2598.0,2599.9,2531.0,2541.0,3268.8,1351.15,DATAPATTNS
2025-08-18,2561.8,2615.7,2543.1,2591.4,3268.8,1351.15,DATAPATTNS
2025-08-14,2510.0,2527.9,2501.6,2517.5,3268.8,1351.15,DATAPATTNS
2025-08-13,2537.1,2584.0,2500.0,2506.0,3268.8,1351.15,DATAPATTNS
2025-08-12,2515.0,2548.2,2480.6,2525.1,3268.8,1351.15,DATAPATTNS
2025-08-11,2372.2,2585.7,2372.2,2514.3,3268.8,1351.15,DATAPATTNS
2025-08-08,2400.0,2480.0,2351.0,2427.5,3268.8,1351.15,DATAPATTNS
2025-08-07,2590.0,2626.9,2542.1,2569.6,3268.8,1351.15,DATAPATTNS
2025-08-06,2686.0,2710.0,2585.0,2596.1,3268.8,1351.15,DATAPATTNS
2025-08-05,2725.0,2735.0,2630.0,2661.4,3268.8,1351.15,DATAPATTNS
2025-08-04,2540.1,2725.0,2525.7,2713.8,3268.8,1351.15,DATAPATTNS
2025-08-01,2640.0,2640.0,2541.4,2550.5,3303.2,1351.15,DATAPATTNS
2025-07-31,2530.0,2717.1,2520.0,2640.9,3373.2,1351.15,DATAPATTNS
2025-07-30,2600.0,2610.4,2550.1,2592.9,3410.95,1351.15,DATAPATTNS
2025-07-29,2558.1,2625.0,2529.8,2584.4,3440.95,1351.15,DATAPATTNS
2025-07-28,2670.1,2724.5,2558.0,2571.6,3440.95,1351.15,DATAPATTNS
2025-07-25,2780.7,2782.0,2670.9,2677.4,3440.95,1351.15,DATAPATTNS
2025-07-24,2788.0,2802.9,2753.7,2780.7,3440.95,1351.15,DATAPATTNS
2025-07-23,2818.5,2830.0,2746.5,2777.8,3440.95,1351.15,DATAPATTNS
2025-07-22,2728.2,2814.9,2726.2,2808.1,3440.95,1351.15,DATAPATTNS
2025-07-21,2750.7,2752.4,2627.1,2728.2,3440.95,1351.15,DATAPATTNS
2025-07-18,2881.9,2934.7,2735.8,2757.5,3440.95,1351.15,DATAPATTNS
2025-07-17,2895.0,2909.9,2880.0,2895.6,3440.95,1351.15,DATAPATTNS
2025-07-16,2870.0,2909.4,2848.0,2893.2,3487.0,1351.15,DATAPATTNS
2025-07-15,2862.7,2909.9,2852.0,2872.2,3487.0,1351.15,DATAPATTNS
2025-07-14,2854.1,2890.0,2811.0,2862.7,3487.0,1351.15,DATAPATTNS
2025-07-11,2959.9,2968.0,2835.7,2849.1,3487.0,1351.15,DATAPATTNS
2025-07-10,3030.0,3030.3,2921.2,2945.7,3525.0,1351.15,DATAPATTNS
2025-07-09,2980.0,3038.0,2975.4,3025.3,3655.0,1351.15,DATAPATTNS
2025-07-08,2962.9,2999.0,2921.0,2989.7,3655.0,1351.15,DATAPATTNS
2025-07-07,2972.0,2980.0,2916.5,2962.9,3655.0,1351.15,DATAPATTNS
2025-07-04,3000.0,3025.5,2971.6,2981.5,3655.0,1351.15,DATAPATTNS
2025-07-03,2960.0,3006.3,2931.0,2966.8,3655.0,1351.15,DATAPATTNS
2025-07-02,2936.9,2962.4,2913.0,2953.7,3655.0,1351.15,DATAPATTNS
2025-07-01,2900.0,2964.9,2895.0,2929.1,3655.0,1351.15,DATAPATTNS
2025-06-30,2856.6,2912.0,2839.7,2900.7,3655.0,1351.15,DATAPATTNS
2025-06-27,2873.5,2897.9,2805.0,2824.0,3655.0,1351.15,DATAPATTNS
2025-06-26,2804.9,2907.0,2804.9,2862.5,3655.0,1351.15,DATAPATTNS
2025-06-25,2935.0,2945.0,2775.0,2790.6,3655.0,1351.15,DATAPATTNS
2025-06-24,3054.9,3070.0,2922.0,2934.6,3655.0,1351.15,DATAPATTNS
