DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,249.9,255.6,247.0,250.15,449.9,201.35,DCI
2025-10-16,251.4,254.7,246.0,248.3,449.9,201.35,DCI
2025-10-15,247.8,255.45,240.55,247.7,449.9,201.35,DCI
2025-10-14,242.1,254.35,242.1,244.1,449.9,201.35,DCI
2025-10-13,240.5,249.9,235.8,243.95,449.9,201.35,DCI
2025-10-10,254.0,254.0,242.0,243.45,449.9,201.35,DCI
2025-10-09,250.15,250.2,245.9,245.95,449.9,201.35,DCI
2025-10-08,245.8,253.0,245.8,248.95,449.9,201.35,DCI
2025-10-07,259.5,259.5,245.65,246.8,449.9,201.35,DCI
2025-10-06,267.0,267.0,253.0,253.8,449.9,201.35,DCI
2025-10-03,258.9,267.7,255.2,262.15,449.9,201.35,DCI
2025-10-01,258.0,261.4,252.0,254.5,449.9,201.35,DCI
2025-09-30,265.1,272.6,256.0,256.97,449.9,201.35,DCI
2025-09-29,274.01,284.99,265.0,265.27,449.9,201.35,DCI
2025-09-26,283.99,285.9,275.01,277.49,449.9,201.35,DCI
2025-09-25,279.17,288.94,276.0,276.92,449.9,201.35,DCI
2025-09-24,292.37,292.37,276.1,279.64,449.9,201.35,DCI
2025-09-23,295.52,299.69,283.5,287.37,449.9,201.35,DCI
2025-09-22,287.2,304.0,282.62,293.05,449.9,201.35,DCI
2025-09-19,299.95,299.95,282.3,285.77,449.9,201.35,DCI
2025-09-18,282.64,314.67,282.18,296.2,449.9,201.35,DCI
2025-09-17,293.01,295.59,278.25,281.81,449.9,201.35,DCI
2025-09-16,308.0,320.9,290.05,296.46,449.9,201.35,DCI
2025-09-15,240.0,287.28,239.41,287.28,449.9,201.35,DCI
2025-09-12,242.95,249.8,238.0,239.4,449.9,201.35,DCI
2025-09-11,248.39,256.99,241.0,242.73,449.9,201.35,DCI
2025-09-10,253.95,255.07,245.01,246.21,449.9,201.35,DCI
2025-09-09,265.16,269.89,251.0,252.83,449.9,201.35,DCI
2025-09-08,274.76,284.89,262.01,263.28,449.9,201.35,DCI
2025-09-05,261.95,291.21,255.41,273.39,449.9,201.35,DCI
2025-09-04,258.3,262.89,253.41,258.71,449.9,201.35,DCI
2025-09-03,259.0,260.0,251.37,255.71,449.9,201.35,DCI
2025-09-02,262.2,263.59,247.11,252.35,449.9,201.35,DCI
2025-09-01,241.44,265.98,241.44,258.31,449.9,201.35,DCI
2025-08-29,249.99,252.99,240.0,241.45,449.9,201.35,DCI
2025-08-28,247.99,259.95,243.21,247.46,449.9,201.35,DCI
2025-08-26,245.99,250.99,234.02,246.78,449.9,201.35,DCI
2025-08-25,235.34,243.0,232.25,241.22,449.9,201.35,DCI
2025-08-22,235.49,237.76,230.71,234.17,449.9,201.35,DCI
2025-08-21,234.95,244.49,230.99,234.32,449.9,201.35,DCI
2025-08-20,233.98,234.5,230.0,231.95,449.9,201.35,DCI
2025-08-19,230.0,234.84,229.98,233.83,449.9,201.35,DCI
2025-08-18,232.73,240.0,228.0,230.08,449.9,201.35,DCI
2025-08-14,237.6,237.6,230.35,232.73,457.7,201.35,DCI
2025-08-13,234.1,240.01,230.2,235.8,457.7,201.35,DCI
2025-08-12,236.53,242.69,230.0,232.31,457.7,201.35,DCI
2025-08-11,244.0,248.84,235.0,236.53,457.7,201.35,DCI
2025-08-08,249.4,255.0,236.5,243.85,457.7,201.35,DCI
2025-08-07,244.94,250.27,230.45,244.18,457.7,201.35,DCI
2025-08-06,255.75,263.0,241.51,244.84,457.7,201.35,DCI
2025-08-05,237.0,263.63,237.0,254.47,457.7,201.35,DCI
2025-08-04,225.0,240.0,225.0,235.57,457.7,201.35,DCI
2025-08-01,212.0,258.36,212.0,221.9,457.7,201.35,DCI
2025-07-31,213.5,219.95,201.35,215.3,457.7,201.35,DCI
2025-07-30,240.0,240.0,212.5,219.2,457.7,212.5,DCI
2025-07-29,249.4,252.9,233.85,234.9,457.7,232.0,DCI
2025-07-28,255.0,258.95,241.55,245.85,457.7,232.0,DCI
2025-07-25,265.9,265.9,251.0,252.95,457.7,232.0,DCI
2025-07-24,269.9,269.9,257.6,258.95,457.7,232.0,DCI
2025-07-23,267.0,270.9,260.0,262.6,457.7,232.0,DCI
2025-07-22,273.5,273.5,254.45,258.9,457.7,232.0,DCI
2025-07-21,273.25,273.95,267.0,268.5,457.7,232.0,DCI
2025-07-18,273.0,277.0,270.6,273.25,457.7,232.0,DCI
2025-07-17,275.25,279.9,267.5,273.05,457.7,232.0,DCI
2025-07-16,275.8,283.9,270.35,272.55,457.7,232.0,DCI
2025-07-15,275.0,278.0,270.15,273.6,457.7,232.0,DCI
2025-07-14,278.9,278.9,269.6,271.05,457.7,232.0,DCI
2025-07-11,279.5,280.0,273.9,277.2,457.7,232.0,DCI
2025-07-10,275.6,280.0,271.3,274.5,457.7,232.0,DCI
2025-07-09,275.2,285.0,270.2,275.6,457.7,232.0,DCI
2025-07-08,275.0,279.95,267.0,269.75,457.7,232.0,DCI
2025-07-07,271.55,279.1,271.55,272.9,457.7,232.0,DCI
2025-07-04,283.9,283.9,271.55,275.35,457.7,230.0,DCI
