DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,163.02,163.02,151.6,153.06,226.43,145.0,DCMNVL
2025-10-21,152.5,169.4,151.0,164.71,226.43,145.0,DCMNVL
2025-10-20,163.76,163.76,145.0,150.85,226.43,145.0,DCMNVL
2025-10-17,162.33,162.81,160.0,160.04,230.0,145.0,DCMNVL
2025-10-16,162.23,163.02,160.02,160.32,230.0,145.0,DCMNVL
2025-10-15,161.89,162.0,160.0,160.14,230.0,145.0,DCMNVL
2025-10-14,161.04,163.6,159.93,160.01,230.0,145.0,DCMNVL
2025-10-13,161.76,164.38,159.98,160.25,230.0,145.0,DCMNVL
2025-10-10,159.58,162.47,159.58,160.42,230.0,145.0,DCMNVL
2025-10-09,162.0,163.0,159.0,159.58,230.0,145.0,DCMNVL
2025-10-08,159.87,161.8,157.55,158.21,230.0,145.0,DCMNVL
2025-10-07,157.1,160.58,157.1,158.02,230.0,145.0,DCMNVL
2025-10-06,154.3,162.95,154.3,160.36,230.0,145.0,DCMNVL
2025-10-03,154.0,156.95,154.0,155.64,230.0,145.0,DCMNVL
2025-10-01,155.0,156.7,152.0,155.97,230.0,145.0,DCMNVL
2025-09-30,160.98,162.8,148.8,151.33,230.0,145.0,DCMNVL
2025-09-29,166.95,166.95,155.0,155.62,230.0,145.0,DCMNVL
2025-09-26,165.66,167.46,162.69,164.51,230.0,145.0,DCMNVL
2025-09-25,164.0,165.94,164.0,164.0,230.0,145.0,DCMNVL
2025-09-24,165.71,166.44,164.0,164.0,230.0,145.0,DCMNVL
2025-09-23,166.65,168.0,162.95,164.03,230.0,145.0,DCMNVL
2025-09-22,163.63,169.5,162.78,164.83,230.0,145.0,DCMNVL
2025-09-19,166.05,166.05,163.5,163.63,230.0,145.0,DCMNVL
2025-09-18,169.0,169.79,165.63,166.19,230.0,145.0,DCMNVL
2025-09-17,162.0,168.0,160.57,166.47,230.0,145.0,DCMNVL
2025-09-16,157.29,162.39,154.98,160.29,230.0,145.0,DCMNVL
2025-09-15,158.43,158.63,155.0,155.56,230.0,145.0,DCMNVL
2025-09-12,160.0,160.0,156.63,156.99,230.0,145.0,DCMNVL
2025-09-11,160.96,163.0,157.65,158.57,230.0,145.0,DCMNVL
2025-09-10,163.0,164.01,155.9,159.49,230.0,145.0,DCMNVL
2025-09-09,164.23,166.96,160.4,161.29,230.0,145.0,DCMNVL
2025-09-08,163.05,168.69,163.0,163.41,230.0,145.0,DCMNVL
2025-09-05,164.64,164.64,162.1,163.74,241.79,145.0,DCMNVL
2025-09-04,173.82,173.82,161.3,163.78,241.79,145.0,DCMNVL
2025-09-03,164.56,167.0,161.99,163.13,241.79,145.0,DCMNVL
2025-09-02,164.3,167.5,161.11,162.37,241.79,145.0,DCMNVL
2025-09-01,163.57,166.48,163.3,163.89,241.79,145.0,DCMNVL
2025-08-29,162.93,166.11,160.41,162.88,241.85,145.0,DCMNVL
2025-08-28,167.51,167.68,160.3,163.0,241.85,145.0,DCMNVL
2025-08-26,166.08,167.01,164.0,164.16,241.85,145.0,DCMNVL
2025-08-25,169.09,172.71,161.1,166.08,241.85,145.0,DCMNVL
2025-08-22,171.2,174.79,170.6,170.85,241.85,145.0,DCMNVL
2025-08-21,172.35,176.58,170.6,171.12,241.85,145.0,DCMNVL
2025-08-20,170.0,175.51,167.85,170.64,241.85,145.0,DCMNVL
2025-08-19,171.87,176.9,167.78,173.27,241.85,145.0,DCMNVL
2025-08-18,168.62,174.59,168.1,169.66,241.85,145.0,DCMNVL
2025-08-14,166.65,173.15,166.65,169.24,241.85,145.0,DCMNVL
2025-08-13,172.0,180.5,169.05,174.95,241.85,145.0,DCMNVL
2025-08-12,179.4,179.4,170.05,171.1,241.85,145.0,DCMNVL
2025-08-11,174.84,179.9,172.0,175.57,241.85,145.0,DCMNVL
2025-08-08,175.11,181.79,174.0,174.62,241.85,145.0,DCMNVL
2025-08-07,182.0,182.0,175.1,177.21,241.85,145.0,DCMNVL
2025-08-06,185.0,187.79,176.8,178.63,241.85,145.0,DCMNVL
2025-08-05,187.83,190.79,182.75,183.64,241.85,145.0,DCMNVL
2025-08-04,190.0,197.99,185.0,186.67,241.85,145.0,DCMNVL
2025-08-01,184.0,203.8,178.2,187.25,264.85,145.0,DCMNVL
2025-07-31,185.01,185.01,180.37,181.66,264.85,145.0,DCMNVL
2025-07-30,184.51,189.13,183.25,184.82,264.85,145.0,DCMNVL
2025-07-29,176.0,185.45,176.0,184.28,264.85,145.0,DCMNVL
2025-07-28,186.85,189.7,179.0,180.42,264.85,145.0,DCMNVL
2025-07-25,197.0,197.0,184.05,184.87,264.85,145.0,DCMNVL
2025-07-24,193.49,195.88,186.25,193.22,264.85,145.0,DCMNVL
2025-07-23,193.0,199.0,190.6,192.18,264.85,145.0,DCMNVL
2025-07-22,197.55,202.0,192.2,195.15,264.85,145.0,DCMNVL
2025-07-21,189.0,202.0,182.4,197.55,264.85,145.0,DCMNVL
2025-07-18,183.75,187.85,182.0,185.0,264.85,145.0,DCMNVL
2025-07-17,183.0,191.5,181.0,187.27,264.85,145.0,DCMNVL
2025-07-16,183.5,187.5,182.23,185.18,264.85,145.0,DCMNVL
2025-07-15,181.0,184.8,180.98,183.83,264.85,145.0,DCMNVL
2025-07-14,186.86,188.0,180.1,181.12,264.85,145.0,DCMNVL
2025-07-11,190.9,190.9,181.0,184.19,288.0,145.0,DCMNVL
