DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1235.6,1246.8,1225.1,1236.4,1502.3,902.6,DCMSHRIRAM
2025-11-13,1242.7,1244.4,1227.1,1235.2,1502.3,902.6,DCMSHRIRAM
2025-11-12,1237.0,1245.0,1228.0,1236.2,1502.3,902.6,DCMSHRIRAM
2025-11-11,1242.0,1249.9,1228.0,1234.7,1502.3,902.6,DCMSHRIRAM
2025-11-10,1242.0,1262.0,1230.0,1246.3,1502.3,902.6,DCMSHRIRAM
2025-11-07,1225.0,1260.3,1215.1,1243.9,1502.3,902.6,DCMSHRIRAM
2025-11-06,1235.0,1245.3,1209.6,1230.0,1502.3,902.6,DCMSHRIRAM
2025-11-04,1280.9,1283.8,1240.2,1249.1,1502.3,902.6,DCMSHRIRAM
2025-11-03,1286.0,1291.4,1265.0,1277.2,1502.3,902.6,DCMSHRIRAM
2025-10-31,1322.9,1324.0,1275.0,1281.2,1502.3,902.6,DCMSHRIRAM
2025-10-30,1335.0,1340.6,1317.1,1325.9,1502.3,902.6,DCMSHRIRAM
2025-10-29,1347.0,1409.0,1311.1,1330.2,1502.3,902.6,DCMSHRIRAM
2025-10-28,1280.4,1304.9,1270.0,1302.3,1502.3,902.6,DCMSHRIRAM
2025-10-27,1231.1,1287.1,1213.6,1278.5,1502.3,902.6,DCMSHRIRAM
2025-10-24,1226.2,1249.1,1218.1,1224.7,1502.3,902.6,DCMSHRIRAM
2025-10-23,1244.8,1249.5,1217.1,1226.0,1502.3,902.6,DCMSHRIRAM
2025-10-21,1251.6,1254.5,1230.1,1242.6,1502.3,902.6,DCMSHRIRAM
2025-10-20,1248.0,1250.7,1221.5,1245.4,1502.3,902.6,DCMSHRIRAM
2025-10-17,1219.9,1243.5,1210.1,1234.4,1502.3,902.6,DCMSHRIRAM
2025-10-16,1219.2,1229.2,1190.1,1218.5,1502.3,902.6,DCMSHRIRAM
2025-10-15,1175.0,1216.1,1164.6,1201.8,1502.3,902.6,DCMSHRIRAM
2025-10-14,1179.0,1179.0,1156.0,1166.5,1502.3,902.6,DCMSHRIRAM
2025-10-13,1180.0,1190.5,1160.5,1167.1,1502.3,902.6,DCMSHRIRAM
2025-10-10,1191.2,1205.0,1190.0,1197.6,1502.3,902.6,DCMSHRIRAM
2025-10-09,1175.7,1197.9,1173.8,1191.2,1502.3,902.6,DCMSHRIRAM
2025-10-08,1190.1,1194.5,1170.0,1175.7,1502.3,902.6,DCMSHRIRAM
2025-10-07,1197.7,1201.8,1185.7,1190.1,1502.3,902.6,DCMSHRIRAM
2025-10-06,1190.0,1204.5,1185.1,1189.9,1502.3,902.6,DCMSHRIRAM
2025-10-03,1177.7,1199.5,1169.7,1195.9,1502.3,902.6,DCMSHRIRAM
2025-10-01,1152.0,1171.9,1147.5,1169.5,1502.3,902.6,DCMSHRIRAM
2025-09-30,1162.0,1164.5,1141.3,1147.9,1502.3,902.6,DCMSHRIRAM
2025-09-29,1158.3,1166.6,1143.0,1158.3,1502.3,902.6,DCMSHRIRAM
2025-09-26,1165.0,1165.7,1133.3,1153.6,1502.3,902.6,DCMSHRIRAM
2025-09-25,1191.0,1201.9,1162.9,1168.5,1502.3,902.6,DCMSHRIRAM
2025-09-24,1207.0,1223.4,1185.3,1191.0,1502.3,902.6,DCMSHRIRAM
2025-09-23,1237.8,1252.0,1205.1,1210.9,1502.3,902.6,DCMSHRIRAM
2025-09-22,1255.3,1261.8,1230.1,1235.2,1502.3,902.6,DCMSHRIRAM
2025-09-19,1309.0,1313.0,1251.0,1255.3,1502.3,902.6,DCMSHRIRAM
2025-09-18,1328.1,1359.0,1310.0,1313.9,1502.3,902.6,DCMSHRIRAM
2025-09-17,1225.0,1414.4,1219.3,1379.7,1502.3,902.6,DCMSHRIRAM
2025-09-16,1215.0,1231.8,1212.5,1225.4,1502.3,902.6,DCMSHRIRAM
2025-09-15,1222.0,1234.5,1214.8,1217.8,1502.3,902.6,DCMSHRIRAM
2025-09-12,1236.0,1243.0,1222.0,1225.5,1502.3,902.6,DCMSHRIRAM
2025-09-11,1235.1,1259.0,1228.4,1235.0,1502.3,902.6,DCMSHRIRAM
2025-09-10,1243.0,1248.0,1225.5,1235.1,1502.3,902.6,DCMSHRIRAM
2025-09-09,1252.0,1254.0,1232.0,1236.6,1502.3,902.6,DCMSHRIRAM
2025-09-08,1243.9,1250.0,1234.1,1245.0,1502.3,902.6,DCMSHRIRAM
2025-09-05,1250.0,1250.0,1234.9,1243.4,1502.3,902.6,DCMSHRIRAM
2025-09-04,1250.0,1252.0,1231.0,1250.0,1502.3,902.6,DCMSHRIRAM
2025-09-03,1260.0,1263.2,1230.0,1240.2,1502.3,902.6,DCMSHRIRAM
2025-09-02,1220.0,1260.0,1220.0,1241.2,1502.3,902.6,DCMSHRIRAM
2025-09-01,1241.1,1250.0,1212.7,1223.0,1502.3,902.6,DCMSHRIRAM
2025-08-29,1238.0,1251.2,1226.0,1241.1,1502.3,902.6,DCMSHRIRAM
2025-08-28,1251.5,1255.2,1219.1,1237.8,1502.3,902.6,DCMSHRIRAM
2025-08-26,1241.5,1259.0,1225.0,1242.7,1502.3,902.6,DCMSHRIRAM
2025-08-25,1265.0,1272.0,1240.0,1241.5,1502.3,902.6,DCMSHRIRAM
2025-08-22,1270.5,1289.9,1260.7,1265.2,1502.3,902.6,DCMSHRIRAM
2025-08-21,1266.1,1304.9,1260.9,1263.6,1502.3,902.6,DCMSHRIRAM
2025-08-20,1265.0,1277.1,1247.7,1266.1,1502.3,902.6,DCMSHRIRAM
2025-08-19,1279.0,1286.0,1259.0,1264.8,1502.3,902.6,DCMSHRIRAM
2025-08-18,1285.0,1305.8,1261.9,1269.8,1502.3,902.6,DCMSHRIRAM
2025-08-14,1332.7,1342.4,1273.2,1282.9,1502.3,902.6,DCMSHRIRAM
2025-08-13,1340.0,1340.1,1324.0,1333.0,1502.3,902.6,DCMSHRIRAM
2025-08-12,1363.8,1374.0,1312.3,1343.6,1502.3,902.6,DCMSHRIRAM
2025-08-11,1352.3,1377.9,1321.4,1367.3,1502.3,902.6,DCMSHRIRAM
2025-08-08,1350.0,1368.0,1325.0,1352.3,1502.3,902.6,DCMSHRIRAM
2025-08-07,1377.5,1377.5,1311.2,1344.3,1502.3,902.6,DCMSHRIRAM
2025-08-06,1376.0,1396.2,1362.0,1377.6,1502.3,902.6,DCMSHRIRAM
2025-08-05,1387.0,1399.0,1361.0,1382.6,1502.3,902.6,DCMSHRIRAM
2025-08-04,1386.0,1391.8,1362.3,1377.0,1502.3,902.6,DCMSHRIRAM
2025-08-01,1437.5,1439.5,1366.9,1374.3,1502.3,902.6,DCMSHRIRAM
2025-07-31,1400.0,1460.0,1400.0,1429.6,1502.3,902.6,DCMSHRIRAM
2025-07-30,1426.2,1442.0,1399.0,1424.5,1502.3,902.6,DCMSHRIRAM
2025-07-29,1385.9,1433.5,1348.1,1422.2,1502.3,902.6,DCMSHRIRAM
2025-07-28,1391.4,1414.9,1366.1,1385.9,1502.3,902.6,DCMSHRIRAM
2025-07-25,1430.1,1430.1,1375.0,1397.5,1502.3,902.6,DCMSHRIRAM
2025-07-24,1443.9,1502.3,1420.5,1430.3,1502.3,902.6,DCMSHRIRAM
2025-07-23,1398.0,1455.9,1383.6,1442.1,1474.9,902.6,DCMSHRIRAM
2025-07-22,1379.0,1427.4,1357.0,1398.4,1474.9,902.6,DCMSHRIRAM
2025-07-21,1410.2,1424.5,1382.0,1388.6,1474.9,902.6,DCMSHRIRAM
2025-07-18,1413.0,1414.6,1385.1,1408.2,1474.9,902.6,DCMSHRIRAM
2025-07-17,1415.0,1446.5,1399.0,1406.3,1474.9,902.6,DCMSHRIRAM
2025-07-16,1410.5,1431.3,1397.6,1410.0,1474.9,902.6,DCMSHRIRAM
2025-07-15,1361.0,1437.0,1361.0,1402.4,1474.9,902.6,DCMSHRIRAM
2025-07-14,1355.3,1375.0,1343.9,1365.1,1474.9,902.6,DCMSHRIRAM
2025-07-11,1363.3,1370.0,1324.6,1350.2,1474.9,902.6,DCMSHRIRAM
2025-07-10,1406.0,1417.0,1350.5,1356.8,1474.9,902.6,DCMSHRIRAM
2025-07-09,1406.0,1429.7,1384.3,1401.2,1474.9,902.6,DCMSHRIRAM
2025-07-08,1370.1,1430.0,1361.8,1406.1,1474.9,902.6,DCMSHRIRAM
