DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,235.0,235.0,229.05,229.67,393.0,200.1,DCXINDIA
2025-10-21,227.7,232.2,227.51,230.81,393.0,200.1,DCXINDIA
2025-10-20,231.0,231.24,219.62,226.46,393.0,200.1,DCXINDIA
2025-10-17,233.0,234.74,228.48,229.85,393.0,200.1,DCXINDIA
2025-10-16,235.0,236.3,232.27,232.82,393.0,200.1,DCXINDIA
2025-10-15,232.38,236.9,230.46,234.36,393.0,200.1,DCXINDIA
2025-10-14,238.4,239.48,230.51,231.43,393.0,200.1,DCXINDIA
2025-10-13,241.1,241.14,237.6,238.05,393.0,200.1,DCXINDIA
2025-10-10,243.0,246.0,241.14,242.36,393.0,200.1,DCXINDIA
2025-10-09,245.9,245.9,240.45,242.34,393.0,200.1,DCXINDIA
2025-10-08,246.7,247.92,243.0,246.02,393.0,200.1,DCXINDIA
2025-10-07,247.3,248.38,245.2,246.72,393.0,200.1,DCXINDIA
2025-10-06,250.1,252.01,245.18,246.58,393.0,200.1,DCXINDIA
2025-10-03,243.16,250.0,242.45,248.19,393.0,200.1,DCXINDIA
2025-10-01,245.0,246.0,240.46,243.14,393.0,200.1,DCXINDIA
2025-09-30,246.35,253.4,237.3,242.05,393.0,200.1,DCXINDIA
2025-09-29,258.0,259.8,235.0,237.3,393.0,200.1,DCXINDIA
2025-09-26,262.6,262.6,255.55,257.0,393.0,200.1,DCXINDIA
2025-09-25,265.9,267.9,262.35,262.95,393.0,200.1,DCXINDIA
2025-09-24,268.9,270.45,265.0,265.9,393.0,200.1,DCXINDIA
2025-09-23,273.0,274.4,268.0,269.2,393.0,200.1,DCXINDIA
2025-09-22,279.3,281.0,271.25,272.8,393.0,200.1,DCXINDIA
2025-09-19,275.0,283.4,273.9,279.3,393.0,200.1,DCXINDIA
2025-09-18,277.05,278.4,272.0,274.1,393.0,200.1,DCXINDIA
2025-09-17,277.0,284.9,275.15,276.35,393.0,200.1,DCXINDIA
2025-09-16,278.7,279.55,274.0,275.2,393.0,200.1,DCXINDIA
2025-09-15,280.0,286.0,276.05,277.35,393.0,200.1,DCXINDIA
2025-09-12,273.7,279.0,269.05,275.55,393.0,200.1,DCXINDIA
2025-09-11,264.55,269.5,264.1,268.75,393.0,200.1,DCXINDIA
2025-09-10,262.8,267.0,262.7,264.5,393.0,200.1,DCXINDIA
2025-09-09,263.0,266.5,262.15,262.8,393.0,200.1,DCXINDIA
2025-09-08,269.25,271.95,263.85,265.35,393.0,200.1,DCXINDIA
2025-09-05,266.0,269.8,261.15,268.2,393.0,200.1,DCXINDIA
2025-09-04,272.8,274.55,265.65,266.2,393.0,200.1,DCXINDIA
2025-09-03,269.05,272.9,266.2,271.7,393.0,200.1,DCXINDIA
2025-09-02,268.65,271.0,265.2,268.25,393.0,200.1,DCXINDIA
2025-09-01,263.95,269.0,259.5,266.55,393.0,200.1,DCXINDIA
2025-08-29,260.75,267.7,258.5,262.0,393.0,200.1,DCXINDIA
2025-08-28,255.0,263.5,255.0,260.15,393.0,200.1,DCXINDIA
2025-08-26,266.0,266.15,256.15,257.35,393.0,200.1,DCXINDIA
2025-08-25,269.5,269.5,262.95,266.25,393.0,200.1,DCXINDIA
2025-08-22,270.05,285.8,264.05,267.05,393.0,200.1,DCXINDIA
2025-08-21,248.65,255.0,247.65,249.35,393.0,200.1,DCXINDIA
2025-08-20,248.55,253.2,246.2,246.7,393.0,200.1,DCXINDIA
2025-08-19,247.55,249.9,245.45,248.55,393.0,200.1,DCXINDIA
2025-08-18,247.95,251.65,245.0,247.1,393.0,200.1,DCXINDIA
2025-08-14,248.0,250.0,242.35,244.45,393.0,200.1,DCXINDIA
2025-08-13,252.9,252.9,246.0,247.15,393.0,200.1,DCXINDIA
2025-08-12,249.5,254.2,248.0,250.9,393.0,200.1,DCXINDIA
2025-08-11,256.0,256.5,246.4,248.5,393.0,200.1,DCXINDIA
2025-08-08,268.3,269.1,255.4,256.75,393.0,200.1,DCXINDIA
2025-08-07,261.9,269.9,258.05,268.3,393.0,200.1,DCXINDIA
2025-08-06,265.65,267.6,259.5,261.65,393.0,200.1,DCXINDIA
2025-08-05,268.0,268.7,263.5,265.5,393.0,200.1,DCXINDIA
2025-08-04,259.8,269.0,256.6,267.6,393.0,200.1,DCXINDIA
2025-08-01,263.85,263.85,255.15,256.5,397.75,200.1,DCXINDIA
2025-07-31,262.0,267.0,259.3,262.0,397.75,200.1,DCXINDIA
2025-07-30,269.3,272.2,266.0,268.1,397.75,200.1,DCXINDIA
2025-07-29,255.0,265.2,253.1,264.3,397.75,200.1,DCXINDIA
2025-07-28,265.15,266.05,251.55,255.45,397.75,200.1,DCXINDIA
2025-07-25,267.4,268.45,263.0,265.15,398.9,200.1,DCXINDIA
2025-07-24,272.45,274.45,269.05,269.85,398.9,200.1,DCXINDIA
2025-07-23,276.55,277.0,270.1,271.65,398.9,200.1,DCXINDIA
2025-07-22,282.85,282.85,275.45,276.45,398.9,200.1,DCXINDIA
2025-07-21,270.9,282.85,268.65,281.25,398.9,200.1,DCXINDIA
2025-07-18,273.1,276.2,270.25,272.1,438.0,200.1,DCXINDIA
2025-07-17,275.0,276.75,272.0,273.1,438.0,200.1,DCXINDIA
2025-07-16,275.0,278.0,273.2,273.95,438.0,200.1,DCXINDIA
2025-07-15,275.95,278.9,273.7,274.85,438.0,200.1,DCXINDIA
2025-07-14,276.25,278.45,273.85,275.75,438.0,200.1,DCXINDIA
2025-07-11,277.35,283.0,277.0,278.65,445.45,200.1,DCXINDIA
2025-07-10,280.6,283.15,276.6,278.05,445.45,200.1,DCXINDIA
2025-07-09,290.95,291.5,279.0,279.9,445.45,200.1,DCXINDIA
2025-07-08,295.8,297.5,286.15,291.05,445.45,200.1,DCXINDIA
2025-07-07,291.0,297.8,290.1,294.25,445.45,200.1,DCXINDIA
2025-07-04,278.65,288.0,278.5,284.75,451.9,200.1,DCXINDIA
2025-07-03,279.65,281.45,275.9,276.5,451.9,200.1,DCXINDIA
2025-07-02,281.35,285.0,278.35,279.8,451.9,200.1,DCXINDIA
2025-07-01,276.3,284.4,276.3,281.0,451.9,200.1,DCXINDIA
2025-06-30,275.6,281.05,272.5,275.2,451.9,200.1,DCXINDIA
2025-06-27,280.0,282.6,271.4,273.45,451.9,200.1,DCXINDIA
2025-06-26,292.0,294.5,271.25,276.1,451.9,200.1,DCXINDIA
2025-06-25,292.6,295.95,286.6,288.0,451.9,200.1,DCXINDIA
2025-06-24,300.95,300.95,290.6,291.85,451.9,200.1,DCXINDIA
2025-06-23,294.0,302.7,292.0,296.9,451.9,200.1,DCXINDIA
2025-06-20,297.6,299.65,292.0,294.05,451.9,200.1,DCXINDIA
2025-06-19,294.0,310.95,293.0,296.2,451.9,200.1,DCXINDIA
2025-06-18,298.5,302.0,290.8,291.95,451.9,200.1,DCXINDIA
2025-06-17,298.95,304.9,292.8,295.95,451.9,200.1,DCXINDIA
2025-06-16,297.0,299.35,286.2,296.8,451.9,200.1,DCXINDIA
2025-06-13,285.1,302.0,285.1,295.75,451.9,200.1,DCXINDIA
2025-06-12,298.0,301.25,289.2,290.95,451.9,200.1,DCXINDIA
2025-06-11,315.2,315.45,296.0,297.35,451.9,200.1,DCXINDIA
2025-06-10,311.9,318.2,311.35,314.55,451.9,200.1,DCXINDIA
2025-06-09,315.5,317.2,309.0,309.45,451.9,200.1,DCXINDIA
2025-06-06,327.4,327.9,312.65,313.75,451.9,200.1,DCXINDIA
2025-06-05,309.6,329.0,308.85,326.5,451.9,200.1,DCXINDIA
2025-06-04,312.7,320.5,305.6,308.65,451.9,200.1,DCXINDIA
2025-06-03,306.6,318.0,306.6,310.25,451.9,200.1,DCXINDIA
2025-06-02,305.0,311.45,302.75,306.6,451.9,200.1,DCXINDIA
2025-05-30,315.8,317.65,305.0,305.9,451.9,200.1,DCXINDIA
2025-05-29,311.0,322.5,311.0,314.8,451.9,200.1,DCXINDIA
2025-05-28,315.0,319.95,307.6,313.1,451.9,200.1,DCXINDIA
2025-05-27,332.0,339.3,330.15,336.15,451.9,200.1,DCXINDIA
2025-05-26,326.75,334.6,325.55,330.4,451.9,200.1,DCXINDIA
2025-05-23,332.5,334.45,323.55,326.75,451.9,200.1,DCXINDIA
2025-05-22,334.8,341.4,329.0,331.95,451.9,200.1,DCXINDIA
2025-05-21,333.0,341.6,329.0,336.2,451.9,200.1,DCXINDIA
2025-05-20,349.9,350.8,331.3,333.0,451.9,200.1,DCXINDIA
2025-05-19,354.65,363.75,342.5,348.35,451.9,200.1,DCXINDIA
2025-05-16,330.6,355.0,326.9,347.7,451.9,200.1,DCXINDIA
2025-05-15,331.05,335.0,324.35,329.45,451.9,200.1,DCXINDIA
