DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-24,79.7,79.81,77.87,78.47,131.45,76.66,DELTACORP
2025-10-23,79.42,79.8,78.6,78.9,131.45,76.66,DELTACORP
2025-10-21,80.0,80.11,78.75,79.37,131.45,76.66,DELTACORP
2025-10-20,79.19,79.79,78.5,78.75,131.45,76.66,DELTACORP
2025-10-17,79.95,80.04,78.5,79.18,131.45,76.66,DELTACORP
2025-10-16,79.67,80.21,78.92,79.85,131.45,76.66,DELTACORP
2025-10-15,80.4,80.5,79.67,79.91,131.45,76.66,DELTACORP
2025-10-14,79.96,80.69,78.96,80.22,131.45,76.66,DELTACORP
2025-10-13,79.33,79.97,79.04,79.6,131.45,76.66,DELTACORP
2025-10-10,79.03,80.23,78.8,79.33,131.45,76.66,DELTACORP
2025-10-09,79.0,79.6,78.7,79.03,131.45,76.66,DELTACORP
2025-10-08,79.98,80.43,78.88,79.16,131.45,76.66,DELTACORP
2025-10-07,80.57,80.71,79.65,79.93,131.45,76.66,DELTACORP
2025-10-06,81.91,81.91,80.33,80.57,131.45,76.66,DELTACORP
2025-10-03,79.05,84.9,79.02,81.91,131.6,76.66,DELTACORP
2025-10-01,78.8,79.6,78.0,79.04,131.6,76.66,DELTACORP
2025-09-30,77.58,78.38,77.51,78.04,131.6,76.66,DELTACORP
2025-09-29,80.36,80.36,77.31,77.58,131.6,76.66,DELTACORP
2025-09-26,82.65,82.65,80.03,80.36,142.18,76.66,DELTACORP
2025-09-25,82.0,84.0,81.75,82.15,142.18,76.66,DELTACORP
2025-09-24,83.24,83.79,81.6,81.84,142.18,76.66,DELTACORP
2025-09-23,84.0,84.19,83.05,83.2,142.18,76.66,DELTACORP
2025-09-22,84.8,84.97,83.58,83.92,142.18,76.66,DELTACORP
2025-09-19,83.97,85.36,83.6,84.61,142.18,76.66,DELTACORP
2025-09-18,83.55,84.38,82.45,83.79,142.18,76.66,DELTACORP
2025-09-17,84.06,84.25,83.03,83.49,142.18,76.66,DELTACORP
2025-09-16,83.2,84.3,82.75,83.39,142.18,76.66,DELTACORP
2025-09-15,82.3,83.6,82.0,82.77,142.18,76.66,DELTACORP
2025-09-12,83.45,83.5,81.7,81.9,142.18,76.66,DELTACORP
2025-09-11,83.98,84.6,82.71,82.88,142.18,76.66,DELTACORP
2025-09-10,84.5,85.0,83.04,83.34,142.18,76.66,DELTACORP
2025-09-09,85.3,85.3,83.52,84.23,142.18,76.66,DELTACORP
2025-09-08,85.85,86.61,84.35,84.52,142.18,76.66,DELTACORP
2025-09-05,86.7,88.44,84.5,84.91,142.18,76.66,DELTACORP
2025-09-04,94.35,94.68,86.3,87.28,142.18,76.66,DELTACORP
2025-09-03,84.52,97.18,84.52,95.22,142.18,76.66,DELTACORP
2025-09-02,83.66,86.2,83.66,84.37,142.18,76.66,DELTACORP
2025-09-01,84.0,85.38,83.26,83.66,142.18,76.66,DELTACORP
2025-08-29,85.86,87.54,84.24,84.86,142.18,76.66,DELTACORP
2025-08-28,86.16,90.91,85.35,87.99,142.18,76.66,DELTACORP
2025-08-26,85.27,87.3,83.6,86.22,142.18,76.66,DELTACORP
2025-08-25,88.0,88.24,84.98,85.27,142.18,76.66,DELTACORP
2025-08-22,90.6,91.79,87.5,88.0,142.18,76.66,DELTACORP
2025-08-21,93.5,94.6,90.6,91.16,142.18,76.66,DELTACORP
2025-08-20,89.99,98.8,86.61,93.9,142.18,76.66,DELTACORP
2025-08-19,83.63,96.0,82.84,92.88,142.18,76.66,DELTACORP
2025-08-18,84.36,85.21,83.3,83.5,142.18,76.66,DELTACORP
2025-08-14,85.25,85.9,84.8,85.21,142.18,76.66,DELTACORP
2025-08-13,84.8,85.59,84.12,85.18,142.18,76.66,DELTACORP
2025-08-12,82.05,84.99,81.55,84.11,142.18,76.66,DELTACORP
2025-08-11,82.9,83.36,81.6,82.02,142.18,76.66,DELTACORP
2025-08-08,83.3,83.49,81.99,82.86,142.18,76.66,DELTACORP
2025-08-07,82.5,84.99,81.38,83.3,142.18,76.66,DELTACORP
2025-08-06,84.5,85.18,82.47,82.73,142.18,76.66,DELTACORP
2025-08-05,86.5,87.97,82.0,83.83,142.18,76.66,DELTACORP
2025-08-04,84.1,88.0,83.72,85.86,142.18,76.66,DELTACORP
2025-08-01,85.44,86.31,83.7,83.97,142.18,76.66,DELTACORP
2025-07-31,85.0,86.66,84.9,85.52,142.18,76.66,DELTACORP
2025-07-30,86.72,88.4,84.81,85.0,142.18,76.66,DELTACORP
2025-07-29,87.11,87.48,85.8,86.63,142.18,76.66,DELTACORP
2025-07-28,89.15,89.8,87.0,87.22,142.18,76.66,DELTACORP
2025-07-25,89.04,94.69,87.85,88.61,142.18,76.66,DELTACORP
2025-07-24,89.8,90.5,88.85,89.04,142.18,76.66,DELTACORP
2025-07-23,89.45,90.9,88.3,89.8,142.18,76.66,DELTACORP
2025-07-22,89.95,90.5,89.11,89.44,142.18,76.66,DELTACORP
2025-07-21,90.28,91.21,89.81,89.93,142.18,76.66,DELTACORP
2025-07-18,90.51,90.74,88.76,90.19,147.0,76.66,DELTACORP
2025-07-17,91.5,91.5,89.85,90.51,147.0,76.66,DELTACORP
2025-07-16,91.65,92.0,90.55,91.12,147.0,76.66,DELTACORP
2025-07-15,89.99,92.7,89.49,91.17,147.0,76.66,DELTACORP
2025-07-14,90.0,90.1,88.5,88.99,147.0,76.66,DELTACORP
2025-07-11,91.0,91.5,89.46,89.77,149.28,76.66,DELTACORP
2025-07-10,88.8,91.79,88.54,91.01,149.28,76.66,DELTACORP
2025-07-09,90.5,90.5,88.19,88.34,149.28,76.66,DELTACORP
2025-07-08,90.13,90.9,88.9,89.61,149.28,76.66,DELTACORP
2025-07-07,90.88,91.25,89.5,90.07,149.28,76.66,DELTACORP
2025-07-04,89.79,90.79,89.64,90.4,149.28,76.66,DELTACORP
2025-07-03,90.0,90.85,89.6,89.79,149.28,76.66,DELTACORP
2025-07-02,91.43,91.48,89.77,90.09,149.28,76.66,DELTACORP
2025-07-01,90.35,91.49,90.35,91.05,149.28,76.66,DELTACORP
2025-06-30,89.8,91.11,89.78,90.34,149.28,76.66,DELTACORP
2025-06-27,90.05,90.9,89.4,89.78,149.28,76.66,DELTACORP
2025-06-26,89.99,92.24,89.64,90.05,149.28,76.66,DELTACORP
2025-06-25,89.8,90.63,87.86,89.98,149.28,76.66,DELTACORP
2025-06-24,88.0,89.46,88.0,88.83,149.28,76.66,DELTACORP
2025-06-23,86.56,87.66,86.56,86.95,149.28,76.66,DELTACORP
2025-06-20,86.54,88.51,86.53,87.56,154.9,76.66,DELTACORP
2025-06-19,88.36,88.97,86.5,86.72,154.9,76.66,DELTACORP
2025-06-18,89.57,90.19,88.12,88.36,154.9,76.66,DELTACORP
2025-06-17,90.5,91.75,89.47,89.62,154.9,76.66,DELTACORP
2025-06-16,91.28,91.66,89.61,90.55,154.9,76.66,DELTACORP
2025-06-13,92.0,92.17,90.22,90.99,154.9,76.66,DELTACORP
2025-06-12,94.82,94.9,91.55,92.01,154.9,76.66,DELTACORP
2025-06-11,92.49,96.0,92.29,94.53,154.9,76.66,DELTACORP
2025-06-10,92.49,93.48,91.86,91.98,154.9,76.66,DELTACORP
2025-06-09,92.0,93.0,91.21,91.81,154.9,76.66,DELTACORP
2025-06-06,90.92,92.95,90.36,90.84,154.9,76.66,DELTACORP
