DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-02-20,72.0,73.59,69.01,70.05,136.04,63.5,DELTAMAGNT
2025-02-19,64.66,73.89,64.6,70.08,136.04,63.5,DELTAMAGNT
2025-02-18,69.06,70.16,63.5,65.63,136.04,63.5,DELTAMAGNT
2025-02-17,74.59,74.76,68.7,69.06,136.04,68.7,DELTAMAGNT
2025-02-14,78.18,78.89,74.0,74.76,136.04,74.0,DELTAMAGNT
2025-02-13,81.0,81.89,76.65,78.18,136.04,76.02,DELTAMAGNT
2025-02-12,88.69,88.69,76.02,77.24,136.04,76.02,DELTAMAGNT
2025-02-11,94.46,94.6,85.0,87.65,136.04,83.11,DELTAMAGNT
2025-02-10,90.3,95.49,90.3,93.44,136.04,83.11,DELTAMAGNT
2025-02-07,94.2,95.21,91.35,93.12,136.04,83.11,DELTAMAGNT
2025-02-06,96.6,96.6,93.22,93.75,136.04,83.11,DELTAMAGNT
2025-02-05,97.48,98.74,94.02,94.69,136.04,83.11,DELTAMAGNT
2025-02-04,99.14,99.14,96.32,96.39,136.04,83.11,DELTAMAGNT
2025-02-03,98.07,99.59,94.1,97.72,136.04,83.11,DELTAMAGNT
2025-02-01,98.96,99.89,96.0,98.07,136.04,83.11,DELTAMAGNT
2025-01-31,97.46,98.69,93.51,96.31,136.04,83.11,DELTAMAGNT
2025-01-30,98.03,100.9,95.47,96.0,136.04,83.11,DELTAMAGNT
2025-01-29,101.99,101.99,97.82,99.05,136.04,83.11,DELTAMAGNT
2025-01-28,97.3,101.03,93.86,98.19,136.04,83.11,DELTAMAGNT
2025-01-27,100.8,100.8,96.65,97.43,136.04,83.11,DELTAMAGNT
2025-01-24,103.69,103.69,98.6,100.37,136.04,83.11,DELTAMAGNT
2025-01-23,100.09,107.89,100.09,101.75,136.04,83.11,DELTAMAGNT
2025-01-22,105.33,105.33,98.77,101.15,136.04,83.11,DELTAMAGNT
2025-01-21,111.0,111.0,104.36,104.64,136.04,83.11,DELTAMAGNT
2025-01-20,103.29,105.79,102.5,104.65,136.04,83.11,DELTAMAGNT
2025-01-17,103.45,104.62,99.01,103.28,136.04,83.11,DELTAMAGNT
2025-01-16,105.7,107.39,97.35,101.18,136.04,83.11,DELTAMAGNT
2025-01-15,105.31,109.18,103.55,104.12,136.04,83.11,DELTAMAGNT
2025-01-14,100.41,105.9,99.51,103.64,136.04,83.11,DELTAMAGNT
2025-01-13,101.11,103.81,98.37,98.8,136.04,83.11,DELTAMAGNT
2025-01-10,108.35,108.51,101.35,103.11,136.04,83.11,DELTAMAGNT
2025-01-09,108.95,110.03,106.11,107.2,136.04,83.11,DELTAMAGNT
2025-01-08,115.0,115.0,107.02,107.99,136.04,83.11,DELTAMAGNT
2025-01-07,104.88,115.79,104.2,111.74,136.04,83.11,DELTAMAGNT
2025-01-06,113.4,113.4,102.0,103.56,136.04,83.11,DELTAMAGNT
2025-01-03,118.9,118.9,110.0,111.94,136.04,83.11,DELTAMAGNT
2025-01-02,112.84,119.67,110.61,115.05,136.04,83.11,DELTAMAGNT
2025-01-01,108.19,118.0,107.81,114.54,136.04,83.11,DELTAMAGNT
2024-12-31,107.64,121.69,101.11,108.37,136.04,83.11,DELTAMAGNT
2024-12-30,107.5,107.5,104.21,106.14,136.04,83.11,DELTAMAGNT
