DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,790.0,815.0,772.6,778.45,2025.0,676.0,DENORA
2025-04-25,831.0,836.2,787.7,794.9,2025.0,676.0,DENORA
2025-04-24,834.0,855.55,826.05,830.8,2025.0,676.0,DENORA
2025-04-23,850.05,868.0,830.0,838.3,2025.0,676.0,DENORA
2025-04-22,858.2,877.0,830.1,859.5,2025.0,676.0,DENORA
2025-04-21,826.65,870.0,809.95,845.5,2025.0,676.0,DENORA
2025-04-17,835.0,835.0,813.5,826.65,2025.0,676.0,DENORA
2025-04-16,772.45,839.8,772.45,823.05,2025.0,676.0,DENORA
2025-04-15,747.2,797.5,747.0,772.45,2025.0,676.0,DENORA
2025-04-11,750.0,750.0,732.0,739.7,2025.0,676.0,DENORA
2025-04-09,728.0,730.45,713.55,722.6,2025.0,676.0,DENORA
2025-04-08,738.9,738.9,714.1,731.4,2025.0,676.0,DENORA
2025-04-07,686.0,732.0,686.0,713.85,2025.0,676.0,DENORA
2025-04-04,779.05,779.05,735.25,746.95,2025.0,676.0,DENORA
2025-04-03,753.55,780.0,740.8,777.1,2025.0,676.0,DENORA
2025-04-02,738.0,759.85,710.95,752.6,2025.0,676.0,DENORA
2025-04-01,686.45,754.9,685.85,739.1,2025.0,676.0,DENORA
2025-03-28,719.45,756.95,676.0,686.4,2025.0,676.0,DENORA
2025-03-27,723.0,736.0,706.1,719.45,2025.0,688.0,DENORA
2025-03-26,737.0,763.2,718.0,725.05,2025.0,688.0,DENORA
2025-03-25,776.0,785.0,731.0,737.0,2025.0,688.0,DENORA
2025-03-24,781.95,794.95,769.75,772.25,2025.0,688.0,DENORA
2025-03-21,749.7,789.0,749.4,774.8,2025.0,688.0,DENORA
2025-03-20,747.85,775.05,737.45,754.95,2025.0,688.0,DENORA
2025-03-19,730.0,772.2,730.0,746.0,2025.0,688.0,DENORA
2025-03-18,712.0,755.95,712.0,736.55,2025.0,688.0,DENORA
2025-03-17,710.0,729.95,707.0,711.85,2025.0,688.0,DENORA
2025-03-13,712.8,735.75,701.0,713.95,2025.0,688.0,DENORA
