DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1.9,1.97,1.8,1.89,7.71,1.67,DIL
2025-11-13,1.95,1.97,1.7,1.9,7.71,1.67,DIL
2025-11-12,1.94,1.94,1.88,1.91,7.71,1.67,DIL
2025-11-11,1.95,1.95,1.88,1.9,7.71,1.67,DIL
2025-11-10,1.95,1.95,1.86,1.9,7.71,1.67,DIL
2025-11-07,1.96,1.98,1.85,1.93,7.71,1.67,DIL
2025-11-06,2.0,2.0,1.95,1.96,7.71,1.67,DIL
2025-11-04,2.02,2.02,1.67,1.95,7.71,1.67,DIL
2025-11-03,1.99,2.03,1.96,2.0,7.71,1.8,DIL
2025-10-31,2.01,2.01,1.97,1.99,7.71,1.8,DIL
2025-10-30,2.02,2.02,1.94,1.99,7.71,1.8,DIL
2025-10-29,2.02,2.02,1.94,1.99,7.71,1.8,DIL
2025-10-28,1.99,2.05,1.92,1.98,7.71,1.8,DIL
2025-10-27,1.95,2.07,1.95,1.99,7.71,1.8,DIL
2025-10-24,2.01,2.02,1.9,2.0,7.71,1.8,DIL
2025-10-23,2.04,2.04,1.98,2.01,7.71,1.8,DIL
2025-10-21,2.01,2.06,1.95,1.99,7.71,1.8,DIL
2025-10-20,2.05,2.05,1.98,2.0,7.71,1.8,DIL
2025-10-17,1.99,2.17,1.93,1.98,7.71,1.8,DIL
2025-10-16,2.08,2.08,1.93,1.99,7.71,1.8,DIL
2025-10-15,1.98,2.04,1.98,1.99,7.71,1.8,DIL
2025-10-14,1.98,2.08,1.98,2.0,7.71,1.8,DIL
2025-10-13,2.05,2.05,1.97,2.0,7.71,1.8,DIL
2025-10-10,2.06,2.09,2.04,2.05,7.71,1.8,DIL
2025-10-09,2.11,2.11,2.05,2.05,7.71,1.8,DIL
2025-10-08,2.05,2.12,2.05,2.06,7.71,1.8,DIL
2025-10-07,2.01,2.16,2.01,2.05,7.71,1.8,DIL
2025-10-06,2.12,2.15,2.05,2.07,7.71,1.8,DIL
2025-10-03,2.06,2.16,2.03,2.12,7.71,1.8,DIL
2025-10-01,2.18,2.2,2.1,2.11,7.71,1.8,DIL
2025-09-30,2.09,2.19,2.09,2.15,7.71,1.8,DIL
2025-09-29,2.15,2.19,2.03,2.06,7.71,1.8,DIL
2025-09-26,2.33,2.33,2.12,2.14,7.71,1.8,DIL
2025-09-25,2.3,2.43,2.2,2.26,7.71,1.8,DIL
2025-09-24,2.34,2.44,2.12,2.3,7.71,1.8,DIL
2025-09-23,2.2,2.32,2.18,2.32,7.71,1.8,DIL
2025-09-22,1.94,2.11,1.92,2.11,7.71,1.8,DIL
2025-09-19,1.91,1.95,1.89,1.92,7.71,1.8,DIL
2025-09-18,1.9,1.91,1.89,1.9,7.71,1.8,DIL
2025-09-17,1.91,1.91,1.88,1.89,7.71,1.8,DIL
2025-09-16,1.91,1.91,1.88,1.89,7.71,1.8,DIL
2025-09-15,1.9,1.92,1.88,1.89,7.71,1.8,DIL
2025-09-12,1.92,1.92,1.87,1.91,7.71,1.8,DIL
2025-09-11,1.9,1.92,1.88,1.91,7.71,1.8,DIL
2025-09-10,1.92,1.92,1.88,1.9,7.71,1.8,DIL
2025-09-09,1.92,1.92,1.86,1.89,7.71,1.8,DIL
2025-09-08,1.9,1.92,1.86,1.91,7.71,1.8,DIL
2025-09-05,1.91,1.93,1.85,1.89,7.71,1.8,DIL
2025-09-04,1.87,1.89,1.85,1.87,7.71,1.8,DIL
2025-09-03,1.86,1.89,1.85,1.87,7.71,1.8,DIL
2025-09-02,1.91,1.92,1.85,1.88,7.71,1.8,DIL
2025-09-01,1.9,1.94,1.85,1.91,7.71,1.8,DIL
2025-08-29,1.93,1.94,1.8,1.9,7.71,1.8,DIL
2025-08-28,1.95,1.95,1.88,1.89,7.71,1.85,DIL
2025-08-26,1.93,1.95,1.91,1.94,7.71,1.85,DIL
2025-08-25,1.91,1.93,1.9,1.92,7.71,1.85,DIL
2025-08-22,1.96,1.96,1.9,1.91,7.71,1.85,DIL
2025-08-21,1.92,1.96,1.91,1.92,7.71,1.85,DIL
2025-08-20,1.95,1.97,1.91,1.92,7.71,1.85,DIL
2025-08-19,1.93,1.98,1.92,1.94,7.71,1.85,DIL
2025-08-18,1.88,1.98,1.88,1.93,7.71,1.85,DIL
2025-08-14,1.97,1.98,1.9,1.93,7.71,1.85,DIL
2025-08-13,2.07,2.07,1.9,1.95,7.71,1.85,DIL
2025-08-12,1.93,1.99,1.93,1.94,7.71,1.85,DIL
2025-08-11,2.0,2.0,1.93,1.96,7.71,1.85,DIL
2025-08-08,1.95,2.0,1.93,1.96,7.71,1.85,DIL
2025-08-07,1.94,1.98,1.93,1.95,7.71,1.85,DIL
2025-08-06,1.99,1.99,1.92,1.94,7.71,1.85,DIL
2025-08-05,2.03,2.04,1.94,1.95,7.71,1.85,DIL
2025-08-04,2.01,2.02,1.93,1.99,7.71,1.85,DIL
2024-12-02,3.19,3.36,3.0,3.15,11.85,3.0,DIL
2024-11-29,3.77,4.04,3.31,3.31,11.85,3.31,DIL
2024-11-28,4.7,4.89,3.68,3.68,11.85,3.68,DIL
2024-11-27,5.81,6.08,4.6,4.6,11.85,4.6,DIL
2024-11-26,7.55,7.71,5.76,5.76,11.85,5.28,DIL
2024-11-25,6.2,7.2,5.97,7.2,11.85,5.28,DIL
2024-11-22,6.12,6.34,5.96,6.0,11.85,5.28,DIL
2024-11-21,6.03,6.12,5.93,6.0,11.85,5.28,DIL
2024-11-19,5.58,6.15,5.55,6.03,11.85,5.28,DIL
2024-11-18,5.62,5.81,5.53,5.58,11.85,5.28,DIL
2024-11-14,5.7,5.81,5.55,5.61,11.85,5.28,DIL
2024-11-13,5.75,5.84,5.6,5.68,11.85,5.28,DIL
2024-11-12,5.9,5.98,5.75,5.87,11.85,5.28,DIL
2024-11-11,5.97,5.97,5.85,5.9,11.85,5.28,DIL
2024-11-08,6.05,6.09,5.92,5.97,11.85,5.28,DIL
2024-11-07,6.19,6.19,5.98,6.03,11.85,5.28,DIL
2024-11-06,6.08,6.28,5.99,6.02,11.85,5.28,DIL
2024-11-05,5.48,6.56,5.45,6.08,11.85,5.28,DIL
2024-11-04,5.69,5.69,5.43,5.47,11.85,5.28,DIL
2024-11-01,5.65,5.65,5.47,5.56,11.85,5.28,DIL
2024-10-31,5.6,5.6,5.37,5.45,11.85,5.28,DIL
2024-10-30,5.43,5.49,5.34,5.41,11.85,5.28,DIL
2024-10-29,5.56,5.56,5.28,5.31,11.85,5.28,DIL
2024-10-28,5.55,5.58,5.36,5.48,11.85,5.36,DIL
