DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,655.0,665.0,653.0,663.9,929.0,601.2,DLF
2025-04-25,681.0,685.9,648.95,653.55,929.0,601.2,DLF
2025-04-24,689.0,689.55,678.25,680.5,929.0,601.2,DLF
2025-04-23,690.0,695.9,679.3,687.7,929.0,601.2,DLF
2025-04-22,678.0,693.0,668.2,685.0,929.0,601.2,DLF
2025-04-21,690.0,690.0,667.05,675.9,929.0,601.2,DLF
2025-04-17,660.0,673.2,656.5,669.4,929.0,601.2,DLF
2025-04-16,662.8,665.65,652.0,656.25,929.0,601.2,DLF
2025-04-15,635.0,663.8,630.4,662.8,929.0,601.2,DLF
2025-04-11,625.0,632.5,618.0,623.6,930.65,601.2,DLF
2025-04-09,620.0,624.35,607.05,612.85,930.65,601.2,DLF
2025-04-08,621.05,632.9,611.25,621.55,930.65,601.2,DLF
2025-04-07,615.0,627.45,601.2,608.05,930.65,601.2,DLF
2025-04-04,678.0,679.7,648.75,653.95,967.6,622.0,DLF
2025-04-03,677.05,691.7,675.55,680.05,967.6,622.0,DLF
2025-04-02,662.5,685.0,658.05,683.15,967.6,622.0,DLF
2025-04-01,678.35,678.85,653.35,663.1,967.6,622.0,DLF
2025-03-28,693.1,695.0,678.15,680.5,967.6,622.0,DLF
2025-03-27,680.0,692.55,672.0,688.5,967.6,622.0,DLF
2025-03-26,695.55,703.8,678.25,680.45,967.6,622.0,DLF
2025-03-25,710.05,713.7,691.6,695.2,967.6,622.0,DLF
2025-03-24,710.05,714.0,691.4,706.0,967.6,622.0,DLF
2025-03-21,694.9,717.5,694.3,695.9,967.6,622.0,DLF
2025-03-20,698.0,706.5,689.05,694.3,967.6,622.0,DLF
2025-03-19,677.0,698.7,675.8,697.55,967.6,622.0,DLF
2025-03-18,660.5,682.9,660.5,674.8,967.6,622.0,DLF
2025-03-17,661.8,662.3,651.95,655.55,967.6,622.0,DLF
2025-03-13,670.95,675.05,656.7,658.1,967.6,622.0,DLF
2025-03-12,678.95,683.0,659.15,668.7,967.6,622.0,DLF
2025-03-11,641.0,674.95,636.05,674.1,967.6,622.0,DLF
2025-03-10,666.85,671.0,643.0,647.1,967.6,622.0,DLF
2025-03-07,672.0,679.3,661.7,667.05,967.6,622.0,DLF
2025-03-06,668.0,670.6,662.4,665.3,967.6,622.0,DLF
2025-03-05,640.0,663.85,639.35,661.35,967.6,622.0,DLF
2025-03-04,636.0,649.75,629.75,643.3,967.6,622.0,DLF
2025-03-03,639.95,651.0,622.0,647.3,967.6,622.0,DLF
2025-02-28,631.15,641.05,625.1,635.55,967.6,625.1,DLF
2025-02-27,660.0,666.4,640.0,642.4,967.6,640.0,DLF
2025-02-25,672.55,675.0,655.05,656.8,967.6,650.35,DLF
2025-02-24,679.95,680.95,668.2,673.7,967.6,650.35,DLF
2025-02-21,694.0,707.5,680.5,686.25,967.6,650.35,DLF
2025-02-20,689.95,698.45,683.25,694.9,967.6,650.35,DLF
2025-02-19,668.0,696.5,663.85,690.15,967.6,650.35,DLF
2025-02-18,674.75,675.2,660.65,672.1,967.6,650.35,DLF
2025-02-17,670.0,679.0,650.35,674.75,967.6,650.35,DLF
2025-02-14,685.0,694.55,660.1,673.3,967.6,660.1,DLF
2025-02-13,682.0,696.0,671.15,680.65,967.6,671.15,DLF
2025-02-12,709.0,709.0,674.2,680.05,967.6,674.2,DLF
2025-02-11,729.05,730.45,702.8,709.1,967.6,687.05,DLF
2025-02-10,758.0,760.95,727.75,730.95,967.6,687.05,DLF
2025-02-07,766.5,771.35,750.0,757.45,967.6,687.05,DLF
2025-02-06,791.0,793.5,760.9,764.05,967.6,687.05,DLF
2025-02-05,768.8,774.0,761.0,763.4,967.6,687.05,DLF
2025-02-04,754.7,766.45,752.6,762.2,967.6,687.05,DLF
2025-02-03,756.75,757.4,734.75,748.65,967.6,687.05,DLF
2025-02-01,749.0,767.4,737.05,760.65,967.6,687.05,DLF
2025-01-31,751.95,754.0,737.0,745.05,967.6,687.05,DLF
2025-01-30,745.4,769.75,745.1,750.05,967.6,687.05,DLF
2025-01-29,730.0,748.65,725.0,745.4,967.6,687.05,DLF
2025-01-28,723.0,741.8,710.25,726.75,967.6,687.05,DLF
2025-01-27,696.5,731.7,696.5,703.9,967.6,687.05,DLF
2025-01-24,718.0,720.0,691.1,695.25,967.6,687.05,DLF
2025-01-23,713.8,724.4,707.0,715.05,967.6,687.05,DLF
2025-01-22,741.65,744.9,700.8,713.8,967.6,687.05,DLF
2025-01-21,762.0,764.35,736.6,737.9,967.6,687.05,DLF
2025-01-20,753.85,763.5,749.05,760.6,967.6,687.05,DLF
2025-01-17,735.3,753.55,735.3,749.0,967.6,687.05,DLF
2025-01-16,744.0,760.5,739.8,740.85,967.6,687.05,DLF
2025-01-15,730.0,742.0,719.85,734.8,967.6,687.05,DLF
2025-01-14,719.9,726.0,711.15,723.25,967.6,687.05,DLF
2025-01-13,743.0,747.95,707.05,710.8,967.6,687.05,DLF
2025-01-10,781.0,784.5,750.15,752.15,967.6,687.05,DLF
2025-01-09,803.6,804.0,778.8,780.65,967.6,687.05,DLF
2025-01-08,808.0,811.45,794.75,802.6,967.6,687.05,DLF
2025-01-07,809.0,817.5,804.5,810.8,967.6,687.05,DLF
2025-01-06,829.0,834.0,801.5,805.85,967.6,687.05,DLF
2025-01-03,834.6,839.85,824.15,828.05,967.6,687.05,DLF
2025-01-02,820.0,838.25,815.25,835.4,967.6,687.05,DLF
2025-01-01,821.55,826.25,814.6,824.5,967.6,687.05,DLF
2024-12-31,810.0,828.45,809.9,824.9,967.6,687.05,DLF
2024-12-30,832.0,839.85,817.05,820.7,967.6,687.05,DLF
2024-12-27,840.6,846.85,818.1,834.85,967.6,687.05,DLF
2024-12-26,840.0,844.75,831.9,838.7,967.6,687.05,DLF
2024-12-24,845.4,851.9,834.3,841.7,967.6,687.05,DLF
2024-12-23,837.8,854.0,832.55,844.25,967.6,687.05,DLF
2024-12-20,863.1,869.7,824.5,830.7,967.6,670.2,DLF
2024-12-19,860.0,871.65,853.0,864.4,967.6,670.2,DLF
2024-12-18,880.0,881.35,866.9,871.45,967.6,670.2,DLF
2024-12-17,885.0,894.8,870.95,872.45,967.6,670.2,DLF
2024-12-16,870.85,896.6,870.85,893.3,967.6,670.2,DLF
2024-12-13,862.5,872.95,846.1,870.85,967.6,653.3,DLF
2024-12-12,877.8,879.45,861.55,867.1,967.6,653.3,DLF
2024-12-11,863.0,882.65,863.0,875.75,967.6,653.3,DLF
2024-12-10,865.0,871.0,860.7,868.4,967.6,653.3,DLF
2024-12-09,856.85,873.4,855.2,862.7,967.6,653.3,DLF
2024-12-06,852.9,858.4,843.0,856.85,967.6,632.8,DLF
2024-12-05,854.0,854.0,844.4,850.25,967.6,632.8,DLF
2024-12-04,853.0,853.0,840.95,847.95,967.6,632.8,DLF
2024-12-03,860.0,862.0,842.4,846.95,967.6,632.8,DLF
2024-12-02,828.0,852.8,822.25,849.1,967.6,632.8,DLF
2024-11-29,814.2,828.65,807.2,822.95,967.6,619.25,DLF
2024-11-28,823.7,826.4,808.95,813.85,967.6,619.25,DLF
2024-11-27,825.55,829.0,818.05,823.7,967.6,619.25,DLF
2024-11-26,826.0,833.75,820.0,827.35,967.6,619.25,DLF
2024-11-25,822.0,838.95,815.35,823.3,967.6,619.25,DLF
2024-11-22,780.55,808.9,775.9,803.4,967.6,619.25,DLF
2024-11-21,766.95,781.45,744.65,773.95,967.6,619.25,DLF
2024-11-19,763.05,777.2,758.8,763.15,967.6,619.25,DLF
2024-11-18,779.95,779.95,756.1,759.6,967.6,619.25,DLF
2024-11-14,752.05,771.0,751.0,762.7,967.6,604.35,DLF
2024-11-13,762.0,769.5,743.95,748.55,967.6,604.35,DLF
2024-11-12,781.0,788.5,762.1,764.85,967.6,604.35,DLF
2024-11-11,785.0,791.5,771.8,777.5,967.6,604.35,DLF
2024-11-08,804.2,808.4,783.0,786.0,967.6,586.5,DLF
2024-11-07,825.95,829.0,801.55,803.4,967.6,586.5,DLF
2024-11-06,807.0,831.0,803.85,828.2,967.6,586.5,DLF
2024-11-05,790.4,800.45,773.55,799.05,967.6,586.5,DLF
2024-11-04,824.25,825.0,788.05,789.9,967.6,586.5,DLF
2024-11-01,824.0,828.4,819.0,823.75,967.6,531.25,DLF
2024-10-31,828.9,829.6,814.3,819.85,967.6,531.25,DLF
2024-10-30,830.0,842.45,823.0,826.4,967.6,531.25,DLF
2024-10-29,820.05,837.9,815.0,832.45,967.6,531.25,DLF
2024-10-28,794.0,839.6,787.5,822.9,967.6,531.25,DLF
2024-10-25,805.0,807.75,766.6,777.0,967.6,513.5,DLF
2024-10-24,809.5,818.0,798.0,801.4,967.6,513.5,DLF
2024-10-23,815.55,818.7,796.85,805.35,967.6,513.5,DLF
2024-10-22,858.0,859.0,812.0,815.15,967.6,513.5,DLF
2024-10-21,875.05,884.4,857.1,860.75,967.6,513.5,DLF
2024-10-18,860.9,880.35,846.75,875.15,967.6,513.5,DLF
2024-10-17,888.0,888.1,852.8,861.0,967.6,513.5,DLF
2024-10-16,879.0,887.9,865.55,884.75,967.6,513.5,DLF
2024-10-15,865.0,877.25,857.05,875.45,967.6,513.5,DLF
2024-10-14,850.0,864.8,843.8,862.9,967.6,513.5,DLF
