DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,88.26,89.13,87.0,87.5,186.5,68.0,DOLATALGO
2025-04-25,91.05,92.25,86.55,88.3,186.5,68.0,DOLATALGO
2025-04-24,94.01,95.51,90.95,91.3,186.5,68.0,DOLATALGO
2025-04-23,95.07,96.0,92.0,94.01,186.5,68.0,DOLATALGO
2025-04-22,95.3,96.0,92.72,94.27,186.5,68.0,DOLATALGO
2025-04-21,91.99,96.96,91.7,95.35,186.5,68.0,DOLATALGO
2025-04-17,89.6,94.15,88.95,90.89,186.5,68.0,DOLATALGO
2025-04-16,89.25,90.35,88.21,89.2,186.5,68.0,DOLATALGO
2025-04-15,87.8,89.99,87.3,88.85,186.5,68.0,DOLATALGO
2025-04-11,86.0,86.87,84.54,85.68,186.5,68.0,DOLATALGO
2025-04-09,86.6,86.64,83.59,83.97,186.5,68.0,DOLATALGO
2025-04-08,86.65,89.29,85.06,86.58,186.5,68.0,DOLATALGO
2025-04-07,80.0,86.9,80.0,85.39,186.5,68.0,DOLATALGO
2025-04-04,90.62,90.85,84.79,86.12,186.5,68.0,DOLATALGO
2025-04-03,88.97,92.9,87.0,91.3,186.5,68.0,DOLATALGO
2025-04-02,89.2,91.99,86.39,89.04,186.5,68.0,DOLATALGO
2025-04-01,83.05,88.95,83.05,88.13,186.5,68.0,DOLATALGO
2025-03-28,85.0,88.99,83.15,84.32,186.5,65.85,DOLATALGO
2025-03-27,84.0,89.5,83.21,85.74,186.5,65.85,DOLATALGO
2025-03-26,86.95,88.48,82.1,83.18,186.5,65.85,DOLATALGO
2025-03-25,91.0,93.3,86.15,86.78,186.5,65.85,DOLATALGO
2025-03-24,86.75,93.67,84.12,89.56,186.5,65.85,DOLATALGO
2025-03-21,86.99,89.29,85.2,86.13,186.5,65.85,DOLATALGO
2025-03-20,86.0,90.53,84.51,87.26,186.5,65.85,DOLATALGO
2025-03-19,74.9,88.14,74.9,85.96,186.5,65.85,DOLATALGO
