DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,382.0,388.9,375.2,379.25,661.35,201.0,DOLPHIN
2025-10-15,372.1,389.65,372.1,381.95,661.35,201.0,DOLPHIN
2025-10-14,375.1,412.0,375.1,379.1,661.35,201.0,DOLPHIN
2025-10-13,382.0,386.0,371.2,375.1,661.35,201.0,DOLPHIN
2025-10-10,385.0,386.95,375.95,382.95,661.35,201.0,DOLPHIN
2025-10-09,388.0,389.9,380.0,382.7,661.35,201.0,DOLPHIN
2025-10-08,381.0,392.0,381.0,388.15,661.35,201.0,DOLPHIN
2025-10-07,391.1,391.7,380.0,386.5,661.35,201.0,DOLPHIN
2025-10-06,395.95,396.0,388.35,390.15,661.35,201.0,DOLPHIN
2025-10-03,380.0,400.0,380.0,394.2,661.35,201.0,DOLPHIN
2025-10-01,403.9,403.9,380.0,389.3,661.35,201.0,DOLPHIN
2025-09-30,392.05,395.0,386.0,389.75,661.35,201.0,DOLPHIN
2025-09-29,382.95,398.95,379.55,391.0,661.35,201.0,DOLPHIN
2025-09-26,385.0,387.9,365.0,376.05,661.35,201.0,DOLPHIN
2025-09-25,397.6,397.6,387.9,388.85,661.35,201.0,DOLPHIN
2025-09-24,397.9,397.9,390.1,390.8,661.35,201.0,DOLPHIN
2025-09-23,401.7,403.5,396.0,398.5,661.35,201.0,DOLPHIN
2025-09-22,402.95,415.95,396.0,398.85,661.35,201.0,DOLPHIN
2025-09-19,397.5,422.45,395.0,402.95,661.35,201.0,DOLPHIN
2025-09-18,405.95,405.95,396.0,398.95,661.35,201.0,DOLPHIN
2025-09-17,395.1,407.35,395.1,401.3,661.35,201.0,DOLPHIN
2025-09-16,397.75,410.45,397.0,400.1,661.35,201.0,DOLPHIN
2025-09-15,401.5,401.5,391.05,395.15,661.35,201.0,DOLPHIN
2025-09-12,394.0,406.45,394.0,401.5,661.35,201.0,DOLPHIN
2025-09-11,400.35,409.95,400.35,405.5,661.35,201.0,DOLPHIN
2025-09-10,398.7,414.35,398.7,406.35,661.35,201.0,DOLPHIN
2025-09-09,405.25,410.6,400.0,402.7,661.35,201.0,DOLPHIN
2025-09-08,424.5,428.9,391.2,400.55,661.35,201.0,DOLPHIN
2025-09-05,436.9,436.9,417.5,422.4,679.9,201.0,DOLPHIN
2025-09-04,429.6,434.25,423.0,428.2,679.9,201.0,DOLPHIN
2025-09-03,430.9,434.4,426.5,428.9,679.9,201.0,DOLPHIN
2025-09-02,428.8,431.9,423.1,427.6,679.9,201.0,DOLPHIN
2025-09-01,446.9,446.9,421.0,425.5,679.9,201.0,DOLPHIN
2025-08-29,425.85,448.95,425.85,428.0,709.85,201.0,DOLPHIN
2025-08-28,430.05,442.0,428.05,434.2,709.85,201.0,DOLPHIN
2025-08-26,424.65,442.35,424.65,440.8,709.85,201.0,DOLPHIN
2025-08-25,446.0,454.0,438.0,439.95,709.85,201.0,DOLPHIN
2025-08-22,422.05,444.0,422.05,439.95,709.9,201.0,DOLPHIN
2025-08-21,447.35,449.4,419.05,424.0,709.9,201.0,DOLPHIN
2025-08-20,447.0,447.0,431.9,438.5,709.9,201.0,DOLPHIN
2025-08-19,407.7,438.8,407.7,428.5,709.9,201.0,DOLPHIN
2025-08-18,444.9,448.9,400.0,404.55,709.9,201.0,DOLPHIN
2025-08-14,449.95,449.95,418.8,440.1,766.0,201.0,DOLPHIN
2025-08-13,438.75,440.0,422.85,434.25,766.0,201.0,DOLPHIN
2025-08-12,397.0,428.0,397.0,410.9,766.0,201.0,DOLPHIN
2025-08-11,410.0,414.6,392.1,398.25,766.0,201.0,DOLPHIN
2025-08-08,395.0,396.9,389.1,390.35,766.0,201.0,DOLPHIN
2025-08-07,397.35,410.0,385.5,401.4,766.0,201.0,DOLPHIN
2025-08-06,400.25,408.05,389.95,397.35,766.0,201.0,DOLPHIN
2025-08-05,408.85,429.25,401.0,406.85,766.0,201.0,DOLPHIN
2025-08-04,421.1,424.3,406.0,408.85,766.0,201.0,DOLPHIN
2025-08-01,434.6,435.9,425.0,427.35,766.0,201.0,DOLPHIN
2025-07-31,425.0,446.0,424.15,436.5,766.0,201.0,DOLPHIN
2025-07-30,431.85,448.85,427.0,440.0,766.0,201.0,DOLPHIN
2025-07-29,421.05,438.85,413.95,427.5,766.0,201.0,DOLPHIN
2025-07-28,455.9,455.9,419.75,421.05,766.0,201.0,DOLPHIN
2025-07-25,450.2,450.2,432.55,441.85,766.0,201.0,DOLPHIN
2025-07-24,451.5,458.0,449.0,451.85,766.0,201.0,DOLPHIN
2025-07-23,453.0,459.45,445.0,451.45,766.0,201.0,DOLPHIN
2025-07-22,447.9,454.9,440.0,450.75,766.0,201.0,DOLPHIN
2025-07-21,459.3,459.3,441.0,448.6,766.0,201.0,DOLPHIN
2025-07-18,459.15,459.35,445.6,452.25,766.0,201.0,DOLPHIN
2025-07-17,449.85,459.95,445.6,454.0,766.0,201.0,DOLPHIN
2025-07-16,456.75,456.75,439.6,441.85,766.0,201.0,DOLPHIN
2025-07-15,441.0,453.95,441.0,448.9,766.0,201.0,DOLPHIN
2025-07-14,454.0,458.0,447.05,450.8,766.0,201.0,DOLPHIN
2025-07-11,460.45,465.05,442.6,446.7,766.0,201.0,DOLPHIN
2025-07-10,466.35,468.15,457.6,460.85,766.0,201.0,DOLPHIN
2025-07-09,447.5,468.0,446.35,461.15,766.0,201.0,DOLPHIN
2025-07-08,458.0,479.8,445.0,447.5,766.0,201.0,DOLPHIN
2025-07-07,450.0,470.0,440.0,458.15,766.0,201.0,DOLPHIN
2025-07-04,469.1,478.0,445.2,449.35,766.0,201.0,DOLPHIN
2025-07-03,484.9,486.95,465.6,468.6,766.0,201.0,DOLPHIN
2025-07-02,468.0,475.15,452.85,474.2,766.0,201.0,DOLPHIN
2025-07-01,462.0,471.15,430.2,457.7,766.0,201.0,DOLPHIN
2025-06-30,439.9,448.75,432.1,448.75,766.0,201.0,DOLPHIN
2025-06-27,411.0,427.4,410.95,427.4,766.0,201.0,DOLPHIN
2025-06-26,404.4,407.05,390.05,407.05,766.0,201.0,DOLPHIN
2025-06-25,378.9,387.7,370.15,387.7,766.0,201.0,DOLPHIN
2025-06-24,355.05,369.25,355.05,369.25,766.0,201.0,DOLPHIN
2025-06-23,354.05,362.9,347.35,351.7,766.0,201.0,DOLPHIN
2025-06-20,363.4,366.55,357.05,363.9,784.0,201.0,DOLPHIN
2025-06-19,380.1,380.1,360.1,363.4,784.0,201.0,DOLPHIN
2025-06-18,371.35,375.9,365.0,370.15,784.0,201.0,DOLPHIN
2025-06-17,384.55,384.55,369.0,371.35,784.0,201.0,DOLPHIN
2025-06-16,375.05,383.0,370.7,377.65,784.0,201.0,DOLPHIN
2025-06-13,376.0,382.35,365.1,370.7,854.0,201.0,DOLPHIN
2025-06-12,386.75,386.95,376.2,382.55,854.0,201.0,DOLPHIN
2025-06-11,375.15,395.55,368.05,383.9,854.0,201.0,DOLPHIN
2025-06-10,384.0,406.9,376.75,376.75,854.0,201.0,DOLPHIN
2025-06-09,419.0,419.0,396.55,396.55,854.0,201.0,DOLPHIN
2025-02-20,237.4,237.4,223.4,223.4,948.7,223.4,DOLPHIN
2025-02-19,245.75,257.95,233.45,235.15,948.7,233.45,DOLPHIN
2025-02-18,257.0,264.05,242.35,245.7,948.7,242.35,DOLPHIN
2025-02-17,273.0,280.7,254.0,254.05,948.7,250.85,DOLPHIN
2025-02-14,278.9,283.3,263.1,267.35,948.7,227.35,DOLPHIN
2025-02-13,289.4,302.05,273.6,275.5,948.7,227.35,DOLPHIN
2025-02-12,300.95,315.95,285.9,287.7,948.7,227.35,DOLPHIN
2025-02-11,310.0,315.85,300.4,300.95,948.7,227.35,DOLPHIN
2025-02-10,328.95,340.45,308.5,316.2,948.7,227.35,DOLPHIN
2025-02-07,354.9,356.85,324.0,324.25,948.7,206.0,DOLPHIN
2025-02-06,327.8,341.25,326.8,339.9,948.7,206.0,DOLPHIN
2025-02-05,341.0,344.5,323.8,325.0,948.7,206.0,DOLPHIN
2025-02-04,349.7,355.4,329.0,340.85,948.7,206.0,DOLPHIN
2025-02-03,359.9,359.9,342.6,345.45,948.7,206.0,DOLPHIN
2025-02-01,371.8,378.9,355.95,360.55,948.7,186.7,DOLPHIN
2025-01-31,374.5,375.0,364.95,369.0,948.7,186.7,DOLPHIN
2025-01-30,380.05,390.0,365.15,373.3,948.7,186.7,DOLPHIN
2025-01-29,399.0,408.85,373.15,382.2,948.7,186.7,DOLPHIN
2025-01-28,407.0,429.0,390.6,391.9,948.7,186.7,DOLPHIN
2025-01-27,424.0,428.8,388.0,408.7,948.7,186.7,DOLPHIN
2024-04-18,367.75,374.7,347.0,352.9,1830.6,109.0,DOLPHIN
2024-04-16,315.0,347.75,305.5,340.65,1830.6,109.0,DOLPHIN
2024-04-15,342.2,342.2,310.1,316.15,1830.6,109.0,DOLPHIN
