DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,584.0,603.15,578.45,583.4,1457.95,495.0,DREDGECORP
2025-04-25,615.7,619.85,572.85,583.95,1457.95,495.0,DREDGECORP
2025-04-24,604.95,640.85,603.1,615.25,1457.95,495.0,DREDGECORP
2025-04-23,618.8,618.8,595.0,601.8,1457.95,495.0,DREDGECORP
2025-04-22,613.5,622.6,606.05,614.2,1457.95,495.0,DREDGECORP
2025-04-21,603.0,619.0,596.75,611.35,1457.95,495.0,DREDGECORP
2025-04-17,618.65,626.65,591.15,603.95,1457.95,495.0,DREDGECORP
2025-04-16,580.0,644.4,578.0,612.9,1457.95,495.0,DREDGECORP
2025-04-15,582.5,593.9,570.0,573.3,1457.95,495.0,DREDGECORP
2025-04-11,531.4,585.0,531.0,575.95,1457.95,495.0,DREDGECORP
2025-04-09,530.0,530.0,518.0,520.7,1457.95,495.0,DREDGECORP
2025-04-08,535.0,535.0,515.0,529.25,1457.95,495.0,DREDGECORP
2025-04-07,502.2,523.95,495.0,509.8,1457.95,495.0,DREDGECORP
2025-04-04,577.0,577.0,536.3,543.85,1457.95,495.65,DREDGECORP
2025-04-03,574.85,589.45,570.4,577.25,1457.95,495.65,DREDGECORP
2025-04-02,580.15,587.5,566.4,578.5,1457.95,495.65,DREDGECORP
2025-04-01,538.0,594.0,538.0,580.15,1457.95,495.65,DREDGECORP
2025-03-28,553.3,575.0,535.9,546.2,1457.95,495.65,DREDGECORP
2025-03-27,535.5,569.8,535.5,551.9,1457.95,495.65,DREDGECORP
2025-03-26,552.5,574.95,534.35,537.7,1457.95,495.65,DREDGECORP
2025-03-25,576.05,580.0,548.95,551.35,1457.95,495.65,DREDGECORP
2025-03-24,584.6,603.65,570.0,573.05,1457.95,495.65,DREDGECORP
2025-03-21,562.05,600.05,562.05,580.0,1457.95,495.65,DREDGECORP
2025-03-20,569.4,582.05,556.0,567.3,1457.95,495.65,DREDGECORP
2025-03-19,546.0,588.85,546.0,569.3,1457.95,495.65,DREDGECORP
2025-03-18,529.0,555.1,527.2,545.05,1457.95,495.65,DREDGECORP
2025-03-17,547.0,558.95,522.0,524.2,1457.95,495.65,DREDGECORP
2025-03-13,530.0,557.0,530.0,549.7,1457.95,495.65,DREDGECORP
2025-03-12,539.95,542.85,521.75,526.9,1457.95,495.65,DREDGECORP
2025-03-11,533.0,537.55,524.95,531.8,1457.95,495.65,DREDGECORP
2025-03-10,553.35,567.3,534.95,540.35,1457.95,495.65,DREDGECORP
2025-03-07,561.65,574.0,551.05,554.2,1457.95,495.65,DREDGECORP
2025-03-06,563.0,575.0,557.6,561.65,1457.95,495.65,DREDGECORP
2025-03-05,529.2,567.0,529.2,561.4,1457.95,495.65,DREDGECORP
2025-03-04,515.0,552.35,511.05,537.15,1457.95,495.65,DREDGECORP
2025-03-03,522.45,532.0,495.65,518.95,1457.95,495.65,DREDGECORP
