DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,970.0,979.85,934.8,950.1,1618.2,820.55,DSSL
2025-11-13,926.0,994.35,922.0,968.6,1618.2,820.55,DSSL
2025-11-12,892.4,925.0,886.5,921.05,1618.2,820.55,DSSL
2025-11-11,885.9,892.35,879.65,883.55,1618.2,820.55,DSSL
2025-11-10,874.45,930.0,870.35,883.25,1618.2,820.55,DSSL
2025-11-07,890.05,890.05,870.0,874.95,1618.2,820.55,DSSL
2025-11-06,911.35,914.6,885.0,891.05,1618.2,820.55,DSSL
2025-11-04,917.75,921.95,909.05,911.35,1618.2,820.55,DSSL
2025-11-03,919.0,932.4,911.8,914.15,1618.2,820.55,DSSL
2025-10-31,928.0,929.25,917.25,922.35,1618.2,820.55,DSSL
2025-10-30,934.4,939.0,921.6,924.95,1618.2,820.55,DSSL
2025-10-29,931.8,948.0,919.0,937.25,1618.2,820.55,DSSL
2025-10-28,925.85,938.0,921.6,925.95,1618.2,820.55,DSSL
2025-10-27,922.15,930.25,915.0,924.45,1618.2,820.55,DSSL
2025-10-24,942.7,948.0,916.0,922.15,1618.2,820.55,DSSL
2025-10-23,954.25,954.25,930.0,934.25,1618.2,820.55,DSSL
2025-10-21,932.0,940.0,918.05,936.25,1618.2,820.55,DSSL
2025-10-20,923.0,937.3,907.6,913.85,1618.2,820.55,DSSL
2025-10-17,930.0,940.0,914.65,917.5,1618.2,820.55,DSSL
2025-10-16,943.65,946.75,926.4,936.75,1618.2,820.55,DSSL
2025-10-15,918.95,954.0,918.85,936.2,1618.2,820.55,DSSL
2025-10-14,939.85,947.4,909.8,918.85,1618.2,820.55,DSSL
2025-10-13,950.0,950.0,929.0,939.85,1618.2,820.55,DSSL
2025-10-10,949.95,975.0,947.0,951.1,1618.2,820.55,DSSL
2025-10-09,958.0,963.3,945.0,948.55,1618.2,820.55,DSSL
2025-10-08,969.5,988.6,945.0,962.15,1618.2,820.55,DSSL
2025-10-07,984.5,1023.85,960.55,965.65,1618.2,820.55,DSSL
2025-10-06,1035.0,1035.0,976.0,982.8,1618.2,820.55,DSSL
2025-10-03,1045.95,1069.0,1011.25,1031.75,1618.2,820.55,DSSL
2025-10-01,867.0,1031.9,867.0,1011.25,1618.2,820.55,DSSL
2025-09-30,820.55,867.95,820.55,859.95,1618.2,820.55,DSSL
2025-09-29,848.0,855.0,830.4,831.9,1618.2,830.4,DSSL
2025-09-26,886.25,888.95,840.9,849.15,1618.2,840.9,DSSL
2025-09-25,938.0,948.95,879.8,886.25,1618.2,879.8,DSSL
2025-09-24,955.0,959.9,928.0,930.75,1618.2,926.9,DSSL
2025-09-23,964.0,970.0,948.0,949.95,1618.2,926.9,DSSL
2025-09-22,983.8,983.8,963.0,966.2,1618.2,926.9,DSSL
2025-09-19,992.0,992.0,975.3,977.1,1618.2,926.9,DSSL
2025-09-18,990.0,993.9,982.0,987.55,1618.2,926.9,DSSL
2025-09-17,977.85,995.85,972.4,985.8,1618.2,926.9,DSSL
2025-09-16,966.0,978.4,966.0,971.05,1618.2,926.9,DSSL
2025-09-15,965.35,974.25,964.0,966.35,1618.2,926.9,DSSL
2025-09-12,974.8,976.85,963.85,965.35,1618.2,926.9,DSSL
2025-09-11,977.1,987.4,967.0,968.45,1618.2,926.9,DSSL
2025-09-10,977.0,984.95,971.0,975.1,1618.2,926.9,DSSL
2025-09-09,974.85,990.5,960.6,963.35,1618.2,926.9,DSSL
2025-09-08,971.0,982.0,965.25,970.05,1618.2,926.9,DSSL
2025-09-05,970.0,980.95,959.0,970.65,1618.2,926.9,DSSL
2025-09-04,983.6,990.15,969.45,973.15,1618.2,926.9,DSSL
2025-09-03,977.95,1009.85,965.05,977.35,1618.2,926.9,DSSL
2025-09-02,980.0,990.0,962.0,968.45,1618.2,926.9,DSSL
2025-09-01,984.55,996.0,972.0,978.9,1618.2,926.9,DSSL
2025-08-29,996.8,998.95,980.05,984.55,1736.9,926.9,DSSL
2025-08-28,988.4,1004.0,980.0,996.0,1736.9,926.9,DSSL
2025-08-26,1004.0,1004.0,985.05,987.2,1736.9,926.9,DSSL
2025-08-25,1004.5,1014.85,996.0,1004.85,1736.9,926.9,DSSL
2025-08-22,985.0,1014.0,985.0,1001.9,1736.9,926.9,DSSL
2025-08-21,981.1,1049.0,981.1,986.55,1736.9,926.9,DSSL
2025-08-20,967.0,1001.2,967.0,976.8,1736.9,926.9,DSSL
2025-08-19,964.0,999.0,963.05,975.6,1736.9,926.9,DSSL
2025-08-18,995.0,1004.0,965.0,968.35,1736.9,926.9,DSSL
2025-08-14,1034.1,1034.1,980.0,984.25,1736.9,926.9,DSSL
2025-08-13,995.4,1062.0,993.9,1041.5,1736.9,926.9,DSSL
2025-08-12,980.0,998.95,980.0,993.9,1736.9,926.9,DSSL
2025-08-11,991.65,997.0,972.3,991.35,1736.9,926.9,DSSL
2025-08-08,975.5,1017.3,975.5,992.65,1736.9,926.9,DSSL
2025-08-07,980.0,1000.0,966.05,985.6,1736.9,926.9,DSSL
2025-08-06,986.0,993.95,980.0,981.0,1736.9,926.9,DSSL
2025-08-05,988.15,1009.25,988.15,996.35,1736.9,926.9,DSSL
2025-08-04,980.05,1006.5,980.05,997.8,1736.9,926.9,DSSL
2025-08-01,990.0,1009.0,980.0,991.4,1736.9,926.9,DSSL
2025-07-31,1005.0,1020.8,995.0,999.6,1736.9,926.9,DSSL
2025-07-30,1031.2,1042.7,1018.4,1026.3,1736.9,926.9,DSSL
2025-07-29,1002.0,1054.2,997.1,1041.6,1736.9,926.9,DSSL
2025-07-28,1027.0,1041.0,1001.2,1008.2,1736.9,926.9,DSSL
2025-07-25,1040.0,1050.0,1025.0,1028.4,1736.9,926.9,DSSL
2025-07-24,1048.1,1089.0,1040.4,1046.6,1736.9,926.9,DSSL
2025-07-23,1049.8,1049.8,1033.0,1037.6,1736.9,926.9,DSSL
2025-07-22,1035.0,1055.5,1035.0,1039.4,1736.9,926.9,DSSL
2025-07-21,1047.0,1065.0,1035.0,1037.6,1736.9,926.9,DSSL
2025-07-18,1070.3,1070.3,1040.0,1048.3,1736.9,926.9,DSSL
2025-07-17,1057.1,1077.7,1055.0,1059.8,1736.9,926.9,DSSL
2025-07-16,1076.3,1082.4,1050.1,1061.0,1736.9,926.9,DSSL
2025-07-15,1067.0,1095.1,1057.2,1074.2,1736.9,926.9,DSSL
2025-07-14,1068.6,1109.0,1025.2,1062.3,1736.9,926.9,DSSL
2025-07-11,1075.0,1078.0,1055.0,1058.0,1736.9,926.9,DSSL
2025-07-10,1066.9,1082.5,1060.5,1076.0,1736.9,926.9,DSSL
2025-07-09,1053.0,1067.5,1046.5,1059.0,1736.9,926.9,DSSL
2025-07-08,1049.0,1067.9,1044.4,1053.0,1736.9,926.9,DSSL
2025-07-07,1055.0,1064.8,1045.3,1048.1,1736.9,926.9,DSSL
2025-07-04,1066.6,1068.5,1050.2,1056.2,1736.9,926.9,DSSL
2025-07-03,1063.0,1075.5,1051.5,1057.7,1736.9,926.9,DSSL
2025-07-02,1076.9,1086.5,1060.0,1063.8,1736.9,926.9,DSSL
2025-07-01,1085.0,1100.3,1060.7,1067.4,1736.9,926.9,DSSL
2025-06-30,1090.6,1114.4,1076.9,1082.0,1736.9,926.9,DSSL
2025-06-27,1091.5,1110.0,1080.8,1085.8,1736.9,926.9,DSSL
2025-06-26,1093.0,1096.8,1076.5,1080.8,1736.9,926.9,DSSL
2025-06-25,1080.9,1091.0,1066.8,1085.5,1736.9,926.9,DSSL
2025-06-24,1070.0,1107.6,1066.0,1069.1,1736.9,926.9,DSSL
2025-06-23,1078.4,1078.4,1058.0,1065.1,1736.9,926.9,DSSL
2025-06-20,1082.6,1098.7,1060.1,1078.7,1736.9,926.9,DSSL
2025-06-19,1102.6,1119.8,1069.0,1074.0,1736.9,926.9,DSSL
2025-06-18,1114.6,1130.0,1106.0,1109.9,1736.9,926.9,DSSL
2025-06-17,1142.0,1159.1,1107.0,1111.8,1736.9,926.9,DSSL
2025-06-16,1055.8,1158.4,1025.7,1136.9,1736.9,926.9,DSSL
2025-06-13,1060.0,1073.9,1046.1,1055.9,1736.9,926.9,DSSL
2025-06-12,1103.0,1124.7,1075.1,1078.7,1736.9,926.9,DSSL
2025-06-11,1105.0,1118.2,1088.0,1097.4,1736.9,926.9,DSSL
2025-06-10,1124.0,1124.0,1098.9,1101.6,1736.9,926.9,DSSL
2025-06-09,1090.0,1130.1,1090.0,1109.4,1736.9,926.9,DSSL
2025-06-06,1100.0,1108.7,1091.3,1095.4,1736.9,926.9,DSSL
2025-06-05,1083.3,1119.4,1080.0,1100.7,1736.9,926.9,DSSL
2025-06-04,1090.0,1099.0,1075.0,1083.3,1736.9,926.9,DSSL
2025-06-03,1089.0,1109.0,1083.3,1096.3,1736.9,926.9,DSSL
2025-06-02,1095.0,1099.0,1063.4,1079.0,1736.9,926.9,DSSL
2025-05-30,1111.0,1114.1,1085.2,1090.3,1736.9,926.9,DSSL
2025-05-29,1076.0,1120.0,1076.0,1107.3,1736.9,926.9,DSSL
2025-05-28,1119.0,1119.8,1072.0,1081.7,1736.9,926.9,DSSL
2025-05-27,1141.9,1145.3,1111.3,1117.0,1736.9,926.9,DSSL
2025-05-26,1198.7,1198.7,1127.2,1136.2,1736.9,926.9,DSSL
2025-05-23,1179.0,1188.0,1160.0,1179.6,1736.9,926.9,DSSL
2025-05-22,1190.0,1195.1,1165.0,1173.8,1736.9,926.9,DSSL
2025-05-21,1198.0,1198.7,1176.0,1179.2,1736.9,926.9,DSSL
2025-05-20,1198.0,1208.8,1171.4,1189.2,1736.9,926.9,DSSL
2025-05-19,1130.0,1215.0,1120.0,1182.7,1736.9,926.9,DSSL
2025-05-16,1133.7,1146.5,1120.1,1133.7,1736.9,926.9,DSSL
2025-05-15,1140.5,1141.9,1101.9,1122.5,1736.9,926.9,DSSL
2025-05-14,1099.8,1145.0,1078.0,1133.4,1736.9,926.9,DSSL
2025-05-13,1117.9,1175.0,1089.0,1096.8,1736.9,926.9,DSSL
2025-05-12,1050.0,1125.0,1022.0,1113.6,1736.9,926.9,DSSL
2025-05-09,990.9,1006.9,980.0,1002.2,1736.9,926.9,DSSL
2025-05-08,1028.5,1048.5,1010.0,1018.5,1736.9,926.9,DSSL
2025-05-07,992.0,1020.0,987.0,1013.3,1736.9,926.9,DSSL
