DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,40.1,41.2,40.1,40.91,81.79,34.42,DWARKESH
2025-04-25,42.85,43.13,39.97,40.52,81.79,34.42,DWARKESH
2025-04-24,42.45,43.95,42.15,42.9,81.79,34.42,DWARKESH
2025-04-23,43.65,43.91,41.78,42.78,81.79,34.42,DWARKESH
2025-04-22,41.47,43.85,40.85,43.49,81.79,34.42,DWARKESH
2025-04-21,40.7,41.75,40.07,41.47,81.79,34.42,DWARKESH
2025-04-17,40.27,41.45,39.92,40.35,81.79,34.42,DWARKESH
2025-04-16,40.4,41.4,40.12,40.31,81.79,34.42,DWARKESH
2025-04-15,38.85,40.59,38.25,40.22,81.79,34.42,DWARKESH
2025-04-11,37.5,37.95,37.21,37.79,81.79,34.42,DWARKESH
2025-04-09,37.03,37.16,36.26,36.74,81.79,34.42,DWARKESH
2025-04-08,36.74,37.64,36.06,37.03,81.79,34.42,DWARKESH
2025-04-07,36.1,37.0,34.42,35.97,81.79,34.42,DWARKESH
2025-04-04,39.8,39.91,37.11,37.64,81.79,36.1,DWARKESH
2025-04-03,39.11,40.44,38.81,39.91,81.79,36.1,DWARKESH
2025-04-02,39.28,39.79,37.65,39.66,81.79,36.1,DWARKESH
2025-04-01,36.75,39.47,36.47,39.14,81.79,36.1,DWARKESH
2025-03-28,38.76,40.12,36.22,36.81,81.79,36.1,DWARKESH
2025-03-27,37.1,39.24,37.1,38.45,81.79,36.1,DWARKESH
2025-03-26,39.73,40.11,37.51,37.76,81.79,36.1,DWARKESH
2025-03-25,41.5,41.95,39.6,39.73,81.79,36.1,DWARKESH
2025-03-24,41.0,42.22,40.9,41.28,81.79,36.1,DWARKESH
2025-03-21,40.2,41.74,40.1,40.77,81.79,36.1,DWARKESH
2025-03-20,41.67,42.0,40.29,40.37,81.79,36.1,DWARKESH
2025-03-19,39.08,41.52,39.08,41.37,81.79,36.1,DWARKESH
2025-03-18,36.85,39.27,36.85,39.03,81.79,36.1,DWARKESH
2025-03-17,37.77,37.95,36.39,36.66,81.79,36.1,DWARKESH
2025-03-13,38.19,38.75,37.11,37.41,86.8,36.1,DWARKESH
2025-03-12,37.97,38.95,37.61,37.97,86.8,36.1,DWARKESH
2025-03-11,38.49,38.8,37.73,37.96,86.8,36.1,DWARKESH
2025-03-10,40.9,41.4,38.75,38.92,86.8,36.1,DWARKESH
2025-03-07,40.13,41.75,40.05,40.78,86.8,36.1,DWARKESH
2025-03-06,39.54,40.65,39.54,40.13,86.8,36.1,DWARKESH
2025-03-05,38.4,39.73,38.4,39.37,86.8,36.1,DWARKESH
2025-03-04,37.51,39.1,37.06,38.47,86.8,36.1,DWARKESH
2025-03-03,38.59,39.08,36.1,37.57,86.8,36.1,DWARKESH
