DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,1545.08,1553.49,1545.08,1548.06,1586.2,1232.0,EBBETF0430
2025-10-16,1544.26,1552.79,1536.3,1551.13,1586.2,1232.0,EBBETF0430
2025-10-15,1544.57,1558.37,1535.36,1550.31,1586.2,1232.0,EBBETF0430
2025-10-14,1555.45,1555.45,1541.67,1550.62,1586.2,1232.0,EBBETF0430
2025-10-13,1551.58,1551.58,1546.0,1547.71,1586.2,1232.0,EBBETF0430
2025-10-10,1553.07,1553.07,1542.01,1545.99,1586.2,1232.0,EBBETF0430
2025-10-09,1547.49,1547.49,1544.53,1545.34,1586.2,1232.0,EBBETF0430
2025-10-08,1539.45,1549.8,1521.14,1544.06,1586.2,1232.0,EBBETF0430
2025-10-07,1548.94,1548.94,1543.11,1546.25,1586.2,1232.0,EBBETF0430
2025-10-06,1547.7,1586.2,1520.0,1544.29,1586.2,1232.0,EBBETF0430
2025-10-03,1544.91,1545.0,1537.0,1540.0,1579.38,1232.0,EBBETF0430
2025-10-01,1539.62,1542.82,1536.6,1537.11,1579.38,1232.0,EBBETF0430
2025-09-30,1539.65,1541.45,1536.97,1538.63,1579.38,1232.0,EBBETF0430
2025-09-29,1533.28,1545.28,1520.0,1539.2,1579.38,1232.0,EBBETF0430
2025-09-26,1544.8,1544.8,1535.16,1537.59,1579.38,1232.0,EBBETF0430
2025-09-25,1538.98,1539.42,1533.0,1535.89,1579.38,1232.0,EBBETF0430
2025-09-24,1535.36,1538.99,1535.0,1535.41,1579.38,1232.0,EBBETF0430
2025-09-23,1543.8,1543.8,1528.77,1533.32,1579.38,1232.0,EBBETF0430
2025-09-22,1530.0,1535.79,1530.0,1534.58,1579.38,1232.0,EBBETF0430
2025-09-19,1579.38,1579.38,1532.28,1534.35,1579.38,1232.0,EBBETF0430
2025-09-18,1501.89,1537.0,1501.89,1533.38,1579.24,1232.0,EBBETF0430
2025-09-17,1535.0,1536.98,1531.08,1531.89,1579.24,1232.0,EBBETF0430
2025-09-16,1534.89,1536.36,1532.26,1535.99,1579.24,1232.0,EBBETF0430
2025-09-15,1542.5,1555.36,1530.51,1530.98,1579.24,1232.0,EBBETF0430
2025-09-12,1529.72,1535.94,1529.0,1534.83,1579.24,1232.0,EBBETF0430
2025-09-11,1527.43,1538.0,1527.43,1534.02,1579.24,1232.0,EBBETF0430
2025-09-10,1538.0,1538.0,1516.62,1531.72,1579.24,1232.0,EBBETF0430
2025-09-09,1534.0,1534.0,1529.27,1531.18,1579.24,1232.0,EBBETF0430
2025-09-08,1537.94,1538.0,1516.66,1531.72,1579.24,1232.0,EBBETF0430
2025-09-05,1569.11,1569.11,1522.54,1530.29,1579.24,1232.0,EBBETF0430
2025-09-04,1538.4,1541.8,1527.01,1530.84,1579.24,1232.0,EBBETF0430
2025-09-03,1532.0,1532.0,1524.7,1528.96,1579.24,1232.0,EBBETF0430
2025-09-02,1524.22,1532.0,1524.22,1528.98,1579.24,1232.0,EBBETF0430
2025-09-01,1524.0,1532.0,1524.0,1528.5,1579.24,1232.0,EBBETF0430
2025-08-29,1522.33,1534.22,1232.0,1526.57,1579.24,1232.0,EBBETF0430
2025-08-28,1536.79,1536.79,1525.1,1526.6,1579.24,1357.75,EBBETF0430
2025-08-26,1529.0,1531.87,1525.03,1529.14,1579.24,1357.75,EBBETF0430
2025-08-25,1536.13,1536.13,1521.0,1521.77,1579.24,1357.75,EBBETF0430
2025-08-22,1529.95,1529.95,1527.19,1528.49,1579.24,1357.75,EBBETF0430
2025-08-21,1523.35,1530.99,1523.35,1528.02,1579.24,1357.75,EBBETF0430
2025-08-20,1538.75,1577.02,1527.0,1527.63,1579.24,1357.75,EBBETF0430
2025-08-19,1532.68,1532.68,1524.27,1531.09,1579.24,1357.75,EBBETF0430
2025-08-18,1525.83,1537.3,1500.0,1528.36,1579.24,1357.75,EBBETF0430
2025-08-14,1524.74,1532.0,1524.0,1529.65,1579.24,1357.75,EBBETF0430
2025-08-13,1535.75,1573.95,1525.46,1528.56,1579.24,1357.75,EBBETF0430
2025-08-12,1539.24,1539.24,1527.72,1528.11,1579.24,1357.75,EBBETF0430
2025-08-11,1579.24,1579.24,1531.01,1531.58,1579.24,1357.75,EBBETF0430
2025-08-08,1534.99,1535.47,1530.5,1533.24,1567.42,1357.75,EBBETF0430
2025-08-07,1535.0,1535.0,1527.83,1531.29,1567.42,1357.75,EBBETF0430
2025-08-06,1535.5,1535.5,1529.19,1532.95,1567.42,1357.75,EBBETF0430
2025-08-05,1539.5,1543.3,1530.01,1533.01,1567.42,1357.75,EBBETF0430
2025-08-04,1540.6,1544.3,1508.11,1531.84,1567.42,1357.75,EBBETF0430
2025-08-01,1536.05,1536.05,1528.41,1532.57,1567.42,1346.45,EBBETF0430
2025-07-31,1533.0,1533.0,1526.0,1528.41,1567.42,1346.45,EBBETF0430
2025-07-30,1533.0,1533.82,1528.0,1528.13,1567.42,1346.45,EBBETF0430
2025-07-29,1530.53,1533.0,1527.02,1530.84,1567.42,1346.45,EBBETF0430
2025-07-28,1526.81,1533.99,1510.36,1530.53,1567.42,1346.45,EBBETF0430
2025-07-25,1532.99,1533.0,1529.53,1530.64,1567.42,1346.45,EBBETF0430
2025-07-24,1533.99,1534.0,1529.03,1530.41,1567.42,1346.45,EBBETF0430
2025-07-23,1518.0,1533.0,1482.98,1530.87,1567.42,1346.45,EBBETF0430
2025-07-22,1532.5,1532.5,1526.54,1528.85,1567.42,1346.45,EBBETF0430
2025-07-21,1533.0,1533.0,1526.0,1528.99,1567.42,1346.45,EBBETF0430
2025-07-18,1536.42,1536.42,1526.02,1528.85,1567.42,1346.45,EBBETF0430
2025-07-17,1536.51,1536.51,1525.52,1528.78,1567.42,1346.45,EBBETF0430
2025-07-16,1521.49,1532.93,1494.8,1528.87,1567.42,1346.45,EBBETF0430
2025-07-15,1533.93,1535.0,1523.0,1525.3,1567.42,1346.45,EBBETF0430
2025-07-14,1522.34,1530.0,1522.34,1526.3,1567.42,1346.45,EBBETF0430
2025-07-11,1531.0,1531.0,1523.81,1526.16,1567.42,1346.45,EBBETF0430
2025-07-10,1529.49,1530.44,1524.0,1524.11,1567.42,1346.45,EBBETF0430
2025-07-09,1536.72,1536.72,1526.03,1529.16,1567.42,1346.45,EBBETF0430
2025-07-08,1524.1,1530.99,1524.1,1529.07,1567.42,1346.45,EBBETF0430
2025-07-07,1522.72,1534.17,1480.74,1526.31,1567.42,1346.45,EBBETF0430
2025-07-04,1519.0,1527.49,1477.13,1526.54,1567.42,1346.45,EBBETF0430
2025-07-03,1525.5,1525.5,1520.85,1522.81,1567.42,1346.45,EBBETF0430
2025-07-02,1523.5,1523.5,1490.0,1520.3,1567.42,1346.45,EBBETF0430
2025-07-01,1563.95,1563.95,1482.8,1518.95,1567.42,1346.45,EBBETF0430
2025-06-30,1522.0,1523.99,1517.03,1518.4,1567.42,1346.45,EBBETF0430
2025-06-27,1480.0,1522.49,1471.56,1518.14,1567.42,1333.9,EBBETF0430
2025-06-26,1518.42,1522.94,1516.15,1517.07,1567.42,1333.9,EBBETF0430
2025-06-25,1517.99,1522.24,1516.99,1518.42,1567.42,1333.9,EBBETF0430
2025-06-24,1518.56,1522.26,1517.06,1518.25,1567.42,1333.9,EBBETF0430
2025-06-23,1496.86,1542.45,1496.86,1521.45,1567.42,1333.9,EBBETF0430
2025-06-20,1524.22,1524.22,1517.54,1519.33,1567.42,1333.9,EBBETF0430
2025-06-19,1565.75,1565.75,1474.55,1518.32,1567.42,1333.9,EBBETF0430
2025-06-18,1523.97,1523.97,1517.96,1520.15,1567.42,1333.9,EBBETF0430
2025-06-17,1473.98,1523.6,1473.98,1517.6,1567.42,1333.9,EBBETF0430
2025-06-16,1562.51,1562.51,1513.99,1519.57,1567.42,1333.9,EBBETF0430
2025-06-13,1542.95,1542.95,1513.92,1516.56,1567.42,1327.15,EBBETF0430
2025-06-12,1488.45,1526.0,1488.45,1519.02,1567.42,1327.15,EBBETF0430
2025-06-11,1481.74,1551.8,1481.74,1522.07,1567.42,1327.15,EBBETF0430
2025-06-10,1531.0,1531.0,1525.16,1527.57,1567.42,1327.15,EBBETF0430
2025-06-09,1531.0,1531.0,1519.0,1526.5,1567.42,1327.15,EBBETF0430
2025-06-06,1525.0,1525.0,1519.9,1521.88,1567.42,1323.8,EBBETF0430
2025-06-05,1524.0,1525.59,1521.01,1522.52,1567.42,1323.8,EBBETF0430
2025-06-04,1560.75,1560.75,1520.63,1521.87,1567.42,1323.8,EBBETF0430
