DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,219.0,219.0,212.33,213.19,476.4,165.0,ECOSMOBLTY
2025-10-16,222.0,232.39,217.24,218.66,476.4,165.0,ECOSMOBLTY
2025-10-15,221.42,223.03,216.7,220.82,476.4,165.0,ECOSMOBLTY
2025-10-14,225.6,226.71,218.5,219.66,476.4,165.0,ECOSMOBLTY
2025-10-13,225.0,226.8,223.0,224.45,476.4,165.0,ECOSMOBLTY
2025-10-10,226.56,230.37,225.61,227.77,494.8,165.0,ECOSMOBLTY
2025-10-09,225.16,229.58,222.32,224.63,494.8,165.0,ECOSMOBLTY
2025-10-08,230.3,232.01,224.01,225.15,494.8,165.0,ECOSMOBLTY
2025-10-07,229.64,247.0,223.5,228.79,494.8,165.0,ECOSMOBLTY
2025-10-06,239.3,244.45,226.96,229.64,494.8,165.0,ECOSMOBLTY
2025-10-03,244.54,244.54,233.91,238.13,494.8,165.0,ECOSMOBLTY
2025-10-01,242.55,250.0,236.6,239.75,494.8,165.0,ECOSMOBLTY
2025-09-30,245.45,253.45,240.1,242.55,494.8,165.0,ECOSMOBLTY
2025-09-29,255.1,261.25,240.0,244.7,494.8,165.0,ECOSMOBLTY
2025-09-26,268.3,268.8,253.8,256.6,526.35,165.0,ECOSMOBLTY
2025-09-25,270.8,272.55,266.35,268.65,526.35,165.0,ECOSMOBLTY
2025-09-24,276.65,277.4,269.0,270.95,526.35,165.0,ECOSMOBLTY
2025-09-23,285.6,285.65,275.2,276.65,526.35,165.0,ECOSMOBLTY
2025-09-22,287.3,291.0,283.0,285.65,526.35,165.0,ECOSMOBLTY
2025-09-19,287.0,290.0,286.35,287.4,593.7,165.0,ECOSMOBLTY
2025-09-18,289.35,291.75,287.0,288.05,593.7,165.0,ECOSMOBLTY
2025-09-17,290.0,293.85,287.9,289.45,593.7,165.0,ECOSMOBLTY
2025-09-16,288.3,293.4,288.3,290.2,593.7,165.0,ECOSMOBLTY
2025-09-15,291.5,294.6,288.05,290.1,593.7,165.0,ECOSMOBLTY
2025-09-12,291.5,293.0,287.0,290.0,593.7,165.0,ECOSMOBLTY
2025-09-11,286.75,291.8,286.55,288.5,593.7,165.0,ECOSMOBLTY
2025-09-10,281.1,292.65,281.1,286.75,593.7,165.0,ECOSMOBLTY
2025-09-09,277.1,282.75,277.1,281.35,593.7,165.0,ECOSMOBLTY
2025-09-08,285.65,285.65,274.95,277.1,593.7,165.0,ECOSMOBLTY
2025-09-05,275.6,282.35,272.85,280.3,593.7,165.0,ECOSMOBLTY
2025-09-04,280.3,283.2,271.25,273.6,593.7,165.0,ECOSMOBLTY
2025-09-03,273.3,279.9,272.8,276.2,593.7,165.0,ECOSMOBLTY
2025-09-02,282.0,282.0,264.6,272.1,593.7,165.0,ECOSMOBLTY
2025-09-01,272.0,283.6,270.6,278.95,593.7,165.0,ECOSMOBLTY
2025-08-29,282.0,282.0,265.3,268.85,593.7,165.0,ECOSMOBLTY
2025-08-28,289.4,289.4,276.0,279.0,593.7,165.0,ECOSMOBLTY
2025-08-26,292.4,292.4,282.0,285.1,593.7,165.0,ECOSMOBLTY
2025-08-25,294.4,297.45,290.05,291.6,593.7,165.0,ECOSMOBLTY
2025-08-22,288.15,297.1,287.65,292.05,593.7,165.0,ECOSMOBLTY
2025-08-21,300.0,302.0,288.0,289.6,593.7,165.0,ECOSMOBLTY
2025-08-20,293.35,303.25,291.4,299.75,593.7,165.0,ECOSMOBLTY
2025-08-19,282.7,297.2,277.95,293.35,593.7,165.0,ECOSMOBLTY
2025-08-18,274.45,288.75,273.25,281.7,593.7,165.0,ECOSMOBLTY
2025-08-14,285.0,285.6,271.1,273.1,593.7,165.0,ECOSMOBLTY
2025-08-13,298.2,299.05,282.0,283.35,593.7,165.0,ECOSMOBLTY
2025-08-12,293.6,301.5,287.9,298.2,593.7,165.0,ECOSMOBLTY
2025-08-11,291.0,293.75,287.3,290.75,593.7,165.0,ECOSMOBLTY
2025-08-08,300.0,300.0,288.55,290.9,593.7,165.0,ECOSMOBLTY
2025-08-07,289.0,301.0,288.5,297.4,593.7,165.0,ECOSMOBLTY
2025-08-06,300.5,301.95,288.25,289.85,593.7,165.0,ECOSMOBLTY
2025-08-05,308.0,313.0,297.0,299.05,593.7,165.0,ECOSMOBLTY
2025-08-04,302.2,308.0,299.3,307.0,593.7,165.0,ECOSMOBLTY
2025-08-01,308.0,317.95,295.3,297.75,593.7,165.0,ECOSMOBLTY
2025-07-31,305.0,312.95,302.05,308.3,593.7,165.0,ECOSMOBLTY
2025-07-30,320.55,326.25,312.05,313.25,593.7,165.0,ECOSMOBLTY
2025-07-29,315.0,323.1,307.05,318.0,593.7,165.0,ECOSMOBLTY
2025-07-28,324.0,333.95,311.2,314.55,593.7,165.0,ECOSMOBLTY
2025-07-25,336.9,342.95,320.1,324.8,593.7,165.0,ECOSMOBLTY
2025-07-24,355.0,357.85,335.15,338.1,593.7,165.0,ECOSMOBLTY
2025-07-23,344.9,358.4,344.35,353.3,593.7,165.0,ECOSMOBLTY
2025-07-22,352.8,352.9,340.65,344.3,593.7,165.0,ECOSMOBLTY
2025-07-21,322.95,353.75,314.35,350.05,593.7,165.0,ECOSMOBLTY
2025-07-18,331.95,337.0,318.0,320.4,593.7,165.0,ECOSMOBLTY
2025-07-17,313.2,333.95,311.75,329.35,593.7,165.0,ECOSMOBLTY
2025-07-16,308.5,313.95,306.2,312.5,593.7,165.0,ECOSMOBLTY
