DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,384.0,389.0,383.35,387.2,441.75,305.0,EIHOTEL
2025-10-15,379.0,387.0,377.9,385.25,441.75,305.0,EIHOTEL
2025-10-14,378.6,382.7,376.05,377.85,441.75,305.0,EIHOTEL
2025-10-13,381.25,391.7,376.45,378.6,441.75,305.0,EIHOTEL
2025-10-10,390.0,394.9,384.9,385.65,441.75,305.0,EIHOTEL
2025-10-09,394.5,394.5,387.35,390.45,441.75,305.0,EIHOTEL
2025-10-08,389.05,396.0,385.65,394.95,441.75,305.0,EIHOTEL
2025-10-07,381.3,392.0,379.1,390.1,441.75,305.0,EIHOTEL
2025-10-06,392.0,392.0,381.05,382.2,441.75,305.0,EIHOTEL
2025-10-03,365.65,413.95,364.15,393.25,441.75,305.0,EIHOTEL
2025-10-01,361.25,368.2,359.9,365.65,441.75,305.0,EIHOTEL
2025-09-30,366.0,372.0,358.0,359.9,441.75,305.0,EIHOTEL
2025-09-29,373.0,374.8,363.0,365.5,441.75,305.0,EIHOTEL
2025-09-26,377.1,381.45,371.55,375.15,441.75,305.0,EIHOTEL
2025-09-25,381.4,384.55,378.2,379.2,441.75,305.0,EIHOTEL
2025-09-24,388.0,390.7,382.05,383.45,441.75,305.0,EIHOTEL
2025-09-23,394.0,394.0,384.1,387.2,441.75,305.0,EIHOTEL
2025-09-22,390.0,395.45,388.85,391.55,441.75,305.0,EIHOTEL
2025-09-19,405.0,405.55,390.05,391.1,441.75,305.0,EIHOTEL
2025-09-18,403.25,404.55,400.0,401.85,441.75,305.0,EIHOTEL
2025-09-17,402.0,405.0,397.0,403.25,441.75,305.0,EIHOTEL
2025-09-16,403.1,405.0,398.75,401.05,441.75,305.0,EIHOTEL
2025-09-15,397.15,403.0,394.15,401.0,441.75,305.0,EIHOTEL
2025-09-12,400.0,401.5,395.0,397.15,441.75,305.0,EIHOTEL
2025-09-11,405.0,406.45,398.0,399.35,441.75,305.0,EIHOTEL
2025-09-10,409.5,410.15,399.15,401.15,441.75,305.0,EIHOTEL
2025-09-09,421.6,434.8,405.0,407.7,441.75,305.0,EIHOTEL
2025-09-08,414.05,423.2,408.1,418.15,441.75,305.0,EIHOTEL
2025-09-05,414.0,418.85,408.25,411.15,441.75,305.0,EIHOTEL
2025-09-04,418.0,418.95,410.9,412.3,441.75,305.0,EIHOTEL
2025-09-03,400.9,417.5,400.9,412.5,441.75,305.0,EIHOTEL
2025-09-02,399.95,407.35,396.45,398.05,441.75,305.0,EIHOTEL
2025-09-01,399.9,406.75,395.35,396.8,441.75,305.0,EIHOTEL
2025-08-29,402.0,407.9,397.35,399.0,441.75,305.0,EIHOTEL
2025-08-28,405.0,409.4,400.8,401.95,441.75,305.0,EIHOTEL
2025-08-26,411.2,411.9,401.1,405.45,441.75,305.0,EIHOTEL
2025-08-25,408.95,412.3,404.1,411.2,441.75,305.0,EIHOTEL
2025-08-22,406.0,418.7,403.85,406.2,441.75,305.0,EIHOTEL
2025-08-21,402.0,405.8,397.0,402.3,441.75,305.0,EIHOTEL
2025-08-20,387.0,404.0,385.25,401.5,441.75,305.0,EIHOTEL
2025-08-19,388.95,390.7,382.85,385.2,441.75,305.0,EIHOTEL
2025-08-18,393.85,394.75,384.2,386.3,441.75,305.0,EIHOTEL
2025-08-14,408.25,409.5,390.0,392.1,441.75,305.0,EIHOTEL
2025-08-13,365.2,426.0,364.35,418.45,441.75,305.0,EIHOTEL
2025-08-12,360.0,365.2,359.1,364.5,441.75,305.0,EIHOTEL
2025-08-11,354.1,361.0,352.5,359.65,441.75,305.0,EIHOTEL
2025-08-08,360.0,366.0,354.35,355.7,441.75,305.0,EIHOTEL
2025-08-07,365.2,366.2,351.85,359.4,441.75,305.0,EIHOTEL
2025-08-06,367.0,371.0,360.7,365.55,441.75,305.0,EIHOTEL
2025-08-05,378.0,379.9,369.55,371.85,441.75,305.0,EIHOTEL
2025-08-04,378.0,383.95,370.5,377.5,441.75,305.0,EIHOTEL
2025-08-01,375.0,384.0,375.0,376.35,445.45,305.0,EIHOTEL
2025-07-31,371.2,381.6,371.2,375.5,445.45,305.0,EIHOTEL
