DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-24,458.0,458.55,442.0,443.4,637.7,430.35,ELLEN
2025-10-23,470.0,470.0,452.05,455.2,637.7,430.35,ELLEN
2025-10-21,454.5,463.95,451.45,461.3,637.7,430.35,ELLEN
2025-10-20,466.0,466.0,447.8,449.45,637.7,430.35,ELLEN
2025-10-17,464.0,466.2,454.75,458.95,637.7,430.35,ELLEN
2025-10-16,443.25,469.95,443.25,461.5,637.7,430.35,ELLEN
2025-10-15,453.15,454.9,439.05,443.45,637.7,430.35,ELLEN
2025-10-14,460.0,470.3,448.0,453.15,637.7,430.35,ELLEN
2025-10-13,447.0,462.35,442.4,453.75,637.7,430.35,ELLEN
2025-10-10,435.4,448.95,430.35,445.5,637.7,430.35,ELLEN
2025-10-09,447.6,448.0,432.95,434.15,637.7,432.95,ELLEN
2025-10-08,439.0,451.55,435.1,444.65,637.7,433.0,ELLEN
2025-10-07,462.95,462.95,433.0,435.9,637.7,433.0,ELLEN
2025-10-06,469.9,473.0,451.05,459.8,637.7,451.05,ELLEN
2025-10-03,480.0,480.0,468.0,469.2,637.7,467.0,ELLEN
2025-10-01,469.9,476.0,467.0,469.35,637.7,467.0,ELLEN
2025-09-30,480.0,484.2,467.0,469.7,637.7,467.0,ELLEN
2025-09-29,493.6,502.0,477.3,479.25,637.7,477.3,ELLEN
2025-09-26,497.0,500.05,485.0,487.0,637.7,485.0,ELLEN
2025-09-25,507.2,516.5,494.5,497.05,637.7,486.0,ELLEN
2025-09-24,511.95,520.7,508.05,510.85,637.7,486.0,ELLEN
2025-09-23,517.5,522.5,512.9,514.7,637.7,486.0,ELLEN
2025-09-22,536.2,536.2,518.0,518.75,637.7,486.0,ELLEN
2025-09-19,540.0,540.95,525.0,527.3,637.7,486.0,ELLEN
2025-09-18,547.75,547.75,534.05,536.85,637.7,486.0,ELLEN
2025-09-17,546.7,548.6,541.0,543.1,637.7,486.0,ELLEN
2025-09-16,548.05,550.55,541.3,544.65,637.7,486.0,ELLEN
2025-09-15,551.0,559.8,545.55,547.9,637.7,486.0,ELLEN
