DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,94.56,95.3,93.65,94.11,163.69,89.22,EMBDL
2025-10-21,94.34,94.7,93.31,93.71,163.69,89.22,EMBDL
2025-10-20,93.0,94.42,92.3,93.91,163.69,89.22,EMBDL
2025-10-17,93.77,93.96,91.91,92.76,163.69,89.22,EMBDL
2025-10-16,93.6,95.46,93.34,93.64,163.69,89.22,EMBDL
2025-10-15,92.45,93.67,92.2,93.32,163.69,89.22,EMBDL
2025-10-14,93.4,94.98,91.75,92.14,163.69,89.22,EMBDL
2025-10-13,94.6,94.74,92.83,92.99,163.69,89.22,EMBDL
2025-10-10,94.09,97.42,93.8,95.07,163.69,89.22,EMBDL
2025-10-09,93.8,94.32,93.24,93.95,163.69,89.22,EMBDL
2025-10-08,94.8,95.99,93.01,93.35,163.69,89.22,EMBDL
2025-10-07,95.3,96.5,93.74,94.71,163.69,89.22,EMBDL
2025-10-06,96.9,97.02,94.3,95.29,163.69,89.22,EMBDL
2025-10-03,99.0,99.21,96.1,96.68,163.69,89.22,EMBDL
2025-10-01,93.0,98.25,93.0,97.7,163.69,89.22,EMBDL
2025-09-30,93.09,94.42,91.0,92.23,163.69,89.22,EMBDL
2025-09-29,91.99,94.68,91.5,92.75,163.69,89.22,EMBDL
2025-09-26,93.48,93.64,91.26,91.56,163.69,89.22,EMBDL
2025-09-25,94.95,95.0,93.2,93.4,163.69,89.22,EMBDL
2025-09-24,97.5,97.7,94.5,94.82,163.69,89.22,EMBDL
2025-09-23,98.2,98.24,96.47,97.68,163.69,89.22,EMBDL
2025-09-22,99.7,101.18,97.0,97.75,163.69,89.22,EMBDL
2025-09-19,103.89,104.49,98.6,100.16,163.69,89.22,EMBDL
2025-09-18,98.1,105.7,98.1,104.21,163.69,89.22,EMBDL
2025-09-17,98.7,99.25,97.66,98.16,163.69,89.22,EMBDL
2025-09-16,98.24,100.8,96.21,98.62,163.69,89.22,EMBDL
2025-09-15,93.6,100.65,93.2,98.22,163.69,89.22,EMBDL
2025-09-12,94.31,95.47,92.7,93.19,163.69,89.22,EMBDL
2025-09-11,94.27,96.15,93.65,93.85,163.69,89.22,EMBDL
2025-09-10,94.74,95.62,93.32,94.02,163.69,89.22,EMBDL
2025-09-09,95.68,96.25,93.85,94.24,163.69,89.22,EMBDL
2025-09-08,97.22,97.79,94.8,95.08,163.69,89.22,EMBDL
2025-09-05,97.7,98.4,95.37,96.89,163.69,89.22,EMBDL
2025-09-04,101.5,101.9,97.0,97.4,163.69,89.22,EMBDL
2025-09-03,98.46,101.0,98.1,100.32,163.69,89.22,EMBDL
2025-09-02,94.99,100.82,94.9,98.73,163.69,89.22,EMBDL
2025-09-01,93.99,95.45,93.8,94.29,163.69,89.22,EMBDL
2025-08-29,95.3,95.5,93.18,93.62,163.69,89.22,EMBDL
2025-08-28,96.9,98.58,94.42,94.83,163.69,89.22,EMBDL
2025-08-26,98.0,99.07,95.8,96.17,163.69,89.22,EMBDL
2025-08-25,100.0,101.27,98.6,98.93,163.69,89.22,EMBDL
2025-08-22,99.5,100.5,98.66,99.69,163.69,89.22,EMBDL
2025-08-21,101.19,102.3,98.6,99.5,163.69,89.22,EMBDL
2025-08-20,101.68,101.76,99.46,100.9,163.69,89.22,EMBDL
2025-08-19,94.94,102.59,94.4,101.31,163.69,89.22,EMBDL
2025-08-18,94.2,95.72,93.81,94.41,163.69,89.22,EMBDL
2025-08-14,93.76,95.73,93.04,93.48,163.69,89.22,EMBDL
2025-08-13,94.0,94.28,92.05,93.76,163.69,89.22,EMBDL
2025-08-12,92.0,95.9,91.14,93.6,163.69,89.22,EMBDL
2025-08-11,95.85,96.23,93.85,95.2,163.69,89.22,EMBDL
2025-08-08,99.15,99.54,95.0,95.85,163.69,89.22,EMBDL
2025-08-07,98.95,99.34,96.2,98.73,163.69,89.22,EMBDL
2025-08-06,103.0,103.29,98.3,99.34,163.69,89.22,EMBDL
