DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,1359.9,1373.1,1334.4,1347.5,1532.95,889.0,EMCURE
2025-10-16,1365.0,1379.9,1341.1,1350.3,1532.95,889.0,EMCURE
2025-10-15,1349.9,1374.9,1341.0,1364.5,1532.95,889.0,EMCURE
2025-10-14,1370.0,1391.0,1335.2,1339.0,1532.95,889.0,EMCURE
2025-10-13,1405.2,1422.7,1358.1,1370.6,1532.95,889.0,EMCURE
2025-10-10,1390.5,1435.0,1384.2,1423.2,1532.95,889.0,EMCURE
2025-10-09,1379.0,1418.0,1379.0,1395.8,1532.95,889.0,EMCURE
2025-10-08,1390.1,1417.5,1373.0,1381.7,1532.95,889.0,EMCURE
2025-10-07,1429.1,1430.3,1405.0,1413.4,1532.95,889.0,EMCURE
2025-10-06,1350.4,1448.8,1348.0,1435.3,1532.95,889.0,EMCURE
2025-10-03,1314.3,1345.9,1299.7,1339.9,1532.95,889.0,EMCURE
2025-10-01,1260.0,1315.0,1260.0,1304.3,1532.95,889.0,EMCURE
2025-09-30,1280.0,1301.0,1260.0,1279.9,1532.95,889.0,EMCURE
2025-09-29,1290.0,1295.0,1260.0,1271.8,1532.95,889.0,EMCURE
2025-09-26,1309.0,1324.0,1276.5,1284.2,1532.95,889.0,EMCURE
2025-09-25,1336.0,1342.9,1315.0,1325.8,1532.95,889.0,EMCURE
2025-09-24,1326.0,1330.8,1306.4,1329.9,1532.95,889.0,EMCURE
2025-09-23,1317.0,1329.6,1305.2,1325.0,1532.95,889.0,EMCURE
2025-09-22,1342.5,1344.9,1309.6,1317.0,1532.95,889.0,EMCURE
2025-09-19,1346.0,1354.3,1332.5,1342.5,1580.0,889.0,EMCURE
2025-09-18,1363.0,1363.3,1331.0,1340.9,1580.0,889.0,EMCURE
2025-09-17,1369.9,1369.9,1348.1,1355.0,1580.0,889.0,EMCURE
2025-09-16,1356.0,1368.8,1345.0,1360.4,1580.0,889.0,EMCURE
2025-09-15,1348.9,1375.0,1341.0,1353.4,1580.0,889.0,EMCURE
2025-09-12,1376.7,1384.4,1336.5,1348.9,1580.0,889.0,EMCURE
2025-09-11,1375.0,1387.4,1358.2,1376.7,1580.0,889.0,EMCURE
2025-09-10,1385.9,1390.5,1353.0,1362.2,1580.0,889.0,EMCURE
2025-09-09,1351.0,1391.9,1343.2,1385.3,1580.0,889.0,EMCURE
2025-09-08,1378.0,1399.0,1347.3,1354.3,1580.0,889.0,EMCURE
2025-09-05,1369.1,1391.6,1364.5,1372.7,1580.0,889.0,EMCURE
2025-09-04,1399.3,1401.3,1365.6,1370.7,1580.0,889.0,EMCURE
2025-09-03,1388.0,1388.1,1359.9,1371.4,1580.0,889.0,EMCURE
2025-09-02,1398.0,1398.5,1360.2,1365.1,1580.0,889.0,EMCURE
2025-09-01,1393.4,1409.9,1375.0,1381.6,1580.0,889.0,EMCURE
2025-08-29,1402.0,1429.9,1382.5,1393.4,1580.0,889.0,EMCURE
2025-08-28,1458.9,1465.6,1415.1,1431.8,1580.0,889.0,EMCURE
2025-08-26,1493.6,1493.6,1442.8,1468.6,1580.0,889.0,EMCURE
2025-08-25,1500.5,1509.0,1477.8,1493.6,1580.0,889.0,EMCURE
2025-08-22,1470.0,1502.1,1468.1,1493.1,1580.0,889.0,EMCURE
2025-08-21,1515.0,1519.9,1466.0,1470.0,1580.0,889.0,EMCURE
2025-08-20,1471.0,1511.3,1466.7,1504.5,1580.0,889.0,EMCURE
2025-08-19,1449.0,1488.4,1432.8,1470.2,1580.0,889.0,EMCURE
2025-08-18,1461.5,1474.3,1436.7,1453.5,1580.0,889.0,EMCURE
2025-08-14,1470.9,1499.0,1440.0,1454.8,1580.0,889.0,EMCURE
2025-08-13,1408.5,1470.0,1388.1,1453.8,1580.0,889.0,EMCURE
2025-08-12,1386.0,1415.0,1368.2,1408.5,1580.0,889.0,EMCURE
2025-08-11,1381.0,1399.1,1317.0,1389.9,1580.0,889.0,EMCURE
2025-08-08,1440.7,1440.7,1372.2,1385.7,1580.0,889.0,EMCURE
2025-08-07,1405.0,1449.6,1370.0,1400.7,1580.0,889.0,EMCURE
2025-08-06,1420.5,1442.2,1405.1,1422.3,1580.0,889.0,EMCURE
2025-08-05,1420.5,1443.0,1415.0,1433.9,1580.0,889.0,EMCURE
2025-08-04,1365.7,1420.2,1360.1,1410.9,1580.0,889.0,EMCURE
2025-08-01,1402.5,1419.8,1351.0,1364.2,1580.0,889.0,EMCURE
2025-07-31,1411.0,1422.4,1378.1,1409.6,1580.0,889.0,EMCURE
2025-07-30,1398.9,1458.0,1398.9,1427.7,1580.0,889.0,EMCURE
2025-07-29,1430.0,1430.0,1392.0,1408.9,1580.0,889.0,EMCURE
2025-07-28,1406.1,1434.1,1389.0,1402.7,1580.0,889.0,EMCURE
2025-07-25,1425.2,1433.1,1405.0,1407.8,1580.0,889.0,EMCURE
2025-07-24,1417.2,1440.0,1417.2,1425.4,1580.0,889.0,EMCURE
2025-07-23,1425.7,1458.0,1402.6,1425.2,1580.0,889.0,EMCURE
2025-07-22,1356.0,1425.7,1356.0,1425.7,1580.0,889.0,EMCURE
2025-07-21,1365.0,1371.8,1347.3,1357.9,1580.0,889.0,EMCURE
2025-07-18,1370.0,1385.0,1367.0,1367.2,1580.0,889.0,EMCURE
2025-07-17,1394.8,1394.8,1360.5,1369.5,1580.0,889.0,EMCURE
2025-07-16,1354.9,1392.2,1343.1,1362.5,1580.0,889.0,EMCURE
2025-07-15,1365.7,1374.9,1343.0,1361.6,1580.0,889.0,EMCURE
2025-07-14,1295.0,1361.9,1285.1,1355.2,1580.0,889.0,EMCURE
2025-07-11,1294.0,1329.9,1292.7,1297.2,1580.0,889.0,EMCURE
2025-07-10,1279.0,1294.4,1265.1,1283.0,1580.0,889.0,EMCURE
2025-07-09,1243.0,1261.4,1237.0,1258.2,1580.0,889.0,EMCURE
2025-07-08,1243.0,1256.0,1236.6,1244.4,1580.0,889.0,EMCURE
2025-07-07,1249.9,1259.4,1228.9,1243.1,1580.0,889.0,EMCURE
2025-07-04,1265.0,1282.0,1246.0,1252.3,1580.0,889.0,EMCURE
