DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-06-13,176.65,195.45,171.0,192.31,197.81,72.6,EMKAY
2024-06-12,185.25,187.8,173.61,175.49,197.81,72.6,EMKAY
2024-06-11,196.85,197.81,184.9,187.43,197.81,72.6,EMKAY
2024-06-10,162.0,191.7,159.22,187.55,191.7,72.6,EMKAY
2024-06-07,157.9,163.5,156.05,159.75,184.9,72.5,EMKAY
2024-06-06,164.8,164.8,153.05,155.55,184.9,72.5,EMKAY
2024-06-05,145.35,157.1,142.35,157.1,184.9,72.5,EMKAY
2024-06-04,157.0,158.0,142.25,142.85,184.9,72.5,EMKAY
2024-06-03,164.95,166.95,154.3,158.05,184.9,72.5,EMKAY
2024-05-31,158.0,165.8,157.1,158.25,184.9,72.25,EMKAY
2024-05-30,158.85,160.7,155.7,158.65,184.9,72.25,EMKAY
2024-05-29,145.3,159.85,145.3,159.7,184.9,72.25,EMKAY
2024-05-28,148.7,150.0,143.65,145.35,184.9,72.25,EMKAY
2024-05-27,155.15,155.8,146.2,147.65,184.9,72.25,EMKAY
2024-05-24,156.75,159.45,151.0,152.1,184.9,67.8,EMKAY
2024-05-23,161.3,164.15,156.0,156.7,184.9,67.8,EMKAY
2024-05-22,163.4,167.0,158.35,160.2,184.9,67.8,EMKAY
2024-05-21,164.0,168.2,159.2,160.75,184.9,67.8,EMKAY
2024-05-18,171.1,173.0,163.2,164.65,184.9,67.8,EMKAY
2024-05-17,169.5,178.0,166.85,170.05,184.9,67.8,EMKAY
2024-05-16,160.25,173.8,157.0,170.05,184.9,67.8,EMKAY
2024-05-15,159.5,164.5,157.35,159.0,184.9,67.8,EMKAY
2024-05-14,167.6,169.6,157.0,158.9,184.9,67.8,EMKAY
2024-05-13,159.8,168.1,158.25,164.35,184.9,67.8,EMKAY
2024-05-10,151.5,164.1,147.3,164.1,184.9,67.8,EMKAY
2024-05-09,157.6,158.45,148.1,149.2,184.9,67.8,EMKAY
2024-05-08,157.5,161.5,154.35,156.45,184.9,67.8,EMKAY
2024-05-07,167.7,167.7,154.35,156.9,184.9,67.8,EMKAY
2024-05-06,167.3,172.05,164.55,166.1,184.9,67.8,EMKAY
2024-05-03,177.0,177.0,164.2,166.4,184.9,67.8,EMKAY
2024-05-02,173.9,179.8,172.1,174.0,184.9,67.8,EMKAY
2024-04-30,178.85,184.9,169.0,171.95,184.9,67.8,EMKAY
2024-04-29,162.9,179.15,162.8,178.35,183.0,67.8,EMKAY
2024-04-26,153.0,165.0,152.55,162.9,183.0,67.8,EMKAY
2024-04-25,155.0,157.05,148.55,150.0,183.0,67.8,EMKAY
2024-04-24,157.2,162.95,154.15,154.95,183.0,67.8,EMKAY
2024-04-23,149.7,161.45,149.3,158.65,183.0,67.8,EMKAY
2024-04-22,155.15,156.9,145.4,147.85,183.0,67.8,EMKAY
2024-04-19,140.0,155.75,136.0,154.8,183.0,66.05,EMKAY
