DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,101.3,102.0,99.31,101.31,177.99,79.96,EMMBI
2025-10-17,101.32,102.44,98.02,99.31,177.99,79.96,EMMBI
2025-10-16,101.69,102.75,100.4,100.9,177.99,79.96,EMMBI
2025-10-15,100.99,102.83,99.17,101.39,177.99,79.96,EMMBI
2025-10-14,101.36,101.99,98.25,99.06,177.99,79.96,EMMBI
2025-10-13,103.24,103.95,101.3,101.66,177.99,79.96,EMMBI
2025-10-10,97.6,104.89,97.43,101.47,177.99,79.96,EMMBI
2025-10-09,99.6,101.38,95.41,96.44,177.99,79.96,EMMBI
2025-10-08,101.83,102.7,100.25,101.0,177.99,79.96,EMMBI
2025-10-07,103.0,105.19,100.15,101.15,177.99,79.96,EMMBI
2025-10-06,102.31,103.01,100.01,102.68,177.99,79.96,EMMBI
2025-10-03,102.39,102.94,100.65,102.24,177.99,79.96,EMMBI
2025-10-01,100.1,103.99,100.1,102.39,177.99,79.96,EMMBI
2025-09-30,101.0,103.09,98.0,101.21,177.99,79.96,EMMBI
2025-09-29,103.39,104.0,99.22,100.31,177.99,79.96,EMMBI
2025-09-26,102.78,104.95,101.62,102.2,177.99,79.96,EMMBI
2025-09-25,104.03,104.73,102.55,102.55,177.99,79.96,EMMBI
2025-09-24,106.2,106.22,102.91,103.41,177.99,79.96,EMMBI
2025-09-23,106.65,106.75,104.78,106.72,177.99,79.96,EMMBI
2025-09-22,107.99,107.99,103.35,104.95,177.99,79.96,EMMBI
2025-09-19,106.1,107.0,105.32,106.03,177.99,79.96,EMMBI
2025-09-18,108.8,108.8,104.62,106.5,177.99,79.96,EMMBI
2025-09-17,106.96,108.9,106.5,107.24,177.99,79.96,EMMBI
2025-09-16,106.99,107.0,105.28,106.62,177.99,79.96,EMMBI
2025-09-15,105.0,106.98,104.99,105.62,177.99,79.96,EMMBI
2025-09-12,104.89,105.58,104.5,105.06,177.99,79.96,EMMBI
2025-09-11,105.49,105.59,104.25,104.83,177.99,79.96,EMMBI
2025-09-10,104.01,108.73,103.7,104.59,177.99,79.96,EMMBI
2025-09-09,103.93,104.76,102.38,104.14,177.99,79.96,EMMBI
2025-09-08,103.5,104.4,103.5,103.54,177.99,79.96,EMMBI
2025-09-05,103.63,104.25,103.54,103.54,177.99,79.96,EMMBI
2025-09-04,104.81,105.89,102.25,103.03,177.99,79.96,EMMBI
2025-09-03,104.0,105.79,103.67,103.97,177.99,79.96,EMMBI
2025-09-02,106.5,106.5,102.15,103.6,177.99,79.96,EMMBI
2025-09-01,101.49,105.0,101.49,104.4,177.99,79.96,EMMBI
2025-08-29,102.65,104.98,100.4,101.49,177.99,79.96,EMMBI
2025-08-28,99.2,111.16,97.3,100.65,177.99,79.96,EMMBI
2025-08-26,101.74,101.74,99.1,99.77,177.99,79.96,EMMBI
2025-08-25,103.41,103.51,99.82,101.08,177.99,79.96,EMMBI
2025-08-22,104.64,105.58,101.37,102.7,177.99,79.96,EMMBI
2025-08-21,106.5,106.5,104.62,105.65,177.99,79.96,EMMBI
2025-08-20,106.5,108.0,105.0,105.83,177.99,79.96,EMMBI
2025-08-19,102.38,106.5,101.84,105.19,177.99,79.96,EMMBI
2025-08-18,101.0,102.9,100.83,101.52,177.99,79.96,EMMBI
2025-08-14,101.2,102.95,100.0,100.77,177.99,79.96,EMMBI
2025-08-13,101.6,103.32,100.72,101.89,177.99,79.96,EMMBI
2025-08-12,103.52,105.55,102.05,103.61,177.99,79.96,EMMBI
2025-08-11,102.79,104.38,101.78,103.52,177.99,79.96,EMMBI
2025-08-08,102.62,107.6,102.62,103.54,177.99,79.96,EMMBI
2025-08-07,102.6,103.99,101.1,101.84,177.99,79.96,EMMBI
2025-08-06,108.77,108.99,103.2,104.31,177.99,79.96,EMMBI
2025-08-05,109.02,109.71,108.0,108.48,177.99,79.96,EMMBI
2025-08-04,109.1,110.3,108.05,108.33,177.99,79.96,EMMBI
2025-08-01,109.03,111.38,108.0,109.68,177.99,79.96,EMMBI
2025-07-31,108.8,110.69,108.8,109.14,177.99,79.96,EMMBI
2025-07-30,110.83,111.99,109.51,110.2,177.99,79.96,EMMBI
2025-07-29,110.11,110.98,108.99,110.26,177.99,79.96,EMMBI
2025-07-28,113.12,113.51,109.3,109.73,177.99,79.96,EMMBI
2025-07-25,116.24,116.24,112.15,113.13,177.99,79.96,EMMBI
2025-07-24,112.0,116.3,111.78,114.74,177.99,79.96,EMMBI
2025-07-23,109.96,117.0,108.75,112.44,177.99,79.96,EMMBI
2025-07-22,108.94,110.79,108.83,109.51,177.99,79.96,EMMBI
2025-07-21,109.19,109.94,108.0,108.18,177.99,79.96,EMMBI
2025-07-18,109.0,110.34,108.5,108.63,177.99,79.96,EMMBI
2025-07-17,110.04,110.7,108.25,108.66,177.99,79.96,EMMBI
2025-07-16,110.47,111.24,109.01,109.35,177.99,79.96,EMMBI
2025-07-15,109.0,111.24,108.69,110.37,177.99,79.96,EMMBI
2025-07-14,107.11,109.69,107.11,108.1,177.99,79.96,EMMBI
2025-07-11,107.9,109.25,107.11,107.77,177.99,79.96,EMMBI
2025-07-10,109.43,110.4,108.06,108.4,177.99,79.96,EMMBI
2025-07-09,109.8,110.49,108.02,108.89,177.99,79.96,EMMBI
2025-07-08,109.5,111.28,108.15,108.73,177.99,79.96,EMMBI
2025-07-07,112.0,113.0,107.15,108.72,177.99,79.96,EMMBI
2025-07-04,111.6,113.25,111.32,112.38,177.99,79.96,EMMBI
2025-07-03,113.07,114.65,111.5,112.16,177.99,79.96,EMMBI
2025-07-02,114.7,114.7,111.6,113.17,177.99,79.96,EMMBI
2025-07-01,110.49,115.0,109.85,113.41,177.99,79.96,EMMBI
2025-06-30,109.59,111.0,109.0,109.58,177.99,79.96,EMMBI
2025-06-27,110.2,111.93,108.45,109.12,177.99,79.96,EMMBI
2025-06-26,111.8,112.58,108.32,109.34,177.99,79.96,EMMBI
2025-06-25,110.0,111.0,108.11,110.64,177.99,79.96,EMMBI
2025-06-24,107.8,110.99,107.6,108.49,177.99,79.96,EMMBI
2025-06-23,110.55,111.59,105.6,107.22,177.99,79.96,EMMBI
2025-06-20,110.6,112.47,108.38,110.25,177.99,79.96,EMMBI
2025-06-19,113.05,113.96,107.76,108.43,177.99,79.96,EMMBI
2025-06-18,111.7,114.69,110.32,110.81,177.99,79.96,EMMBI
2025-06-17,115.76,116.89,110.79,111.7,177.99,79.96,EMMBI
2025-06-16,114.0,116.21,112.67,115.02,177.99,79.96,EMMBI
2025-06-13,117.1,117.1,113.11,114.4,177.99,79.96,EMMBI
2025-06-12,120.34,121.5,116.0,116.68,177.99,79.96,EMMBI
2025-06-11,117.0,121.7,115.92,118.18,177.99,79.96,EMMBI
2025-06-10,113.75,116.51,113.75,116.11,177.99,79.96,EMMBI
2025-06-09,115.7,117.26,113.51,114.2,177.99,79.96,EMMBI
2025-06-06,114.9,115.0,112.42,113.99,177.99,79.96,EMMBI
2025-06-05,111.55,114.54,110.92,113.78,177.99,79.96,EMMBI
2025-06-04,112.39,112.79,108.52,110.45,177.99,79.96,EMMBI
2025-06-03,114.7,114.84,111.0,112.28,177.99,79.96,EMMBI
2025-06-02,112.0,114.64,111.32,113.8,177.99,79.96,EMMBI
2025-05-30,107.72,117.0,105.63,110.9,177.99,79.96,EMMBI
2025-05-29,108.56,110.09,106.0,106.66,177.99,79.96,EMMBI
2025-05-28,113.99,113.99,108.78,110.05,177.99,79.96,EMMBI
2025-05-27,112.5,113.83,110.5,112.24,177.99,79.96,EMMBI
2025-05-26,119.3,120.0,109.82,111.89,177.99,79.96,EMMBI
2025-05-23,118.46,126.0,116.2,122.95,177.99,79.96,EMMBI
2025-05-22,119.77,121.19,117.52,118.75,177.99,79.96,EMMBI
2025-05-21,123.0,123.0,118.36,121.14,177.99,79.96,EMMBI
2025-05-20,118.1,126.99,117.23,123.22,177.99,79.96,EMMBI
2025-05-19,119.72,120.53,117.52,118.56,177.99,79.96,EMMBI
2025-05-16,120.42,121.0,117.01,119.72,177.99,79.96,EMMBI
2025-05-15,118.5,121.0,117.03,119.0,177.99,79.96,EMMBI
2025-05-14,107.86,118.7,107.85,116.23,177.99,79.96,EMMBI
2025-05-13,108.4,109.85,107.02,107.75,177.99,79.96,EMMBI
2025-05-12,106.7,109.3,105.75,106.34,177.99,79.96,EMMBI
2025-05-09,101.0,105.5,99.91,104.66,177.99,79.96,EMMBI
2025-05-08,106.1,109.5,101.55,102.83,177.99,79.96,EMMBI
2025-05-07,101.55,108.79,101.55,106.09,177.99,79.96,EMMBI
2025-05-06,108.43,108.43,103.0,103.88,177.99,79.96,EMMBI
2025-05-05,107.0,109.79,104.61,108.79,177.99,79.96,EMMBI
2025-05-02,105.75,107.99,102.71,105.06,177.99,79.96,EMMBI
2025-04-30,106.49,106.91,104.25,104.64,177.99,79.96,EMMBI
2025-04-29,108.8,111.25,105.17,106.84,177.99,79.96,EMMBI
2025-04-28,108.99,109.0,105.0,107.15,177.99,79.96,EMMBI
2025-04-25,113.2,113.2,101.8,106.87,177.99,79.96,EMMBI
2025-04-24,112.49,114.25,112.03,113.12,177.99,79.96,EMMBI
