DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,19.71,20.75,19.71,20.5,37.9,16.4,ENERGYDEV
2025-10-15,19.84,20.85,19.39,19.91,37.9,16.4,ENERGYDEV
2025-10-14,19.89,20.0,19.25,19.8,37.9,16.4,ENERGYDEV
2025-10-13,19.52,19.95,19.16,19.7,37.9,16.4,ENERGYDEV
2025-10-10,20.31,20.31,19.45,19.76,37.9,16.4,ENERGYDEV
2025-10-09,20.42,21.15,19.8,20.06,37.9,16.4,ENERGYDEV
2025-10-08,19.45,21.24,19.44,20.22,37.9,16.4,ENERGYDEV
2025-10-07,19.2,19.37,19.06,19.2,37.9,16.4,ENERGYDEV
2025-10-06,19.1,19.45,18.81,19.06,37.9,16.4,ENERGYDEV
2025-10-03,18.95,19.4,18.9,18.97,37.9,16.4,ENERGYDEV
2025-10-01,18.95,19.49,18.8,19.23,37.9,16.4,ENERGYDEV
2025-09-30,18.74,19.2,18.74,18.95,37.9,16.4,ENERGYDEV
2025-09-29,19.4,19.55,18.55,18.74,37.9,16.4,ENERGYDEV
2025-09-26,19.6,20.2,18.82,19.09,37.9,16.4,ENERGYDEV
2025-09-25,20.17,20.46,19.71,19.81,37.9,16.4,ENERGYDEV
2025-09-24,20.26,20.37,19.9,20.07,37.9,16.4,ENERGYDEV
2025-09-23,20.2,20.8,19.88,20.26,37.9,16.4,ENERGYDEV
2025-09-22,20.93,21.0,19.3,19.87,37.9,16.4,ENERGYDEV
2025-06-16,24.95,26.75,23.77,24.53,37.9,16.4,ENERGYDEV
2025-06-13,27.0,27.13,25.16,25.33,37.9,16.4,ENERGYDEV
2025-06-12,27.85,29.85,27.21,27.96,37.9,16.4,ENERGYDEV
2025-06-11,22.8,26.53,22.8,26.53,37.9,16.4,ENERGYDEV
2025-06-10,20.34,22.91,20.01,22.11,37.9,16.4,ENERGYDEV
2025-06-09,19.15,20.51,19.15,20.01,37.9,16.4,ENERGYDEV
2025-06-06,19.65,20.4,19.03,19.27,37.9,16.4,ENERGYDEV
2025-06-05,19.39,19.74,19.03,19.26,37.9,16.4,ENERGYDEV
2025-06-04,19.27,19.48,19.08,19.38,37.9,16.4,ENERGYDEV
2025-06-03,19.57,19.79,19.0,19.18,37.9,16.4,ENERGYDEV
2025-06-02,19.35,19.84,18.7,19.58,37.9,16.4,ENERGYDEV
2025-05-30,19.45,19.7,18.86,19.34,37.9,16.4,ENERGYDEV
2025-05-29,20.47,20.47,19.01,19.25,37.9,16.4,ENERGYDEV
2025-05-28,19.78,19.99,19.51,19.82,37.9,16.4,ENERGYDEV
2025-05-27,20.22,20.22,19.65,19.78,37.9,16.4,ENERGYDEV
2025-05-26,19.59,19.97,19.4,19.63,37.9,16.4,ENERGYDEV
2025-05-23,19.65,19.65,19.23,19.4,37.9,16.4,ENERGYDEV
2025-05-22,19.35,19.54,19.01,19.39,37.9,16.4,ENERGYDEV
2025-05-21,19.11,20.4,19.11,19.37,37.9,16.4,ENERGYDEV
2025-05-20,19.87,19.87,19.01,19.21,37.9,16.4,ENERGYDEV
2025-05-19,19.95,20.4,19.12,19.4,37.9,16.4,ENERGYDEV
2025-05-16,19.56,20.86,19.4,19.75,37.9,16.4,ENERGYDEV
2025-05-15,19.0,19.48,19.0,19.36,37.9,16.4,ENERGYDEV
2025-05-14,19.02,19.64,19.02,19.09,37.9,16.4,ENERGYDEV
2025-05-13,19.0,19.84,18.89,19.01,37.9,16.4,ENERGYDEV
2025-05-12,18.78,19.22,17.65,19.0,37.9,16.4,ENERGYDEV
2025-05-09,17.98,18.14,17.35,17.48,37.9,16.4,ENERGYDEV
2025-05-08,18.5,18.7,18.06,18.14,37.9,16.4,ENERGYDEV
2025-05-07,17.01,18.04,17.01,17.98,37.9,16.4,ENERGYDEV
2025-05-06,18.46,18.75,17.11,17.34,37.9,16.4,ENERGYDEV
2025-05-05,18.47,18.9,18.4,18.75,37.9,16.4,ENERGYDEV
2025-05-02,18.57,18.98,18.14,18.29,37.9,16.4,ENERGYDEV
