DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,129.6,136.89,129.6,131.65,198.5,121.0,ENIL
2025-11-13,129.1,134.07,128.52,131.58,198.5,121.0,ENIL
2025-11-12,129.0,132.9,126.55,127.41,198.5,121.0,ENIL
2025-11-11,133.99,133.99,128.5,130.0,198.5,121.0,ENIL
2025-11-10,132.25,135.38,131.2,132.4,198.5,121.0,ENIL
2025-11-07,131.0,135.9,130.07,134.34,200.0,121.0,ENIL
2025-11-06,138.0,141.0,130.61,131.66,200.0,121.0,ENIL
2025-11-04,134.0,136.89,133.13,135.3,200.0,121.0,ENIL
2025-11-03,134.51,134.51,132.15,134.03,200.0,121.0,ENIL
2025-10-31,135.0,135.97,132.32,133.29,200.0,121.0,ENIL
2025-10-30,139.0,139.99,133.47,135.52,200.0,121.0,ENIL
2025-10-29,139.6,139.6,135.15,137.48,200.0,121.0,ENIL
2025-10-28,139.32,140.5,137.31,138.16,200.0,121.0,ENIL
2025-10-27,142.49,142.49,138.0,139.12,200.0,121.0,ENIL
2025-10-24,140.11,141.1,139.0,140.96,203.11,121.0,ENIL
2025-10-23,142.72,142.79,140.0,140.76,203.11,121.0,ENIL
2025-10-21,143.2,143.9,139.79,141.9,203.11,121.0,ENIL
2025-10-20,147.24,147.24,141.1,141.54,203.11,121.0,ENIL
2025-10-17,144.99,146.58,142.25,145.94,219.98,121.0,ENIL
2025-10-16,141.2,145.98,140.15,144.79,219.98,121.0,ENIL
2025-10-15,144.8,144.82,141.37,143.26,219.98,121.0,ENIL
2025-10-14,145.2,146.68,144.1,144.15,219.98,121.0,ENIL
2025-10-13,145.1,147.4,145.1,146.2,219.98,121.0,ENIL
2025-10-10,149.48,150.0,147.0,147.41,219.98,121.0,ENIL
2025-10-09,151.17,151.17,148.5,148.82,219.98,121.0,ENIL
2025-10-08,151.8,153.0,148.8,150.82,219.98,121.0,ENIL
2025-10-07,152.5,153.68,147.89,150.22,219.98,121.0,ENIL
2025-10-06,156.1,156.49,152.21,152.88,219.98,121.0,ENIL
2025-10-03,155.01,158.0,151.31,157.32,238.55,121.0,ENIL
2025-10-01,160.9,160.9,155.27,156.0,238.55,121.0,ENIL
2025-09-30,157.01,160.0,155.15,158.92,238.55,121.0,ENIL
2025-09-29,163.9,163.9,157.0,157.57,238.55,121.0,ENIL
2025-09-26,163.99,163.99,157.35,161.92,238.55,121.0,ENIL
2025-09-25,157.25,163.95,157.25,162.45,238.55,121.0,ENIL
2025-09-24,161.18,163.49,157.25,157.91,238.55,121.0,ENIL
2025-09-23,165.81,165.81,158.01,160.61,238.55,121.0,ENIL
2025-09-22,164.0,166.45,164.0,164.76,238.55,121.0,ENIL
2025-09-19,163.0,165.1,161.91,164.75,238.55,121.0,ENIL
2025-09-18,160.83,162.29,159.0,161.46,238.55,121.0,ENIL
2025-09-17,162.99,162.99,159.06,160.03,238.55,121.0,ENIL
2025-09-16,160.1,162.26,159.0,161.61,238.55,121.0,ENIL
2025-09-15,162.2,163.9,159.0,159.56,238.55,121.0,ENIL
2025-09-12,161.44,164.9,159.06,162.14,238.55,121.0,ENIL
2025-09-11,161.4,165.0,160.67,160.97,238.55,121.0,ENIL
2025-09-10,162.7,162.7,159.9,161.73,238.55,121.0,ENIL
2025-09-09,162.0,162.5,158.35,160.89,238.55,121.0,ENIL
2025-09-08,160.9,161.65,156.59,160.56,238.55,121.0,ENIL
2025-09-05,161.41,163.9,158.1,158.29,238.55,121.0,ENIL
2025-09-04,163.0,164.85,161.51,162.35,238.55,121.0,ENIL
2025-09-03,164.05,166.79,162.66,163.24,238.55,121.0,ENIL
2025-09-02,162.2,165.48,159.2,164.9,238.55,121.0,ENIL
2025-09-01,161.71,164.68,159.01,160.35,238.55,121.0,ENIL
2025-08-29,165.8,167.0,160.65,161.71,238.55,121.0,ENIL
2025-08-28,172.0,174.58,166.21,167.15,238.55,121.0,ENIL
2025-08-26,167.07,172.0,163.16,170.99,238.55,121.0,ENIL
2025-08-25,158.31,169.85,156.05,165.1,238.55,121.0,ENIL
2025-08-22,160.0,161.5,157.35,158.7,238.55,121.0,ENIL
2025-08-21,165.79,165.79,158.39,159.69,238.55,121.0,ENIL
2025-08-20,167.0,167.27,164.0,165.34,238.55,121.0,ENIL
2025-08-19,161.0,167.04,156.95,166.52,238.55,121.0,ENIL
2025-08-18,164.86,166.01,161.03,162.53,238.55,121.0,ENIL
2025-08-14,160.8,164.98,160.8,163.22,238.55,121.0,ENIL
2025-08-13,168.1,169.6,160.4,161.31,238.55,121.0,ENIL
2025-08-12,164.84,169.16,161.05,165.91,238.55,121.0,ENIL
2025-08-11,166.0,166.8,156.8,158.51,238.55,121.0,ENIL
2025-08-08,163.7,165.3,157.35,163.51,238.55,121.0,ENIL
2025-08-07,151.7,162.78,150.35,160.84,238.55,121.0,ENIL
2025-08-06,153.06,163.0,150.19,152.31,238.55,121.0,ENIL
2025-08-05,155.9,157.0,150.99,156.18,238.55,121.0,ENIL
2025-08-04,147.2,155.99,143.52,153.17,238.55,121.0,ENIL
