DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,313.8,314.9,302.0,304.8,344.0,179.32,EPACKPEB
2025-11-21,324.0,324.7,305.65,309.5,344.0,179.32,EPACKPEB
2025-11-20,312.3,337.8,312.25,323.65,344.0,179.32,EPACKPEB
2025-11-19,332.0,337.95,297.35,308.15,344.0,179.32,EPACKPEB
2025-11-18,330.0,331.5,323.65,329.35,344.0,179.32,EPACKPEB
2025-11-17,335.85,335.85,322.3,328.6,344.0,179.32,EPACKPEB
2025-11-14,317.2,329.2,312.4,327.55,344.0,179.32,EPACKPEB
2025-11-13,314.6,320.8,312.65,317.25,344.0,179.32,EPACKPEB
2025-11-12,317.75,324.45,308.1,310.55,344.0,179.32,EPACKPEB
2025-11-11,331.65,334.0,306.45,317.9,344.0,179.32,EPACKPEB
2025-11-10,325.0,338.0,318.05,330.05,344.0,179.32,EPACKPEB
2025-11-07,321.6,344.0,316.85,327.95,344.0,179.32,EPACKPEB
2025-11-06,299.2,332.0,293.0,326.35,332.0,179.32,EPACKPEB
2025-11-04,291.0,305.0,282.2,301.45,305.0,179.32,EPACKPEB
2025-11-03,257.4,302.0,250.3,295.6,302.0,179.32,EPACKPEB
2025-10-31,264.0,264.0,256.0,258.62,282.77,179.32,EPACKPEB
2025-10-30,264.0,266.96,258.5,264.73,282.77,179.32,EPACKPEB
2025-10-29,254.0,272.31,253.52,268.75,282.77,179.32,EPACKPEB
2025-10-28,280.49,282.77,247.83,251.97,282.77,179.32,EPACKPEB
2025-10-27,275.0,280.0,255.3,272.03,280.0,179.32,EPACKPEB
2025-10-24,239.01,278.0,237.65,268.57,278.0,179.32,EPACKPEB
2025-10-23,227.0,244.12,215.74,232.07,244.12,179.32,EPACKPEB
2025-10-21,202.0,204.5,201.16,203.44,205.0,179.32,EPACKPEB
2025-10-20,201.0,202.95,198.0,200.23,205.0,179.32,EPACKPEB
2025-10-17,200.17,203.5,199.5,200.0,205.0,179.32,EPACKPEB
2025-10-16,200.0,201.64,197.52,200.17,205.0,179.32,EPACKPEB
2025-10-15,205.0,205.0,196.56,198.31,205.0,179.32,EPACKPEB
2025-10-14,199.5,202.0,196.3,200.39,202.0,179.32,EPACKPEB
2025-10-13,192.98,199.5,189.0,197.96,199.7,179.32,EPACKPEB
2025-10-10,192.67,199.7,190.8,193.75,199.7,179.32,EPACKPEB
2025-10-09,188.28,195.75,186.38,191.7,199.0,179.32,EPACKPEB
2025-10-08,182.39,195.4,182.39,188.86,199.0,179.32,EPACKPEB
2025-10-07,186.24,186.82,179.32,183.96,199.0,179.32,EPACKPEB
2025-10-06,195.0,199.0,184.31,186.01,199.0,183.85,EPACKPEB
2025-10-03,189.99,196.9,188.05,194.25,197.7,183.85,EPACKPEB
2025-10-01,183.85,197.7,183.85,190.66,197.7,183.85,EPACKPEB
