DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,380.95,385.4,371.7,376.25,475.2,272.3,EVEREADY
2025-10-15,358.0,394.0,358.0,381.7,475.2,272.3,EVEREADY
2025-10-14,372.2,372.2,354.45,355.2,475.2,272.3,EVEREADY
2025-10-13,382.6,384.65,367.85,369.25,475.2,272.3,EVEREADY
2025-10-10,368.6,384.8,366.6,380.55,475.2,272.3,EVEREADY
2025-10-09,374.3,374.3,366.45,368.7,475.2,272.3,EVEREADY
2025-10-08,369.95,380.15,367.65,372.5,475.2,272.3,EVEREADY
2025-10-07,369.65,373.4,363.65,368.95,475.2,272.3,EVEREADY
2025-10-06,380.2,384.9,369.5,370.55,475.2,272.3,EVEREADY
2025-10-03,382.0,387.25,376.65,379.95,475.2,272.3,EVEREADY
2025-10-01,377.7,387.7,376.85,381.3,475.2,272.3,EVEREADY
2025-09-30,395.0,397.8,375.4,377.7,475.2,272.3,EVEREADY
2025-09-29,390.9,397.35,390.05,395.0,475.2,272.3,EVEREADY
2025-09-26,393.0,399.0,386.6,389.35,490.0,272.3,EVEREADY
2025-09-25,406.2,409.5,395.8,396.7,490.0,272.3,EVEREADY
2025-09-24,416.1,417.7,405.15,406.2,490.0,272.3,EVEREADY
2025-09-23,419.4,423.55,414.7,416.1,490.0,272.3,EVEREADY
2025-09-22,422.3,427.9,415.2,418.4,490.0,272.3,EVEREADY
2025-09-19,428.0,429.6,418.75,422.35,490.0,272.3,EVEREADY
2025-09-18,433.95,436.75,426.0,427.9,490.0,272.3,EVEREADY
2025-09-17,438.7,442.1,430.1,433.0,490.0,272.3,EVEREADY
2025-09-16,446.0,446.0,436.0,437.0,490.0,272.3,EVEREADY
2025-09-15,442.6,447.85,426.0,445.15,490.0,272.3,EVEREADY
2025-09-12,443.95,456.2,435.5,437.8,490.0,272.3,EVEREADY
2025-09-11,447.75,457.65,441.05,442.2,490.0,272.3,EVEREADY
2025-09-10,452.05,458.8,432.15,446.75,490.0,272.3,EVEREADY
2025-09-09,455.8,463.7,451.3,454.6,490.0,272.3,EVEREADY
2025-09-08,467.15,469.6,451.1,454.4,490.0,272.3,EVEREADY
2025-09-05,469.5,475.2,457.05,467.15,490.0,272.3,EVEREADY
