DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,570.0,570.0,540.0,544.1,1267.3,490.5,EVERESTIND
2025-11-21,575.0,575.0,553.05,557.9,1267.3,490.5,EVERESTIND
2025-11-20,554.75,568.45,550.0,560.25,1267.3,490.5,EVERESTIND
2025-11-19,575.0,575.0,551.0,554.7,1267.3,490.5,EVERESTIND
2025-11-18,557.1,566.05,557.1,559.2,1267.3,490.5,EVERESTIND
2025-11-17,573.3,585.0,555.1,561.2,1294.95,490.5,EVERESTIND
2025-11-14,571.25,575.25,568.6,573.3,1294.95,490.5,EVERESTIND
2025-11-13,585.05,585.95,566.55,576.45,1294.95,490.5,EVERESTIND
2025-11-12,565.95,590.95,565.95,584.25,1294.95,490.5,EVERESTIND
2025-11-11,597.0,597.0,550.0,566.1,1294.95,490.5,EVERESTIND
2025-11-10,583.8,583.8,568.6,578.4,1294.95,490.5,EVERESTIND
2025-11-07,581.2,595.0,580.0,585.45,1294.95,490.5,EVERESTIND
2025-11-06,580.1,589.45,575.1,580.25,1294.95,490.5,EVERESTIND
2025-11-04,592.85,598.0,583.05,586.35,1294.95,490.5,EVERESTIND
2025-11-03,594.25,605.0,589.1,598.85,1294.95,490.5,EVERESTIND
2025-10-31,594.0,598.85,580.25,594.2,1294.95,490.5,EVERESTIND
2025-10-30,581.95,589.95,566.65,585.75,1294.95,490.5,EVERESTIND
2025-10-29,599.2,618.25,596.65,612.5,1294.95,490.5,EVERESTIND
2025-10-28,615.75,633.15,581.05,596.05,1294.95,490.5,EVERESTIND
2025-10-27,640.95,642.8,614.1,615.75,1294.95,490.5,EVERESTIND
2025-10-24,662.35,662.85,630.1,640.95,1294.95,490.5,EVERESTIND
2025-10-23,657.7,669.5,648.4,662.2,1294.95,490.5,EVERESTIND
2025-10-21,660.0,663.95,654.0,654.3,1294.95,490.5,EVERESTIND
2025-10-20,660.25,663.1,643.0,653.45,1294.95,490.5,EVERESTIND
2025-10-17,670.65,674.15,658.0,660.2,1294.95,490.5,EVERESTIND
2025-10-16,668.8,678.9,666.0,669.2,1294.95,490.5,EVERESTIND
2025-10-15,663.7,672.0,661.65,668.9,1294.95,490.5,EVERESTIND
2025-10-14,665.0,681.0,660.3,665.0,1294.95,490.5,EVERESTIND
2025-10-13,679.05,681.8,665.0,666.35,1294.95,490.5,EVERESTIND
2025-10-10,679.9,691.95,669.0,679.05,1294.95,490.5,EVERESTIND
2025-10-09,690.0,695.0,668.4,686.1,1294.95,490.5,EVERESTIND
2025-10-08,683.25,707.4,667.0,685.7,1294.95,490.5,EVERESTIND
2025-10-07,694.55,697.8,666.85,673.15,1294.95,490.5,EVERESTIND
2025-10-06,714.8,717.0,684.0,689.35,1294.95,490.5,EVERESTIND
2025-10-03,681.3,724.0,680.85,714.8,1294.95,490.5,EVERESTIND
2025-10-01,671.0,691.0,671.0,683.35,1294.95,490.5,EVERESTIND
2025-09-30,691.1,696.3,671.05,675.6,1294.95,490.5,EVERESTIND
2025-09-29,690.0,703.95,675.25,697.4,1294.95,490.5,EVERESTIND
2025-09-26,717.5,717.5,677.0,680.2,1294.95,490.5,EVERESTIND
2025-09-25,723.9,737.2,705.8,713.95,1294.95,490.5,EVERESTIND
2025-09-24,718.95,750.0,700.0,720.1,1294.95,490.5,EVERESTIND
2025-09-23,687.95,723.8,687.95,713.65,1294.95,490.5,EVERESTIND
2025-09-22,689.0,712.0,682.0,687.95,1294.95,490.5,EVERESTIND
2025-09-19,683.9,742.5,681.5,689.15,1294.95,490.5,EVERESTIND
2025-09-18,675.0,685.95,671.5,680.35,1294.95,490.5,EVERESTIND
2025-09-17,678.9,678.9,665.7,671.7,1294.95,490.5,EVERESTIND
2025-09-16,672.1,684.0,658.65,662.4,1294.95,490.5,EVERESTIND
2025-09-15,680.0,682.95,667.05,672.05,1294.95,490.5,EVERESTIND
2025-09-12,677.05,686.0,663.1,679.9,1294.95,490.5,EVERESTIND
2025-09-11,658.3,683.95,653.7,673.9,1294.95,490.5,EVERESTIND
2025-09-10,670.35,674.95,654.05,658.3,1294.95,490.5,EVERESTIND
2025-09-09,686.35,692.45,671.0,675.15,1294.95,490.5,EVERESTIND
2025-09-08,669.7,693.4,666.2,686.35,1294.95,490.5,EVERESTIND
2025-09-05,673.4,677.9,663.5,666.2,1294.95,490.5,EVERESTIND
2025-09-04,682.55,689.8,654.3,666.75,1294.95,490.5,EVERESTIND
2025-09-03,666.95,677.4,645.25,669.15,1294.95,490.5,EVERESTIND
2025-09-02,673.3,677.35,661.0,667.6,1294.95,490.5,EVERESTIND
2025-09-01,675.0,684.0,664.95,673.4,1294.95,490.5,EVERESTIND
2025-08-29,629.0,674.9,629.0,669.2,1294.95,490.5,EVERESTIND
2025-08-28,621.0,627.0,606.4,622.05,1294.95,490.5,EVERESTIND
2025-08-26,620.2,638.0,614.0,620.3,1294.95,490.5,EVERESTIND
2025-08-25,614.75,637.95,611.0,625.9,1294.95,490.5,EVERESTIND
2025-08-22,635.9,636.2,607.75,614.75,1294.95,490.5,EVERESTIND
2025-08-21,639.2,663.5,621.0,633.05,1294.95,490.5,EVERESTIND
2025-08-20,574.2,678.75,574.2,639.2,1294.95,490.5,EVERESTIND
2025-08-19,562.25,567.55,548.0,565.65,1304.0,490.5,EVERESTIND
2025-08-18,580.0,581.4,551.0,560.55,1304.5,490.5,EVERESTIND
2025-08-14,550.0,599.0,548.0,569.45,1320.0,490.5,EVERESTIND
2025-08-13,540.75,562.0,524.0,549.35,1320.0,490.5,EVERESTIND
2025-08-12,511.7,549.0,504.45,539.5,1320.0,490.5,EVERESTIND
2025-08-11,508.7,522.55,490.5,509.0,1320.0,490.5,EVERESTIND
2025-01-28,618.55,618.55,575.0,586.4,1320.0,575.0,EVERESTIND
2025-01-27,625.75,629.95,611.0,618.55,1332.45,611.0,EVERESTIND
2025-01-24,667.0,667.85,621.0,631.45,1353.8,621.0,EVERESTIND
2025-01-23,663.9,680.6,660.0,664.45,1353.8,657.7,EVERESTIND
2025-01-22,691.0,694.45,657.7,669.95,1353.8,657.7,EVERESTIND
2025-01-21,700.35,711.85,685.0,691.0,1353.8,660.0,EVERESTIND
2025-01-20,690.0,710.0,667.8,705.65,1375.0,660.0,EVERESTIND
2025-01-17,682.4,704.9,666.65,687.8,1375.0,660.0,EVERESTIND
2025-01-16,668.0,693.0,668.0,686.65,1375.0,660.0,EVERESTIND
2025-01-15,667.75,693.0,662.0,667.5,1375.0,660.0,EVERESTIND
2025-01-14,667.55,673.0,660.1,664.85,1375.0,660.0,EVERESTIND
2025-01-13,677.25,691.75,660.0,662.4,1382.0,660.0,EVERESTIND
2025-01-10,704.4,710.85,681.6,688.6,1399.4,681.6,EVERESTIND
2025-01-09,729.8,730.0,705.0,710.85,1413.0,705.0,EVERESTIND
2025-01-08,744.75,744.75,722.55,726.0,1424.0,722.55,EVERESTIND
2025-01-07,745.1,759.45,741.25,743.3,1424.0,737.55,EVERESTIND
2025-01-06,774.0,785.0,746.0,748.65,1424.0,737.55,EVERESTIND
2025-01-03,791.65,816.0,772.7,780.9,1424.0,737.55,EVERESTIND
2025-01-02,792.7,799.0,782.5,795.35,1450.95,737.55,EVERESTIND
2025-01-01,777.1,792.0,768.3,788.55,1450.95,737.55,EVERESTIND
2024-12-31,751.9,787.65,748.85,777.1,1450.95,737.55,EVERESTIND
2024-12-30,747.75,754.5,737.55,747.95,1450.95,737.55,EVERESTIND
2024-12-27,752.55,768.0,745.0,747.8,1450.95,745.0,EVERESTIND
2024-12-26,755.65,755.65,748.5,752.55,1450.95,747.85,EVERESTIND
2024-12-24,766.5,769.7,752.0,755.75,1450.95,747.85,EVERESTIND
2024-12-23,761.2,795.0,751.0,775.5,1450.95,747.85,EVERESTIND
2024-12-20,761.1,775.0,747.85,768.2,1450.95,747.85,EVERESTIND
2024-12-19,771.55,779.0,760.55,764.65,1450.95,752.5,EVERESTIND
2024-12-18,781.0,790.0,770.0,771.55,1450.95,752.5,EVERESTIND
2024-12-17,790.7,797.25,779.95,782.75,1450.95,752.5,EVERESTIND
2024-12-16,788.2,800.95,780.05,790.7,1450.95,752.5,EVERESTIND
2024-12-13,806.2,809.95,785.7,792.45,1450.95,752.5,EVERESTIND
2024-12-12,805.6,819.9,801.55,808.3,1450.95,752.5,EVERESTIND
2024-12-11,802.0,821.5,797.1,803.6,1450.95,752.5,EVERESTIND
2024-12-10,808.2,815.95,796.0,803.6,1450.95,752.5,EVERESTIND
2024-12-09,815.1,822.45,804.1,808.2,1450.95,752.5,EVERESTIND
2024-12-06,825.0,829.45,816.35,820.45,1450.95,752.5,EVERESTIND
2024-12-05,829.5,834.35,812.1,815.5,1450.95,752.5,EVERESTIND
2024-12-04,808.8,830.95,808.8,826.2,1450.95,752.5,EVERESTIND
2024-12-03,802.3,824.2,797.75,808.8,1450.95,752.5,EVERESTIND
2024-12-02,813.1,822.5,790.05,798.3,1450.95,752.5,EVERESTIND
2024-11-29,814.25,826.95,807.35,814.5,1450.95,752.5,EVERESTIND
2024-11-28,829.4,840.2,807.0,811.9,1450.95,752.5,EVERESTIND
2024-11-27,813.5,854.4,806.6,820.3,1450.95,752.5,EVERESTIND
2024-11-26,770.6,888.0,767.2,802.75,1450.95,752.5,EVERESTIND
2024-11-25,790.0,791.7,752.5,768.4,1450.95,752.5,EVERESTIND
2024-11-22,799.9,803.65,765.0,768.9,1450.95,765.0,EVERESTIND
2024-11-21,813.85,824.5,779.05,788.35,1450.95,779.05,EVERESTIND
2024-11-19,851.05,874.95,810.0,815.8,1450.95,810.0,EVERESTIND
