DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,31.58,31.99,31.17,31.34,33.75,23.56,EVIETF
2025-11-13,31.72,31.72,31.07,31.43,33.75,23.56,EVIETF
2025-11-12,31.3,31.65,30.59,31.62,33.75,23.56,EVIETF
2025-11-11,31.14,31.17,30.79,31.15,33.75,23.56,EVIETF
2025-11-10,30.99,31.07,30.76,30.99,33.75,23.56,EVIETF
2025-11-07,30.64,30.92,30.42,30.84,33.75,23.56,EVIETF
2025-11-06,31.16,31.29,30.85,30.88,33.75,23.56,EVIETF
2025-11-04,31.26,31.46,30.96,31.01,33.75,23.56,EVIETF
2025-11-03,31.33,31.53,31.01,31.2,33.75,23.56,EVIETF
2025-10-31,30.91,31.58,30.91,31.18,33.75,23.56,EVIETF
2025-10-30,31.64,31.99,30.82,31.31,33.75,23.56,EVIETF
2025-10-29,31.44,32.13,31.03,31.61,33.75,23.56,EVIETF
2025-10-28,31.49,31.61,31.2,31.29,33.75,23.56,EVIETF
2025-10-27,31.55,31.98,31.11,31.43,33.75,23.56,EVIETF
2025-10-24,31.41,31.61,31.07,31.26,33.75,23.56,EVIETF
2025-10-23,31.53,31.99,31.32,31.34,33.75,23.56,EVIETF
2025-10-21,31.52,31.52,31.18,31.37,33.75,23.56,EVIETF
2025-10-20,31.48,31.72,31.05,31.24,33.75,23.56,EVIETF
2025-10-17,31.49,31.68,31.09,31.33,33.75,23.56,EVIETF
2025-10-16,31.28,31.58,30.9,31.22,33.75,23.56,EVIETF
2025-10-15,31.16,31.5,30.8,31.13,33.75,23.56,EVIETF
2025-10-14,30.26,31.57,30.26,31.01,33.75,23.56,EVIETF
2025-10-13,31.89,31.89,30.83,30.97,33.75,23.56,EVIETF
2025-10-10,31.29,31.34,31.0,31.12,33.75,23.56,EVIETF
2025-10-09,31.77,31.77,30.79,31.14,33.75,23.56,EVIETF
2025-10-08,31.39,31.49,30.88,31.0,33.75,23.56,EVIETF
2025-10-07,31.96,31.96,31.2,31.4,33.75,23.56,EVIETF
2025-10-06,31.49,31.49,31.0,31.19,33.75,23.56,EVIETF
2025-10-03,31.73,31.8,30.94,31.24,33.75,23.56,EVIETF
2025-10-01,31.28,31.28,30.11,30.96,33.75,23.56,EVIETF
2025-09-30,31.19,31.44,30.56,30.73,33.75,23.56,EVIETF
2025-09-29,30.97,31.35,30.63,30.87,33.75,23.56,EVIETF
2025-09-26,31.68,31.68,30.06,30.67,33.75,23.56,EVIETF
2025-09-25,31.67,31.98,31.21,31.29,33.75,23.56,EVIETF
2025-09-24,31.99,31.99,31.5,31.52,33.75,23.56,EVIETF
2025-09-23,32.57,32.57,31.03,31.78,33.75,23.56,EVIETF
2025-09-22,31.26,32.97,31.26,31.78,33.75,23.56,EVIETF
2025-09-19,32.73,32.78,32.01,32.07,33.75,23.56,EVIETF
2025-09-18,32.39,33.75,31.95,32.83,33.75,23.56,EVIETF
2025-09-17,32.21,32.68,31.75,32.09,32.68,23.56,EVIETF
2025-09-16,30.88,32.57,30.88,31.92,32.66,23.56,EVIETF
2025-09-15,31.97,31.97,31.59,31.68,32.66,23.56,EVIETF
2025-09-12,31.79,31.98,31.2,31.69,32.66,23.56,EVIETF
2025-09-11,32.66,32.66,31.35,31.64,32.66,23.56,EVIETF
2025-09-10,32.08,32.08,31.59,31.71,32.08,23.56,EVIETF
2025-09-09,31.69,31.98,30.83,31.65,31.98,23.56,EVIETF
2025-09-08,31.29,31.94,30.99,31.67,31.94,23.56,EVIETF
2025-09-05,31.09,31.09,30.71,30.98,31.94,23.56,EVIETF
2025-09-04,31.0,31.63,30.64,30.79,31.94,23.56,EVIETF
2025-09-03,30.87,31.08,30.59,30.83,31.94,23.56,EVIETF
2025-09-02,30.74,30.89,30.55,30.72,31.94,23.56,EVIETF
2025-09-01,30.47,30.6,30.02,30.55,31.94,23.56,EVIETF
2025-08-29,30.64,30.64,29.71,29.94,31.94,23.56,EVIETF
2025-08-28,30.34,30.48,29.92,30.04,31.94,23.56,EVIETF
2025-08-26,30.69,30.69,30.07,30.19,31.94,23.56,EVIETF
2025-08-25,31.03,31.03,30.2,30.45,31.94,23.56,EVIETF
2025-08-22,30.63,30.63,30.1,30.28,31.94,23.56,EVIETF
2025-08-21,30.94,30.97,30.28,30.42,31.94,23.56,EVIETF
2025-08-20,29.64,31.15,29.64,30.7,31.94,23.56,EVIETF
2025-08-19,30.63,30.63,29.91,30.41,31.94,23.56,EVIETF
2025-08-18,29.72,29.99,29.7,29.89,31.94,23.56,EVIETF
2025-08-14,29.64,29.64,28.4,29.14,31.94,23.56,EVIETF
2025-08-13,29.27,29.3,28.89,29.06,31.94,23.56,EVIETF
2025-08-12,29.0,29.33,28.76,28.8,31.94,23.56,EVIETF
2025-08-11,28.0,29.41,28.0,28.86,31.94,23.56,EVIETF
2025-08-08,28.99,29.55,28.65,28.72,31.94,23.56,EVIETF
2025-08-07,29.16,29.28,28.3,28.98,31.94,23.56,EVIETF
2025-08-06,29.4,29.49,28.75,29.02,31.94,23.56,EVIETF
2025-08-05,29.65,29.65,29.05,29.26,31.94,23.56,EVIETF
2025-08-04,28.8,29.4,28.53,29.17,31.94,23.56,EVIETF
2025-08-01,29.22,29.33,28.7,28.8,31.94,23.56,EVIETF
2025-07-31,29.47,29.48,28.8,29.08,31.94,23.56,EVIETF
2025-07-30,29.17,29.64,29.17,29.35,31.94,23.56,EVIETF
2025-07-29,29.55,29.8,29.05,29.55,31.94,23.56,EVIETF
2025-07-28,29.95,29.95,28.98,29.1,31.94,23.56,EVIETF
2025-07-25,29.58,29.65,29.16,29.22,31.94,23.56,EVIETF
2025-07-24,29.88,30.2,29.39,29.65,31.94,23.56,EVIETF
2025-07-23,29.67,29.76,29.5,29.69,31.94,23.56,EVIETF
2025-07-22,29.5,29.83,29.5,29.53,31.94,23.56,EVIETF
2025-07-21,29.59,29.78,29.3,29.68,31.94,23.56,EVIETF
2025-07-18,30.25,30.57,29.5,29.59,31.94,23.56,EVIETF
2025-07-17,29.74,29.82,29.57,29.66,31.94,23.56,EVIETF
2025-07-16,29.72,29.72,29.4,29.6,31.94,23.56,EVIETF
2025-07-15,29.37,29.66,29.33,29.61,31.94,23.56,EVIETF
2025-07-14,29.6,29.77,28.9,29.23,31.94,23.56,EVIETF
2025-07-11,29.34,29.52,28.99,29.02,31.94,23.56,EVIETF
2025-07-10,29.64,29.64,28.0,29.39,31.94,23.56,EVIETF
2025-07-09,29.68,29.68,29.3,29.44,31.94,23.56,EVIETF
2025-07-08,29.49,29.81,29.2,29.42,31.94,23.56,EVIETF
2025-07-07,29.51,29.71,23.56,29.49,31.94,23.56,EVIETF
2025-07-04,29.69,29.85,29.35,29.51,31.94,25.72,EVIETF
2025-07-03,29.44,29.68,29.15,29.52,31.94,25.72,EVIETF
2025-07-02,29.49,29.84,29.14,29.3,31.94,25.72,EVIETF
2025-07-01,30.09,30.09,29.22,29.35,31.94,25.72,EVIETF
2025-06-30,29.68,29.82,29.34,29.5,31.94,25.72,EVIETF
2025-06-27,29.51,29.61,29.39,29.54,31.94,25.72,EVIETF
2025-06-26,29.47,29.47,29.12,29.27,31.94,25.72,EVIETF
2025-06-25,29.26,29.43,29.12,29.19,31.94,25.72,EVIETF
