DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-24,31.44,31.44,31.07,31.22,34.99,23.83,EVINDIA
2025-10-23,31.79,31.79,31.23,31.29,34.99,23.83,EVINDIA
2025-10-21,31.28,31.53,31.15,31.32,34.99,23.83,EVINDIA
2025-10-20,31.3,31.34,31.17,31.23,34.99,23.83,EVINDIA
2025-10-17,31.35,31.35,31.03,31.15,35.37,23.83,EVINDIA
2025-10-16,31.0,31.28,30.3,31.2,35.37,23.83,EVINDIA
2025-10-15,30.85,31.04,30.85,30.98,35.37,23.83,EVINDIA
2025-10-14,31.71,31.71,30.23,30.84,35.37,23.83,EVINDIA
2025-10-13,31.08,31.09,30.81,30.94,35.37,23.83,EVINDIA
2025-10-10,31.17,31.23,30.96,31.08,35.37,23.83,EVINDIA
2025-10-09,31.04,31.13,30.82,31.02,35.37,23.83,EVINDIA
2025-10-08,31.46,31.47,30.92,30.98,35.37,23.83,EVINDIA
2025-10-07,31.28,31.44,31.2,31.31,35.37,23.83,EVINDIA
2025-10-06,31.67,31.67,30.91,31.13,35.37,23.83,EVINDIA
2025-10-03,31.22,31.25,30.86,31.17,36.0,23.83,EVINDIA
2025-10-01,30.9,31.08,30.75,31.0,36.0,23.83,EVINDIA
2025-09-30,31.02,31.02,30.61,30.76,36.0,23.83,EVINDIA
2025-09-29,30.06,31.45,30.06,30.81,36.0,23.83,EVINDIA
2025-09-26,31.2,31.22,30.8,30.84,36.0,23.83,EVINDIA
2025-09-25,31.48,31.57,31.15,31.18,36.0,23.83,EVINDIA
2025-09-24,31.8,31.96,31.41,31.47,36.0,23.83,EVINDIA
2025-09-23,31.99,32.1,31.26,31.78,36.0,23.83,EVINDIA
2025-09-22,32.27,32.3,31.57,31.74,36.0,23.83,EVINDIA
2025-09-19,32.1,32.27,32.0,32.05,36.0,23.83,EVINDIA
2025-09-18,32.04,32.24,31.94,32.07,36.0,23.83,EVINDIA
2025-09-17,31.95,32.09,31.95,32.03,36.0,23.83,EVINDIA
2025-09-16,30.84,31.97,30.84,31.88,36.0,23.83,EVINDIA
2025-09-15,31.82,31.82,31.6,31.64,36.0,23.83,EVINDIA
2025-09-12,31.57,31.86,31.57,31.67,36.0,23.83,EVINDIA
2025-09-11,31.33,31.87,31.33,31.57,36.0,23.83,EVINDIA
2025-09-10,31.62,31.87,31.6,31.65,36.0,23.83,EVINDIA
2025-09-09,31.69,31.76,31.48,31.63,36.0,23.83,EVINDIA
2025-09-08,30.96,31.67,30.96,31.54,36.0,23.83,EVINDIA
2025-09-05,31.48,31.48,30.8,30.96,36.0,23.83,EVINDIA
2025-09-04,30.9,31.27,30.69,30.72,36.0,23.83,EVINDIA
2025-09-03,31.16,31.16,30.58,30.73,36.0,23.83,EVINDIA
2025-09-02,30.82,30.82,30.47,30.6,36.0,23.83,EVINDIA
2025-09-01,30.0,30.62,29.93,30.58,36.0,23.83,EVINDIA
2025-08-29,29.76,30.13,29.76,29.92,36.0,23.83,EVINDIA
2025-08-28,30.17,30.49,29.63,29.96,36.0,23.83,EVINDIA
2025-08-26,30.17,30.51,30.06,30.18,36.0,23.83,EVINDIA
2025-08-25,30.39,30.45,30.16,30.36,36.0,23.83,EVINDIA
2025-08-22,30.27,30.49,30.16,30.21,36.0,23.83,EVINDIA
2025-08-21,30.2,30.67,30.19,30.27,36.0,23.83,EVINDIA
2025-08-20,30.58,30.58,30.28,30.4,36.0,23.83,EVINDIA
2025-08-19,30.58,30.58,29.41,30.29,36.0,23.83,EVINDIA
2025-08-18,28.74,30.0,28.74,29.84,36.0,23.83,EVINDIA
2025-08-14,29.79,29.79,28.98,29.14,36.0,23.83,EVINDIA
2025-08-13,29.56,29.56,28.82,29.07,36.0,23.83,EVINDIA
2025-08-12,28.93,29.06,28.79,28.84,36.0,23.83,EVINDIA
2025-08-11,28.81,28.85,28.51,28.79,36.0,23.83,EVINDIA
2025-08-08,29.01,29.14,28.6,28.67,36.0,23.83,EVINDIA
2025-08-07,29.11,29.11,28.58,28.95,36.0,23.83,EVINDIA
2025-08-06,29.36,29.36,28.9,28.97,36.0,23.83,EVINDIA
2025-08-05,29.21,29.45,29.02,29.17,36.0,23.83,EVINDIA
2025-08-04,28.75,29.23,28.63,29.16,36.0,23.83,EVINDIA
2025-08-01,29.78,29.78,28.65,28.75,36.0,23.83,EVINDIA
2025-07-31,29.0,29.27,28.75,29.06,36.0,23.83,EVINDIA
2025-07-30,29.5,29.59,29.15,29.31,36.0,23.83,EVINDIA
2025-07-29,29.07,29.47,28.97,29.41,36.0,23.83,EVINDIA
2025-07-28,29.18,29.49,28.6,29.06,36.0,23.83,EVINDIA
2025-07-25,29.81,29.81,29.17,29.19,36.0,23.83,EVINDIA
2025-07-24,29.85,29.88,29.61,29.67,36.0,23.83,EVINDIA
2025-07-23,29.79,29.79,29.44,29.71,36.0,23.83,EVINDIA
2025-07-22,30.54,30.54,29.43,29.5,36.0,23.83,EVINDIA
2025-07-21,29.75,29.86,29.35,29.65,36.0,23.83,EVINDIA
2025-07-18,30.46,30.46,29.5,29.53,36.0,23.83,EVINDIA
2025-07-17,30.39,30.39,29.62,29.72,36.0,23.83,EVINDIA
2025-07-16,30.36,30.36,29.25,29.65,36.0,23.83,EVINDIA
2025-07-15,29.2,29.66,29.05,29.62,36.0,23.83,EVINDIA
2025-07-14,29.1,29.6,28.94,29.19,36.0,23.83,EVINDIA
2025-07-11,30.11,30.11,28.91,29.01,36.0,23.83,EVINDIA
2025-07-10,29.5,29.53,29.25,29.38,36.0,23.83,EVINDIA
2025-07-09,29.48,29.49,29.35,29.42,36.0,23.83,EVINDIA
2025-07-08,29.58,29.61,29.25,29.41,36.0,23.83,EVINDIA
2025-07-07,28.79,29.8,28.79,29.51,36.0,23.83,EVINDIA
2025-07-04,29.57,29.57,29.1,29.53,36.0,23.83,EVINDIA
2025-07-03,29.31,29.64,29.24,29.5,36.0,23.83,EVINDIA
2025-07-02,29.43,29.48,29.16,29.23,36.0,23.83,EVINDIA
2025-07-01,29.58,29.62,29.22,29.34,36.0,23.83,EVINDIA
2025-06-30,29.54,29.78,29.36,29.48,36.0,23.83,EVINDIA
2025-06-27,29.4,29.64,29.24,29.51,36.0,23.83,EVINDIA
2025-06-26,28.59,29.38,28.59,29.32,36.0,23.83,EVINDIA
2025-06-25,29.2,29.29,28.81,29.18,36.0,23.83,EVINDIA
2025-06-24,29.08,29.35,28.97,29.05,36.0,23.83,EVINDIA
2025-06-23,29.23,29.25,28.76,28.95,36.0,23.83,EVINDIA
2025-06-20,28.68,29.17,28.68,29.09,36.0,23.83,EVINDIA
2025-06-19,29.19,29.19,28.76,28.82,36.0,23.83,EVINDIA
2025-06-18,29.19,29.34,28.97,29.09,36.0,23.83,EVINDIA
2025-06-17,29.28,29.57,29.0,29.07,36.0,23.83,EVINDIA
2025-06-16,29.95,29.95,28.65,29.28,36.0,23.83,EVINDIA
2025-06-13,29.33,29.33,28.74,29.22,36.0,23.83,EVINDIA
2025-06-12,29.89,30.08,29.35,29.41,36.0,23.83,EVINDIA
2025-06-11,30.58,30.58,29.59,29.9,36.0,23.83,EVINDIA
2025-06-10,30.04,30.04,29.77,29.84,36.0,23.83,EVINDIA
2025-06-09,30.19,30.19,29.47,29.82,36.0,23.83,EVINDIA
2025-06-06,29.36,29.48,29.17,29.46,36.0,23.83,EVINDIA
2025-06-05,29.24,29.39,29.01,29.25,36.0,23.83,EVINDIA
2025-06-04,29.04,29.2,28.95,29.17,36.0,23.83,EVINDIA
2025-06-03,29.17,29.2,28.93,28.97,36.0,23.83,EVINDIA
2025-06-02,29.24,29.24,28.88,29.05,36.0,23.83,EVINDIA
2025-05-30,29.34,29.6,29.03,29.11,36.0,23.83,EVINDIA
2025-05-29,29.43,29.49,29.23,29.3,36.0,23.83,EVINDIA
2025-05-28,29.64,29.65,29.21,29.29,36.0,23.83,EVINDIA
2025-05-27,29.5,29.52,29.3,29.4,36.0,23.83,EVINDIA
2025-05-26,29.3,29.55,29.26,29.5,36.0,23.83,EVINDIA
2025-05-23,29.19,29.25,28.99,29.16,36.0,23.83,EVINDIA
2025-05-22,29.29,29.3,28.84,29.08,36.0,23.83,EVINDIA
2025-05-21,28.97,29.37,28.67,29.13,36.0,23.83,EVINDIA
2025-05-20,29.58,29.58,28.96,29.04,36.0,23.83,EVINDIA
2025-05-19,29.36,29.61,29.23,29.42,36.0,23.83,EVINDIA
2025-05-16,29.34,29.36,29.09,29.32,36.0,23.83,EVINDIA
2025-05-15,28.79,29.19,28.55,29.09,36.0,23.83,EVINDIA
2025-05-14,28.36,28.7,28.27,28.59,36.0,23.83,EVINDIA
2025-05-13,28.63,28.63,28.2,28.37,36.0,23.83,EVINDIA
2025-05-12,27.53,28.5,27.46,28.43,36.0,23.83,EVINDIA
2025-05-09,27.39,27.4,27.01,27.32,36.0,23.83,EVINDIA
2025-05-08,27.86,28.0,27.31,27.53,36.0,23.83,EVINDIA
2025-05-07,27.26,27.8,26.92,27.73,36.0,23.83,EVINDIA
2025-05-06,27.66,27.94,27.29,27.4,36.0,23.83,EVINDIA
2025-05-05,27.34,27.72,27.15,27.67,36.0,23.83,EVINDIA
2025-05-02,27.34,27.52,27.03,27.15,36.0,23.83,EVINDIA
2025-04-30,27.49,27.49,27.0,27.2,36.0,23.83,EVINDIA
2025-04-29,27.46,27.55,27.01,27.39,36.0,23.83,EVINDIA
2025-04-28,27.09,27.25,26.77,27.21,36.0,23.83,EVINDIA
2025-04-25,27.6,27.78,26.66,26.97,36.0,23.83,EVINDIA
2025-04-24,27.64,27.66,27.22,27.46,36.0,23.83,EVINDIA
2025-04-23,27.65,27.65,26.85,27.49,36.0,23.83,EVINDIA
2025-04-22,27.14,27.14,26.73,26.99,36.0,23.83,EVINDIA
2025-04-21,26.37,26.97,26.25,26.92,36.0,23.83,EVINDIA
2025-04-17,26.3,26.51,25.85,26.36,36.0,23.83,EVINDIA
2025-04-16,26.4,26.52,25.71,26.07,36.0,23.83,EVINDIA
2025-04-15,25.86,26.24,25.51,26.16,36.0,23.83,EVINDIA
2025-04-11,25.12,25.49,25.08,25.31,36.0,23.83,EVINDIA
2025-04-09,25.08,25.08,24.54,24.7,36.0,23.83,EVINDIA
2025-04-08,24.79,25.12,24.46,24.85,36.0,23.83,EVINDIA
2025-04-07,25.6,25.6,23.83,24.46,36.0,23.83,EVINDIA
2025-04-04,26.11,26.62,25.31,25.52,36.0,25.01,EVINDIA
2025-04-03,26.84,26.84,26.38,26.43,36.0,25.01,EVINDIA
2025-04-02,26.79,26.86,26.34,26.83,36.0,25.01,EVINDIA
2025-04-01,26.7,26.88,26.41,26.57,36.0,25.01,EVINDIA
2025-03-28,27.15,27.24,26.4,26.54,36.0,25.01,EVINDIA
2025-03-27,27.25,27.75,26.66,26.91,36.0,25.01,EVINDIA
2025-03-26,27.4,27.45,27.01,27.2,36.0,25.01,EVINDIA
2025-03-25,27.77,28.3,27.13,27.23,36.0,25.01,EVINDIA
2025-03-24,27.55,28.2,27.28,27.75,36.0,25.01,EVINDIA
2025-03-21,27.29,27.42,27.01,27.24,36.0,25.01,EVINDIA
2025-03-20,26.84,27.15,26.8,27.05,36.0,25.01,EVINDIA
2025-03-19,26.69,26.91,26.48,26.84,36.0,25.01,EVINDIA
2025-03-18,26.02,26.5,25.75,26.47,36.0,25.01,EVINDIA
2025-03-17,25.94,26.11,25.75,25.88,36.0,25.01,EVINDIA
2025-03-13,26.0,26.8,25.73,25.8,36.0,25.01,EVINDIA
2025-03-12,26.0,26.68,25.2,25.98,36.0,25.01,EVINDIA
2025-03-11,26.15,26.2,25.66,26.0,36.0,25.01,EVINDIA
2025-03-10,26.61,26.72,25.95,26.03,36.0,25.01,EVINDIA
2025-03-07,26.54,26.62,26.3,26.48,36.0,25.01,EVINDIA
2025-03-06,26.14,26.42,26.13,26.39,36.0,25.01,EVINDIA
2025-03-05,25.52,26.11,25.34,26.04,36.0,25.01,EVINDIA
2025-03-04,25.75,25.85,25.05,25.33,36.0,25.01,EVINDIA
2025-03-03,25.77,26.72,25.01,25.48,36.0,25.01,EVINDIA
2025-02-28,26.33,26.33,25.5,25.57,36.0,25.5,EVINDIA
2025-02-27,26.93,26.93,26.2,26.32,36.0,26.2,EVINDIA
2025-02-25,26.99,27.0,26.7,26.79,36.0,26.52,EVINDIA
2025-02-24,27.01,27.15,26.62,26.84,36.0,26.52,EVINDIA
2025-02-21,27.45,27.59,26.89,27.03,36.0,26.52,EVINDIA
2025-02-20,27.06,27.47,26.65,27.41,36.0,26.52,EVINDIA
2025-02-19,27.15,27.18,26.61,27.07,36.0,26.52,EVINDIA
2025-02-18,27.14,27.14,26.72,26.96,36.0,26.52,EVINDIA
2025-02-17,27.15,27.24,26.52,27.0,36.0,26.52,EVINDIA
2025-02-14,28.45,28.45,26.88,27.07,36.0,26.88,EVINDIA
2025-02-13,27.87,27.89,27.53,27.6,36.0,27.12,EVINDIA
2025-02-12,28.05,28.06,27.15,27.67,36.0,27.12,EVINDIA
2025-02-11,28.8,28.81,27.8,27.9,36.0,27.12,EVINDIA
2025-02-10,29.19,29.25,28.6,28.74,36.0,27.12,EVINDIA
2025-02-07,29.25,29.25,28.82,29.1,36.0,27.12,EVINDIA
2025-02-06,29.36,29.36,28.93,29.05,36.0,27.12,EVINDIA
2025-02-05,29.06,29.24,28.86,29.16,36.0,27.12,EVINDIA
2025-02-04,28.82,29.11,28.71,28.95,36.0,27.12,EVINDIA
2025-02-03,29.0,29.0,28.5,28.68,36.0,27.12,EVINDIA
