DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,2.04,2.06,2.01,2.01,4.12,1.78,FCSSOFT
2025-11-28,2.01,2.05,2.0,2.03,4.12,1.78,FCSSOFT
2025-11-27,2.01,2.04,2.0,2.01,4.12,1.78,FCSSOFT
2025-11-26,2.05,2.05,2.0,2.01,4.12,1.78,FCSSOFT
2025-11-25,2.02,2.05,2.02,2.03,4.12,1.78,FCSSOFT
2025-11-24,2.07,2.08,2.02,2.02,4.12,1.78,FCSSOFT
2025-11-21,2.08,2.1,2.04,2.07,4.12,1.78,FCSSOFT
2025-11-20,2.1,2.12,2.08,2.09,4.12,1.78,FCSSOFT
2025-11-19,2.08,2.15,2.06,2.11,4.12,1.78,FCSSOFT
2025-11-18,2.09,2.11,2.05,2.06,4.12,1.78,FCSSOFT
2025-11-17,2.15,2.17,1.78,2.09,4.12,1.78,FCSSOFT
2025-11-14,2.18,2.19,2.15,2.15,4.12,2.08,FCSSOFT
2025-11-13,2.21,2.23,2.16,2.17,4.12,2.08,FCSSOFT
2025-11-12,2.2,2.26,2.2,2.2,4.12,2.08,FCSSOFT
2025-11-11,2.19,2.2,2.16,2.18,4.12,2.08,FCSSOFT
2025-11-10,2.23,2.24,2.18,2.19,4.12,2.08,FCSSOFT
2025-11-07,2.24,2.24,2.18,2.2,4.12,2.08,FCSSOFT
2025-11-06,2.27,2.3,2.21,2.22,4.12,2.08,FCSSOFT
2025-11-04,2.25,2.31,2.23,2.25,4.12,2.08,FCSSOFT
2025-11-03,2.23,2.25,2.22,2.24,4.12,2.08,FCSSOFT
2025-10-31,2.25,2.28,2.21,2.23,4.12,2.08,FCSSOFT
2025-10-30,2.26,2.27,2.23,2.24,4.12,2.08,FCSSOFT
2025-10-29,2.25,2.3,2.23,2.27,4.12,2.08,FCSSOFT
2025-10-28,2.35,2.36,2.25,2.26,4.12,2.08,FCSSOFT
2025-10-27,2.31,2.45,2.31,2.35,4.12,2.08,FCSSOFT
2025-10-24,2.53,2.53,2.33,2.39,4.12,2.08,FCSSOFT
2025-10-23,2.15,2.53,2.13,2.51,4.12,2.08,FCSSOFT
2025-10-21,2.1,2.13,2.09,2.11,4.12,2.08,FCSSOFT
2025-10-20,2.12,2.13,2.08,2.09,4.12,2.08,FCSSOFT
2025-10-17,2.13,2.15,2.1,2.11,4.12,2.1,FCSSOFT
2025-10-16,2.11,2.17,2.11,2.13,4.12,2.1,FCSSOFT
2025-10-15,2.14,2.14,2.1,2.11,4.12,2.1,FCSSOFT
2025-10-14,2.17,2.2,2.13,2.14,4.12,2.13,FCSSOFT
2025-10-13,2.18,2.2,2.15,2.17,4.12,2.14,FCSSOFT
2025-10-10,2.17,2.21,2.15,2.18,4.12,2.14,FCSSOFT
2025-10-09,2.17,2.19,2.14,2.15,4.12,2.14,FCSSOFT
2025-10-08,2.19,2.23,2.15,2.18,4.12,2.15,FCSSOFT
2025-10-07,2.2,2.25,2.18,2.19,4.12,2.18,FCSSOFT
2025-10-06,2.24,2.25,2.19,2.2,4.12,2.19,FCSSOFT
2025-10-03,2.26,2.3,2.22,2.24,4.12,2.22,FCSSOFT
2025-10-01,2.25,2.3,2.23,2.26,4.12,2.23,FCSSOFT
2025-09-30,2.25,2.28,2.25,2.26,4.12,2.25,FCSSOFT
2025-09-29,2.3,2.31,2.26,2.27,4.12,2.26,FCSSOFT
2025-09-26,2.3,2.32,2.26,2.28,4.12,2.26,FCSSOFT
2025-09-25,2.35,2.36,2.29,2.3,4.12,2.29,FCSSOFT
2025-09-24,2.38,2.39,2.36,2.36,4.12,2.32,FCSSOFT
2025-09-23,2.4,2.41,2.37,2.37,4.12,2.32,FCSSOFT
2025-09-22,2.42,2.43,2.38,2.39,4.12,2.32,FCSSOFT
2025-09-19,2.42,2.43,2.4,2.42,4.12,2.32,FCSSOFT
2025-09-18,2.41,2.45,2.4,2.43,4.12,2.32,FCSSOFT
2025-09-17,2.4,2.42,2.39,2.4,4.12,2.32,FCSSOFT
2025-09-16,2.4,2.42,2.39,2.4,4.12,2.32,FCSSOFT
2025-09-15,2.41,2.42,2.38,2.39,4.12,2.32,FCSSOFT
2025-09-12,2.41,2.43,2.4,2.41,4.12,2.32,FCSSOFT
2025-09-11,2.42,2.44,2.4,2.41,4.12,2.32,FCSSOFT
2025-09-10,2.41,2.45,2.41,2.41,4.12,2.32,FCSSOFT
2025-09-09,2.41,2.42,2.4,2.41,4.12,2.32,FCSSOFT
2025-09-08,2.41,2.43,2.39,2.4,4.12,2.32,FCSSOFT
2025-09-05,2.43,2.45,2.4,2.41,4.12,2.32,FCSSOFT
2025-09-04,2.45,2.46,2.42,2.42,4.12,2.32,FCSSOFT
2025-09-03,2.45,2.46,2.42,2.44,4.12,2.32,FCSSOFT
2025-09-02,2.46,2.46,2.42,2.43,4.12,2.32,FCSSOFT
2025-09-01,2.4,2.49,2.32,2.42,4.12,2.32,FCSSOFT
2025-08-29,2.43,2.43,2.38,2.39,4.12,2.34,FCSSOFT
2025-08-28,2.43,2.45,2.4,2.41,4.12,2.34,FCSSOFT
2025-08-26,2.49,2.5,2.43,2.44,4.12,2.34,FCSSOFT
2025-08-25,2.41,2.54,2.4,2.5,4.12,2.34,FCSSOFT
2025-08-22,2.47,2.47,2.41,2.44,4.12,2.34,FCSSOFT
2025-08-21,2.49,2.5,2.46,2.47,4.12,2.34,FCSSOFT
2025-08-20,2.46,2.5,2.44,2.48,4.12,2.34,FCSSOFT
2025-08-19,2.5,2.51,2.45,2.47,4.12,2.34,FCSSOFT
2025-08-18,2.59,2.59,2.43,2.45,4.12,2.34,FCSSOFT
2025-08-14,2.4,2.4,2.37,2.38,4.12,2.34,FCSSOFT
2025-08-13,2.41,2.43,2.38,2.39,4.12,2.34,FCSSOFT
2025-08-12,2.45,2.45,2.41,2.41,4.12,2.34,FCSSOFT
2025-08-11,2.42,2.45,2.4,2.42,4.12,2.34,FCSSOFT
2025-08-08,2.42,2.45,2.38,2.4,4.12,2.34,FCSSOFT
2025-08-07,2.45,2.46,2.41,2.41,4.12,2.34,FCSSOFT
2025-08-06,2.48,2.5,2.43,2.43,4.12,2.34,FCSSOFT
2025-08-05,2.5,2.5,2.47,2.48,4.12,2.34,FCSSOFT
2025-08-04,2.51,2.54,2.45,2.49,4.12,2.34,FCSSOFT
2025-08-01,2.54,2.55,2.49,2.49,4.12,2.34,FCSSOFT
2025-07-31,2.54,2.57,2.51,2.53,4.12,2.34,FCSSOFT
