DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,0.52,0.53,0.46,0.48,1.16,0.42,FILATFASH
2025-10-17,0.51,0.53,0.51,0.51,1.16,0.42,FILATFASH
2025-10-16,0.51,0.53,0.5,0.51,1.16,0.42,FILATFASH
2025-10-15,0.51,0.53,0.5,0.51,1.16,0.42,FILATFASH
2025-10-14,0.53,0.54,0.51,0.51,1.16,0.42,FILATFASH
2025-10-13,0.54,0.54,0.52,0.53,1.16,0.42,FILATFASH
2025-10-10,0.53,0.56,0.53,0.54,1.16,0.42,FILATFASH
2025-10-09,0.53,0.55,0.52,0.53,1.16,0.42,FILATFASH
2025-10-08,0.54,0.54,0.52,0.53,1.16,0.42,FILATFASH
2025-10-07,0.55,0.56,0.53,0.53,1.16,0.42,FILATFASH
2025-10-06,0.56,0.57,0.54,0.54,1.16,0.42,FILATFASH
2025-10-03,0.55,0.58,0.54,0.55,1.16,0.42,FILATFASH
2025-10-01,0.54,0.55,0.53,0.54,1.16,0.42,FILATFASH
2025-09-30,0.55,0.57,0.54,0.54,1.16,0.42,FILATFASH
2025-09-29,0.59,0.59,0.55,0.55,1.16,0.42,FILATFASH
2025-09-26,0.59,0.6,0.56,0.57,1.16,0.42,FILATFASH
2025-09-25,0.61,0.62,0.58,0.59,1.16,0.42,FILATFASH
2025-09-24,0.62,0.63,0.6,0.61,1.16,0.42,FILATFASH
2025-09-23,0.63,0.64,0.6,0.61,1.16,0.42,FILATFASH
2025-09-22,0.62,0.66,0.61,0.61,1.16,0.42,FILATFASH
2025-09-19,0.65,0.66,0.6,0.62,1.17,0.42,FILATFASH
2025-09-18,0.67,0.68,0.63,0.64,1.17,0.42,FILATFASH
2025-09-17,0.59,0.67,0.58,0.64,1.17,0.42,FILATFASH
2025-09-16,0.58,0.59,0.57,0.58,1.17,0.42,FILATFASH
2025-09-15,0.57,0.6,0.56,0.58,1.17,0.42,FILATFASH
2025-09-12,0.57,0.57,0.55,0.56,1.24,0.42,FILATFASH
2025-09-11,0.57,0.57,0.55,0.56,1.24,0.42,FILATFASH
2025-09-10,0.56,0.57,0.55,0.56,1.24,0.42,FILATFASH
2025-09-09,0.55,0.57,0.54,0.55,1.24,0.42,FILATFASH
2025-09-08,0.59,0.6,0.55,0.55,1.24,0.42,FILATFASH
2025-09-05,0.57,0.59,0.56,0.57,1.36,0.42,FILATFASH
2025-09-04,0.54,0.6,0.53,0.56,1.36,0.42,FILATFASH
2025-09-03,0.54,0.55,0.53,0.53,1.36,0.42,FILATFASH
2025-09-02,0.53,0.54,0.52,0.53,1.36,0.42,FILATFASH
2025-09-01,0.53,0.55,0.52,0.52,1.36,0.42,FILATFASH
2025-08-29,0.54,0.54,0.53,0.53,1.36,0.42,FILATFASH
2025-08-28,0.54,0.54,0.52,0.53,1.36,0.42,FILATFASH
2025-08-26,0.54,0.55,0.52,0.53,1.36,0.42,FILATFASH
2025-08-25,0.55,0.56,0.53,0.54,1.36,0.42,FILATFASH
2025-08-22,0.57,0.57,0.54,0.54,1.39,0.42,FILATFASH
2025-08-21,0.57,0.58,0.55,0.56,1.39,0.42,FILATFASH
2025-08-20,0.57,0.57,0.55,0.56,1.39,0.42,FILATFASH
2025-08-19,0.57,0.58,0.55,0.56,1.39,0.42,FILATFASH
2025-08-18,0.54,0.58,0.53,0.56,1.39,0.42,FILATFASH
