DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,84.0,84.0,81.55,83.07,144.0,63.78,FOCUS
2025-11-07,82.14,85.8,81.3,81.39,144.0,63.78,FOCUS
2025-11-06,83.68,85.95,81.01,82.14,144.0,63.78,FOCUS
2025-11-04,86.77,86.85,83.0,83.68,144.0,63.78,FOCUS
2025-11-03,87.22,87.48,84.35,85.14,144.0,63.78,FOCUS
2025-10-31,84.45,87.29,83.13,86.37,144.0,63.78,FOCUS
2025-10-30,86.28,87.83,85.11,85.28,144.0,63.78,FOCUS
2025-10-29,86.0,87.94,85.31,86.28,144.0,63.78,FOCUS
2025-10-28,86.13,88.0,86.0,86.08,144.0,63.78,FOCUS
2025-10-27,87.46,89.94,86.54,86.81,144.0,63.78,FOCUS
2025-10-24,88.2,90.6,86.5,87.46,144.0,63.78,FOCUS
2025-10-23,89.61,90.99,88.0,89.09,144.0,63.78,FOCUS
2025-10-21,86.3,91.7,86.3,89.56,144.0,63.78,FOCUS
2025-10-20,90.85,90.85,88.2,88.91,144.0,63.78,FOCUS
2025-10-17,87.0,91.0,86.54,88.44,144.0,63.78,FOCUS
2025-10-16,83.11,98.87,83.03,86.77,144.0,63.78,FOCUS
2025-10-15,83.0,84.91,83.0,83.11,144.0,63.78,FOCUS
2025-10-14,84.5,86.0,83.0,83.35,144.0,63.78,FOCUS
2025-10-13,84.0,86.38,84.0,85.87,144.0,63.78,FOCUS
2025-10-10,86.5,86.5,84.51,85.38,144.0,63.78,FOCUS
2025-10-09,86.0,87.0,85.2,86.9,144.0,63.78,FOCUS
2025-10-08,88.0,88.94,86.3,86.68,144.0,63.78,FOCUS
2025-10-07,88.5,89.47,87.09,87.71,144.0,63.78,FOCUS
2025-10-06,86.89,89.97,86.35,88.42,144.0,63.78,FOCUS
2025-10-03,91.28,91.45,86.22,88.66,144.0,63.78,FOCUS
2025-10-01,91.46,91.83,90.0,90.5,144.0,63.78,FOCUS
2025-09-30,90.15,92.68,90.0,90.03,144.0,63.78,FOCUS
2025-09-29,90.5,92.98,89.0,90.12,144.0,63.78,FOCUS
2025-09-26,91.16,91.56,89.48,90.43,144.0,63.78,FOCUS
2025-09-25,91.16,93.79,91.16,92.17,144.0,63.78,FOCUS
2025-09-24,93.83,94.75,91.61,92.96,144.0,63.78,FOCUS
2025-09-23,94.94,95.0,93.24,93.94,144.0,63.78,FOCUS
2025-09-22,95.0,95.85,93.5,94.39,144.0,63.78,FOCUS
2025-09-19,92.0,96.0,92.0,94.5,144.0,63.78,FOCUS
2025-09-18,96.39,97.78,91.5,92.81,144.0,63.78,FOCUS
2025-09-17,96.68,97.84,94.5,95.39,144.0,63.78,FOCUS
2025-09-16,96.01,97.73,95.68,96.45,144.0,63.78,FOCUS
2025-09-15,96.5,98.99,94.2,95.3,144.0,63.78,FOCUS
2025-06-11,121.29,123.75,118.02,122.39,165.9,63.78,FOCUS
2025-06-10,125.8,125.8,117.36,121.29,165.9,63.78,FOCUS
2025-06-09,124.5,126.06,118.58,126.06,165.9,63.78,FOCUS
2025-06-06,110.01,114.6,109.83,114.6,165.9,63.78,FOCUS
2025-06-05,103.51,104.19,101.4,104.19,165.9,63.78,FOCUS
2025-06-04,98.5,99.23,96.89,99.23,165.9,63.78,FOCUS
2025-06-03,91.2,94.51,89.91,94.51,165.9,63.78,FOCUS
2025-06-02,94.48,94.72,89.0,90.01,165.9,63.78,FOCUS
2025-05-30,95.01,96.49,92.3,93.05,169.85,63.78,FOCUS
2025-05-29,93.48,97.0,93.48,95.38,169.85,63.78,FOCUS
2025-05-28,95.11,95.98,92.59,93.27,169.85,63.78,FOCUS
2025-05-27,97.4,97.9,93.99,96.29,169.85,63.78,FOCUS
2025-05-26,100.78,100.9,95.74,96.03,169.85,63.78,FOCUS
2025-05-23,105.8,106.0,100.4,100.78,169.85,63.78,FOCUS
2025-05-22,104.7,107.9,103.83,105.69,169.85,63.78,FOCUS
2025-05-21,103.2,106.13,102.43,103.62,169.85,63.78,FOCUS
2025-05-20,106.39,106.79,101.43,105.29,169.85,63.78,FOCUS
2025-05-19,106.58,110.44,104.1,105.2,169.85,63.78,FOCUS
2025-05-16,103.04,107.0,100.99,105.19,169.85,63.78,FOCUS
2025-05-15,106.43,106.43,101.37,102.66,169.85,63.78,FOCUS
2025-05-14,101.37,101.37,101.37,101.37,169.85,63.78,FOCUS
