DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,185.99,191.1,185.84,189.32,246.3,150.52,GAIL
2025-04-25,193.0,194.67,184.88,186.74,246.3,150.52,GAIL
2025-04-24,192.21,194.28,191.9,193.24,246.3,150.52,GAIL
2025-04-23,194.29,194.8,189.9,193.5,246.3,150.52,GAIL
2025-04-22,196.11,196.7,192.79,193.24,246.3,150.52,GAIL
2025-04-21,190.5,197.0,188.59,195.32,246.3,150.52,GAIL
2025-04-17,184.7,188.7,183.81,186.99,246.3,150.52,GAIL
2025-04-16,178.0,185.0,176.31,184.7,246.3,150.52,GAIL
2025-04-15,176.69,180.76,174.88,178.99,246.3,150.52,GAIL
2025-04-11,173.02,173.37,169.31,171.71,246.3,150.52,GAIL
2025-04-09,172.8,173.57,167.42,168.86,246.3,150.52,GAIL
2025-04-08,174.42,177.43,169.69,172.57,246.3,150.52,GAIL
2025-04-07,159.8,171.7,159.61,169.03,246.3,150.52,GAIL
2025-04-04,183.2,184.9,175.0,176.61,246.3,150.52,GAIL
2025-04-03,182.06,185.5,180.57,183.63,246.3,150.52,GAIL
2025-04-02,184.05,186.9,183.1,184.06,246.3,150.52,GAIL
2025-04-01,181.59,186.95,179.67,186.32,246.3,150.52,GAIL
2025-03-28,181.99,184.95,180.81,183.04,246.3,150.52,GAIL
2025-03-27,172.9,182.25,172.2,181.56,246.3,150.52,GAIL
2025-03-26,177.0,179.5,173.42,174.07,246.3,150.52,GAIL
2025-03-25,183.0,183.31,177.0,177.7,246.3,150.52,GAIL
2025-03-24,178.76,186.4,178.2,181.28,246.3,150.52,GAIL
2025-03-21,168.45,177.33,168.4,175.05,246.3,150.52,GAIL
2025-03-20,167.07,169.38,164.65,168.46,246.3,150.52,GAIL
2025-03-19,163.0,166.62,162.62,165.96,246.3,150.52,GAIL
2025-03-18,157.6,164.25,157.1,163.0,246.3,150.52,GAIL
2025-03-17,157.89,159.2,156.41,156.58,246.3,150.52,GAIL
2025-03-13,159.46,161.3,157.71,157.96,246.3,150.52,GAIL
2025-03-12,157.4,161.65,157.3,159.2,246.3,150.52,GAIL
2025-03-11,154.45,157.3,153.0,156.78,246.3,150.52,GAIL
2025-03-10,158.0,160.25,154.2,155.14,246.3,150.52,GAIL
2025-03-07,161.41,161.94,157.4,158.14,246.3,150.52,GAIL
2025-03-06,160.7,162.62,159.01,161.46,246.3,150.52,GAIL
2025-03-05,153.5,159.25,153.35,158.95,246.3,150.52,GAIL
2025-03-04,153.0,153.9,150.52,153.17,246.3,150.52,GAIL
2025-03-03,156.04,159.0,153.31,154.05,246.3,153.31,GAIL
2025-02-28,158.99,158.99,153.65,156.04,246.3,153.65,GAIL
2025-02-27,160.0,161.94,157.47,159.37,246.3,155.51,GAIL
2025-02-25,164.0,165.56,160.5,160.74,246.3,155.51,GAIL
2025-02-24,161.5,165.69,160.7,164.58,246.3,155.51,GAIL
2025-02-21,166.9,168.49,163.09,164.21,246.3,155.51,GAIL
2025-02-20,162.1,167.43,161.61,167.14,246.3,155.51,GAIL
2025-02-19,162.21,164.76,161.65,163.53,246.3,155.51,GAIL
2025-02-18,160.17,164.75,157.6,164.07,246.3,155.51,GAIL
2025-02-17,160.31,161.42,157.76,160.17,246.3,155.51,GAIL
2025-02-14,162.51,165.3,160.75,162.29,246.3,155.51,GAIL
2025-02-13,159.35,164.79,159.35,162.33,246.3,155.51,GAIL
2025-02-12,160.1,161.15,155.51,159.76,246.3,155.51,GAIL
2025-02-11,167.1,167.73,160.73,161.69,246.3,160.73,GAIL
2025-02-10,171.05,171.64,167.5,168.1,246.3,163.35,GAIL
2025-02-07,171.0,173.4,170.1,171.05,246.3,163.35,GAIL
2025-02-06,180.0,180.87,176.5,178.41,246.3,163.35,GAIL
2025-02-05,180.11,180.94,178.35,179.5,246.3,163.35,GAIL
2025-02-04,176.0,178.45,175.0,178.0,246.3,163.35,GAIL
2025-02-03,176.0,177.18,173.07,174.34,246.3,163.35,GAIL
2025-02-01,178.94,180.5,174.5,175.6,246.3,163.35,GAIL
2025-01-31,169.25,178.87,167.15,177.12,246.3,163.35,GAIL
2025-01-30,165.35,172.99,165.35,167.11,246.3,163.35,GAIL
2025-01-29,166.35,168.2,164.41,165.22,246.3,163.35,GAIL
2025-01-28,166.75,170.19,163.35,166.13,246.3,163.35,GAIL
2025-01-27,173.0,174.1,166.7,167.65,246.3,165.5,GAIL
2025-01-24,178.81,180.09,175.34,175.84,246.3,155.75,GAIL
2025-01-23,175.2,180.29,175.2,179.66,246.3,155.75,GAIL
2025-01-22,179.27,180.62,172.25,176.46,246.3,155.75,GAIL
2025-01-21,181.81,183.6,179.3,179.91,246.3,155.75,GAIL
2025-01-20,180.95,182.9,179.12,182.06,246.3,155.75,GAIL
2025-01-17,179.6,182.79,179.44,180.95,246.3,155.75,GAIL
2025-01-16,181.95,182.3,178.05,180.52,246.3,155.75,GAIL
2025-01-15,177.15,179.99,175.77,177.94,246.3,155.75,GAIL
2025-01-14,173.19,178.2,173.1,175.96,246.3,155.75,GAIL
2025-01-13,175.18,178.76,171.65,172.15,246.3,155.75,GAIL
2025-01-10,183.5,184.87,177.75,179.58,246.3,155.75,GAIL
2025-01-09,190.4,190.87,182.33,183.02,246.3,155.75,GAIL
2025-01-08,187.0,191.67,186.99,190.58,246.3,155.75,GAIL
2025-01-07,186.31,189.28,183.96,186.06,246.3,155.75,GAIL
2025-01-06,191.39,191.4,183.8,184.67,246.3,155.75,GAIL
2025-01-03,191.69,193.76,189.74,191.09,246.3,155.75,GAIL
2025-01-02,191.0,191.88,187.56,191.1,246.3,155.75,GAIL
2025-01-01,191.03,191.6,189.03,191.09,246.3,155.75,GAIL
2024-12-31,188.35,192.14,187.35,190.98,246.3,155.75,GAIL
2024-12-30,193.0,193.82,187.5,188.74,246.3,155.75,GAIL
2024-12-27,196.99,197.73,192.11,192.5,246.3,150.75,GAIL
2024-12-26,198.6,200.71,196.5,197.63,246.3,150.75,GAIL
2024-12-24,193.97,201.49,193.86,198.06,246.3,150.75,GAIL
2024-12-23,194.2,198.19,191.63,193.97,246.3,150.75,GAIL
2024-12-20,194.01,199.78,191.72,192.42,246.3,134.85,GAIL
2024-12-19,189.1,197.0,188.73,193.62,246.3,134.85,GAIL
2024-12-18,198.0,199.36,193.0,193.54,246.3,134.85,GAIL
2024-12-17,203.0,205.0,198.11,199.57,246.3,134.85,GAIL
2024-12-16,204.75,205.0,201.37,203.82,246.3,134.85,GAIL
2024-12-13,205.0,205.6,199.84,204.9,246.3,134.85,GAIL
2024-12-12,205.3,207.6,204.41,205.22,246.3,134.85,GAIL
2024-12-11,206.5,207.82,205.0,205.82,246.3,134.85,GAIL
2024-12-10,208.8,209.94,206.88,207.54,246.3,134.85,GAIL
2024-12-09,210.4,211.9,208.21,208.67,246.3,134.85,GAIL
2024-12-06,208.87,213.4,208.51,210.41,246.3,134.85,GAIL
2024-12-05,208.45,209.7,205.55,208.87,246.3,134.85,GAIL
2024-12-04,201.6,208.03,201.37,206.73,246.3,134.85,GAIL
2024-12-03,199.5,201.19,199.0,199.99,246.3,134.85,GAIL
2024-12-02,198.4,199.2,197.0,198.54,246.3,134.85,GAIL
2024-11-29,197.7,200.56,196.45,199.46,246.3,123.65,GAIL
2024-11-28,194.9,199.25,193.65,196.7,246.3,123.65,GAIL
2024-11-27,194.6,195.5,192.5,194.88,246.3,123.65,GAIL
2024-11-26,199.19,199.92,193.02,193.97,246.3,123.65,GAIL
2024-11-25,197.4,201.2,196.83,199.19,246.3,123.65,GAIL
2024-11-22,189.59,193.62,188.16,192.61,246.3,122.9,GAIL
2024-11-21,187.11,190.25,180.42,188.3,246.3,122.9,GAIL
2024-11-19,185.64,189.5,185.64,186.68,246.3,122.9,GAIL
2024-11-18,190.0,190.85,184.62,185.46,246.3,122.9,GAIL
2024-11-14,189.51,192.0,187.93,188.89,246.3,122.9,GAIL
2024-11-13,193.9,194.7,188.95,189.47,246.3,122.9,GAIL
2024-11-12,203.0,205.2,193.5,194.15,246.3,122.9,GAIL
2024-11-11,202.0,206.2,201.8,202.93,246.3,122.9,GAIL
