DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,778.8,778.8,761.05,768.4,1031.8,585.5,GANDHITUBE
2025-11-28,771.0,782.0,768.0,768.95,1031.8,585.5,GANDHITUBE
2025-11-27,756.0,783.9,756.0,774.1,1031.8,585.5,GANDHITUBE
2025-11-26,758.95,772.95,755.05,764.35,1031.8,585.5,GANDHITUBE
2025-11-25,754.35,766.25,750.4,755.25,1031.8,585.5,GANDHITUBE
2025-11-24,773.45,774.2,749.0,754.35,1031.8,585.5,GANDHITUBE
2025-11-21,776.85,781.2,766.2,773.5,1031.8,585.5,GANDHITUBE
2025-11-20,780.0,785.8,769.75,778.05,1031.8,585.5,GANDHITUBE
2025-11-19,779.75,785.95,773.05,776.75,1031.8,585.5,GANDHITUBE
2025-11-18,780.0,793.55,770.0,778.7,1031.8,585.5,GANDHITUBE
2025-11-17,773.0,788.95,770.35,780.25,1031.8,585.5,GANDHITUBE
2025-11-14,775.0,783.0,768.0,779.85,1031.8,585.5,GANDHITUBE
2025-11-13,789.5,797.1,770.1,775.6,1031.8,585.5,GANDHITUBE
2025-11-12,791.0,799.2,780.0,782.95,1031.8,585.5,GANDHITUBE
2025-11-11,820.05,820.1,752.15,790.75,1031.8,585.5,GANDHITUBE
2025-11-10,825.0,870.55,825.0,830.0,1031.8,585.5,GANDHITUBE
2025-11-07,839.0,839.0,816.0,827.65,1031.8,585.5,GANDHITUBE
2025-11-06,856.0,863.0,822.0,828.95,1031.8,585.5,GANDHITUBE
2025-11-04,870.75,872.95,851.0,856.3,1031.8,585.5,GANDHITUBE
2025-11-03,879.8,884.45,864.5,869.5,1031.8,585.5,GANDHITUBE
2025-10-31,879.0,890.0,870.1,877.8,1031.8,585.5,GANDHITUBE
2025-10-30,884.0,894.0,867.5,870.1,1031.8,585.5,GANDHITUBE
2025-10-29,889.0,900.7,877.7,886.1,1031.8,585.5,GANDHITUBE
2025-10-28,890.55,898.6,884.1,888.0,1031.8,585.5,GANDHITUBE
2025-10-27,929.0,932.4,876.2,881.75,1031.8,585.5,GANDHITUBE
2025-10-24,928.0,930.0,910.35,927.65,1031.8,585.5,GANDHITUBE
2025-10-23,925.0,935.0,911.3,923.2,1031.8,585.5,GANDHITUBE
2025-10-21,888.15,940.0,888.15,917.95,1031.8,585.5,GANDHITUBE
2025-10-20,871.0,902.25,871.0,894.0,1031.8,585.5,GANDHITUBE
2025-10-17,881.0,895.45,869.0,871.1,1031.8,585.5,GANDHITUBE
2025-10-16,889.0,916.95,866.5,879.25,1031.8,585.5,GANDHITUBE
2025-10-15,909.05,920.4,875.0,882.25,1031.8,585.5,GANDHITUBE
2025-10-14,923.3,927.5,901.3,909.05,1031.8,585.5,GANDHITUBE
2025-10-13,925.0,944.05,906.65,915.95,1031.8,585.5,GANDHITUBE
2025-10-10,959.8,978.6,928.3,933.25,1031.8,585.5,GANDHITUBE
2025-10-09,928.65,975.0,928.65,948.85,1031.8,585.5,GANDHITUBE
2025-10-08,949.5,965.0,923.85,928.65,1031.8,585.5,GANDHITUBE
2025-10-07,969.75,998.0,945.3,947.75,1031.8,585.5,GANDHITUBE
2025-10-06,938.0,980.0,927.0,969.65,1031.8,585.5,GANDHITUBE
2025-10-03,960.75,984.95,937.0,943.75,1031.8,585.5,GANDHITUBE
2025-10-01,967.0,1004.3,954.05,960.65,1031.8,585.5,GANDHITUBE
2025-09-30,944.55,979.0,932.8,967.9,1031.8,585.5,GANDHITUBE
2025-09-29,938.65,1010.0,931.3,951.45,1031.8,585.5,GANDHITUBE
2025-09-26,894.4,940.0,879.05,927.65,1031.8,585.5,GANDHITUBE
2025-09-25,906.25,911.95,884.05,888.3,1031.8,585.5,GANDHITUBE
2025-09-24,918.0,924.95,903.5,908.9,1031.8,585.5,GANDHITUBE
2025-09-23,929.5,935.0,910.05,918.3,1031.8,585.5,GANDHITUBE
2025-09-22,923.95,949.9,908.4,928.9,1031.8,585.5,GANDHITUBE
2025-09-19,928.0,935.6,910.0,917.25,1031.8,585.5,GANDHITUBE
2025-09-18,958.0,969.5,925.0,928.15,1031.8,585.5,GANDHITUBE
2025-09-17,980.7,993.7,958.0,960.95,1031.8,585.5,GANDHITUBE
2025-09-16,962.95,989.9,940.0,975.7,1031.8,585.5,GANDHITUBE
2025-09-15,953.0,972.0,936.2,965.65,1031.8,585.5,GANDHITUBE
2025-09-12,952.0,969.0,917.0,949.3,1031.8,585.5,GANDHITUBE
2025-09-11,958.25,972.9,936.0,942.55,1031.8,585.5,GANDHITUBE
2025-09-10,952.0,967.5,931.2,948.6,1031.8,585.5,GANDHITUBE
2025-09-09,1003.8,1003.8,939.1,947.15,1031.8,585.5,GANDHITUBE
2025-09-08,1012.0,1031.8,1002.0,1003.8,1031.8,585.5,GANDHITUBE
2025-09-05,979.0,1008.0,976.85,1000.55,1008.0,585.5,GANDHITUBE
2025-09-04,900.0,978.0,900.0,958.0,978.0,585.5,GANDHITUBE
2025-09-03,868.8,888.8,862.0,865.7,929.0,585.5,GANDHITUBE
2025-09-02,866.45,888.0,840.0,863.15,929.0,585.5,GANDHITUBE
2025-09-01,865.0,889.0,856.7,864.75,929.0,585.5,GANDHITUBE
2025-08-29,833.0,851.95,833.0,849.0,929.0,585.5,GANDHITUBE
2025-08-28,832.0,842.0,817.05,836.15,929.0,585.5,GANDHITUBE
2025-08-26,862.8,862.8,828.0,832.95,929.0,585.5,GANDHITUBE
2025-08-25,849.0,915.0,840.05,864.0,929.0,585.5,GANDHITUBE
2025-08-22,783.0,783.0,770.25,773.2,929.0,585.5,GANDHITUBE
2025-08-21,776.25,787.0,771.0,774.0,929.0,585.5,GANDHITUBE
2025-08-20,791.5,791.5,775.85,778.95,929.0,585.5,GANDHITUBE
2025-08-19,751.25,790.0,751.25,783.65,929.0,585.5,GANDHITUBE
2025-08-18,768.0,780.0,747.2,759.85,929.0,585.5,GANDHITUBE
2025-08-14,764.8,771.0,752.6,759.55,929.0,585.5,GANDHITUBE
2025-08-13,770.1,789.85,755.0,761.0,929.0,585.5,GANDHITUBE
2025-08-12,749.0,821.95,749.0,768.3,929.0,585.5,GANDHITUBE
2025-08-11,711.0,736.0,649.5,692.35,929.0,585.5,GANDHITUBE
2025-08-08,734.2,741.35,711.6,713.7,929.0,585.5,GANDHITUBE
2025-08-07,742.0,752.0,710.5,734.2,929.0,585.5,GANDHITUBE
2025-08-06,757.05,757.05,745.2,747.4,929.0,585.5,GANDHITUBE
2025-08-05,751.0,761.8,750.5,753.5,929.0,585.5,GANDHITUBE
2025-08-04,775.7,775.7,746.1,751.9,929.0,585.5,GANDHITUBE
2025-08-01,780.0,785.0,775.6,779.55,929.0,585.5,GANDHITUBE
2025-07-31,760.0,780.0,758.0,769.05,929.0,585.5,GANDHITUBE
2025-07-30,774.15,780.0,760.0,764.95,929.0,585.5,GANDHITUBE
2025-07-29,769.9,787.05,754.95,767.75,929.0,585.5,GANDHITUBE
2025-07-28,750.0,774.8,745.35,761.05,929.0,585.5,GANDHITUBE
2025-07-25,757.05,771.3,744.9,752.45,929.0,585.5,GANDHITUBE
2025-07-24,761.1,779.0,755.0,758.8,929.0,585.5,GANDHITUBE
2025-07-23,777.0,783.0,755.0,774.0,929.0,585.5,GANDHITUBE
2025-07-22,730.0,778.4,730.0,766.6,929.0,585.5,GANDHITUBE
2025-07-21,734.9,740.8,726.0,731.85,929.0,585.5,GANDHITUBE
2025-07-18,742.8,742.8,728.1,730.7,929.0,585.5,GANDHITUBE
2025-07-17,737.0,742.45,733.2,736.5,929.0,585.5,GANDHITUBE
2025-07-16,736.65,743.5,734.7,737.25,929.0,585.5,GANDHITUBE
2025-07-15,740.3,744.0,728.05,734.05,929.0,585.5,GANDHITUBE
2025-07-14,732.1,735.6,723.0,731.8,929.0,585.5,GANDHITUBE
2025-07-11,733.75,735.55,717.05,732.1,929.0,585.5,GANDHITUBE
2025-07-10,734.05,742.4,729.0,733.1,929.0,585.5,GANDHITUBE
2025-07-09,729.0,739.0,723.55,734.2,929.0,585.5,GANDHITUBE
2025-07-08,726.1,737.8,718.2,728.0,929.0,585.5,GANDHITUBE
2025-07-07,741.95,742.7,719.3,725.3,929.0,585.5,GANDHITUBE
2025-07-04,728.0,741.2,726.8,733.0,929.0,585.5,GANDHITUBE
2025-07-03,712.55,725.0,712.4,724.25,929.0,585.5,GANDHITUBE
2025-07-02,709.65,720.0,701.0,714.65,929.0,585.5,GANDHITUBE
2025-07-01,718.0,718.1,704.55,709.55,929.0,585.5,GANDHITUBE
2025-06-30,717.5,717.5,706.35,715.75,929.0,585.5,GANDHITUBE
2025-06-27,715.6,718.85,704.35,709.35,929.0,585.5,GANDHITUBE
2025-06-26,708.85,715.0,708.85,713.7,929.0,585.5,GANDHITUBE
2025-06-25,709.05,711.85,705.0,709.1,929.0,585.5,GANDHITUBE
2025-06-24,720.85,720.9,700.05,705.55,929.0,585.5,GANDHITUBE
2025-06-23,704.0,723.0,694.4,717.0,929.0,585.5,GANDHITUBE
2025-06-20,701.3,703.5,694.7,698.9,929.0,585.5,GANDHITUBE
2025-06-19,712.6,715.2,692.1,695.4,929.0,585.5,GANDHITUBE
2025-06-18,706.1,715.0,701.0,707.0,929.0,585.5,GANDHITUBE
2025-06-17,724.85,724.95,703.55,709.75,929.0,585.5,GANDHITUBE
2025-06-16,709.8,723.0,695.35,721.35,929.0,585.5,GANDHITUBE
2025-06-13,720.0,720.0,684.7,701.85,929.0,585.5,GANDHITUBE
2025-06-12,719.2,725.9,715.0,715.45,929.0,585.5,GANDHITUBE
2025-06-11,729.0,731.1,720.25,722.2,929.0,585.5,GANDHITUBE
2025-06-10,728.6,734.8,717.55,723.55,929.0,585.5,GANDHITUBE
2025-06-09,715.05,730.0,715.0,720.3,929.0,585.5,GANDHITUBE
2025-06-06,725.0,725.0,706.1,719.75,929.0,585.5,GANDHITUBE
2025-06-05,712.75,725.5,708.0,721.6,929.0,585.5,GANDHITUBE
2025-06-04,714.0,716.0,700.95,712.75,929.0,585.5,GANDHITUBE
2025-06-03,719.95,720.0,702.1,706.6,929.0,585.5,GANDHITUBE
2025-06-02,694.0,715.0,680.0,712.9,929.0,585.5,GANDHITUBE
2025-05-30,699.0,699.0,689.0,694.6,929.0,585.5,GANDHITUBE
2025-05-29,708.0,708.3,687.05,693.4,929.0,585.5,GANDHITUBE
2025-05-28,722.5,725.0,698.0,711.05,929.0,585.5,GANDHITUBE
2025-05-27,725.0,725.8,715.95,722.5,929.0,585.5,GANDHITUBE
2025-05-26,698.4,724.8,697.45,716.7,929.0,585.5,GANDHITUBE
2025-05-23,685.4,694.8,683.2,689.55,929.0,585.5,GANDHITUBE
2025-05-22,687.1,693.9,684.1,686.15,929.0,585.5,GANDHITUBE
2025-05-21,673.3,696.8,673.3,692.4,929.0,585.5,GANDHITUBE
2025-05-20,686.35,698.0,682.0,690.15,929.0,585.5,GANDHITUBE
2025-05-19,693.7,700.0,687.8,692.15,929.0,585.5,GANDHITUBE
2025-05-16,673.25,691.35,668.95,685.05,929.0,585.5,GANDHITUBE
2025-05-15,675.0,678.6,667.05,669.2,929.0,585.5,GANDHITUBE
2025-05-14,666.95,675.35,660.75,669.75,929.0,585.5,GANDHITUBE
2025-05-13,651.55,681.55,651.55,665.95,929.0,585.5,GANDHITUBE
2025-05-12,659.0,665.0,643.1,651.55,929.0,585.5,GANDHITUBE
2025-05-09,641.0,645.0,618.6,627.45,929.0,585.5,GANDHITUBE
2025-05-08,646.0,674.7,645.55,650.5,929.0,585.5,GANDHITUBE
2025-05-07,646.1,657.95,644.6,649.65,929.0,585.5,GANDHITUBE
2025-05-06,676.0,682.0,652.15,660.25,929.0,585.5,GANDHITUBE
2025-05-05,652.85,673.9,650.1,667.15,929.0,585.5,GANDHITUBE
2025-05-02,660.0,660.0,635.1,649.05,929.0,585.5,GANDHITUBE
2025-04-30,660.55,667.1,651.1,653.65,929.0,585.5,GANDHITUBE
2025-04-29,665.55,673.45,660.1,666.7,929.0,585.5,GANDHITUBE
2025-04-28,661.0,675.0,661.0,667.1,929.0,585.5,GANDHITUBE
2025-04-25,678.0,685.0,662.0,670.4,929.0,585.5,GANDHITUBE
2025-04-24,686.75,686.85,673.7,677.45,929.0,585.5,GANDHITUBE
2025-04-23,686.0,688.8,675.05,679.1,929.0,585.5,GANDHITUBE
2025-04-22,674.75,684.9,674.75,683.6,929.0,585.5,GANDHITUBE
2025-04-21,689.0,689.0,670.5,674.75,929.0,585.5,GANDHITUBE
2025-04-17,690.0,695.15,678.0,682.3,929.0,585.5,GANDHITUBE
2025-04-16,696.0,699.0,681.05,692.2,929.0,585.5,GANDHITUBE
2025-04-15,677.2,695.1,671.95,690.45,929.0,585.5,GANDHITUBE
2025-04-11,664.9,679.0,662.95,672.85,929.0,585.5,GANDHITUBE
2025-04-09,668.2,668.2,645.15,659.3,929.0,585.5,GANDHITUBE
2025-04-08,638.95,683.95,638.95,668.2,929.0,585.5,GANDHITUBE
2025-04-07,650.0,650.0,620.0,629.3,929.0,585.5,GANDHITUBE
2025-04-04,656.0,677.9,655.0,656.45,929.0,585.5,GANDHITUBE
2025-04-03,646.0,684.55,646.0,673.55,929.0,585.5,GANDHITUBE
2025-04-02,659.0,675.0,652.5,667.15,929.0,585.5,GANDHITUBE
2025-04-01,646.9,660.05,641.05,652.0,929.0,585.5,GANDHITUBE
2025-03-28,648.05,680.65,640.2,647.4,929.0,585.5,GANDHITUBE
2025-03-27,665.0,670.65,640.0,648.2,929.0,585.5,GANDHITUBE
2025-03-26,689.0,697.0,664.0,671.8,929.0,585.5,GANDHITUBE
2025-03-25,714.9,719.0,685.0,692.45,929.0,585.5,GANDHITUBE
2025-03-24,696.95,719.95,689.9,704.55,929.0,585.5,GANDHITUBE
2025-03-21,688.4,707.7,685.0,688.15,929.0,585.5,GANDHITUBE
2025-03-20,703.05,703.05,682.05,688.4,929.0,585.5,GANDHITUBE
2025-03-19,704.75,709.0,690.05,694.4,929.0,585.5,GANDHITUBE
2025-03-18,687.6,724.45,681.05,704.55,929.0,585.5,GANDHITUBE
2025-03-17,702.0,720.95,671.4,685.45,929.0,585.5,GANDHITUBE
2025-03-13,631.5,745.0,630.0,728.2,929.0,585.5,GANDHITUBE
2025-03-12,621.45,635.85,618.0,632.3,929.0,585.5,GANDHITUBE
2025-03-11,625.85,625.85,619.1,621.45,929.0,585.5,GANDHITUBE
2025-03-10,630.0,637.1,623.1,625.9,929.0,585.5,GANDHITUBE
2025-03-07,640.0,645.4,619.0,628.7,929.0,585.5,GANDHITUBE
2025-03-06,635.95,641.0,629.0,639.1,929.0,585.5,GANDHITUBE
2025-03-05,620.95,635.0,620.95,634.2,929.0,585.5,GANDHITUBE
2025-03-04,622.85,633.0,612.1,618.45,929.0,585.5,GANDHITUBE
2025-03-03,594.9,629.95,585.5,620.45,929.0,585.5,GANDHITUBE
2025-02-28,609.0,609.0,585.5,592.75,929.0,585.5,GANDHITUBE
2025-02-27,625.0,628.45,605.1,609.7,929.0,598.1,GANDHITUBE
2025-02-25,615.45,629.9,609.45,625.8,929.0,598.1,GANDHITUBE
2025-02-24,610.2,621.95,609.05,612.95,929.0,598.1,GANDHITUBE
2025-02-21,612.05,631.95,609.05,626.15,929.0,598.1,GANDHITUBE
2025-02-20,602.05,616.05,598.1,610.85,929.0,598.1,GANDHITUBE
2025-02-19,620.2,630.45,599.05,602.6,929.0,599.05,GANDHITUBE
2025-02-18,643.0,644.9,617.5,619.7,929.0,617.5,GANDHITUBE
2025-02-17,620.3,644.0,620.3,639.85,929.0,620.3,GANDHITUBE
2025-02-14,625.0,646.9,624.4,639.45,929.0,624.4,GANDHITUBE
2025-02-13,674.95,674.95,625.0,637.75,929.0,625.0,GANDHITUBE
2025-02-12,700.05,700.05,657.0,674.85,935.0,657.0,GANDHITUBE
2025-02-11,702.05,708.85,693.2,701.55,935.0,658.4,GANDHITUBE
2025-02-10,742.35,742.35,702.0,712.85,935.0,658.4,GANDHITUBE
2025-02-07,735.05,742.95,725.05,733.05,935.0,658.4,GANDHITUBE
2025-02-06,744.8,744.8,723.05,731.5,935.0,658.4,GANDHITUBE
2025-02-05,742.45,747.7,726.95,739.3,935.0,658.4,GANDHITUBE
2025-02-04,738.95,757.4,725.0,740.3,935.0,658.4,GANDHITUBE
2025-02-03,751.0,752.95,721.0,731.2,935.0,658.4,GANDHITUBE
2025-02-01,794.0,794.0,758.55,761.85,935.0,658.4,GANDHITUBE
2025-01-31,721.8,809.7,721.8,780.4,935.0,658.4,GANDHITUBE
2025-01-30,716.25,728.0,708.3,721.85,935.0,658.4,GANDHITUBE
2025-01-29,703.2,718.0,696.95,712.55,935.0,658.4,GANDHITUBE
2025-01-28,704.1,720.0,689.25,702.8,935.0,658.4,GANDHITUBE
2025-01-27,714.0,723.9,695.0,700.4,935.0,658.4,GANDHITUBE
2025-01-24,724.3,729.45,708.6,720.1,935.0,658.4,GANDHITUBE
2025-01-23,711.0,735.0,708.0,730.95,935.0,658.4,GANDHITUBE
2025-01-22,725.05,725.05,705.0,713.85,935.0,658.4,GANDHITUBE
2025-01-21,734.0,740.7,720.0,725.1,935.0,658.4,GANDHITUBE
2025-01-20,726.3,750.0,715.0,734.75,935.0,658.4,GANDHITUBE
2025-01-17,729.7,733.55,703.0,716.75,935.0,658.4,GANDHITUBE
2025-01-16,724.4,740.0,717.0,729.75,935.0,658.4,GANDHITUBE
2025-01-15,706.0,727.4,706.0,724.1,935.0,658.4,GANDHITUBE
2025-01-14,717.8,730.95,702.0,713.05,935.0,658.4,GANDHITUBE
2025-01-13,766.3,766.3,704.5,714.05,935.0,658.4,GANDHITUBE
2025-01-10,760.8,768.1,755.5,756.7,935.0,658.4,GANDHITUBE
2025-01-09,771.35,777.6,763.2,767.75,935.0,658.4,GANDHITUBE
2025-01-08,791.25,791.25,761.6,770.15,935.0,658.4,GANDHITUBE
2025-01-07,780.2,796.0,779.85,791.4,935.0,658.4,GANDHITUBE
2025-01-06,806.8,806.8,766.05,776.0,935.0,658.4,GANDHITUBE
