DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-27,771.15,780.0,760.9,775.9,4931.95,674.2,GARFIBRES
2025-10-24,775.0,785.95,760.7,771.15,4931.95,674.2,GARFIBRES
2025-10-23,794.1,803.85,775.0,778.3,4931.95,674.2,GARFIBRES
2025-10-21,763.0,793.0,763.0,783.5,4931.95,674.2,GARFIBRES
2025-10-20,760.0,775.0,755.0,765.25,4931.95,674.2,GARFIBRES
2025-10-17,776.9,786.75,758.4,763.1,4931.95,674.2,GARFIBRES
2025-10-16,752.05,778.0,750.0,771.9,4931.95,674.2,GARFIBRES
2025-10-15,741.0,755.95,740.9,752.05,4931.95,674.2,GARFIBRES
2025-10-14,746.25,756.8,746.25,749.95,4931.95,674.2,GARFIBRES
2025-10-13,755.0,760.45,732.0,750.65,4931.95,674.2,GARFIBRES
2025-10-10,754.9,763.1,747.1,753.25,4931.95,674.2,GARFIBRES
2025-10-09,751.95,764.9,745.0,754.15,4931.95,674.2,GARFIBRES
2025-10-08,754.65,757.0,744.7,749.4,4931.95,674.2,GARFIBRES
2025-10-07,750.0,758.0,743.5,749.8,4931.95,674.2,GARFIBRES
2025-10-06,760.0,761.0,746.0,749.7,4931.95,674.2,GARFIBRES
2025-10-03,772.4,779.4,754.0,759.3,4931.95,674.2,GARFIBRES
2025-10-01,743.0,778.0,734.2,772.2,4931.95,674.2,GARFIBRES
2025-09-30,772.0,774.55,736.85,743.1,4931.95,674.2,GARFIBRES
2025-09-29,780.4,786.9,766.15,770.35,4931.95,674.2,GARFIBRES
2025-09-26,788.35,795.2,776.5,781.75,4931.95,674.2,GARFIBRES
2025-09-25,784.0,795.0,783.65,786.45,4931.95,674.2,GARFIBRES
2025-09-24,784.1,794.0,771.0,783.65,4931.95,674.2,GARFIBRES
2025-09-23,806.05,809.45,775.0,784.1,4931.95,674.2,GARFIBRES
2025-09-22,815.95,821.0,806.65,809.05,4931.95,674.2,GARFIBRES
2025-09-19,812.5,825.0,802.0,815.95,4931.95,674.2,GARFIBRES
2025-09-18,807.75,812.5,805.45,809.45,4931.95,674.2,GARFIBRES
2025-09-17,807.0,812.9,795.0,807.2,4931.95,674.2,GARFIBRES
2025-09-16,790.9,808.0,789.3,803.9,4931.95,674.2,GARFIBRES
2025-09-15,777.4,795.0,771.65,789.3,4931.95,674.2,GARFIBRES
2025-09-12,783.85,790.5,764.15,777.4,4931.95,674.2,GARFIBRES
2025-09-11,766.8,816.0,765.0,781.5,4931.95,674.2,GARFIBRES
2025-09-10,759.0,785.0,756.05,767.8,4931.95,674.2,GARFIBRES
2025-09-09,770.45,770.45,740.1,754.1,4931.95,674.2,GARFIBRES
2025-09-08,768.3,796.95,762.0,765.6,4931.95,674.2,GARFIBRES
2025-09-05,762.0,779.75,761.45,766.9,4931.95,674.2,GARFIBRES
2025-09-04,779.6,779.6,760.0,761.9,4931.95,674.2,GARFIBRES
2025-09-03,768.95,778.0,762.0,774.95,4931.95,674.2,GARFIBRES
2025-09-02,767.2,780.0,760.6,765.15,4931.95,674.2,GARFIBRES
2025-09-01,770.9,770.9,760.05,764.25,4931.95,674.2,GARFIBRES
2025-08-29,769.8,776.65,762.0,766.0,4931.95,674.2,GARFIBRES
2025-08-28,773.0,779.9,762.85,769.8,4931.95,674.2,GARFIBRES
2025-08-26,800.0,800.95,771.0,774.85,4931.95,674.2,GARFIBRES
2025-08-25,815.1,823.75,795.0,799.7,4931.95,674.2,GARFIBRES
2025-08-22,814.0,818.9,805.75,814.9,4931.95,674.2,GARFIBRES
2025-08-21,823.8,870.45,810.6,815.5,4931.95,674.2,GARFIBRES
2025-08-20,818.5,827.0,809.15,818.45,4931.95,674.2,GARFIBRES
2025-08-19,820.0,825.95,801.0,812.95,4931.95,674.2,GARFIBRES
2025-08-18,799.0,826.55,793.1,817.25,4931.95,674.2,GARFIBRES
2025-08-14,812.5,816.0,783.6,788.55,4931.95,674.2,GARFIBRES
2025-08-13,825.0,828.45,805.0,807.4,4931.95,674.2,GARFIBRES
2025-08-12,822.6,835.2,813.5,823.05,4931.95,674.2,GARFIBRES
2025-08-11,835.1,838.9,816.5,822.6,4931.95,674.2,GARFIBRES
2025-08-08,868.8,868.8,807.05,833.55,4931.95,674.2,GARFIBRES
2025-08-07,855.0,868.95,848.95,863.2,4931.95,674.2,GARFIBRES
2025-08-06,882.0,893.4,847.8,856.85,4931.95,674.2,GARFIBRES
2025-08-05,887.25,893.85,873.6,877.65,4931.95,674.2,GARFIBRES
2025-08-04,900.9,904.0,881.5,886.95,4931.95,674.2,GARFIBRES
2025-08-01,899.0,905.9,885.0,895.1,4931.95,674.2,GARFIBRES
2025-07-31,910.0,913.0,882.6,898.7,4931.95,674.2,GARFIBRES
2025-07-30,890.0,918.65,885.9,912.55,4931.95,674.2,GARFIBRES
2025-07-29,888.0,896.7,880.0,885.35,4931.95,674.2,GARFIBRES
2025-07-28,906.65,917.35,881.0,888.6,4931.95,674.2,GARFIBRES
2025-07-25,923.15,927.95,896.25,899.45,4931.95,674.2,GARFIBRES
2025-07-24,942.6,944.9,922.0,933.15,4931.95,674.2,GARFIBRES
2025-07-23,965.0,970.0,931.7,936.55,4931.95,674.2,GARFIBRES
2025-07-22,926.5,968.8,921.0,961.4,4931.95,674.2,GARFIBRES
2025-07-21,936.7,936.7,915.15,920.35,4931.95,674.2,GARFIBRES
2025-07-18,945.55,954.2,912.4,930.65,4931.95,674.2,GARFIBRES
2025-07-17,933.5,955.0,908.0,945.55,4931.95,674.2,GARFIBRES
2025-07-16,915.8,940.0,915.8,927.5,4931.95,674.2,GARFIBRES
2025-07-15,924.5,936.0,919.15,925.05,4931.95,674.2,GARFIBRES
2025-07-14,911.75,928.55,910.15,919.95,4931.95,674.2,GARFIBRES
2025-07-11,910.0,920.7,902.5,911.75,4931.95,674.2,GARFIBRES
2025-07-10,923.95,928.95,911.0,916.2,4931.95,674.2,GARFIBRES
2025-07-09,919.3,935.75,917.4,923.95,4931.95,674.2,GARFIBRES
2025-07-08,912.0,947.0,906.65,923.55,4931.95,674.2,GARFIBRES
2025-07-07,906.6,921.2,902.0,906.15,4931.95,674.2,GARFIBRES
2025-07-04,905.7,919.8,902.05,906.5,4931.95,674.2,GARFIBRES
2025-07-03,915.35,916.05,899.6,901.7,4931.95,674.2,GARFIBRES
2025-07-02,912.3,923.65,905.0,910.8,4931.95,674.2,GARFIBRES
2025-07-01,920.1,931.45,916.95,921.9,4931.95,674.2,GARFIBRES
2025-06-30,909.85,934.0,905.0,925.55,4931.95,674.2,GARFIBRES
2025-06-27,920.0,920.0,901.7,905.0,4931.95,674.2,GARFIBRES
2025-06-26,922.95,922.95,901.0,915.0,4931.95,674.2,GARFIBRES
2025-06-25,917.0,928.45,900.0,917.85,4931.95,674.2,GARFIBRES
2025-06-24,877.9,924.0,877.0,906.0,4931.95,674.2,GARFIBRES
2025-06-23,853.35,877.0,839.0,861.0,4931.95,674.2,GARFIBRES
2025-06-20,858.5,866.45,848.95,853.35,4931.95,674.2,GARFIBRES
2025-06-19,862.2,868.9,843.35,852.95,4931.95,674.2,GARFIBRES
2025-06-18,870.6,876.45,855.0,862.2,4931.95,674.2,GARFIBRES
2025-06-17,865.7,876.9,856.4,864.45,4931.95,674.2,GARFIBRES
2025-06-16,880.0,883.95,861.55,865.7,4931.95,674.2,GARFIBRES
2025-06-13,880.0,899.0,874.75,879.55,4931.95,674.2,GARFIBRES
2025-06-12,905.4,907.15,890.0,900.5,4931.95,674.2,GARFIBRES
2025-06-11,895.0,908.0,895.0,901.75,4931.95,674.2,GARFIBRES
2025-06-10,899.25,913.6,890.0,895.4,4931.95,674.2,GARFIBRES
2025-06-09,906.2,910.7,897.65,902.15,4931.95,674.2,GARFIBRES
2025-06-06,908.0,919.5,898.4,900.35,4931.95,674.2,GARFIBRES
2025-06-05,923.8,941.15,904.45,908.9,4931.95,674.2,GARFIBRES
2025-06-04,890.9,932.95,885.1,916.55,4931.95,674.2,GARFIBRES
2025-06-03,862.35,895.0,855.6,885.1,4931.95,674.2,GARFIBRES
2025-06-02,860.05,870.0,852.35,862.35,4931.95,674.2,GARFIBRES
2025-05-30,868.1,879.2,857.75,859.8,4931.95,674.2,GARFIBRES
2025-05-29,873.2,876.15,862.05,868.2,4931.95,674.2,GARFIBRES
2025-05-28,878.0,888.0,860.6,867.55,4931.95,674.2,GARFIBRES
2025-05-27,892.3,902.0,874.1,878.25,4931.95,674.2,GARFIBRES
2025-05-26,884.9,900.0,881.15,892.3,4931.95,674.2,GARFIBRES
2025-05-23,900.0,912.0,880.0,884.9,4931.95,674.2,GARFIBRES
2025-05-22,890.55,911.0,886.5,897.3,4931.95,674.2,GARFIBRES
2025-05-21,865.75,898.0,841.0,887.2,4931.95,674.2,GARFIBRES
2025-05-20,874.65,874.7,850.55,860.15,4931.95,674.2,GARFIBRES
2025-05-19,899.6,904.2,865.75,869.05,4931.95,674.2,GARFIBRES
2025-05-16,901.0,912.4,862.1,886.3,4931.95,674.2,GARFIBRES
2025-05-15,935.0,943.95,912.0,921.35,4931.95,674.2,GARFIBRES
2025-05-14,925.9,930.65,909.0,926.25,4931.95,674.2,GARFIBRES
2025-05-13,903.0,925.0,891.15,913.95,4931.95,674.2,GARFIBRES
2025-05-12,926.05,929.0,892.45,897.85,4931.95,674.2,GARFIBRES
2025-05-09,886.8,896.15,874.0,887.5,4931.95,674.2,GARFIBRES
2025-05-08,892.8,910.2,879.9,891.25,4931.95,674.2,GARFIBRES
2025-05-07,856.2,891.0,851.85,879.95,4931.95,674.2,GARFIBRES
2025-05-06,874.55,880.0,865.0,872.05,4931.95,674.2,GARFIBRES
2025-05-05,872.7,880.0,861.95,877.8,4931.95,674.2,GARFIBRES
2025-05-02,851.05,876.0,851.05,871.0,4931.95,674.2,GARFIBRES
2025-04-30,853.1,872.0,837.6,861.8,4931.95,674.2,GARFIBRES
2025-04-29,863.15,875.7,849.5,853.4,4931.95,674.2,GARFIBRES
2025-04-28,856.9,871.25,839.55,856.7,4931.95,674.2,GARFIBRES
2025-04-25,872.9,895.1,848.55,856.9,4931.95,674.2,GARFIBRES
2025-04-24,885.85,891.35,864.15,885.2,4931.95,674.2,GARFIBRES
2025-04-23,885.0,901.25,866.0,885.85,4931.95,674.2,GARFIBRES
2025-04-22,888.0,888.0,870.3,883.85,4931.95,674.2,GARFIBRES
2025-04-21,890.0,897.5,872.7,882.5,4931.95,674.2,GARFIBRES
2025-04-17,865.0,896.15,865.0,885.2,4931.95,674.2,GARFIBRES
2025-04-16,860.05,885.95,851.0,872.15,4931.95,674.2,GARFIBRES
2025-04-15,855.85,879.9,850.05,865.35,4931.95,674.2,GARFIBRES
2025-04-11,840.9,857.0,824.1,843.95,4931.95,674.2,GARFIBRES
2025-04-09,803.0,835.0,799.5,813.05,4931.95,674.2,GARFIBRES
2025-04-08,792.2,831.0,792.2,813.1,4931.95,674.2,GARFIBRES
2025-04-07,674.2,807.05,674.2,791.65,4931.95,674.2,GARFIBRES
2025-04-04,875.9,879.0,826.5,842.75,4931.95,690.5,GARFIBRES
2025-04-03,869.9,880.85,853.85,875.9,4931.95,690.5,GARFIBRES
2025-04-02,848.5,891.0,842.1,877.15,4931.95,690.5,GARFIBRES
2025-04-01,856.8,860.05,841.55,854.65,4931.95,690.5,GARFIBRES
2025-03-28,900.65,901.0,851.9,864.7,4931.95,690.5,GARFIBRES
2025-03-27,821.0,985.55,813.75,944.65,4931.95,690.5,GARFIBRES
2025-03-26,842.0,842.0,798.6,821.3,4931.95,690.5,GARFIBRES
2025-03-25,820.8,844.0,805.55,836.75,4931.95,690.5,GARFIBRES
2025-03-24,824.1,839.4,811.0,818.45,4931.95,690.5,GARFIBRES
2025-03-21,845.45,849.95,822.0,827.25,4931.95,690.5,GARFIBRES
2025-03-20,797.15,889.95,797.1,845.2,4931.95,690.5,GARFIBRES
2025-03-19,800.6,823.4,790.15,797.15,4931.95,690.5,GARFIBRES
2025-03-18,787.0,807.85,785.0,800.6,4931.95,690.5,GARFIBRES
2025-03-17,782.0,797.8,770.0,790.35,4931.95,690.5,GARFIBRES
2025-03-13,765.0,784.65,750.1,775.35,4931.95,690.5,GARFIBRES
2025-03-12,772.0,789.8,752.0,767.25,4931.95,690.5,GARFIBRES
2025-03-11,772.2,788.15,748.85,777.6,4931.95,690.5,GARFIBRES
2025-03-10,774.1,790.5,774.1,779.95,4931.95,690.5,GARFIBRES
2025-03-07,780.0,793.7,775.15,781.9,4931.95,690.5,GARFIBRES
2025-03-06,785.0,798.75,767.3,775.5,4931.95,690.5,GARFIBRES
2025-03-05,743.4,799.0,743.4,781.85,4931.95,690.5,GARFIBRES
2025-03-04,764.5,774.85,737.8,750.9,4931.95,690.5,GARFIBRES
2025-03-03,752.0,773.45,744.85,770.0,4931.95,690.5,GARFIBRES
2025-02-28,759.05,774.95,735.9,752.9,4931.95,690.5,GARFIBRES
2025-02-27,747.9,775.45,745.2,770.6,4931.95,690.5,GARFIBRES
2025-02-25,746.9,762.5,746.9,753.15,4931.95,690.5,GARFIBRES
2025-02-24,750.0,756.75,743.55,754.45,4931.95,690.5,GARFIBRES
2025-02-21,731.15,790.0,729.5,766.4,4931.95,690.5,GARFIBRES
2025-02-20,695.0,738.35,690.5,733.05,4931.95,690.5,GARFIBRES
2025-02-19,703.2,730.0,694.5,698.65,4931.95,694.5,GARFIBRES
2025-02-18,727.85,734.85,700.3,706.7,4931.95,700.0,GARFIBRES
2025-02-17,722.0,747.85,700.0,723.15,4931.95,700.0,GARFIBRES
2025-02-14,742.05,748.0,722.35,735.1,4931.95,714.55,GARFIBRES
2025-02-13,766.0,771.25,725.2,735.8,4931.95,714.55,GARFIBRES
2025-02-12,771.7,779.95,750.95,766.9,4931.95,714.55,GARFIBRES
2025-02-11,820.0,829.95,766.3,784.8,4931.95,714.55,GARFIBRES
2025-02-10,849.4,849.4,820.0,828.0,4931.95,714.55,GARFIBRES
2025-02-07,846.5,855.45,828.3,843.9,4931.95,714.55,GARFIBRES
2025-02-06,831.05,858.55,827.9,847.45,4931.95,714.55,GARFIBRES
2025-02-05,829.4,836.05,821.05,831.05,4931.95,714.55,GARFIBRES
2025-02-04,819.5,838.95,810.0,834.4,4931.95,714.55,GARFIBRES
2025-02-03,801.35,820.95,792.05,814.65,4931.95,714.55,GARFIBRES
2025-02-01,822.0,840.0,790.0,801.35,4931.95,714.55,GARFIBRES
2025-01-31,800.7,826.4,786.0,820.75,4931.95,714.55,GARFIBRES
2025-01-30,792.25,807.0,785.25,800.65,4931.95,714.55,GARFIBRES
2025-01-29,769.0,809.4,765.1,804.3,4931.95,714.55,GARFIBRES
