DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,229.12,231.8,224.49,230.49,349.6,224.49,GEMAROMA
2025-10-17,234.99,234.99,227.1,228.21,349.6,227.1,GEMAROMA
2025-10-16,231.71,236.24,231.65,235.03,349.6,227.95,GEMAROMA
2025-10-15,234.0,238.0,227.95,230.56,349.6,227.95,GEMAROMA
2025-10-14,242.1,247.7,231.2,232.87,349.6,230.1,GEMAROMA
2025-10-13,251.0,251.93,241.56,242.84,349.6,230.1,GEMAROMA
2025-10-10,251.8,254.0,249.0,251.93,349.6,230.1,GEMAROMA
2025-10-09,238.88,253.4,237.05,250.16,349.6,230.1,GEMAROMA
2025-10-08,241.55,242.94,238.0,239.27,349.6,230.1,GEMAROMA
2025-10-07,248.09,249.19,239.0,242.27,349.6,230.1,GEMAROMA
2025-10-06,261.9,261.9,247.0,249.19,349.6,230.1,GEMAROMA
2025-10-03,259.95,263.68,253.0,259.15,349.6,230.1,GEMAROMA
2025-10-01,235.0,260.5,232.16,257.94,349.6,230.1,GEMAROMA
2025-09-30,235.0,238.45,232.95,234.1,349.6,230.1,GEMAROMA
2025-09-29,245.0,246.0,230.1,232.9,349.6,230.1,GEMAROMA
2025-09-26,254.0,254.25,240.0,240.9,349.6,240.0,GEMAROMA
2025-09-25,258.5,261.95,253.05,254.0,349.6,253.05,GEMAROMA
2025-09-24,265.0,266.75,257.1,258.8,349.6,257.1,GEMAROMA
2025-09-23,267.4,270.55,263.15,264.2,349.6,261.95,GEMAROMA
2025-09-22,272.0,274.0,265.0,266.15,349.6,261.95,GEMAROMA
2025-09-19,273.95,276.8,270.55,271.95,349.6,261.95,GEMAROMA
2025-09-18,280.5,282.25,272.5,273.7,349.6,261.95,GEMAROMA
2025-09-17,282.8,284.75,277.2,280.1,349.6,261.95,GEMAROMA
2025-09-16,277.95,282.45,273.15,281.0,349.6,261.95,GEMAROMA
2025-09-15,275.0,279.25,269.1,272.15,349.6,261.95,GEMAROMA
2025-09-12,298.0,299.45,283.2,290.0,349.6,261.95,GEMAROMA
2025-09-11,305.0,317.0,293.15,296.15,349.6,261.95,GEMAROMA
2025-09-10,305.0,305.75,298.05,302.6,349.6,261.95,GEMAROMA
2025-09-09,301.0,309.0,292.8,302.4,349.6,261.95,GEMAROMA
2025-09-08,270.0,305.0,266.95,299.9,349.6,261.95,GEMAROMA
2025-09-05,270.05,274.45,261.95,264.95,349.6,261.95,GEMAROMA
2025-09-04,278.95,280.25,268.2,270.4,349.6,268.2,GEMAROMA
2025-09-03,283.0,284.4,276.0,276.8,349.6,271.8,GEMAROMA
2025-09-02,276.6,288.6,274.0,282.7,349.6,271.8,GEMAROMA
2025-09-01,276.8,293.75,271.8,274.65,349.6,271.8,GEMAROMA
2025-08-29,292.9,294.75,273.65,276.15,349.6,273.65,GEMAROMA
2025-08-28,320.05,325.75,287.6,290.9,349.6,287.6,GEMAROMA
2025-08-26,333.1,349.6,314.65,319.05,349.6,314.65,GEMAROMA
