DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,41.1,41.56,40.1,40.49,55.92,21.96,GENCON
2025-11-07,42.09,42.09,41.1,41.28,55.92,21.96,GENCON
2025-11-06,42.1,43.19,41.45,41.77,55.92,21.96,GENCON
2025-11-04,41.8,42.89,41.58,42.75,55.92,21.96,GENCON
2025-11-03,40.94,42.19,40.81,41.43,55.92,21.96,GENCON
2025-10-31,42.3,42.3,40.55,40.94,55.92,21.96,GENCON
2025-10-30,43.08,43.36,41.5,41.74,55.92,21.96,GENCON
2025-10-29,42.61,43.8,41.0,42.74,55.92,21.96,GENCON
2025-10-28,41.99,42.5,41.0,42.09,55.92,21.96,GENCON
2025-10-27,43.22,43.64,39.86,41.93,55.92,21.96,GENCON
2025-10-24,42.45,44.62,40.5,43.22,55.92,21.96,GENCON
2025-10-23,44.85,44.85,41.4,41.85,55.92,21.96,GENCON
2025-10-21,41.17,44.87,41.17,43.91,55.92,21.96,GENCON
2025-10-20,41.99,42.9,39.47,40.47,55.92,21.96,GENCON
2025-10-17,42.18,44.19,41.0,41.63,55.92,21.96,GENCON
2025-10-16,43.4,44.1,41.25,42.18,55.92,21.96,GENCON
2025-10-15,45.35,45.9,42.0,43.37,55.92,21.96,GENCON
2025-10-14,47.52,48.77,42.56,44.7,55.92,21.96,GENCON
2025-10-13,48.8,49.3,47.1,48.29,55.92,21.96,GENCON
2025-10-10,49.6,50.5,48.51,48.81,55.92,21.96,GENCON
2025-10-09,50.52,50.99,49.0,49.38,55.92,21.96,GENCON
2025-10-08,52.87,52.87,49.1,50.12,55.92,21.96,GENCON
2025-10-07,51.9,55.92,51.0,52.5,55.92,21.96,GENCON
2025-10-06,47.2,50.5,46.7,50.18,53.5,21.96,GENCON
2025-10-03,45.08,48.36,44.3,46.72,53.5,21.96,GENCON
2025-10-01,45.0,46.79,43.01,45.08,53.5,21.96,GENCON
2025-09-30,42.17,43.35,41.89,43.06,53.5,21.96,GENCON
2025-09-29,45.74,45.74,40.6,41.97,53.5,21.96,GENCON
2025-09-26,44.79,45.95,43.96,44.13,53.5,21.96,GENCON
2025-09-25,46.89,46.89,44.63,44.65,53.5,21.96,GENCON
2025-09-24,46.99,46.99,44.5,44.98,53.5,21.96,GENCON
2025-09-23,45.07,46.97,44.43,45.95,53.5,21.96,GENCON
2025-09-22,46.0,46.23,43.8,45.07,53.5,21.96,GENCON
