DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,79.01,80.76,77.49,78.57,144.49,60.73,GEOJITFSL
2025-10-17,78.62,80.49,78.6,78.75,153.0,60.73,GEOJITFSL
2025-10-16,79.27,81.0,79.2,79.48,153.0,60.73,GEOJITFSL
2025-10-15,79.48,80.23,78.4,79.27,153.0,60.73,GEOJITFSL
2025-10-14,78.2,82.39,78.2,79.68,153.0,60.73,GEOJITFSL
2025-10-13,77.98,79.98,77.5,78.2,153.0,60.73,GEOJITFSL
2025-10-10,77.5,78.67,77.5,77.98,153.0,60.73,GEOJITFSL
2025-10-09,78.75,78.85,77.18,77.6,153.0,60.73,GEOJITFSL
2025-10-08,77.6,79.67,77.6,78.58,153.0,60.73,GEOJITFSL
2025-10-07,77.55,78.64,77.55,78.11,153.0,60.73,GEOJITFSL
2025-10-06,79.3,79.55,77.7,78.33,153.0,60.73,GEOJITFSL
2025-10-03,77.85,80.75,77.85,79.3,171.0,60.73,GEOJITFSL
2025-10-01,77.75,79.21,77.5,78.15,171.0,60.73,GEOJITFSL
2025-09-30,78.0,78.8,77.45,78.35,171.0,60.73,GEOJITFSL
2025-09-29,79.09,81.1,76.68,77.93,171.0,60.73,GEOJITFSL
2025-09-26,78.11,79.66,76.63,79.09,171.0,60.73,GEOJITFSL
2025-09-25,79.79,80.4,78.14,78.53,171.0,60.73,GEOJITFSL
2025-09-24,82.94,84.88,80.0,80.43,171.0,60.73,GEOJITFSL
2025-09-23,76.5,85.39,75.92,82.5,171.0,60.73,GEOJITFSL
2025-09-22,76.66,77.64,75.75,76.33,171.0,60.73,GEOJITFSL
2025-09-19,76.94,78.95,74.54,77.35,177.0,60.73,GEOJITFSL
2025-09-18,76.36,77.2,76.3,76.8,177.0,60.73,GEOJITFSL
2025-09-17,77.18,77.8,75.1,76.36,177.0,60.73,GEOJITFSL
2025-09-16,76.44,77.18,75.67,76.76,177.0,60.73,GEOJITFSL
2025-09-15,74.8,76.5,74.75,76.11,177.0,60.73,GEOJITFSL
2025-09-12,76.19,76.48,74.76,74.97,177.0,60.73,GEOJITFSL
2025-09-11,75.62,76.8,75.01,75.96,177.0,60.73,GEOJITFSL
2025-09-10,75.15,76.0,74.9,75.11,177.0,60.73,GEOJITFSL
2025-09-09,75.98,76.33,74.4,74.87,177.0,60.73,GEOJITFSL
2025-09-08,76.7,76.7,75.46,75.74,177.0,60.73,GEOJITFSL
2025-09-05,75.67,76.95,75.18,76.11,177.0,60.73,GEOJITFSL
2025-09-04,77.7,77.99,76.0,76.37,177.0,60.73,GEOJITFSL
2025-09-03,74.0,77.67,74.0,77.26,177.0,60.73,GEOJITFSL
2025-09-02,73.1,74.85,72.2,74.11,177.0,60.73,GEOJITFSL
2025-09-01,71.1,72.69,71.05,72.44,177.0,60.73,GEOJITFSL
2025-08-29,71.2,72.8,71.1,71.29,177.0,60.73,GEOJITFSL
2025-08-28,71.57,72.19,70.71,71.5,177.0,60.73,GEOJITFSL
2025-08-26,73.15,73.79,71.56,72.1,177.0,60.73,GEOJITFSL
2025-08-25,73.46,74.38,73.2,73.79,177.0,60.73,GEOJITFSL
2025-08-22,74.5,75.48,73.22,73.46,177.0,60.73,GEOJITFSL
2025-08-21,75.4,76.67,74.36,74.77,177.0,60.73,GEOJITFSL
2025-08-20,75.27,76.2,75.0,75.5,177.0,60.73,GEOJITFSL
2025-08-19,73.59,75.85,73.5,75.49,177.0,60.73,GEOJITFSL
2025-08-18,73.0,74.7,73.0,73.87,177.0,60.73,GEOJITFSL
2025-08-14,72.84,73.94,72.4,72.49,177.0,60.73,GEOJITFSL
2025-08-13,72.01,73.44,71.75,72.84,177.0,60.73,GEOJITFSL
2025-08-12,71.9,72.69,71.81,72.25,177.0,60.73,GEOJITFSL
2025-08-11,72.0,72.8,71.25,72.08,177.0,60.73,GEOJITFSL
2025-08-08,72.0,72.74,71.1,71.81,177.0,60.73,GEOJITFSL
2025-08-07,71.25,72.79,70.8,72.1,177.0,60.73,GEOJITFSL
2025-08-06,72.51,73.26,71.05,72.17,177.0,60.73,GEOJITFSL
2025-08-05,73.0,73.9,72.5,72.87,177.0,60.73,GEOJITFSL
2025-08-04,73.2,73.59,72.5,73.2,177.0,60.73,GEOJITFSL
2025-08-01,72.55,73.73,72.55,73.26,177.0,60.73,GEOJITFSL
2025-07-31,72.01,73.99,71.51,73.05,177.0,60.73,GEOJITFSL
2025-07-30,74.39,75.34,72.52,73.03,177.0,60.73,GEOJITFSL
2025-07-29,71.5,74.92,70.41,74.02,177.0,60.73,GEOJITFSL
2025-07-28,74.12,74.5,71.6,72.4,177.0,60.73,GEOJITFSL
2025-07-25,74.6,75.6,74.0,74.59,177.0,60.73,GEOJITFSL
2025-07-24,75.64,75.75,74.7,74.94,177.0,60.73,GEOJITFSL
2025-07-23,75.11,75.66,74.6,75.37,177.0,60.73,GEOJITFSL
2025-07-22,75.61,75.93,74.9,75.1,177.0,60.73,GEOJITFSL
2025-07-21,76.0,76.53,74.9,75.25,177.0,60.73,GEOJITFSL
2025-07-18,76.94,77.19,75.31,75.53,177.0,60.73,GEOJITFSL
2025-07-17,76.05,77.8,76.0,76.66,177.0,60.73,GEOJITFSL
2025-07-16,80.0,80.0,75.25,75.8,177.0,60.73,GEOJITFSL
2025-07-15,82.24,83.45,81.6,82.29,177.0,60.73,GEOJITFSL
2025-07-14,82.0,82.7,81.12,82.27,177.0,60.73,GEOJITFSL
2025-07-11,84.0,84.52,81.4,81.89,177.0,60.73,GEOJITFSL
2025-07-10,85.37,86.04,84.79,85.26,177.0,60.73,GEOJITFSL
2025-07-09,84.99,85.58,84.29,85.0,177.0,60.73,GEOJITFSL
2025-07-08,85.33,86.44,83.56,84.65,177.0,60.73,GEOJITFSL
2025-07-07,85.9,87.2,84.97,85.33,177.0,60.73,GEOJITFSL
2025-07-04,86.4,86.82,85.12,85.95,177.0,60.73,GEOJITFSL
2025-07-03,85.3,86.72,84.82,86.26,177.0,60.73,GEOJITFSL
2025-07-02,86.19,86.64,84.61,85.2,177.0,60.73,GEOJITFSL
2025-07-01,86.19,87.71,85.59,86.19,177.0,60.73,GEOJITFSL
2025-06-30,86.45,87.21,85.75,86.11,177.0,60.73,GEOJITFSL
2025-06-27,84.75,86.81,84.75,86.18,177.0,60.73,GEOJITFSL
2025-06-26,86.49,87.28,84.32,85.3,177.0,60.73,GEOJITFSL
2025-06-25,83.05,86.48,83.01,86.06,177.0,60.73,GEOJITFSL
2025-06-24,81.95,84.4,80.3,82.4,177.0,60.73,GEOJITFSL
2025-06-23,79.0,80.88,78.4,80.37,177.0,60.73,GEOJITFSL
2025-06-20,78.31,80.09,78.11,79.8,177.0,60.73,GEOJITFSL
2025-06-19,80.62,81.54,78.27,78.54,177.0,60.73,GEOJITFSL
2025-06-18,82.9,83.0,79.71,80.63,177.0,60.73,GEOJITFSL
2025-06-17,83.7,84.8,81.4,83.08,177.0,60.73,GEOJITFSL
2025-06-16,81.9,83.72,79.52,83.39,177.0,60.73,GEOJITFSL
2025-06-13,81.97,82.64,80.57,81.53,177.0,60.73,GEOJITFSL
2025-06-12,87.3,88.46,83.4,83.78,177.0,60.73,GEOJITFSL
2025-06-11,88.2,88.49,86.1,86.8,177.0,60.73,GEOJITFSL
2025-06-10,91.58,92.75,87.26,87.7,177.0,60.73,GEOJITFSL
2025-06-09,85.89,94.79,85.89,91.05,177.0,60.73,GEOJITFSL
2025-06-06,85.4,87.6,84.97,85.72,177.0,60.73,GEOJITFSL
2025-06-05,85.24,87.79,84.9,85.05,177.0,60.73,GEOJITFSL
2025-06-04,84.8,86.35,83.94,84.82,177.0,60.73,GEOJITFSL
2025-06-03,85.49,88.6,82.07,84.0,177.0,60.73,GEOJITFSL
2025-06-02,84.1,87.4,84.1,85.04,177.0,60.73,GEOJITFSL
2025-05-30,85.2,86.3,83.5,84.03,177.0,60.73,GEOJITFSL
2025-05-29,86.75,87.45,84.7,85.27,177.0,60.73,GEOJITFSL
2025-05-28,87.15,87.37,85.55,85.87,177.0,60.73,GEOJITFSL
2025-05-27,84.89,87.6,84.51,86.95,177.0,60.73,GEOJITFSL
2025-05-26,87.45,87.58,84.5,85.04,177.0,60.73,GEOJITFSL
2025-05-23,86.28,88.85,86.28,87.36,177.0,60.73,GEOJITFSL
2025-05-22,85.05,88.88,84.34,86.18,177.0,60.73,GEOJITFSL
