DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,76.45,77.99,76.2,76.81,116.25,65.0,GHCLTEXTIL
2025-10-17,78.78,78.78,76.18,76.76,116.25,65.0,GHCLTEXTIL
2025-10-16,77.08,78.85,77.01,77.97,116.25,65.0,GHCLTEXTIL
2025-10-15,76.53,77.46,76.35,77.08,116.25,65.0,GHCLTEXTIL
2025-10-14,77.49,77.75,76.2,76.36,116.25,65.0,GHCLTEXTIL
2025-10-13,77.1,78.4,77.0,77.74,116.25,65.0,GHCLTEXTIL
2025-10-10,77.05,77.88,76.61,76.96,116.25,65.0,GHCLTEXTIL
2025-10-09,76.22,77.88,76.2,76.58,116.25,65.0,GHCLTEXTIL
2025-10-08,76.5,77.99,76.5,76.7,116.25,65.0,GHCLTEXTIL
2025-10-07,78.39,78.39,76.5,77.03,116.25,65.0,GHCLTEXTIL
2025-10-06,77.9,78.68,76.51,76.91,116.25,65.0,GHCLTEXTIL
2025-10-03,77.14,79.49,77.14,77.91,116.25,65.0,GHCLTEXTIL
2025-10-01,76.3,77.6,76.2,77.14,116.25,65.0,GHCLTEXTIL
2025-09-30,78.47,78.99,76.41,76.63,116.25,65.0,GHCLTEXTIL
2025-09-29,76.6,78.29,76.2,78.02,116.25,65.0,GHCLTEXTIL
2025-09-26,78.14,78.14,77.01,77.36,116.25,65.0,GHCLTEXTIL
2025-09-25,78.3,79.57,77.71,78.14,116.25,65.0,GHCLTEXTIL
2025-09-24,81.3,81.3,78.0,78.06,116.25,65.0,GHCLTEXTIL
2025-09-23,80.9,81.35,79.33,79.8,116.25,65.0,GHCLTEXTIL
2025-09-22,81.02,81.35,79.21,79.88,116.25,65.0,GHCLTEXTIL
2025-09-19,81.93,83.04,81.5,81.61,116.25,65.0,GHCLTEXTIL
2025-09-18,81.85,82.89,81.1,81.32,116.25,65.0,GHCLTEXTIL
2025-09-17,82.5,82.8,81.34,81.8,116.25,65.0,GHCLTEXTIL
2025-09-16,80.45,82.69,79.65,81.27,116.25,65.0,GHCLTEXTIL
2025-09-15,81.95,81.95,79.01,79.37,116.25,65.0,GHCLTEXTIL
2025-09-12,82.38,83.0,80.5,81.09,118.75,65.0,GHCLTEXTIL
2025-09-11,84.99,85.49,82.15,82.96,118.75,65.0,GHCLTEXTIL
2025-09-10,76.99,84.99,76.99,84.15,118.75,65.0,GHCLTEXTIL
2025-09-09,77.7,78.48,76.51,76.79,118.75,65.0,GHCLTEXTIL
2025-09-08,78.0,78.66,76.22,76.98,118.75,65.0,GHCLTEXTIL
2025-09-05,77.8,78.2,76.19,76.56,118.75,65.0,GHCLTEXTIL
2025-09-04,80.48,80.49,77.0,77.21,118.75,65.0,GHCLTEXTIL
2025-09-03,80.99,80.99,78.15,79.14,118.75,65.0,GHCLTEXTIL
2025-09-02,79.0,80.29,78.74,79.58,118.75,65.0,GHCLTEXTIL
2025-09-01,78.75,79.24,77.42,77.77,118.75,65.0,GHCLTEXTIL
2025-08-29,79.11,81.87,78.48,79.56,118.75,65.0,GHCLTEXTIL
2025-08-28,76.9,80.49,76.21,79.11,118.75,65.0,GHCLTEXTIL
2025-08-26,79.23,79.49,76.25,77.1,118.75,65.0,GHCLTEXTIL
2025-08-25,80.66,80.98,79.4,79.79,118.75,65.0,GHCLTEXTIL
2025-08-22,80.3,81.99,79.71,80.05,118.75,65.0,GHCLTEXTIL
2025-08-21,81.15,82.8,80.91,81.15,118.75,65.0,GHCLTEXTIL
2025-08-20,83.9,83.9,80.95,82.01,118.75,65.0,GHCLTEXTIL
2025-08-19,81.0,83.78,80.71,82.94,118.75,65.0,GHCLTEXTIL
2025-08-18,78.89,82.0,78.0,79.78,118.75,65.0,GHCLTEXTIL
2025-08-14,78.45,78.45,76.16,77.26,118.75,65.0,GHCLTEXTIL
2025-08-13,78.66,79.1,77.58,77.97,118.75,65.0,GHCLTEXTIL
2025-08-12,79.99,80.28,78.25,78.51,118.75,65.0,GHCLTEXTIL
2025-08-11,78.9,80.58,78.54,79.05,118.75,65.0,GHCLTEXTIL
2025-08-08,80.84,81.41,79.0,79.69,123.0,65.0,GHCLTEXTIL
2025-08-07,81.6,82.01,79.32,80.67,123.0,65.0,GHCLTEXTIL
2025-08-06,86.4,87.99,81.63,82.5,123.0,65.0,GHCLTEXTIL
2025-08-05,86.6,87.5,86.0,86.15,123.0,65.0,GHCLTEXTIL
2025-08-04,87.1,87.39,86.4,86.55,123.0,65.0,GHCLTEXTIL
2025-08-01,87.9,88.55,86.8,86.88,123.0,65.0,GHCLTEXTIL
2025-07-31,88.1,89.46,87.0,87.98,123.0,65.0,GHCLTEXTIL
2025-07-30,91.0,91.0,88.31,89.9,123.0,65.0,GHCLTEXTIL
2025-07-29,90.5,93.65,89.1,91.61,123.0,65.0,GHCLTEXTIL
2025-07-28,92.99,92.99,88.2,89.6,123.0,65.0,GHCLTEXTIL
2025-07-25,93.99,94.19,91.4,91.73,123.0,65.0,GHCLTEXTIL
2025-07-24,93.49,94.33,92.01,93.28,123.0,65.0,GHCLTEXTIL
2025-07-23,92.57,93.28,91.25,92.71,123.0,65.0,GHCLTEXTIL
2025-07-22,93.4,93.98,91.99,92.23,123.0,65.0,GHCLTEXTIL
