DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,335.0,340.15,325.0,326.45,431.4,245.0,GOCLCORP
2025-11-13,340.8,340.9,331.0,333.35,431.4,245.0,GOCLCORP
2025-11-12,334.0,344.9,328.05,340.7,431.4,245.0,GOCLCORP
2025-11-11,333.25,335.7,328.95,330.25,431.4,245.0,GOCLCORP
2025-11-10,337.1,340.1,331.9,334.1,431.4,245.0,GOCLCORP
2025-11-07,340.0,344.0,334.2,339.1,443.2,245.0,GOCLCORP
2025-11-06,350.1,352.0,336.5,339.1,443.2,245.0,GOCLCORP
2025-11-04,354.45,357.65,350.05,351.45,443.2,245.0,GOCLCORP
2025-11-03,356.0,360.15,352.3,355.0,443.2,245.0,GOCLCORP
2025-10-31,361.0,366.45,352.5,354.05,443.2,245.0,GOCLCORP
2025-10-30,363.4,368.2,360.3,362.2,443.2,245.0,GOCLCORP
2025-10-29,365.0,373.5,363.4,367.05,443.2,245.0,GOCLCORP
2025-10-28,365.0,375.95,365.0,366.4,443.2,245.0,GOCLCORP
2025-10-27,350.0,370.0,348.05,367.0,443.2,245.0,GOCLCORP
2025-10-24,349.0,354.6,345.0,352.1,443.2,245.0,GOCLCORP
2025-10-23,355.25,358.0,347.15,348.9,443.2,245.0,GOCLCORP
2025-10-21,348.8,356.45,348.8,354.55,443.2,245.0,GOCLCORP
2025-10-20,356.0,357.75,347.0,348.8,443.2,245.0,GOCLCORP
2025-10-17,357.5,362.45,349.1,352.35,443.2,245.0,GOCLCORP
2025-10-16,363.5,365.45,356.5,360.15,443.2,245.0,GOCLCORP
2025-10-15,350.15,363.0,350.15,361.5,443.2,245.0,GOCLCORP
2025-10-14,352.3,358.0,349.5,351.2,443.2,245.0,GOCLCORP
2025-10-13,351.2,353.3,348.0,352.3,443.2,245.0,GOCLCORP
2025-10-10,353.0,354.4,349.55,351.2,443.2,245.0,GOCLCORP
2025-10-09,349.7,356.0,346.55,352.95,443.2,245.0,GOCLCORP
2025-10-08,349.3,354.0,345.0,348.3,443.2,245.0,GOCLCORP
2025-10-07,363.75,363.75,348.25,349.3,443.2,245.0,GOCLCORP
2025-10-06,364.0,364.8,359.75,360.2,443.2,245.0,GOCLCORP
2025-10-03,360.0,366.9,358.55,361.15,443.2,245.0,GOCLCORP
2025-10-01,351.0,361.0,349.3,359.85,443.2,245.0,GOCLCORP
2025-09-30,356.05,360.6,345.2,348.2,443.2,245.0,GOCLCORP
2025-09-29,352.95,358.0,348.05,355.35,443.2,245.0,GOCLCORP
2025-09-26,357.45,357.8,349.0,351.55,447.0,245.0,GOCLCORP
2025-09-25,359.5,361.0,356.05,357.45,447.0,245.0,GOCLCORP
2025-09-24,363.95,365.35,358.0,359.2,447.0,245.0,GOCLCORP
2025-09-23,369.9,372.35,361.05,364.0,447.0,245.0,GOCLCORP
2025-09-22,364.05,371.75,362.7,369.15,447.0,245.0,GOCLCORP
2025-09-19,365.8,367.5,360.35,365.3,454.15,245.0,GOCLCORP
2025-09-18,367.1,369.0,358.45,363.15,454.15,245.0,GOCLCORP
2025-09-17,374.4,376.7,363.3,368.3,454.15,245.0,GOCLCORP
2025-09-16,348.8,377.8,345.55,372.4,454.15,245.0,GOCLCORP
2025-09-15,354.0,356.85,341.6,346.5,454.15,245.0,GOCLCORP
2025-09-12,360.0,363.0,349.5,352.15,474.5,245.0,GOCLCORP
