DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,107.33,109.9,107.33,108.81,109.9,62.07,GOLD1
2025-10-16,105.81,106.86,105.41,105.95,107.4,62.07,GOLD1
2025-10-15,105.71,106.9,105.5,105.81,107.4,62.07,GOLD1
2025-10-14,106.48,107.4,103.83,105.19,107.4,62.07,GOLD1
2025-10-13,101.9,104.79,101.9,103.38,104.79,62.07,GOLD1
2025-10-10,101.4,101.94,99.75,101.27,102.99,62.07,GOLD1
2025-10-09,102.12,102.99,102.0,102.29,102.99,62.07,GOLD1
2025-10-08,100.63,102.65,100.63,102.13,102.65,62.07,GOLD1
2025-10-07,100.03,100.67,99.55,100.19,101.37,62.07,GOLD1
2025-10-06,98.2,99.97,98.2,99.82,101.37,62.07,GOLD1
2025-10-03,101.37,101.37,96.81,97.59,101.37,62.07,GOLD1
2025-10-01,93.79,98.7,93.79,98.42,98.7,62.07,GOLD1
2025-09-30,97.2,98.19,96.1,96.2,98.19,62.07,GOLD1
2025-09-29,96.45,96.68,95.4,96.46,97.76,62.07,GOLD1
2025-09-26,94.9,96.7,94.32,94.69,97.76,62.07,GOLD1
2025-09-25,97.76,97.76,94.2,95.02,97.76,62.07,GOLD1
2025-09-24,96.0,96.0,95.04,95.38,96.15,62.07,GOLD1
2025-09-23,96.15,96.15,94.1,95.78,96.15,62.07,GOLD1
2025-09-22,94.19,94.19,92.4,93.81,94.5,62.07,GOLD1
2025-09-19,94.5,94.5,90.2,91.9,94.5,61.76,GOLD1
2025-09-18,92.28,92.44,91.28,92.2,94.06,61.76,GOLD1
2025-09-17,92.95,93.3,91.62,91.83,94.06,61.76,GOLD1
2025-09-16,93.0,93.16,92.03,92.82,94.06,61.76,GOLD1
2025-09-15,94.06,94.06,91.34,91.56,94.06,61.76,GOLD1
2025-09-12,93.44,93.44,91.42,91.77,93.94,60.35,GOLD1
2025-09-11,91.99,91.99,91.11,91.17,93.94,60.35,GOLD1
2025-09-10,93.94,93.94,89.35,91.45,93.94,60.35,GOLD1
2025-09-09,90.88,92.24,90.88,91.65,92.24,60.35,GOLD1
2025-09-08,91.36,91.36,89.14,90.87,91.36,60.35,GOLD1
2025-09-05,90.93,90.93,88.8,89.14,90.93,60.22,GOLD1
2025-09-04,88.68,89.03,88.03,88.72,89.03,60.22,GOLD1
2025-09-03,87.47,88.85,87.47,88.68,88.95,60.22,GOLD1
2025-09-02,88.95,88.95,87.13,87.47,88.95,60.22,GOLD1
2025-09-01,87.23,88.15,86.9,87.47,88.15,60.22,GOLD1
2025-08-29,85.69,86.0,85.12,85.98,87.23,60.22,GOLD1
2025-08-28,86.56,86.56,84.66,85.02,87.23,60.22,GOLD1
2025-08-26,86.61,86.61,84.03,84.45,87.23,60.22,GOLD1
2025-08-25,83.33,84.63,83.33,84.09,87.23,60.22,GOLD1
2025-08-22,83.2,83.53,82.82,83.26,87.23,60.08,GOLD1
2025-08-21,84.75,84.75,82.5,83.2,87.23,60.08,GOLD1
2025-08-20,82.2,82.9,80.77,82.69,87.23,60.08,GOLD1
2025-08-19,83.47,83.63,82.85,82.85,87.23,60.08,GOLD1
2025-08-18,84.22,84.22,83.03,83.47,87.23,60.08,GOLD1
2025-08-14,83.88,84.29,83.33,83.8,87.23,58.82,GOLD1
2025-08-13,83.57,84.05,83.57,83.88,87.23,58.82,GOLD1
2025-08-12,86.01,86.01,83.03,83.57,87.23,58.82,GOLD1
2025-08-11,84.65,85.0,82.68,83.92,87.23,58.82,GOLD1
2025-08-08,87.23,87.23,84.69,85.01,87.23,58.25,GOLD1
2025-08-07,86.26,86.26,84.32,84.69,86.48,58.25,GOLD1
2025-08-06,85.0,86.38,83.92,84.16,86.48,58.25,GOLD1
2025-08-05,85.63,85.63,84.03,84.28,86.48,58.25,GOLD1
2025-08-04,84.5,84.5,83.02,83.99,86.48,58.25,GOLD1
2025-08-01,82.98,82.98,82.02,82.38,86.48,58.25,GOLD1
2025-07-31,82.8,82.9,81.3,82.77,86.48,58.25,GOLD1
2025-07-30,82.41,83.14,82.41,83.0,86.48,58.25,GOLD1
2025-07-29,84.56,84.56,81.53,82.41,86.48,58.25,GOLD1
2025-07-28,83.08,83.08,81.63,82.5,86.48,58.25,GOLD1
2025-07-25,83.95,83.95,82.47,82.67,86.48,58.25,GOLD1
2025-07-24,85.83,86.48,82.85,82.85,86.48,58.25,GOLD1
2025-07-23,85.45,85.45,83.53,84.38,85.84,58.25,GOLD1
