DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,20.6,20.69,19.8,20.08,21.31,11.25,GOLDCASE
2025-10-20,21.09,21.31,19.48,20.0,21.31,11.25,GOLDCASE
2025-10-17,20.6,20.66,20.15,20.48,20.71,11.25,GOLDCASE
2025-10-16,20.5,20.5,19.85,20.0,20.71,11.25,GOLDCASE
2025-10-15,20.71,20.71,19.8,19.94,20.71,11.25,GOLDCASE
2025-10-14,20.04,20.22,19.55,20.11,20.22,11.25,GOLDCASE
2025-10-13,19.43,19.52,19.18,19.46,20.0,11.25,GOLDCASE
2025-10-10,19.53,19.87,18.71,19.06,20.0,11.0,GOLDCASE
2025-10-09,19.76,19.76,19.14,19.29,20.0,11.0,GOLDCASE
2025-10-08,19.47,19.47,19.06,19.29,20.0,11.0,GOLDCASE
2025-10-07,19.39,19.39,18.83,18.9,20.0,11.0,GOLDCASE
2025-10-06,18.96,20.0,18.5,18.83,20.0,11.0,GOLDCASE
2025-10-03,19.11,19.11,18.25,18.41,19.11,11.0,GOLDCASE
2025-10-01,18.69,18.7,18.26,18.55,18.88,11.0,GOLDCASE
2025-09-30,18.76,18.88,17.66,18.15,18.88,11.0,GOLDCASE
2025-09-29,18.23,18.27,17.91,18.21,18.42,11.0,GOLDCASE
2025-09-26,18.09,18.42,17.75,17.9,18.42,11.0,GOLDCASE
2025-09-25,17.52,18.33,17.43,17.88,18.33,11.0,GOLDCASE
2025-09-24,18.24,18.24,17.85,17.97,18.24,11.0,GOLDCASE
2025-09-23,18.03,18.22,17.7,18.06,18.22,11.0,GOLDCASE
2025-09-22,17.7,17.7,17.05,17.68,17.92,11.0,GOLDCASE
2025-09-19,17.44,17.92,17.2,17.33,17.92,11.0,GOLDCASE
2025-09-18,17.65,17.65,17.22,17.4,17.8,11.0,GOLDCASE
2025-09-17,17.8,17.8,17.22,17.31,17.8,11.0,GOLDCASE
2025-09-16,17.6,17.6,16.82,17.51,17.78,11.0,GOLDCASE
2025-09-15,17.59,17.68,17.2,17.26,17.78,11.0,GOLDCASE
2025-09-12,17.58,17.58,16.67,17.32,17.78,11.0,GOLDCASE
2025-09-11,17.78,17.78,17.01,17.19,17.78,11.0,GOLDCASE
2025-09-10,17.71,17.71,17.17,17.26,17.71,11.0,GOLDCASE
2025-09-09,17.5,17.56,17.12,17.36,17.56,11.0,GOLDCASE
2025-09-08,17.32,17.32,16.82,17.08,17.32,11.0,GOLDCASE
2025-09-05,17.24,17.24,16.71,16.82,17.28,11.0,GOLDCASE
2025-09-04,17.14,17.14,16.62,16.74,17.28,11.0,GOLDCASE
2025-09-03,16.78,16.78,16.6,16.72,17.28,11.0,GOLDCASE
2025-09-02,17.01,17.28,16.42,16.47,17.28,11.0,GOLDCASE
2025-09-01,16.51,16.78,16.4,16.51,16.78,11.0,GOLDCASE
2025-08-29,16.35,16.43,15.99,16.2,16.51,11.0,GOLDCASE
2025-08-28,16.11,16.11,15.53,16.03,16.51,11.0,GOLDCASE
2025-08-26,16.1,16.1,15.83,15.93,16.51,11.0,GOLDCASE
2025-08-25,16.0,16.0,15.72,15.86,16.51,11.0,GOLDCASE
2025-08-22,15.99,15.99,15.58,15.69,16.51,10.75,GOLDCASE
2025-08-21,16.04,16.04,15.5,15.68,16.51,10.75,GOLDCASE
2025-08-20,15.9,15.95,15.25,15.57,16.51,10.75,GOLDCASE
2025-08-19,16.01,16.01,15.62,15.65,16.51,10.75,GOLDCASE
2025-08-18,16.27,16.27,15.5,15.75,16.51,10.75,GOLDCASE
2025-08-14,16.05,16.05,15.75,15.8,16.51,10.75,GOLDCASE
2025-08-13,16.07,16.07,15.67,15.82,16.51,10.75,GOLDCASE
2025-08-12,16.2,16.28,15.5,15.76,16.51,10.75,GOLDCASE
2025-08-11,16.51,16.51,15.79,15.81,16.51,10.75,GOLDCASE
2025-08-08,16.44,16.44,15.96,16.03,16.44,10.75,GOLDCASE
2025-08-07,16.1,16.1,15.47,15.96,16.36,10.75,GOLDCASE
2025-08-06,16.36,16.36,15.86,15.87,16.36,10.75,GOLDCASE
2025-08-05,15.97,16.0,15.82,15.88,16.26,10.75,GOLDCASE
2025-08-04,15.7,15.86,15.42,15.82,16.26,10.75,GOLDCASE
2025-08-01,15.73,15.73,15.3,15.53,16.26,10.75,GOLDCASE
2025-07-31,15.7,15.7,15.52,15.61,16.26,10.75,GOLDCASE
2025-07-30,15.79,15.9,15.56,15.67,16.26,10.75,GOLDCASE
2025-07-29,16.01,16.01,15.49,15.56,16.26,10.75,GOLDCASE
2025-07-28,16.1,16.1,15.52,15.54,16.26,10.75,GOLDCASE
2025-07-25,16.11,16.11,15.5,15.63,16.26,10.75,GOLDCASE
2025-07-24,15.87,15.87,15.56,15.64,16.26,10.75,GOLDCASE
