DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,258.6,259.31,258.0,258.0,265.36,238.0,GSEC10IETF
2025-11-21,258.99,259.48,258.99,259.19,265.36,238.0,GSEC10IETF
2025-11-20,258.86,259.24,258.86,259.24,265.36,238.0,GSEC10IETF
2025-11-19,259.54,259.54,258.79,258.86,265.36,238.0,GSEC10IETF
2025-11-18,258.9,258.9,258.65,258.79,265.36,237.5,GSEC10IETF
2025-11-17,259.28,259.99,258.51,258.7,265.36,237.5,GSEC10IETF
2025-11-14,260.09,260.09,257.72,259.48,265.36,237.5,GSEC10IETF
2025-11-13,259.82,259.82,258.8,258.8,265.36,237.5,GSEC10IETF
2025-11-11,258.99,259.01,258.46,258.93,265.36,237.5,GSEC10IETF
2025-11-10,259.23,259.23,258.34,258.34,265.36,237.5,GSEC10IETF
2025-11-07,259.0,259.35,258.46,259.24,265.36,237.5,GSEC10IETF
2025-11-06,258.51,259.05,258.28,258.89,265.36,237.5,GSEC10IETF
2025-11-04,258.1,259.12,258.1,258.51,265.36,237.5,GSEC10IETF
2025-11-03,257.71,259.09,257.71,258.96,265.36,237.5,GSEC10IETF
2025-10-31,258.5,258.5,257.7,257.7,265.36,237.5,GSEC10IETF
2025-10-30,258.2,258.69,258.2,258.69,265.36,237.5,GSEC10IETF
2025-10-29,258.11,258.74,258.11,258.7,265.36,237.5,GSEC10IETF
2025-10-28,258.1,259.11,258.08,258.11,265.36,237.5,GSEC10IETF
2025-10-27,258.51,258.7,258.08,258.08,265.36,237.5,GSEC10IETF
2025-10-24,258.58,258.71,258.58,258.71,265.36,237.01,GSEC10IETF
2025-10-23,258.3,258.93,258.06,258.14,265.36,237.01,GSEC10IETF
2025-10-21,258.49,258.5,255.95,255.99,265.36,237.01,GSEC10IETF
2025-10-20,257.51,258.59,257.51,258.48,265.36,237.01,GSEC10IETF
2025-10-17,258.75,258.78,258.15,258.6,265.36,237.01,GSEC10IETF
2025-10-16,259.12,259.12,258.79,259.09,265.36,237.01,GSEC10IETF
2025-10-15,257.94,258.78,257.67,258.78,265.36,237.01,GSEC10IETF
2025-10-14,258.42,258.42,257.78,258.14,265.36,237.01,GSEC10IETF
2025-10-13,257.11,258.49,257.11,257.99,265.36,237.01,GSEC10IETF
2025-10-10,258.65,258.65,257.12,258.4,265.36,237.0,GSEC10IETF
2025-10-09,258.2,259.43,257.39,258.89,265.36,237.0,GSEC10IETF
2025-10-08,257.41,258.39,257.08,258.2,265.36,237.0,GSEC10IETF
2025-10-07,258.6,258.6,257.07,257.41,265.36,236.3,GSEC10IETF
2025-10-06,257.69,257.99,257.01,257.54,265.36,236.3,GSEC10IETF
2025-10-03,257.98,257.99,256.21,257.84,265.36,236.13,GSEC10IETF
2025-10-01,256.0,257.36,255.4,257.36,265.36,236.13,GSEC10IETF
2025-09-30,257.2,257.5,256.04,257.49,265.36,236.13,GSEC10IETF
2025-09-29,264.74,264.74,256.64,256.68,265.36,235.7,GSEC10IETF
2025-09-26,257.03,258.17,257.03,257.03,265.36,235.7,GSEC10IETF
2025-09-25,257.11,258.49,256.62,258.46,265.36,235.7,GSEC10IETF
2025-09-24,258.52,258.54,258.51,258.51,265.36,235.7,GSEC10IETF
2025-09-23,256.86,258.58,256.86,258.52,265.36,235.7,GSEC10IETF
2025-09-22,257.15,257.99,256.74,256.86,265.36,235.7,GSEC10IETF
2025-09-19,257.15,257.75,257.15,257.7,265.36,235.7,GSEC10IETF
2025-09-18,257.15,258.14,257.07,257.07,265.36,235.7,GSEC10IETF
2025-09-17,256.66,258.15,256.66,258.15,265.36,235.7,GSEC10IETF
2025-09-16,257.03,257.95,257.03,257.93,265.36,235.7,GSEC10IETF
2025-09-15,258.63,258.63,256.61,257.02,265.36,235.7,GSEC10IETF
2025-09-12,257.65,258.8,257.01,257.04,265.36,235.7,GSEC10IETF
2025-09-11,257.05,258.0,257.04,257.65,265.36,235.7,GSEC10IETF
2025-09-10,257.91,257.91,256.45,257.64,265.36,235.7,GSEC10IETF
2025-09-09,257.94,257.94,256.14,257.91,265.36,235.7,GSEC10IETF
2025-09-08,256.02,257.95,256.02,257.94,265.36,235.7,GSEC10IETF
2025-09-05,256.99,257.99,256.01,257.95,265.36,234.0,GSEC10IETF
2025-09-04,255.5,257.17,255.5,256.99,265.36,234.0,GSEC10IETF
2025-09-03,256.7,256.7,254.17,255.02,265.36,234.0,GSEC10IETF
2025-09-02,256.32,256.32,254.06,255.99,265.36,233.54,GSEC10IETF
2025-09-01,255.16,255.16,255.16,255.16,265.36,233.54,GSEC10IETF
2025-08-29,255.16,256.0,255.16,255.16,265.36,233.45,GSEC10IETF
2025-08-28,255.4,256.14,255.39,256.13,265.36,233.45,GSEC10IETF
2025-08-26,255.15,255.69,254.1,254.13,265.36,232.81,GSEC10IETF
2025-08-25,256.32,256.32,255.01,255.15,265.36,232.81,GSEC10IETF
2025-08-22,256.95,256.95,256.89,256.89,265.36,232.81,GSEC10IETF
2025-08-21,256.95,257.45,254.91,255.08,265.36,232.37,GSEC10IETF
2025-08-20,254.62,257.45,254.62,257.45,265.36,232.37,GSEC10IETF
2025-08-19,256.43,257.3,255.66,257.3,265.36,232.06,GSEC10IETF
2025-08-18,257.09,258.1,256.51,257.0,265.36,232.06,GSEC10IETF
2025-08-14,255.55,259.37,255.55,256.26,265.36,231.6,GSEC10IETF
2025-08-13,258.55,258.55,253.05,255.63,265.36,231.6,GSEC10IETF
2025-08-12,257.07,258.0,256.13,258.0,265.36,231.6,GSEC10IETF
2025-08-11,257.22,258.0,257.07,258.0,265.36,231.6,GSEC10IETF
2025-08-08,258.77,258.77,257.19,257.22,265.36,231.6,GSEC10IETF
2025-08-07,258.39,258.39,257.0,257.99,265.36,228.8,GSEC10IETF
2025-08-06,258.51,258.51,258.51,258.51,265.36,228.8,GSEC10IETF
2025-08-05,258.29,259.05,258.03,258.51,265.36,228.8,GSEC10IETF
2025-08-04,258.91,258.91,258.0,258.0,265.36,228.8,GSEC10IETF
2025-08-01,256.85,257.84,256.85,257.16,265.36,228.8,GSEC10IETF
2025-07-31,257.98,257.98,257.31,257.93,265.36,228.8,GSEC10IETF
2025-07-30,257.05,258.85,257.05,257.99,265.36,228.8,GSEC10IETF
2025-07-29,257.3,257.89,257.11,257.69,265.36,228.8,GSEC10IETF
2025-07-28,257.73,258.97,256.4,257.47,265.36,228.8,GSEC10IETF
2025-07-25,258.25,258.54,258.01,258.13,265.36,228.8,GSEC10IETF
2025-07-24,258.9,259.59,257.73,258.15,265.36,228.8,GSEC10IETF
2025-07-23,258.98,258.98,258.59,258.97,265.36,228.8,GSEC10IETF
2025-07-22,257.72,258.75,257.72,258.51,265.36,228.8,GSEC10IETF
2025-07-21,257.51,258.99,257.51,258.75,265.36,228.8,GSEC10IETF
2025-07-18,265.36,265.36,257.51,258.72,265.36,228.8,GSEC10IETF
2025-07-17,257.56,258.55,257.56,257.63,262.0,228.8,GSEC10IETF
2025-07-16,259.0,259.0,257.52,258.15,262.0,228.8,GSEC10IETF
2025-07-15,258.56,258.56,257.48,258.24,262.0,228.8,GSEC10IETF
2025-07-14,257.66,258.68,257.49,258.6,262.0,228.8,GSEC10IETF
2025-07-11,258.27,258.27,257.64,257.66,262.0,228.8,GSEC10IETF
2025-07-10,258.0,258.29,257.84,258.19,262.0,228.8,GSEC10IETF
2025-07-09,259.01,259.01,257.31,258.34,262.0,228.8,GSEC10IETF
2025-07-08,257.88,259.22,257.25,257.78,262.0,228.8,GSEC10IETF
2025-07-07,259.08,259.08,256.5,257.96,262.0,228.8,GSEC10IETF
2025-07-04,256.57,259.79,256.57,258.65,262.0,228.8,GSEC10IETF
2025-07-03,258.0,259.12,256.54,256.57,262.0,228.8,GSEC10IETF
2025-07-02,259.78,259.78,253.5,257.71,262.0,228.8,GSEC10IETF
2025-07-01,258.5,258.5,256.05,258.49,262.0,228.8,GSEC10IETF
2025-06-30,256.85,258.51,254.02,257.99,262.0,228.8,GSEC10IETF
2025-06-27,259.18,259.18,256.81,256.85,262.0,228.8,GSEC10IETF
2025-06-26,258.94,258.94,256.8,256.8,262.0,228.8,GSEC10IETF
2025-06-25,256.81,259.3,256.81,258.01,262.0,228.8,GSEC10IETF
2025-06-24,256.8,258.38,255.81,256.57,262.0,228.8,GSEC10IETF
2025-06-23,258.1,258.1,255.53,256.01,262.0,228.8,GSEC10IETF
2025-06-20,257.4,258.09,255.56,255.66,262.0,228.8,GSEC10IETF
2025-06-19,258.87,258.92,257.0,257.4,262.0,228.8,GSEC10IETF
2025-06-18,258.91,258.91,256.38,258.91,262.0,228.8,GSEC10IETF
2025-06-17,256.95,258.95,256.95,258.95,262.0,228.8,GSEC10IETF
2025-06-16,257.01,258.02,256.96,256.96,262.0,228.8,GSEC10IETF
2025-06-13,255.73,259.6,255.73,257.01,262.0,228.8,GSEC10IETF
2025-06-12,258.04,258.04,256.52,257.01,262.0,228.2,GSEC10IETF
2025-06-11,259.15,260.0,256.08,258.46,262.0,228.2,GSEC10IETF
2025-06-10,258.23,262.0,255.66,259.15,262.0,228.2,GSEC10IETF
2025-06-09,261.55,261.9,254.49,260.62,261.9,228.0,GSEC10IETF
2025-06-06,257.2,260.25,257.2,260.25,260.25,228.0,GSEC10IETF
2025-06-05,257.73,259.6,257.61,257.81,260.0,227.95,GSEC10IETF
2025-06-04,259.48,259.58,257.18,257.74,260.0,227.15,GSEC10IETF
2025-06-03,257.51,259.4,257.02,258.25,260.0,227.0,GSEC10IETF
2025-06-02,258.48,259.04,257.51,257.87,260.0,226.9,GSEC10IETF
2025-05-30,259.75,259.8,258.01,258.48,260.0,226.5,GSEC10IETF
2025-05-29,258.0,259.75,258.0,259.68,260.0,226.5,GSEC10IETF
2025-05-28,257.02,259.52,257.02,258.21,260.0,222.95,GSEC10IETF
2025-05-27,257.88,259.11,256.58,257.07,260.0,222.95,GSEC10IETF
2025-05-26,258.86,258.86,256.29,257.89,260.0,222.95,GSEC10IETF
2025-05-23,257.99,257.99,257.89,257.89,260.0,222.95,GSEC10IETF
2025-05-22,257.53,258.28,257.52,257.76,260.0,222.95,GSEC10IETF
2025-05-21,258.14,258.9,257.01,258.46,260.0,222.95,GSEC10IETF
2025-05-20,258.01,258.24,256.41,258.14,260.0,222.95,GSEC10IETF
2025-05-19,258.36,258.37,256.01,258.0,260.0,222.95,GSEC10IETF
2025-05-16,255.99,258.41,255.99,258.41,260.0,222.95,GSEC10IETF
2025-05-15,256.99,257.49,255.51,255.99,260.0,222.95,GSEC10IETF
2025-05-14,255.01,256.99,255.01,256.45,260.0,222.95,GSEC10IETF
2025-05-13,254.51,256.21,254.51,255.0,260.0,222.95,GSEC10IETF
2025-05-12,257.7,257.7,253.67,254.41,260.0,222.95,GSEC10IETF
2025-05-09,254.76,257.94,252.83,257.94,260.0,222.95,GSEC10IETF
2025-05-08,255.52,256.49,255.52,256.04,260.0,222.95,GSEC10IETF
2025-05-07,254.01,256.56,254.01,255.52,260.0,222.95,GSEC10IETF
2025-05-06,256.25,257.17,254.11,254.67,260.0,222.95,GSEC10IETF
2025-05-05,256.25,256.26,253.74,256.25,260.0,222.95,GSEC10IETF
2025-05-02,254.72,256.66,254.72,256.26,260.0,222.95,GSEC10IETF
2025-04-30,256.0,256.01,254.02,255.99,260.0,222.95,GSEC10IETF
2025-04-29,255.67,256.01,254.06,254.34,260.0,222.95,GSEC10IETF
2025-04-28,255.38,256.37,254.24,254.4,260.0,222.95,GSEC10IETF
2025-04-25,255.0,257.06,254.03,254.11,260.0,222.95,GSEC10IETF
2025-04-24,256.84,256.84,254.82,254.82,260.0,222.95,GSEC10IETF
2025-04-23,255.89,256.9,254.7,256.47,260.0,221.98,GSEC10IETF
2025-04-22,255.81,256.95,253.55,255.89,260.0,221.98,GSEC10IETF
2025-04-21,255.03,260.0,252.29,255.81,260.0,221.98,GSEC10IETF
2025-04-17,253.0,255.42,253.0,255.04,255.42,221.98,GSEC10IETF
2025-04-16,253.12,254.99,252.15,254.59,255.15,221.98,GSEC10IETF
2025-04-15,251.0,254.0,251.0,253.12,255.15,221.98,GSEC10IETF
2025-04-11,253.91,254.4,250.67,252.09,255.15,221.98,GSEC10IETF
2025-04-09,253.28,255.15,249.72,253.91,255.15,221.98,GSEC10IETF
2025-04-08,253.4,253.4,250.77,253.4,253.59,221.98,GSEC10IETF
2025-04-07,253.59,253.59,250.07,251.9,253.59,221.98,GSEC10IETF
2025-04-04,252.36,253.35,249.4,251.64,253.35,221.98,GSEC10IETF
2025-04-03,253.22,253.22,251.01,252.36,253.22,221.98,GSEC10IETF
2025-04-02,249.18,252.7,247.96,252.68,252.97,221.98,GSEC10IETF
