DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,351.95,353.35,343.0,344.35,504.25,298.8,GUFICBIO
2025-10-21,352.5,352.5,348.5,349.65,504.25,298.8,GUFICBIO
2025-10-20,348.5,351.65,348.0,350.6,504.25,298.8,GUFICBIO
2025-10-17,353.45,356.0,350.0,351.65,504.25,298.8,GUFICBIO
2025-10-16,363.5,364.9,354.0,355.25,504.25,298.8,GUFICBIO
2025-10-15,362.1,370.0,360.1,363.5,504.25,298.8,GUFICBIO
2025-10-14,366.45,368.45,359.65,365.25,504.25,298.8,GUFICBIO
2025-10-13,362.0,370.0,360.75,365.2,504.25,298.8,GUFICBIO
2025-10-10,366.55,370.0,363.45,365.15,504.25,298.8,GUFICBIO
2025-10-09,361.75,368.0,360.6,365.8,504.25,298.8,GUFICBIO
2025-10-08,357.0,362.0,355.0,360.75,504.25,298.8,GUFICBIO
2025-10-07,356.0,360.0,352.0,356.35,504.25,298.8,GUFICBIO
2025-10-06,358.5,360.4,352.1,354.7,504.25,298.8,GUFICBIO
2025-10-03,351.0,361.0,350.55,358.5,504.25,298.8,GUFICBIO
2025-10-01,355.1,355.1,348.65,351.15,504.25,298.8,GUFICBIO
2025-09-30,353.9,358.9,348.9,354.45,504.25,298.8,GUFICBIO
2025-09-29,356.6,359.4,346.8,353.9,504.25,298.8,GUFICBIO
2025-09-26,359.9,361.55,354.55,358.0,504.25,298.8,GUFICBIO
2025-09-25,367.85,369.95,360.0,361.55,504.25,298.8,GUFICBIO
2025-09-24,372.0,374.6,367.2,367.9,504.25,298.8,GUFICBIO
2025-09-23,368.5,372.55,361.0,371.6,504.25,298.8,GUFICBIO
2025-09-22,365.3,373.5,364.15,367.55,504.25,298.8,GUFICBIO
2025-09-19,364.4,372.0,360.8,369.95,504.25,298.8,GUFICBIO
2025-09-18,357.2,367.0,357.2,362.3,504.25,298.8,GUFICBIO
2025-09-17,365.4,365.6,352.55,354.0,504.25,298.8,GUFICBIO
2025-09-16,369.1,369.1,362.0,363.5,504.25,298.8,GUFICBIO
2025-09-15,365.9,370.15,363.65,367.2,504.25,298.8,GUFICBIO
2025-09-12,366.15,370.0,360.0,369.25,504.25,298.8,GUFICBIO
2025-09-11,372.0,374.0,359.35,363.8,504.25,298.8,GUFICBIO
2025-09-10,367.0,373.4,366.95,370.7,504.25,298.8,GUFICBIO
2025-09-09,359.1,372.0,351.1,370.4,504.25,298.8,GUFICBIO
2025-09-08,358.0,358.9,352.0,357.2,504.25,298.8,GUFICBIO
2025-09-05,366.6,371.0,354.0,356.65,504.25,298.8,GUFICBIO
2025-09-04,364.8,367.8,360.6,364.5,504.25,298.8,GUFICBIO
2025-09-03,367.2,368.35,361.5,362.7,504.25,298.8,GUFICBIO
2025-09-02,363.1,372.0,360.8,366.4,504.25,298.8,GUFICBIO
2025-09-01,363.0,367.65,360.2,363.1,504.25,298.8,GUFICBIO
2025-08-29,372.65,372.65,364.0,366.95,504.25,298.8,GUFICBIO
2025-08-28,375.75,379.9,364.5,372.5,504.25,298.8,GUFICBIO
2025-08-26,382.75,384.0,371.3,376.95,504.25,298.8,GUFICBIO
2025-08-25,365.3,384.9,359.9,379.15,504.25,298.8,GUFICBIO
2025-08-22,366.85,369.35,360.0,363.25,504.25,298.8,GUFICBIO
2025-08-21,376.6,377.9,366.1,369.5,504.25,298.8,GUFICBIO
2025-08-20,361.65,378.1,361.2,375.65,504.25,298.8,GUFICBIO
2025-08-19,364.85,370.9,360.1,365.3,504.25,298.8,GUFICBIO
2025-08-18,358.25,369.0,355.5,363.85,504.25,298.8,GUFICBIO
2025-08-14,359.95,384.0,355.0,356.5,504.25,298.8,GUFICBIO
2025-08-13,352.45,371.0,352.45,356.7,504.25,298.8,GUFICBIO
2025-08-12,356.95,362.05,353.55,354.75,504.25,298.8,GUFICBIO
2025-08-11,361.25,371.7,354.85,357.85,504.25,298.8,GUFICBIO
2025-08-08,361.0,364.95,359.1,361.25,504.25,298.8,GUFICBIO
2025-08-07,365.5,368.1,359.1,360.7,504.25,298.8,GUFICBIO
2025-08-06,373.85,376.4,361.1,363.4,504.25,298.8,GUFICBIO
2025-08-05,382.0,383.15,373.2,374.2,504.25,298.8,GUFICBIO
2025-08-04,382.0,387.0,375.55,380.5,504.25,298.8,GUFICBIO
2025-08-01,399.4,400.0,382.4,384.65,504.25,298.8,GUFICBIO
2025-07-31,402.6,403.9,390.15,397.1,504.25,298.8,GUFICBIO
2025-07-30,386.9,407.85,383.0,404.55,504.25,298.8,GUFICBIO
2025-07-29,387.1,389.95,381.35,384.8,504.25,298.8,GUFICBIO
2025-07-28,387.15,393.3,376.8,385.3,504.25,298.8,GUFICBIO
2025-07-25,386.2,390.05,380.85,387.15,504.25,298.8,GUFICBIO
2025-07-24,388.0,396.9,383.05,390.1,504.25,298.8,GUFICBIO
2025-07-23,379.65,389.95,379.65,388.85,504.25,298.8,GUFICBIO
2025-07-22,382.75,385.85,380.0,383.5,504.25,298.8,GUFICBIO
2025-07-21,380.7,385.65,377.55,382.85,504.25,298.8,GUFICBIO
2025-07-18,383.95,387.9,375.05,384.4,504.25,298.8,GUFICBIO
2025-07-17,380.95,391.0,379.35,385.45,504.25,298.8,GUFICBIO
2025-07-16,371.4,384.5,365.05,381.0,504.25,298.8,GUFICBIO
2025-07-15,354.5,376.0,350.65,371.4,504.25,298.8,GUFICBIO
2025-07-14,349.7,357.55,345.85,354.5,504.25,298.8,GUFICBIO
