DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,533.3,533.3,522.45,525.15,822.55,483.6,GUJALKALI
2025-11-28,533.1,534.0,526.5,530.5,822.55,483.6,GUJALKALI
2025-11-27,536.5,537.9,528.0,530.35,822.55,483.6,GUJALKALI
2025-11-26,531.0,539.0,530.25,533.75,822.55,483.6,GUJALKALI
2025-11-25,531.55,542.0,525.0,530.95,822.55,483.6,GUJALKALI
2025-11-24,544.0,548.6,514.1,525.95,822.55,483.6,GUJALKALI
2025-11-21,555.05,555.05,545.0,545.75,822.55,483.6,GUJALKALI
2025-11-20,555.0,557.35,549.1,555.05,822.55,483.6,GUJALKALI
2025-11-19,554.9,558.0,547.55,555.1,822.55,483.6,GUJALKALI
2025-11-18,554.6,555.95,549.0,554.9,822.55,483.6,GUJALKALI
2025-11-17,553.5,557.6,550.6,555.65,822.55,483.6,GUJALKALI
2025-11-14,543.0,565.3,543.0,553.5,850.7,483.6,GUJALKALI
2025-11-13,555.0,555.5,541.0,548.85,889.7,483.6,GUJALKALI
2025-11-12,552.8,554.0,549.6,552.55,894.2,483.6,GUJALKALI
2025-11-11,558.0,560.1,542.9,549.95,894.2,483.6,GUJALKALI
2025-11-10,558.55,566.65,552.25,557.15,894.2,483.6,GUJALKALI
2025-11-07,562.0,562.3,548.1,558.0,894.2,483.6,GUJALKALI
2025-11-06,566.8,579.9,550.35,558.05,894.2,483.6,GUJALKALI
2025-11-04,562.0,568.0,559.65,563.85,894.2,483.6,GUJALKALI
2025-11-03,572.05,572.05,561.0,562.45,894.2,483.6,GUJALKALI
2025-10-31,574.6,574.6,566.95,572.05,894.2,483.6,GUJALKALI
2025-10-30,577.8,577.9,564.0,574.6,894.2,483.6,GUJALKALI
2025-10-29,558.0,577.0,555.7,573.6,894.2,483.6,GUJALKALI
2025-10-28,556.65,559.6,552.15,558.55,894.2,483.6,GUJALKALI
2025-10-27,560.15,560.3,552.8,556.65,894.2,483.6,GUJALKALI
2025-10-24,560.0,562.0,553.25,560.15,894.2,483.6,GUJALKALI
2025-10-23,552.6,559.0,550.2,557.15,894.2,483.6,GUJALKALI
2025-10-21,540.25,555.1,540.25,552.6,894.2,483.6,GUJALKALI
2025-10-20,549.7,553.0,542.0,551.15,894.2,483.6,GUJALKALI
2025-10-17,560.0,561.0,543.9,545.65,894.2,483.6,GUJALKALI
2025-10-16,553.4,563.3,553.4,559.5,894.2,483.6,GUJALKALI
2025-10-15,549.5,556.0,543.7,553.4,900.0,483.6,GUJALKALI
2025-10-14,560.0,563.05,539.85,546.65,900.0,483.6,GUJALKALI
2025-10-13,566.55,566.55,556.0,560.6,900.0,483.6,GUJALKALI
2025-10-10,560.45,570.5,558.0,566.55,900.0,483.6,GUJALKALI
2025-10-09,553.0,562.5,550.8,560.45,900.0,483.6,GUJALKALI
2025-10-08,555.45,563.55,549.0,552.95,900.0,483.6,GUJALKALI
2025-10-07,562.0,563.0,552.05,555.65,900.0,483.6,GUJALKALI
2025-10-06,565.6,565.7,556.65,561.5,900.0,483.6,GUJALKALI
2025-10-03,552.7,563.7,552.7,561.6,900.0,483.6,GUJALKALI
2025-10-01,549.4,556.0,541.5,552.7,900.0,483.6,GUJALKALI
2025-09-30,543.95,549.3,540.5,546.55,900.0,483.6,GUJALKALI
2025-09-29,555.0,557.9,534.8,543.95,900.0,483.6,GUJALKALI
2025-09-26,561.0,569.15,551.1,559.6,900.0,483.6,GUJALKALI
2025-09-25,580.0,580.85,563.7,567.25,900.0,483.6,GUJALKALI
2025-09-24,589.0,589.0,579.0,580.6,900.0,483.6,GUJALKALI
2025-09-23,594.55,594.55,584.4,586.2,900.0,483.6,GUJALKALI
2025-09-22,594.0,597.2,585.0,594.55,900.0,483.6,GUJALKALI
2025-09-19,593.0,598.0,590.45,594.5,900.0,483.6,GUJALKALI
2025-09-18,616.5,618.0,610.25,614.95,900.0,483.6,GUJALKALI
2025-09-17,618.0,619.25,612.05,615.15,900.0,483.6,GUJALKALI
2025-09-16,615.0,617.9,612.0,613.95,900.0,483.6,GUJALKALI
2025-09-15,609.0,621.8,609.0,610.9,900.0,483.6,GUJALKALI
2025-09-12,608.1,611.3,603.05,608.6,900.0,483.6,GUJALKALI
2025-09-11,600.4,612.4,600.4,608.05,900.0,483.6,GUJALKALI
2025-09-10,592.3,602.7,592.3,600.4,900.0,483.6,GUJALKALI
2025-09-09,593.9,600.3,591.55,592.3,900.0,483.6,GUJALKALI
2025-09-08,588.6,598.6,585.1,593.9,900.0,483.6,GUJALKALI
2025-09-05,592.5,603.7,586.0,587.8,900.0,483.6,GUJALKALI
2025-09-04,597.75,607.9,589.7,593.75,900.0,483.6,GUJALKALI
2025-09-03,587.85,595.95,586.3,594.55,900.0,483.6,GUJALKALI
2025-09-02,579.2,590.85,576.0,587.85,900.0,483.6,GUJALKALI
2025-09-01,567.3,577.8,564.0,576.1,900.0,483.6,GUJALKALI
2025-08-29,564.1,569.7,559.45,564.3,900.0,483.6,GUJALKALI
2025-08-28,565.25,571.5,561.45,564.1,900.0,483.6,GUJALKALI
2025-08-26,570.05,570.05,563.35,565.25,900.0,483.6,GUJALKALI
2025-08-25,577.0,579.0,569.5,570.55,900.0,483.6,GUJALKALI
2025-08-22,572.0,588.85,562.2,574.55,900.0,483.6,GUJALKALI
2025-08-21,565.0,575.1,565.0,568.95,900.0,483.6,GUJALKALI
2025-08-20,563.7,572.0,558.25,565.15,900.0,483.6,GUJALKALI
2025-08-19,551.9,563.0,549.15,559.6,900.0,483.6,GUJALKALI
2025-08-18,551.0,560.2,544.5,547.95,900.0,483.6,GUJALKALI
2025-08-14,552.0,559.45,548.1,550.35,900.0,483.6,GUJALKALI
2025-08-13,560.9,563.95,550.0,552.0,900.0,483.6,GUJALKALI
2025-08-12,563.3,566.8,557.3,560.1,900.0,483.6,GUJALKALI
2025-08-11,565.0,570.0,553.8,559.25,900.0,483.6,GUJALKALI
2025-08-08,570.0,581.0,570.0,578.65,900.0,483.6,GUJALKALI
2025-08-07,581.0,581.0,564.0,574.95,900.0,483.6,GUJALKALI
2025-08-06,580.0,584.8,575.5,581.05,900.0,483.6,GUJALKALI
2025-08-05,579.85,587.0,574.5,583.15,900.0,483.6,GUJALKALI
2025-08-04,573.7,583.8,569.0,579.85,900.0,483.6,GUJALKALI
2025-08-01,585.8,590.7,572.2,573.25,900.0,483.6,GUJALKALI
2025-07-31,573.4,593.5,568.6,581.6,900.0,483.6,GUJALKALI
2025-07-30,575.6,577.5,571.9,573.4,900.0,483.6,GUJALKALI
2025-07-29,575.0,579.8,572.05,574.9,900.0,483.6,GUJALKALI
2025-07-28,594.1,597.25,572.15,575.6,900.0,483.6,GUJALKALI
2025-07-25,601.15,605.8,590.55,594.1,900.0,483.6,GUJALKALI
2025-07-24,601.7,612.2,596.75,601.15,900.0,483.6,GUJALKALI
2025-07-23,604.95,609.0,595.25,598.75,900.0,483.6,GUJALKALI
2025-07-22,594.3,617.0,591.75,600.15,900.0,483.6,GUJALKALI
2025-07-21,594.6,594.6,585.05,588.4,900.0,483.6,GUJALKALI
2025-07-18,596.0,596.2,586.4,590.1,900.0,483.6,GUJALKALI
2025-07-17,599.4,600.45,591.3,594.1,900.0,483.6,GUJALKALI
2025-07-16,591.5,601.4,590.05,596.25,900.0,483.6,GUJALKALI
2025-07-15,587.35,594.8,587.35,591.5,900.0,483.6,GUJALKALI
2025-07-14,590.0,591.85,583.0,586.45,900.0,483.6,GUJALKALI
2025-07-11,595.95,595.95,587.3,591.5,900.0,483.6,GUJALKALI
2025-07-10,584.55,599.95,584.55,595.95,900.0,483.6,GUJALKALI
2025-07-09,578.7,587.9,577.35,586.95,900.0,483.6,GUJALKALI
2025-07-08,576.8,586.0,576.0,578.1,900.0,483.6,GUJALKALI
2025-07-07,583.9,588.9,570.55,575.05,900.0,483.6,GUJALKALI
2025-07-04,589.3,592.0,577.9,579.7,900.0,483.6,GUJALKALI
2025-07-03,589.2,596.0,587.0,589.3,900.0,483.6,GUJALKALI
2025-07-02,612.0,614.9,588.2,589.75,900.0,483.6,GUJALKALI
2025-07-01,603.9,618.0,603.9,610.8,900.0,483.6,GUJALKALI
2025-06-30,606.45,614.35,597.5,599.65,900.0,483.6,GUJALKALI
2025-06-27,613.5,613.9,604.45,606.45,900.0,483.6,GUJALKALI
2025-06-26,595.0,615.0,588.0,609.25,900.0,483.6,GUJALKALI
2025-06-25,575.15,593.35,575.15,590.95,900.0,483.6,GUJALKALI
2025-06-24,575.9,584.0,575.6,578.05,900.0,483.6,GUJALKALI
2025-06-23,565.0,575.0,563.45,573.4,900.0,483.6,GUJALKALI
2025-06-20,575.6,578.8,568.0,570.2,900.0,483.6,GUJALKALI
2025-06-19,581.4,583.7,567.85,573.1,900.0,483.6,GUJALKALI
2025-06-18,586.5,588.95,579.55,581.4,900.0,483.6,GUJALKALI
2025-06-17,585.3,594.95,585.1,585.95,900.0,483.6,GUJALKALI
2025-06-16,594.5,594.5,579.95,589.35,900.0,483.6,GUJALKALI
2025-06-13,578.55,597.0,576.0,591.3,900.0,483.6,GUJALKALI
2025-06-12,598.0,605.85,582.0,585.2,900.0,483.6,GUJALKALI
2025-06-11,598.8,605.9,592.4,597.85,900.0,483.6,GUJALKALI
2025-06-10,596.9,599.5,589.5,595.9,900.0,483.6,GUJALKALI
2025-06-09,594.1,599.8,591.6,593.75,900.0,483.6,GUJALKALI
2025-06-06,590.2,599.05,585.0,589.4,900.0,483.6,GUJALKALI
2025-06-05,592.95,592.95,582.1,587.0,900.0,483.6,GUJALKALI
2025-06-04,584.8,590.9,580.45,589.3,900.0,483.6,GUJALKALI
2025-06-03,592.0,597.0,577.65,581.75,900.0,483.6,GUJALKALI
2025-06-02,577.1,593.3,574.1,591.5,900.0,483.6,GUJALKALI
2025-05-30,583.0,585.9,562.5,574.0,900.0,483.6,GUJALKALI
2025-05-29,593.0,593.0,581.0,583.6,900.0,483.6,GUJALKALI
2025-05-28,602.3,608.65,586.7,588.55,900.0,483.6,GUJALKALI
2025-05-27,605.0,609.2,596.7,602.3,900.0,483.6,GUJALKALI
2025-05-26,600.0,612.0,597.95,605.95,900.0,483.6,GUJALKALI
2025-05-23,600.0,601.7,592.9,597.9,900.0,483.6,GUJALKALI
2025-05-22,609.8,611.05,592.2,597.3,900.0,483.6,GUJALKALI
2025-05-21,630.0,637.05,610.5,613.0,900.0,483.6,GUJALKALI
2025-05-20,657.25,657.25,626.0,634.3,900.0,483.6,GUJALKALI
2025-05-19,667.95,684.35,653.05,657.25,900.0,483.6,GUJALKALI
2025-05-16,654.0,658.9,646.0,652.35,900.0,483.6,GUJALKALI
2025-05-15,642.9,655.0,638.1,651.25,900.0,483.6,GUJALKALI
2025-05-14,636.25,646.2,635.05,643.5,900.0,483.6,GUJALKALI
2025-05-13,629.95,639.0,622.1,636.25,900.0,483.6,GUJALKALI
2025-05-12,625.0,634.85,618.85,632.05,900.0,483.6,GUJALKALI
2025-05-09,629.0,629.0,601.35,609.9,900.0,483.6,GUJALKALI
2025-05-08,630.1,638.0,603.0,633.05,900.0,483.6,GUJALKALI
2025-05-07,585.0,632.9,578.1,625.1,900.0,483.6,GUJALKALI
2025-05-06,613.0,615.8,587.1,590.4,900.0,483.6,GUJALKALI
2025-05-05,611.8,614.5,607.1,612.5,900.0,483.6,GUJALKALI
2025-05-02,609.0,617.15,595.05,611.8,900.0,483.6,GUJALKALI
2025-04-30,627.95,628.5,604.0,605.7,900.0,483.6,GUJALKALI
