DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,396.15,400.2,395.85,396.6,524.25,360.25,GUJGASLTD
2025-11-28,402.9,406.1,395.0,396.15,524.25,360.25,GUJGASLTD
2025-11-27,403.15,405.2,398.95,402.0,524.25,360.25,GUJGASLTD
2025-11-26,398.85,402.0,395.65,400.75,524.25,360.25,GUJGASLTD
2025-11-25,400.0,400.85,395.1,398.85,524.25,360.25,GUJGASLTD
2025-11-24,398.75,402.5,397.65,401.55,524.25,360.25,GUJGASLTD
2025-11-21,401.0,402.6,398.2,398.75,524.25,360.25,GUJGASLTD
2025-11-20,404.25,404.35,400.1,402.05,524.25,360.25,GUJGASLTD
2025-11-19,405.3,407.0,401.0,402.5,524.25,360.25,GUJGASLTD
2025-11-18,407.2,411.0,404.45,405.3,524.25,360.25,GUJGASLTD
2025-11-17,405.3,411.85,404.5,409.8,526.15,360.25,GUJGASLTD
2025-11-14,409.9,409.9,402.0,403.4,537.05,360.25,GUJGASLTD
2025-11-13,410.0,410.6,405.15,410.0,553.0,360.25,GUJGASLTD
2025-11-12,405.55,409.0,402.0,408.05,553.0,360.25,GUJGASLTD
2025-11-11,401.45,405.4,397.1,404.2,553.0,360.25,GUJGASLTD
2025-11-10,400.95,404.9,398.15,403.45,553.0,360.25,GUJGASLTD
2025-11-07,400.95,402.95,396.6,399.25,553.0,360.25,GUJGASLTD
2025-11-06,407.1,407.1,398.15,400.95,553.0,360.25,GUJGASLTD
2025-11-04,410.5,413.75,405.0,407.2,553.0,360.25,GUJGASLTD
2025-11-03,410.0,412.0,407.3,410.5,553.0,360.25,GUJGASLTD
2025-10-31,411.85,412.6,405.05,407.4,553.0,360.25,GUJGASLTD
2025-10-30,413.0,413.65,406.5,411.65,553.0,360.25,GUJGASLTD
2025-10-29,406.7,415.45,404.15,410.8,553.0,360.25,GUJGASLTD
2025-10-28,412.6,414.9,405.25,405.8,553.0,360.25,GUJGASLTD
2025-10-27,415.85,417.0,411.7,412.6,553.0,360.25,GUJGASLTD
2025-10-24,413.95,417.0,412.5,415.85,571.0,360.25,GUJGASLTD
2025-10-23,418.0,419.3,413.05,413.95,571.0,360.25,GUJGASLTD
2025-10-21,417.2,419.0,415.05,417.35,589.65,360.25,GUJGASLTD
2025-10-20,421.95,423.8,412.05,412.8,591.35,360.25,GUJGASLTD
2025-10-17,419.9,421.75,418.05,420.3,594.95,360.25,GUJGASLTD
2025-10-16,425.9,429.15,419.15,419.9,602.9,360.25,GUJGASLTD
2025-10-15,427.15,432.0,420.35,426.05,605.25,360.25,GUJGASLTD
2025-10-14,426.85,436.8,425.0,426.35,605.35,360.25,GUJGASLTD
2025-10-13,428.0,431.05,424.55,426.85,607.55,360.25,GUJGASLTD
2025-10-10,431.0,431.55,426.95,429.65,607.55,360.25,GUJGASLTD
2025-10-09,429.8,435.0,426.0,428.05,620.0,360.25,GUJGASLTD
2025-10-08,431.0,437.0,428.5,429.8,627.0,360.25,GUJGASLTD
2025-10-07,434.7,435.9,429.45,430.6,627.0,360.25,GUJGASLTD
2025-10-06,439.5,439.5,428.25,431.85,627.0,360.25,GUJGASLTD
2025-10-03,435.1,437.8,430.7,436.65,627.0,360.25,GUJGASLTD
2025-10-01,426.4,437.4,426.4,435.1,627.0,360.25,GUJGASLTD
2025-09-30,425.3,433.3,424.3,429.55,627.0,360.25,GUJGASLTD
2025-09-29,424.1,430.7,419.65,425.3,627.0,360.25,GUJGASLTD
2025-09-26,431.95,433.1,423.2,424.05,627.0,360.25,GUJGASLTD
2025-09-25,434.2,435.0,428.75,431.95,627.0,360.25,GUJGASLTD
2025-09-24,432.95,435.55,429.05,434.2,627.0,360.25,GUJGASLTD
2025-09-23,429.15,440.95,429.15,432.95,627.0,360.25,GUJGASLTD
2025-09-22,435.0,438.5,428.75,429.15,627.0,360.25,GUJGASLTD
2025-09-19,440.4,441.85,432.1,434.95,641.45,360.25,GUJGASLTD
2025-09-18,443.4,443.4,437.0,438.45,641.45,360.25,GUJGASLTD
2025-09-17,447.45,447.45,439.55,441.45,644.45,360.25,GUJGASLTD
2025-09-16,438.0,447.1,434.05,442.85,650.5,360.25,GUJGASLTD
2025-09-15,432.05,436.0,429.5,433.9,658.2,360.25,GUJGASLTD
2025-09-12,438.0,440.0,430.1,431.05,662.35,360.25,GUJGASLTD
2025-09-11,433.3,452.0,432.0,437.85,665.45,360.25,GUJGASLTD
2025-09-10,431.35,435.95,430.05,434.5,685.0,360.25,GUJGASLTD
2025-09-09,431.05,434.1,427.55,429.15,685.0,360.25,GUJGASLTD
2025-09-08,433.0,437.95,429.75,430.35,685.0,360.25,GUJGASLTD
2025-09-05,446.0,446.0,433.25,433.95,685.0,360.25,GUJGASLTD
2025-09-04,441.4,450.35,440.05,442.55,689.95,360.25,GUJGASLTD
2025-09-03,440.55,447.65,437.8,442.35,689.95,360.25,GUJGASLTD
2025-09-02,446.0,449.1,435.1,437.05,689.95,360.25,GUJGASLTD
2025-09-01,422.0,446.45,419.05,441.85,689.95,360.25,GUJGASLTD
2025-08-29,419.1,423.6,416.25,419.45,689.95,360.25,GUJGASLTD
2025-08-28,429.6,429.6,418.25,419.1,689.95,360.25,GUJGASLTD
2025-08-26,433.6,434.0,423.1,425.35,689.95,360.25,GUJGASLTD
2025-08-25,433.3,435.9,429.05,431.8,689.95,360.25,GUJGASLTD
2025-08-22,435.1,437.7,430.5,432.05,689.95,360.25,GUJGASLTD
2025-08-21,432.2,437.3,432.0,435.15,689.95,360.25,GUJGASLTD
2025-08-20,434.75,436.8,429.05,432.2,689.95,360.25,GUJGASLTD
2025-08-19,428.5,439.2,425.25,434.8,689.95,360.25,GUJGASLTD
2025-08-18,426.2,428.6,422.65,427.2,689.95,360.25,GUJGASLTD
2025-08-14,428.0,428.0,418.5,422.25,689.95,360.25,GUJGASLTD
2025-08-13,422.6,430.5,422.6,424.25,689.95,360.25,GUJGASLTD
2025-08-12,432.0,433.15,424.0,425.3,689.95,360.25,GUJGASLTD
2025-08-11,430.05,444.7,427.55,429.2,689.95,360.25,GUJGASLTD
2025-08-08,422.25,433.0,422.25,430.05,689.95,360.25,GUJGASLTD
2025-08-07,421.5,426.6,417.0,424.65,689.95,360.25,GUJGASLTD
2025-08-06,427.8,432.0,423.0,428.95,689.95,360.25,GUJGASLTD
2025-08-05,423.0,427.95,420.0,423.85,689.95,360.25,GUJGASLTD
2025-08-04,431.9,431.9,419.0,421.05,689.95,360.25,GUJGASLTD
2025-08-01,445.0,452.35,425.2,427.55,689.95,360.25,GUJGASLTD
2025-07-31,447.0,452.0,438.3,440.5,689.95,360.25,GUJGASLTD
2025-07-30,451.95,455.3,447.65,448.5,689.95,360.25,GUJGASLTD
2025-07-29,452.3,457.4,450.05,451.85,689.95,360.25,GUJGASLTD
2025-07-28,461.25,465.1,449.0,452.95,689.95,360.25,GUJGASLTD
2025-07-25,474.05,474.3,454.3,460.3,689.95,360.25,GUJGASLTD
2025-07-24,478.3,478.4,473.05,474.55,689.95,360.25,GUJGASLTD
2025-07-23,471.8,484.8,471.8,476.35,689.95,360.25,GUJGASLTD
2025-07-22,467.45,478.3,467.05,471.8,689.95,360.25,GUJGASLTD
2025-07-21,471.15,472.65,464.35,467.0,689.95,360.25,GUJGASLTD
2025-07-18,478.1,478.1,470.0,471.15,689.95,360.25,GUJGASLTD
2025-07-17,475.5,479.0,473.2,477.0,689.95,360.25,GUJGASLTD
2025-07-16,464.7,476.05,463.6,474.65,689.95,360.25,GUJGASLTD
2025-07-15,463.8,469.95,461.6,464.7,689.95,360.25,GUJGASLTD
2025-07-14,465.3,470.95,462.15,463.15,689.95,360.25,GUJGASLTD
2025-07-11,470.0,475.9,465.0,467.3,689.95,360.25,GUJGASLTD
2025-07-10,478.2,482.0,470.2,473.3,689.95,360.25,GUJGASLTD
2025-07-09,475.0,482.7,472.7,478.2,689.95,360.25,GUJGASLTD
2025-07-08,485.7,490.2,473.0,474.3,689.95,360.25,GUJGASLTD
2025-07-07,489.5,495.5,482.75,484.9,689.95,360.25,GUJGASLTD
2025-07-04,495.15,499.4,487.8,489.25,689.95,360.25,GUJGASLTD
2025-07-03,501.1,508.7,492.0,495.15,689.95,360.25,GUJGASLTD
2025-07-02,481.0,502.0,478.35,499.4,689.95,360.25,GUJGASLTD
2025-07-01,474.8,482.0,471.75,480.2,689.95,360.25,GUJGASLTD
2025-06-30,470.7,478.0,467.7,474.8,689.95,360.25,GUJGASLTD
2025-06-27,461.25,488.4,461.1,470.7,689.95,360.25,GUJGASLTD
2025-06-26,461.0,462.0,453.5,461.25,689.95,360.25,GUJGASLTD
2025-06-25,450.95,461.0,450.95,456.95,689.95,360.25,GUJGASLTD
2025-06-24,456.0,457.75,446.4,449.65,689.95,360.25,GUJGASLTD
2025-06-23,445.05,454.75,445.05,451.45,689.95,360.25,GUJGASLTD
2025-06-20,450.0,462.0,446.1,449.25,689.95,360.25,GUJGASLTD
2025-06-19,463.8,472.25,446.05,453.85,689.95,360.25,GUJGASLTD
2025-06-18,477.0,481.5,460.4,463.9,689.95,360.25,GUJGASLTD
