DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,726.2,739.0,726.2,731.05,891.9,705.05,HDBFS
2025-11-13,727.2,732.5,727.2,731.95,891.9,705.05,HDBFS
2025-11-12,731.85,743.7,721.95,725.85,891.9,705.05,HDBFS
2025-11-11,731.0,734.6,727.0,731.85,891.9,705.05,HDBFS
2025-11-10,711.95,733.8,710.2,731.8,891.9,705.05,HDBFS
2025-11-07,720.7,723.55,705.05,711.9,891.9,705.05,HDBFS
2025-11-06,730.05,730.45,718.85,720.7,891.9,718.85,HDBFS
2025-11-04,723.6,735.1,723.35,731.55,891.9,722.1,HDBFS
2025-11-03,730.95,731.65,722.1,723.35,891.9,722.1,HDBFS
2025-10-31,735.8,737.1,730.05,731.3,891.9,727.3,HDBFS
2025-10-30,735.25,747.85,732.95,734.25,891.9,727.3,HDBFS
2025-10-29,732.65,738.0,731.0,734.85,891.9,727.3,HDBFS
2025-10-28,733.9,736.95,729.8,732.65,891.9,727.3,HDBFS
2025-10-27,738.85,739.95,730.05,733.05,891.9,727.3,HDBFS
2025-10-24,742.1,742.5,732.0,734.05,891.9,727.3,HDBFS
2025-10-23,742.0,746.3,737.4,743.9,891.9,727.3,HDBFS
2025-10-21,744.85,745.0,739.4,740.35,891.9,727.3,HDBFS
2025-10-20,734.0,742.0,732.1,739.95,891.9,727.3,HDBFS
2025-10-17,740.0,742.35,727.3,730.15,891.9,727.3,HDBFS
2025-10-16,738.25,742.0,733.25,737.4,891.9,728.3,HDBFS
2025-10-15,740.0,745.0,736.55,743.35,891.9,728.3,HDBFS
2025-10-14,742.95,743.8,738.7,740.1,891.9,728.3,HDBFS
2025-10-13,735.0,742.2,728.6,739.85,891.9,728.3,HDBFS
2025-10-10,735.0,738.95,731.05,736.8,891.9,728.3,HDBFS
2025-10-09,739.0,740.6,728.3,732.85,891.9,728.3,HDBFS
2025-10-08,747.35,747.35,736.1,736.95,891.9,732.7,HDBFS
2025-10-07,747.95,748.5,739.2,741.4,891.9,732.7,HDBFS
2025-10-06,758.0,758.3,741.4,746.35,891.9,732.7,HDBFS
2025-10-03,769.05,771.35,756.0,757.1,891.9,732.7,HDBFS
2025-10-01,752.0,779.9,752.0,769.55,891.9,732.7,HDBFS
2025-09-30,747.0,757.35,744.3,750.3,891.9,732.7,HDBFS
2025-09-29,756.0,757.05,739.1,748.15,891.9,732.7,HDBFS
2025-09-26,765.0,778.4,754.35,755.85,891.9,732.7,HDBFS
2025-09-25,772.0,775.0,765.5,767.1,891.9,732.7,HDBFS
2025-09-24,776.0,781.0,771.05,772.9,891.9,732.7,HDBFS
2025-09-23,780.05,782.4,773.3,774.6,891.9,732.7,HDBFS
2025-09-22,783.0,788.0,776.25,780.2,891.9,732.7,HDBFS
2025-09-19,791.0,793.8,780.3,784.3,891.9,732.7,HDBFS
2025-09-18,791.0,799.95,788.1,791.1,891.9,732.7,HDBFS
2025-09-17,793.5,801.1,785.2,787.7,891.9,732.7,HDBFS
2025-09-16,788.0,796.8,787.5,793.05,891.9,732.7,HDBFS
2025-09-15,775.6,791.95,773.3,787.1,891.9,732.7,HDBFS
2025-09-12,786.15,787.25,773.0,775.4,891.9,732.7,HDBFS
2025-09-11,780.5,793.05,780.4,782.3,891.9,732.7,HDBFS
2025-09-10,785.0,789.5,776.1,784.7,891.9,732.7,HDBFS
2025-09-09,766.95,787.15,766.95,781.0,891.9,732.7,HDBFS
2025-09-08,774.95,774.95,764.05,766.3,891.9,732.7,HDBFS
2025-09-05,776.0,778.9,765.05,769.05,891.9,732.7,HDBFS
2025-09-04,783.0,785.85,772.0,773.3,891.9,732.7,HDBFS
2025-09-03,780.0,782.5,773.0,777.8,891.9,732.7,HDBFS
2025-09-02,780.5,787.9,770.55,777.55,891.9,732.7,HDBFS
2025-09-01,778.2,789.25,773.95,779.7,891.9,732.7,HDBFS
2025-08-29,781.95,788.4,776.25,778.2,891.9,732.7,HDBFS
2025-08-28,788.1,792.0,778.35,781.95,891.9,732.7,HDBFS
2025-08-26,796.0,801.5,784.2,790.05,891.9,732.7,HDBFS
2025-08-25,797.0,802.8,794.85,800.05,891.9,732.7,HDBFS
