DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,70.57,72.98,70.21,70.73,75.95,57.0,HDFCNEXT50
2025-10-20,70.44,71.09,70.32,70.57,75.95,57.0,HDFCNEXT50
2025-10-17,70.47,70.81,70.13,70.44,77.88,57.0,HDFCNEXT50
2025-10-16,70.38,70.55,70.09,70.46,77.88,57.0,HDFCNEXT50
2025-10-15,69.5,70.2,69.44,70.08,77.88,57.0,HDFCNEXT50
2025-10-14,69.59,69.99,69.13,69.43,77.88,57.0,HDFCNEXT50
2025-10-13,69.2,69.9,69.13,69.73,77.88,57.0,HDFCNEXT50
2025-10-10,69.84,70.1,69.45,69.88,78.9,57.0,HDFCNEXT50
2025-10-09,69.12,69.61,69.03,69.53,78.9,57.0,HDFCNEXT50
2025-10-08,69.98,69.98,69.14,69.3,78.9,57.0,HDFCNEXT50
2025-10-07,69.74,69.9,69.58,69.68,78.9,57.0,HDFCNEXT50
2025-10-06,69.41,69.84,69.19,69.6,78.9,57.0,HDFCNEXT50
2025-10-03,69.48,69.49,68.79,69.41,88.0,57.0,HDFCNEXT50
2025-10-01,69.25,69.33,68.75,69.21,88.0,57.0,HDFCNEXT50
2025-09-30,69.27,69.5,68.68,69.01,88.0,57.0,HDFCNEXT50
2025-09-29,68.56,69.39,68.36,68.93,88.0,57.0,HDFCNEXT50
2025-09-26,69.73,69.78,68.19,68.57,88.0,57.0,HDFCNEXT50
2025-09-25,70.24,70.34,69.24,69.39,88.0,57.0,HDFCNEXT50
2025-09-24,70.9,71.57,70.0,70.24,88.0,57.0,HDFCNEXT50
2025-09-23,69.43,73.0,69.43,70.92,88.0,57.0,HDFCNEXT50
2025-09-22,70.88,71.57,69.62,71.22,88.0,57.0,HDFCNEXT50
2025-09-19,70.88,70.98,70.61,70.8,88.0,57.0,HDFCNEXT50
2025-09-18,70.6,70.65,70.06,70.58,88.0,57.0,HDFCNEXT50
