DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,27.43,27.43,27.13,27.17,29.0,21.15,HDFCNIF100
2025-10-21,27.21,27.7,27.17,27.3,29.0,21.15,HDFCNIF100
2025-10-20,26.98,27.28,26.98,27.17,29.0,21.15,HDFCNIF100
2025-10-17,26.82,27.23,26.7,26.97,29.0,21.15,HDFCNIF100
2025-10-16,26.71,27.0,26.71,26.95,29.0,21.15,HDFCNIF100
2025-10-15,26.3,26.79,26.3,26.66,29.0,21.15,HDFCNIF100
2025-10-14,26.63,26.8,26.2,26.43,29.0,21.15,HDFCNIF100
2025-10-13,26.61,26.63,26.44,26.5,29.0,21.15,HDFCNIF100
2025-10-10,26.58,26.7,26.41,26.56,29.1,21.15,HDFCNIF100
2025-10-09,26.28,26.75,26.28,26.48,29.1,21.15,HDFCNIF100
2025-10-08,26.64,26.86,26.21,26.41,29.1,21.15,HDFCNIF100
2025-10-07,27.27,27.27,26.13,26.51,29.1,21.15,HDFCNIF100
2025-10-06,26.57,26.58,25.85,26.48,29.1,21.15,HDFCNIF100
2025-10-03,26.26,26.35,26.09,26.26,29.1,21.15,HDFCNIF100
2025-10-01,25.38,26.39,25.38,26.26,29.1,21.15,HDFCNIF100
2025-09-30,26.15,26.17,25.93,26.04,29.1,21.15,HDFCNIF100
2025-09-29,26.17,26.42,25.88,26.02,29.1,21.15,HDFCNIF100
2025-09-26,26.63,26.63,25.93,26.03,29.1,21.15,HDFCNIF100
2025-09-25,26.36,26.56,26.21,26.31,29.1,21.15,HDFCNIF100
2025-09-24,26.78,26.78,26.37,26.49,29.1,21.15,HDFCNIF100
2025-09-23,26.48,26.74,26.25,26.65,29.1,21.15,HDFCNIF100
2025-09-22,26.06,27.01,26.06,26.63,29.1,21.15,HDFCNIF100
2025-09-19,29.0,29.0,25.8,26.73,29.1,21.15,HDFCNIF100
2025-09-18,26.86,26.88,26.67,26.75,29.1,21.15,HDFCNIF100
2025-09-17,26.61,26.78,26.51,26.74,29.1,21.15,HDFCNIF100
2025-09-16,26.72,27.08,26.42,26.61,29.1,21.15,HDFCNIF100
2025-09-15,26.53,26.56,26.37,26.37,29.1,21.15,HDFCNIF100
2025-09-12,26.36,26.55,26.36,26.4,29.1,21.15,HDFCNIF100
2025-09-11,25.5,26.69,25.5,26.42,29.1,21.15,HDFCNIF100
2025-09-10,26.26,26.39,25.82,26.27,29.1,21.15,HDFCNIF100
2025-09-09,26.3,26.3,26.09,26.13,29.1,21.15,HDFCNIF100
2025-09-08,26.7,26.7,26.03,26.17,29.1,21.15,HDFCNIF100
2025-09-05,26.52,26.52,25.91,26.02,29.1,21.15,HDFCNIF100
2025-09-04,26.64,26.64,26.08,26.1,29.1,21.15,HDFCNIF100
2025-09-03,26.26,26.26,25.78,26.11,29.1,21.15,HDFCNIF100
2025-09-02,25.9,26.13,25.84,25.95,29.1,21.15,HDFCNIF100
2025-09-01,25.76,26.13,25.51,25.96,29.1,21.15,HDFCNIF100
2025-08-29,25.81,26.07,25.74,25.76,29.1,21.15,HDFCNIF100
2025-08-28,26.14,26.14,25.75,25.8,29.1,21.15,HDFCNIF100
2025-08-26,26.37,26.8,25.84,26.01,29.1,21.15,HDFCNIF100
2025-08-25,25.6,26.66,25.6,26.36,29.1,21.15,HDFCNIF100
2025-08-22,26.69,26.69,25.98,26.26,29.1,21.15,HDFCNIF100
2025-08-21,26.38,26.5,26.34,26.39,29.1,21.15,HDFCNIF100
2025-08-20,26.23,26.44,26.22,26.37,29.1,21.15,HDFCNIF100
2025-08-19,26.85,27.27,22.0,26.28,29.1,21.15,HDFCNIF100
2025-08-18,25.98,26.45,25.92,26.2,29.1,21.15,HDFCNIF100
2025-08-14,26.06,26.15,25.84,25.98,29.1,21.15,HDFCNIF100
2025-08-13,25.78,26.03,25.78,25.94,29.1,21.15,HDFCNIF100
2025-08-12,26.49,26.49,25.75,25.79,29.1,21.15,HDFCNIF100
2025-08-11,25.95,25.95,25.63,25.85,29.1,21.15,HDFCNIF100
2025-08-08,25.87,25.9,25.63,25.67,29.1,21.15,HDFCNIF100
2025-08-07,25.12,25.96,25.12,25.87,29.1,21.15,HDFCNIF100
2025-08-06,26.25,26.25,25.71,25.77,29.1,21.15,HDFCNIF100
2025-08-05,26.73,26.73,25.82,25.93,29.1,21.15,HDFCNIF100
2025-08-04,26.07,26.07,25.8,25.95,29.1,21.15,HDFCNIF100
2025-08-01,26.27,26.27,25.69,25.8,29.1,21.15,HDFCNIF100
2025-07-31,26.26,26.26,25.58,26.08,29.1,21.15,HDFCNIF100
2025-07-30,26.14,26.24,26.04,26.13,29.1,21.15,HDFCNIF100
2025-07-29,26.27,26.27,25.9,26.14,29.1,21.15,HDFCNIF100
2025-07-28,26.24,26.24,25.89,25.98,29.1,21.15,HDFCNIF100
2025-07-25,26.49,26.49,26.05,26.11,29.1,21.15,HDFCNIF100
2025-07-24,26.64,26.64,26.29,26.36,29.1,21.15,HDFCNIF100
2025-07-23,26.72,26.73,26.25,26.5,29.1,21.15,HDFCNIF100
2025-07-22,26.38,26.57,26.28,26.33,29.1,21.15,HDFCNIF100
2025-07-21,26.61,26.71,26.22,26.37,29.1,21.15,HDFCNIF100
2025-07-18,26.6,26.6,26.19,26.32,29.1,21.15,HDFCNIF100
2025-07-17,26.42,26.83,26.42,26.47,29.1,21.15,HDFCNIF100
2025-07-16,26.75,26.79,26.19,26.56,29.1,21.15,HDFCNIF100
2025-07-15,26.68,26.79,26.01,26.62,29.1,21.15,HDFCNIF100
2025-07-14,26.57,26.72,26.17,26.35,29.1,21.15,HDFCNIF100
2025-07-11,25.98,27.18,25.98,26.44,29.1,21.15,HDFCNIF100
2025-07-10,26.88,27.08,26.65,26.65,29.1,21.15,HDFCNIF100
2025-07-09,26.08,27.06,26.08,26.75,29.1,21.15,HDFCNIF100
2025-07-08,27.0,27.0,26.65,26.75,29.1,21.15,HDFCNIF100
2025-07-07,27.38,27.38,26.65,26.72,29.1,21.15,HDFCNIF100
2025-07-04,27.04,27.04,26.5,26.72,29.1,21.15,HDFCNIF100
2025-07-03,26.77,26.9,26.57,26.66,29.1,21.15,HDFCNIF100
2025-07-02,26.6,27.08,26.13,26.76,29.1,21.15,HDFCNIF100
2025-07-01,26.9,27.14,26.68,26.8,29.1,21.15,HDFCNIF100
2025-06-30,27.0,27.19,26.53,26.78,29.1,21.15,HDFCNIF100
2025-06-27,26.66,26.94,26.21,26.82,29.1,21.15,HDFCNIF100
2025-06-26,26.38,26.7,26.35,26.66,29.1,21.15,HDFCNIF100
2025-06-25,26.15,26.58,26.06,26.39,29.1,21.15,HDFCNIF100
2025-06-24,26.43,26.6,26.17,26.28,29.1,21.15,HDFCNIF100
2025-06-23,26.61,26.62,25.76,26.17,29.1,21.15,HDFCNIF100
2025-06-20,25.88,26.33,25.84,26.22,29.1,21.15,HDFCNIF100
2025-06-19,26.15,26.3,25.69,25.88,29.1,21.15,HDFCNIF100
2025-06-18,26.06,26.19,25.89,26.02,29.1,21.15,HDFCNIF100
2025-06-17,26.43,26.54,25.91,26.06,29.1,21.15,HDFCNIF100
2025-06-16,26.07,26.5,25.7,26.3,29.1,21.15,HDFCNIF100
2025-06-13,25.99,26.01,25.63,25.95,29.1,21.15,HDFCNIF100
2025-06-12,26.44,26.61,26.06,26.16,29.1,21.15,HDFCNIF100
2025-06-11,26.64,26.64,26.17,26.44,29.1,21.15,HDFCNIF100
2025-06-10,26.47,26.55,26.16,26.41,29.1,21.15,HDFCNIF100
2025-06-09,26.2,26.61,26.15,26.34,29.1,21.15,HDFCNIF100
2025-06-06,26.03,26.36,25.82,26.2,29.1,21.15,HDFCNIF100
2025-06-05,25.8,26.15,25.8,25.91,29.1,21.15,HDFCNIF100
2025-06-04,25.9,25.99,25.71,25.87,29.1,21.15,HDFCNIF100
2025-06-03,25.91,26.06,25.7,25.79,29.1,21.15,HDFCNIF100
2025-06-02,26.19,26.19,25.6,25.79,29.1,21.15,HDFCNIF100
2025-05-30,26.13,26.28,25.66,25.89,29.1,21.15,HDFCNIF100
2025-05-29,26.37,26.37,25.84,26.0,29.1,21.15,HDFCNIF100
2025-05-28,26.33,26.33,25.87,25.95,29.1,21.15,HDFCNIF100
2025-05-27,26.16,26.25,25.9,26.02,29.1,21.15,HDFCNIF100
2025-05-26,25.93,26.2,25.93,26.16,29.1,21.15,HDFCNIF100
2025-05-23,26.05,26.06,25.56,25.93,29.1,21.15,HDFCNIF100
2025-05-22,25.79,26.16,25.6,25.7,29.1,21.15,HDFCNIF100
2025-05-21,25.74,26.0,25.5,25.91,29.1,21.15,HDFCNIF100
2025-05-20,25.86,26.37,25.72,25.74,29.1,21.15,HDFCNIF100
2025-05-19,26.22,26.4,25.73,26.09,29.1,21.15,HDFCNIF100
2025-05-16,26.22,26.22,26.03,26.09,29.1,21.15,HDFCNIF100
2025-05-15,25.25,26.16,21.15,26.08,29.1,21.15,HDFCNIF100
2025-05-14,25.5,26.0,25.5,25.76,29.1,22.23,HDFCNIF100
2025-05-13,25.89,26.03,25.58,25.63,29.1,22.23,HDFCNIF100
2025-05-12,25.76,25.94,25.06,25.89,29.1,22.23,HDFCNIF100
2025-05-09,25.03,25.09,24.76,24.94,29.1,22.23,HDFCNIF100
2025-05-08,25.74,25.74,25.12,25.16,29.1,22.23,HDFCNIF100
2025-05-07,24.95,25.74,24.85,25.45,29.1,22.23,HDFCNIF100
2025-05-06,25.5,25.78,25.15,25.34,29.1,22.23,HDFCNIF100
2025-05-05,25.3,25.6,25.21,25.5,29.1,22.23,HDFCNIF100
2025-05-02,25.46,25.65,25.22,25.29,29.1,22.23,HDFCNIF100
2025-04-30,25.49,25.5,25.24,25.34,29.1,22.23,HDFCNIF100
2025-04-29,25.76,25.77,25.26,25.37,29.1,22.23,HDFCNIF100
2025-04-28,25.24,25.5,25.06,25.37,29.1,22.23,HDFCNIF100
2025-04-25,25.64,25.69,24.86,25.12,29.1,22.23,HDFCNIF100
2025-04-24,25.44,25.5,25.3,25.36,29.1,22.23,HDFCNIF100
2025-04-23,25.73,25.73,25.23,25.44,29.1,22.23,HDFCNIF100
2025-04-22,25.22,25.64,25.01,25.23,29.1,22.23,HDFCNIF100
2025-04-21,24.85,25.34,24.55,25.22,29.1,22.23,HDFCNIF100
2025-04-17,24.71,25.01,24.4,24.85,29.1,22.23,HDFCNIF100
2025-04-16,24.43,24.77,24.31,24.48,29.1,22.23,HDFCNIF100
2025-04-15,23.93,24.78,23.93,24.43,29.1,22.23,HDFCNIF100
2025-04-11,23.54,24.48,23.54,23.92,29.1,22.23,HDFCNIF100
2025-04-09,23.74,23.75,23.31,23.5,29.1,22.23,HDFCNIF100
2025-04-08,23.36,23.93,23.23,23.58,29.1,22.23,HDFCNIF100
2025-04-07,23.87,23.88,22.23,23.14,29.1,22.23,HDFCNIF100
2025-04-04,24.39,24.99,23.6,23.87,29.1,22.8,HDFCNIF100
2025-04-03,24.42,24.42,24.23,24.35,29.1,22.8,HDFCNIF100
2025-04-02,24.16,24.64,24.12,24.42,29.1,22.8,HDFCNIF100
2025-04-01,24.77,24.77,24.14,24.24,29.1,22.8,HDFCNIF100
2025-03-28,24.59,25.03,24.44,24.55,29.1,22.78,HDFCNIF100
2025-03-27,24.46,24.98,24.03,24.59,29.1,22.78,HDFCNIF100
2025-03-26,24.81,24.87,24.23,24.46,29.1,22.78,HDFCNIF100
2025-03-25,25.16,25.16,24.5,24.6,29.1,22.78,HDFCNIF100
2025-03-24,24.67,24.76,24.15,24.67,29.1,22.78,HDFCNIF100
2025-03-21,24.36,24.49,23.63,24.36,29.1,22.41,HDFCNIF100
2025-03-20,24.19,24.48,24.02,24.24,29.1,22.41,HDFCNIF100
2025-03-19,23.8,24.07,23.8,24.01,29.1,22.41,HDFCNIF100
