DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,29.5,29.5,28.44,28.93,29.5,23.66,HDFCPVTBAN
2025-10-20,28.78,29.07,28.24,28.85,29.39,23.66,HDFCPVTBAN
2025-10-17,28.78,28.82,28.41,28.63,29.39,23.66,HDFCPVTBAN
2025-10-16,28.43,28.6,28.27,28.55,29.39,23.66,HDFCPVTBAN
2025-10-15,28.25,28.35,28.03,28.21,29.39,23.66,HDFCPVTBAN
2025-10-14,28.49,28.49,28.02,28.09,29.39,23.66,HDFCPVTBAN
2025-10-13,28.87,28.87,25.13,28.28,29.39,23.66,HDFCPVTBAN
2025-10-10,28.01,28.31,27.92,28.17,29.39,23.66,HDFCPVTBAN
2025-10-09,27.95,28.09,27.82,27.93,29.39,23.66,HDFCPVTBAN
2025-10-08,28.01,28.08,27.78,27.82,29.39,23.66,HDFCPVTBAN
2025-10-07,28.59,28.59,27.59,27.88,29.39,23.66,HDFCPVTBAN
2025-10-06,27.29,28.2,27.29,27.9,29.39,23.66,HDFCPVTBAN
2025-10-03,27.42,28.0,27.42,27.58,29.39,23.66,HDFCPVTBAN
2025-10-01,26.59,27.59,26.59,27.42,29.39,23.66,HDFCPVTBAN
2025-09-30,27.33,27.34,26.45,26.84,29.39,23.66,HDFCPVTBAN
2025-09-29,27.66,27.66,26.8,26.87,29.39,23.66,HDFCPVTBAN
2025-09-26,27.3,27.3,26.91,26.99,29.39,23.66,HDFCPVTBAN
2025-09-25,28.01,28.01,27.18,27.21,29.39,23.66,HDFCPVTBAN
2025-09-24,26.75,27.6,26.75,27.33,29.39,23.66,HDFCPVTBAN
2025-09-23,27.58,27.58,27.19,27.44,29.39,23.66,HDFCPVTBAN
2025-09-22,28.02,28.05,27.31,27.33,29.39,23.66,HDFCPVTBAN
2025-09-19,28.24,28.24,27.36,27.47,29.39,23.66,HDFCPVTBAN
2025-09-18,26.78,28.05,26.78,27.56,29.39,23.66,HDFCPVTBAN
2025-09-17,28.08,28.08,27.4,27.47,29.39,23.66,HDFCPVTBAN
2025-09-16,27.86,28.17,27.15,27.4,29.39,23.66,HDFCPVTBAN
2025-09-15,27.84,27.84,27.09,27.19,29.39,23.66,HDFCPVTBAN
2025-09-12,26.41,27.47,26.41,27.17,29.39,23.66,HDFCPVTBAN
2025-09-11,27.01,27.16,26.9,27.09,29.39,23.66,HDFCPVTBAN
2025-09-10,27.02,27.04,26.67,26.97,29.39,23.66,HDFCPVTBAN
2025-09-09,27.1,27.48,26.63,26.75,29.39,23.66,HDFCPVTBAN
2025-09-08,26.92,27.09,26.7,26.81,29.39,23.66,HDFCPVTBAN
2025-09-05,26.32,27.07,26.32,26.79,29.39,23.66,HDFCPVTBAN
2025-09-04,27.4,27.4,26.15,26.73,29.39,23.66,HDFCPVTBAN
2025-09-03,26.2,27.0,26.2,26.74,29.39,23.66,HDFCPVTBAN
2025-09-02,27.42,27.42,26.09,26.58,29.39,23.66,HDFCPVTBAN
2025-09-01,27.22,27.22,26.13,26.76,29.39,23.66,HDFCPVTBAN
2025-08-29,26.63,26.77,26.48,26.56,29.39,23.66,HDFCPVTBAN
2025-08-28,27.0,27.04,26.51,26.55,29.39,23.66,HDFCPVTBAN
2025-08-26,27.29,27.29,26.8,26.83,29.39,23.66,HDFCPVTBAN
2025-08-25,27.29,27.74,27.06,27.2,29.39,23.66,HDFCPVTBAN
2025-08-22,28.15,28.15,27.17,27.19,29.39,23.66,HDFCPVTBAN
2025-08-21,28.12,28.12,27.27,27.47,29.39,23.66,HDFCPVTBAN
2025-08-20,27.5,27.74,27.26,27.44,29.39,23.66,HDFCPVTBAN
2025-08-19,28.04,28.04,27.27,27.5,29.39,23.66,HDFCPVTBAN
2025-08-18,27.71,27.79,27.27,27.36,29.39,23.66,HDFCPVTBAN
2025-08-14,27.78,27.78,26.61,27.14,29.39,23.66,HDFCPVTBAN
2025-08-13,27.23,27.26,26.05,27.11,29.39,23.66,HDFCPVTBAN
2025-08-12,27.86,27.86,27.01,27.04,29.39,23.66,HDFCPVTBAN
2025-08-11,26.5,27.23,26.45,27.19,29.39,23.66,HDFCPVTBAN
2025-08-08,26.55,27.45,26.55,26.98,29.39,23.66,HDFCPVTBAN
2025-08-07,27.48,27.48,26.93,27.24,29.39,23.66,HDFCPVTBAN
2025-08-06,28.07,28.07,27.05,27.29,29.39,23.66,HDFCPVTBAN
2025-08-05,27.38,27.75,27.13,27.39,29.39,23.66,HDFCPVTBAN
2025-08-04,26.6,27.62,26.6,27.38,29.39,23.66,HDFCPVTBAN
2025-08-01,28.19,28.19,27.17,27.29,29.39,23.66,HDFCPVTBAN
2025-07-31,26.87,27.69,26.87,27.51,29.39,23.66,HDFCPVTBAN
2025-07-30,28.24,28.24,27.25,27.56,29.39,23.66,HDFCPVTBAN
2025-07-29,27.57,27.79,27.37,27.56,29.39,23.66,HDFCPVTBAN
2025-07-28,28.96,28.96,27.5,27.57,29.39,23.66,HDFCPVTBAN
2025-07-25,28.64,28.72,27.93,28.26,29.39,23.66,HDFCPVTBAN
2025-07-24,29.11,29.37,28.14,28.31,29.39,23.66,HDFCPVTBAN
2025-07-23,28.98,28.98,28.19,28.4,29.39,23.66,HDFCPVTBAN
2025-07-22,28.98,29.27,28.18,28.28,29.39,23.66,HDFCPVTBAN
2025-07-21,28.21,28.39,27.91,28.28,29.39,23.66,HDFCPVTBAN
2025-07-18,28.96,28.96,27.87,27.97,29.39,23.66,HDFCPVTBAN
2025-07-17,28.71,28.72,28.34,28.39,29.39,23.66,HDFCPVTBAN
2025-07-16,28.59,28.59,28.36,28.39,29.39,23.66,HDFCPVTBAN
2025-07-15,28.38,28.64,28.38,28.46,29.39,23.66,HDFCPVTBAN
2025-07-14,28.77,28.77,28.03,28.38,29.39,23.66,HDFCPVTBAN
2025-07-11,28.6,28.61,28.34,28.47,29.39,23.66,HDFCPVTBAN
2025-07-10,27.84,28.72,27.84,28.46,29.39,23.66,HDFCPVTBAN
2025-07-09,28.56,28.88,28.45,28.56,29.39,23.66,HDFCPVTBAN
2025-07-08,28.52,28.69,28.52,28.57,29.39,23.66,HDFCPVTBAN
2025-07-07,28.41,28.49,28.29,28.38,29.39,23.66,HDFCPVTBAN
2025-07-04,29.11,29.11,28.16,28.38,29.39,23.66,HDFCPVTBAN
2025-07-03,28.52,28.55,28.32,28.4,29.39,23.66,HDFCPVTBAN
2025-07-02,28.91,28.92,28.36,28.42,29.39,23.66,HDFCPVTBAN
2025-07-01,28.76,28.76,28.55,28.61,29.39,23.66,HDFCPVTBAN
2025-06-30,29.12,29.12,28.56,28.62,29.39,23.66,HDFCPVTBAN
2025-06-27,29.39,29.39,28.5,28.85,29.39,23.66,HDFCPVTBAN
2025-06-26,28.53,28.81,28.06,28.68,28.81,23.66,HDFCPVTBAN
2025-06-25,28.77,28.77,28.28,28.39,28.79,23.66,HDFCPVTBAN
2025-06-24,28.38,28.6,28.16,28.43,28.79,23.66,HDFCPVTBAN
2025-06-23,28.0,28.33,27.93,28.16,28.79,23.66,HDFCPVTBAN
2025-06-20,27.92,28.3,27.92,28.2,28.79,23.66,HDFCPVTBAN
2025-06-19,28.2,28.2,27.92,27.92,28.79,23.66,HDFCPVTBAN
2025-06-18,28.14,28.14,27.87,28.03,28.79,23.66,HDFCPVTBAN
2025-06-17,28.19,28.19,27.88,27.9,28.79,23.66,HDFCPVTBAN
2025-06-16,27.54,28.05,27.54,28.03,28.79,23.66,HDFCPVTBAN
2025-06-13,28.1,28.1,27.43,27.81,28.79,23.66,HDFCPVTBAN
2025-06-12,28.25,28.47,27.98,28.08,28.79,23.66,HDFCPVTBAN
