DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,9.5,9.74,9.2,9.31,17.33,8.66,HEADSUP
2025-11-28,9.5,9.77,9.14,9.3,17.33,8.66,HEADSUP
2025-11-27,10.21,10.21,8.67,9.35,17.33,8.66,HEADSUP
2025-11-26,10.5,10.82,10.02,10.2,17.33,8.66,HEADSUP
2025-11-25,10.02,10.9,9.38,10.52,17.33,8.66,HEADSUP
2025-11-24,10.67,10.67,9.65,10.07,17.33,8.66,HEADSUP
2025-11-21,10.35,10.73,9.96,10.19,17.33,8.66,HEADSUP
2025-11-20,10.35,10.35,10.1,10.28,17.33,8.66,HEADSUP
2025-11-19,10.0,10.44,9.87,10.3,17.33,8.66,HEADSUP
2025-11-18,9.97,10.16,9.36,9.98,17.33,8.66,HEADSUP
2025-11-17,10.01,10.7,9.9,9.97,17.33,8.66,HEADSUP
2025-11-14,10.0,10.41,9.71,10.08,17.33,8.66,HEADSUP
2025-11-13,10.26,10.35,10.11,10.17,17.33,8.66,HEADSUP
2025-11-12,10.78,10.79,10.12,10.21,17.33,8.66,HEADSUP
2025-11-11,10.85,10.85,10.2,10.4,17.33,8.66,HEADSUP
2025-11-10,10.76,10.9,10.4,10.64,17.33,8.66,HEADSUP
2025-11-07,10.16,10.48,10.16,10.26,17.33,8.66,HEADSUP
2025-11-06,10.89,10.89,10.36,10.42,17.33,8.66,HEADSUP
2025-11-04,10.9,10.96,10.5,10.64,17.33,8.66,HEADSUP
2025-11-03,10.8,11.0,10.6,10.73,17.33,8.66,HEADSUP
2025-10-31,10.48,11.24,10.2,10.8,17.33,8.66,HEADSUP
2025-10-30,10.44,10.59,10.36,10.48,17.33,8.66,HEADSUP
2025-10-29,10.47,10.65,10.35,10.44,17.33,8.66,HEADSUP
2025-10-28,10.4,10.5,10.33,10.48,17.33,8.66,HEADSUP
2025-10-27,10.51,10.56,10.21,10.33,17.33,8.66,HEADSUP
2025-10-24,10.46,10.6,10.34,10.48,17.33,8.66,HEADSUP
2025-10-23,10.32,10.56,10.32,10.43,17.33,8.66,HEADSUP
2025-10-21,10.51,10.58,9.67,10.39,17.33,8.66,HEADSUP
2025-10-20,10.53,10.53,10.28,10.31,17.45,8.66,HEADSUP
2025-10-17,10.42,10.58,10.3,10.43,17.45,8.66,HEADSUP
2025-10-16,10.57,10.7,10.2,10.34,17.45,8.66,HEADSUP
2025-10-15,10.45,10.75,10.22,10.38,17.45,8.66,HEADSUP
2025-10-14,10.74,11.0,10.23,10.3,17.45,8.66,HEADSUP
2025-10-13,10.9,11.4,10.6,10.74,17.45,8.66,HEADSUP
2025-10-10,10.51,11.09,10.51,10.85,17.45,8.66,HEADSUP
2025-10-09,12.5,12.95,10.2,10.64,17.45,8.66,HEADSUP
2025-10-08,10.8,12.8,10.72,11.72,17.45,8.66,HEADSUP
2025-10-07,10.89,10.89,10.37,10.69,17.45,8.66,HEADSUP
2025-10-06,11.0,11.09,10.18,10.41,17.45,8.66,HEADSUP
2025-10-03,10.61,10.94,10.61,10.79,17.45,8.66,HEADSUP
2025-10-01,10.62,10.95,10.42,10.64,17.45,8.66,HEADSUP
2025-09-30,11.37,11.37,10.5,10.67,17.45,8.66,HEADSUP
2025-09-29,10.76,11.8,10.36,11.04,17.45,8.66,HEADSUP
2025-09-26,10.99,11.28,10.72,10.98,17.45,8.66,HEADSUP
2025-09-25,11.1,11.28,10.6,10.78,17.45,8.66,HEADSUP
2025-09-24,10.77,11.2,10.77,11.1,17.45,8.66,HEADSUP
2025-09-23,10.92,11.49,10.25,10.77,17.45,8.66,HEADSUP
2025-09-22,10.5,11.0,10.5,10.92,17.45,8.66,HEADSUP
2025-09-19,11.17,11.17,10.5,10.56,17.45,8.66,HEADSUP
2025-09-18,11.27,11.4,10.61,10.72,17.45,8.66,HEADSUP
2025-09-17,11.3,11.39,10.7,10.98,17.45,8.66,HEADSUP
2025-09-16,11.01,11.4,10.67,11.04,17.45,8.66,HEADSUP
2025-09-15,11.2,11.76,10.38,11.11,17.8,8.66,HEADSUP
2025-09-12,11.18,11.18,10.56,11.12,17.8,8.66,HEADSUP
2025-09-11,10.99,11.15,10.76,11.05,17.8,8.66,HEADSUP
2025-09-10,10.5,11.25,10.5,10.77,17.8,8.66,HEADSUP
2025-09-09,10.85,10.85,10.01,10.71,17.8,8.66,HEADSUP
2025-09-08,10.98,10.98,10.31,10.8,17.85,8.66,HEADSUP
2025-09-05,10.57,10.73,10.57,10.68,17.85,8.66,HEADSUP
2025-09-04,10.26,10.89,9.8,10.3,18.0,8.66,HEADSUP
2025-09-03,10.2,10.8,10.2,10.57,18.0,8.66,HEADSUP
2025-09-02,10.21,10.93,10.05,10.58,18.0,8.66,HEADSUP
2025-09-01,10.45,10.7,10.14,10.33,18.95,8.66,HEADSUP
2025-08-29,10.48,10.6,10.01,10.59,19.2,8.66,HEADSUP
2025-08-28,10.5,10.53,9.71,10.49,19.4,8.66,HEADSUP
2025-08-26,10.55,10.7,10.1,10.46,19.4,8.66,HEADSUP
2025-08-25,10.15,10.64,10.15,10.28,19.4,8.66,HEADSUP
2025-08-22,10.21,10.73,10.21,10.36,19.4,8.66,HEADSUP
2025-08-21,10.38,10.69,10.34,10.64,19.4,8.66,HEADSUP
2025-08-20,10.79,10.86,10.02,10.37,19.85,8.66,HEADSUP
2025-08-19,10.57,10.7,10.29,10.67,19.85,8.66,HEADSUP
2025-08-18,10.5,10.72,10.41,10.52,19.85,8.66,HEADSUP
2025-08-14,10.31,10.79,10.17,10.65,22.5,8.66,HEADSUP
2025-08-13,10.18,10.65,9.26,10.44,22.5,8.66,HEADSUP
2025-08-12,10.11,10.32,10.02,10.15,22.5,8.66,HEADSUP
2025-08-11,10.02,10.18,9.97,10.07,22.5,8.66,HEADSUP
2025-08-08,10.24,10.25,9.9,10.02,22.5,8.66,HEADSUP
2025-08-07,10.2,10.92,9.65,10.11,22.5,8.66,HEADSUP
2025-08-06,11.2,11.28,10.31,10.44,22.5,8.66,HEADSUP
2025-08-05,10.75,10.75,10.75,10.75,22.5,8.66,HEADSUP
2025-08-04,10.24,10.24,10.24,10.24,22.5,8.66,HEADSUP
2025-08-01,9.69,9.96,9.4,9.76,22.5,8.66,HEADSUP
2025-07-31,9.6,9.77,9.36,9.49,22.5,8.66,HEADSUP
2025-07-30,9.44,9.47,9.21,9.36,22.5,8.66,HEADSUP
2025-07-29,9.2,9.56,8.9,9.22,22.5,8.66,HEADSUP
2025-07-28,9.1,9.49,9.1,9.21,22.5,8.66,HEADSUP
2025-07-25,9.39,9.58,9.2,9.23,22.5,8.66,HEADSUP
2025-07-24,9.75,9.88,9.4,9.44,22.5,8.66,HEADSUP
