DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,485.0,493.65,483.0,491.4,659.0,352.1,HERITGFOOD
2025-10-15,485.6,499.5,470.0,485.85,659.0,352.1,HERITGFOOD
2025-10-14,494.0,494.4,480.0,484.4,659.0,352.1,HERITGFOOD
2025-10-13,488.0,498.15,485.6,495.9,659.0,352.1,HERITGFOOD
2025-10-10,482.8,494.7,479.4,490.6,659.0,352.1,HERITGFOOD
2025-10-09,481.95,487.5,480.8,485.0,659.0,352.1,HERITGFOOD
2025-10-08,489.5,489.9,479.2,480.45,659.0,352.1,HERITGFOOD
2025-10-07,499.05,499.1,484.1,485.6,659.0,352.1,HERITGFOOD
2025-10-06,495.0,503.7,494.15,499.05,659.0,352.1,HERITGFOOD
2025-10-03,490.0,502.45,483.35,499.65,659.0,352.1,HERITGFOOD
2025-10-01,480.05,490.95,479.65,488.7,659.0,352.1,HERITGFOOD
2025-09-30,482.0,484.95,478.2,482.6,659.0,352.1,HERITGFOOD
2025-09-29,485.1,487.55,475.1,480.05,659.0,352.1,HERITGFOOD
2025-09-26,493.3,493.3,475.6,484.3,659.0,352.1,HERITGFOOD
2025-09-25,518.05,518.45,491.55,493.95,659.0,352.1,HERITGFOOD
2025-09-24,537.9,538.25,515.8,520.15,659.0,352.1,HERITGFOOD
2025-09-23,532.4,536.0,524.1,533.45,659.0,352.1,HERITGFOOD
2025-09-22,526.0,536.0,521.5,531.75,659.0,352.1,HERITGFOOD
2025-09-19,530.8,534.55,517.0,524.55,659.0,352.1,HERITGFOOD
2025-09-18,498.65,540.0,496.15,527.55,659.0,352.1,HERITGFOOD
2025-09-17,490.45,493.2,485.0,488.1,659.0,352.1,HERITGFOOD
2025-09-16,489.35,494.0,486.1,488.65,659.0,352.1,HERITGFOOD
2025-09-15,485.0,499.5,482.7,489.25,659.0,352.1,HERITGFOOD
2025-09-12,492.0,494.8,486.1,487.2,659.0,352.1,HERITGFOOD
2025-09-11,486.5,496.25,483.5,485.75,659.0,352.1,HERITGFOOD
2025-09-10,483.0,485.0,480.0,483.9,659.0,352.1,HERITGFOOD
2025-09-09,488.3,489.9,478.5,479.9,659.0,352.1,HERITGFOOD
2025-09-08,476.8,492.35,472.05,487.1,659.0,352.1,HERITGFOOD
2025-09-05,479.9,483.0,470.2,471.85,659.0,352.1,HERITGFOOD
2025-09-04,510.0,510.0,473.0,477.85,659.0,352.1,HERITGFOOD
2025-09-03,484.9,500.0,481.0,490.65,659.0,352.1,HERITGFOOD
2025-09-02,470.0,490.0,467.0,483.3,659.0,352.1,HERITGFOOD
2025-09-01,461.05,471.3,456.3,470.0,659.0,352.1,HERITGFOOD
2025-08-29,463.15,468.7,460.3,461.5,659.0,352.1,HERITGFOOD
2025-08-28,468.95,469.0,458.45,463.15,659.0,352.1,HERITGFOOD
2025-08-26,471.0,471.3,462.5,466.1,659.0,352.1,HERITGFOOD
2025-08-25,475.0,476.95,469.0,471.45,659.0,352.1,HERITGFOOD
2025-08-22,475.15,478.95,469.0,471.9,659.0,352.1,HERITGFOOD
2025-08-21,489.4,491.0,472.5,473.65,659.0,352.1,HERITGFOOD
2025-08-20,471.2,493.0,467.85,488.1,659.0,352.1,HERITGFOOD
2025-08-19,470.0,473.75,464.2,469.85,659.0,352.1,HERITGFOOD
2025-08-18,467.0,474.8,463.0,468.45,659.0,352.1,HERITGFOOD
2025-08-14,470.0,470.15,457.2,460.35,659.0,352.1,HERITGFOOD
2025-08-13,470.5,472.85,464.05,467.35,659.0,352.1,HERITGFOOD
2025-08-12,465.0,473.5,460.0,470.1,659.0,352.1,HERITGFOOD
2025-08-11,464.0,471.0,452.8,463.2,659.0,352.1,HERITGFOOD
2025-08-08,473.7,473.7,455.0,459.9,659.0,352.1,HERITGFOOD
2025-08-07,460.1,472.25,460.1,469.05,659.0,352.1,HERITGFOOD
2025-08-06,468.1,470.1,464.7,465.4,659.0,352.1,HERITGFOOD
2025-08-05,476.1,479.0,464.9,466.35,659.0,352.1,HERITGFOOD
2025-08-04,473.2,479.0,473.0,475.6,659.0,352.1,HERITGFOOD
2025-08-01,479.85,493.45,472.0,475.55,659.0,352.1,HERITGFOOD
2025-07-31,473.2,485.8,465.0,480.1,659.0,352.1,HERITGFOOD
2025-07-30,468.95,479.3,463.9,475.15,659.0,352.1,HERITGFOOD
2025-07-29,458.6,466.0,458.6,465.05,659.0,352.1,HERITGFOOD
2025-07-28,461.0,468.0,455.8,462.65,659.0,352.1,HERITGFOOD
2025-07-25,465.0,466.6,458.0,460.0,659.0,352.1,HERITGFOOD
2025-07-24,474.8,475.05,461.15,463.35,659.0,352.1,HERITGFOOD
2025-07-23,481.9,482.0,468.9,473.3,659.0,352.1,HERITGFOOD
2025-07-22,491.0,491.0,474.6,479.05,659.0,352.1,HERITGFOOD
2025-07-21,494.8,494.8,476.5,485.1,659.0,352.1,HERITGFOOD
2025-07-18,461.0,497.0,461.0,492.6,659.0,352.1,HERITGFOOD
2025-07-17,481.9,485.65,454.85,459.0,659.0,352.1,HERITGFOOD
2025-07-16,468.3,485.0,467.4,478.85,659.0,352.1,HERITGFOOD
2025-07-15,471.25,477.75,466.0,468.85,659.0,352.1,HERITGFOOD
2025-07-14,472.0,480.9,468.0,469.6,659.0,352.1,HERITGFOOD
2025-07-11,489.1,490.15,475.15,476.45,659.0,352.1,HERITGFOOD
2025-07-10,496.0,497.2,489.25,491.15,659.0,352.1,HERITGFOOD
2025-07-09,496.8,505.9,492.1,493.95,659.0,352.1,HERITGFOOD
2025-07-08,499.5,499.65,490.25,496.0,659.0,352.1,HERITGFOOD
2025-07-07,492.75,500.5,487.8,498.8,659.0,352.1,HERITGFOOD
2025-07-04,490.65,500.0,485.0,492.1,659.0,352.1,HERITGFOOD
2025-07-03,494.75,496.45,488.5,490.65,659.0,352.1,HERITGFOOD
2025-07-02,498.0,501.05,491.55,494.75,659.0,352.1,HERITGFOOD
2025-07-01,499.95,507.6,492.0,495.6,659.0,352.1,HERITGFOOD
2025-06-30,486.0,501.0,485.25,497.45,659.0,352.1,HERITGFOOD
2025-06-27,485.5,491.1,479.05,482.4,659.0,352.1,HERITGFOOD
2025-06-26,489.8,489.8,479.0,481.1,659.0,352.1,HERITGFOOD
2025-06-25,473.55,494.45,472.7,488.8,659.0,352.1,HERITGFOOD
2025-06-24,447.75,476.45,446.0,471.95,659.0,352.1,HERITGFOOD
2025-06-23,439.85,444.0,436.05,442.25,659.0,352.1,HERITGFOOD
2025-06-20,435.35,448.0,435.2,443.0,659.0,352.1,HERITGFOOD
2025-06-19,441.2,443.95,435.0,435.35,659.0,352.1,HERITGFOOD
2025-06-18,443.7,447.0,438.8,441.2,659.0,352.1,HERITGFOOD
2025-06-17,457.0,462.0,439.15,443.7,659.0,352.1,HERITGFOOD
2025-06-16,462.25,463.15,446.0,456.5,659.0,352.1,HERITGFOOD
2025-06-13,442.1,469.9,441.6,463.55,727.35,352.1,HERITGFOOD
2025-06-12,466.7,473.0,451.15,453.4,727.35,352.1,HERITGFOOD
2025-06-11,472.0,473.8,463.1,466.35,727.35,352.1,HERITGFOOD
2025-06-10,482.8,485.6,469.1,471.1,727.35,352.1,HERITGFOOD
2025-06-09,472.1,490.0,471.95,481.15,727.35,352.1,HERITGFOOD
2025-06-06,471.2,475.7,462.15,468.95,727.35,352.1,HERITGFOOD
