DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,1728.0,1730.0,1701.2,1723.4,2786.1,1242.95,HESTERBIO
2025-10-15,1720.3,1735.0,1717.0,1721.1,2786.1,1242.95,HESTERBIO
2025-10-14,1700.0,1736.7,1682.7,1720.4,2786.1,1242.95,HESTERBIO
2025-10-13,1741.8,1755.0,1687.0,1696.0,2786.1,1242.95,HESTERBIO
2025-10-10,1740.1,1763.9,1735.1,1741.8,2786.1,1242.95,HESTERBIO
2025-10-09,1768.4,1777.0,1750.0,1760.2,2786.1,1242.95,HESTERBIO
2025-10-08,1799.9,1799.9,1758.2,1763.6,2786.1,1242.95,HESTERBIO
2025-10-07,1811.8,1811.8,1765.3,1775.7,2786.1,1242.95,HESTERBIO
2025-10-06,1825.0,1826.0,1789.0,1793.9,2786.1,1242.95,HESTERBIO
2025-10-03,1900.0,1900.0,1820.0,1826.9,2786.1,1242.95,HESTERBIO
2025-10-01,1919.7,1919.7,1870.0,1875.1,2786.1,1242.95,HESTERBIO
2025-09-30,1900.8,1935.0,1862.0,1918.1,2786.1,1242.95,HESTERBIO
2025-09-29,1912.0,1935.8,1892.0,1919.4,2786.1,1242.95,HESTERBIO
2025-09-26,1949.4,1950.0,1895.0,1921.7,2786.1,1242.95,HESTERBIO
2025-09-25,1958.6,1967.9,1938.2,1953.0,2786.1,1242.95,HESTERBIO
2025-09-24,1979.6,1983.0,1950.0,1958.6,2786.1,1242.95,HESTERBIO
2025-09-23,2005.9,2005.9,1957.0,1978.1,2786.1,1242.95,HESTERBIO
2025-09-22,2021.2,2046.1,1971.7,1995.4,2786.1,1242.95,HESTERBIO
2025-09-19,2035.3,2050.0,2004.7,2021.2,2786.1,1242.95,HESTERBIO
2025-09-18,2051.0,2059.9,2024.1,2037.3,2786.1,1242.95,HESTERBIO
2025-09-17,2063.0,2066.1,2040.1,2051.8,2786.1,1242.95,HESTERBIO
2025-09-16,2025.2,2088.8,2010.0,2063.0,2786.1,1242.95,HESTERBIO
2025-09-15,2068.1,2083.0,2030.0,2041.8,2786.1,1242.95,HESTERBIO
2025-09-12,2124.1,2125.0,2073.4,2083.0,2786.1,1242.95,HESTERBIO
2025-09-11,2119.2,2171.0,2103.9,2117.7,2786.1,1242.95,HESTERBIO
2025-09-10,2138.9,2141.9,2086.2,2100.3,2786.1,1242.95,HESTERBIO
2025-09-09,2151.7,2178.0,2101.0,2117.7,2786.1,1242.95,HESTERBIO
2025-09-08,2159.0,2180.0,2120.0,2136.7,2786.1,1242.95,HESTERBIO
2025-09-05,2105.8,2170.0,2086.8,2128.9,2786.1,1242.95,HESTERBIO
2025-09-04,2047.9,2149.1,2047.9,2101.6,2786.1,1242.95,HESTERBIO
2025-09-03,2063.7,2080.7,2035.0,2044.0,2786.1,1242.95,HESTERBIO
2025-09-02,2064.1,2076.5,2043.8,2058.6,2786.1,1242.95,HESTERBIO
2025-09-01,2037.5,2057.9,2001.2,2031.6,2786.1,1242.95,HESTERBIO
2025-08-29,2050.8,2065.4,2025.0,2026.0,2786.1,1242.95,HESTERBIO
2025-08-28,2116.2,2116.2,2025.0,2030.5,2786.1,1242.95,HESTERBIO
2025-08-26,2125.0,2150.7,2101.6,2116.2,2786.1,1242.95,HESTERBIO
2025-08-25,1997.0,2172.0,1997.0,2131.6,2786.1,1242.95,HESTERBIO
2025-08-22,2031.0,2063.8,2003.0,2018.9,2786.1,1242.95,HESTERBIO
2025-08-21,2030.0,2070.0,2030.0,2045.1,2786.1,1242.95,HESTERBIO
2025-08-20,1956.4,2155.7,1934.6,2018.4,2786.1,1242.95,HESTERBIO
2025-08-19,1906.0,1959.9,1906.0,1946.6,2786.1,1242.95,HESTERBIO
2025-08-18,1949.0,1949.0,1916.3,1927.7,2786.1,1242.95,HESTERBIO
2025-08-14,1936.3,1936.3,1878.2,1893.7,2786.1,1242.95,HESTERBIO
2025-08-13,1990.0,1990.0,1886.1,1907.7,2786.1,1242.95,HESTERBIO
2025-08-12,1947.9,1969.9,1929.9,1945.8,2786.1,1242.95,HESTERBIO
2025-08-11,1974.9,1999.0,1910.1,1933.0,2786.1,1242.95,HESTERBIO
2025-08-08,2002.0,2015.1,1941.0,1951.6,3050.0,1242.95,HESTERBIO
2025-08-07,1986.9,2060.0,1981.3,2010.2,3050.0,1242.95,HESTERBIO
2025-08-06,2005.9,2085.0,1956.4,1986.9,3050.0,1242.95,HESTERBIO
2025-08-05,2150.0,2187.8,2020.3,2025.3,3050.0,1242.95,HESTERBIO
2025-08-04,2194.9,2350.0,2101.0,2118.2,3050.0,1242.95,HESTERBIO
2025-08-01,1945.0,2338.0,1820.0,2193.8,3257.35,1242.95,HESTERBIO
2025-07-31,1882.7,1980.5,1882.7,1949.2,3257.35,1242.95,HESTERBIO
2025-07-30,1862.0,1898.0,1852.6,1882.8,3257.35,1242.95,HESTERBIO
2025-07-29,1834.0,1849.0,1810.0,1843.2,3257.35,1242.95,HESTERBIO
2025-07-28,1803.0,1840.3,1800.0,1814.5,3257.35,1242.95,HESTERBIO
2025-07-25,1872.2,1880.3,1798.0,1803.5,3379.0,1242.95,HESTERBIO
2025-07-24,1868.0,1899.0,1846.7,1881.4,3379.0,1242.95,HESTERBIO
2025-07-23,1876.2,1892.3,1844.0,1850.6,3379.0,1242.95,HESTERBIO
2025-07-22,1923.0,1923.0,1875.9,1880.4,3379.0,1242.95,HESTERBIO
2025-07-21,1915.8,1966.0,1885.0,1899.3,3379.0,1242.95,HESTERBIO
2025-07-18,1946.0,1963.9,1902.7,1927.9,3379.0,1242.95,HESTERBIO
2025-07-17,1851.6,2070.0,1849.8,1941.8,3379.0,1242.95,HESTERBIO
2025-07-16,1877.6,1883.0,1845.4,1861.0,3379.0,1242.95,HESTERBIO
2025-07-15,1862.3,1887.0,1862.3,1878.1,3379.0,1242.95,HESTERBIO
2025-07-14,1813.9,1882.0,1802.2,1853.1,3379.0,1242.95,HESTERBIO
2025-07-11,1809.1,1830.0,1800.0,1805.0,3379.0,1242.95,HESTERBIO
2025-07-10,1829.0,1835.9,1792.0,1794.5,3379.0,1242.95,HESTERBIO
2025-07-09,1792.3,1827.9,1780.8,1812.9,3379.0,1242.95,HESTERBIO
2025-07-08,1810.0,1810.0,1771.0,1792.3,3379.0,1242.95,HESTERBIO
2025-07-07,1822.0,1822.0,1771.0,1785.2,3379.0,1242.95,HESTERBIO
2025-07-04,1806.5,1815.8,1788.8,1796.3,3379.0,1242.95,HESTERBIO
2025-07-03,1794.0,1819.5,1794.0,1810.1,3379.0,1242.95,HESTERBIO
2025-07-02,1817.0,1825.4,1796.2,1803.1,3379.0,1242.95,HESTERBIO
2025-07-01,1888.0,1888.0,1810.0,1815.4,3379.0,1242.95,HESTERBIO
2025-06-30,1855.7,1869.0,1837.0,1854.9,3379.0,1242.95,HESTERBIO
2025-06-27,1832.0,1860.0,1813.0,1846.0,3379.0,1242.95,HESTERBIO
2025-06-26,1873.0,1873.0,1815.6,1821.3,3379.0,1242.95,HESTERBIO
2025-06-25,1875.0,1875.0,1819.1,1851.1,3379.0,1242.95,HESTERBIO
2025-06-24,1767.0,1825.0,1767.0,1804.8,3379.0,1242.95,HESTERBIO
2025-06-23,1740.0,1769.9,1730.1,1759.3,3379.0,1242.95,HESTERBIO
2025-06-20,1795.3,1796.6,1736.0,1748.9,3379.0,1242.95,HESTERBIO
2025-06-19,1790.0,1822.0,1760.0,1768.9,3379.0,1242.95,HESTERBIO
2025-06-18,1840.2,1845.9,1794.6,1805.1,3379.0,1242.95,HESTERBIO
2025-06-17,1830.0,1882.8,1820.1,1830.0,3379.0,1242.95,HESTERBIO
2025-06-16,1831.0,1857.1,1825.0,1843.3,3379.0,1242.95,HESTERBIO
2025-06-13,1850.0,1877.1,1816.1,1859.0,3379.0,1242.95,HESTERBIO
2025-06-12,1869.0,1887.2,1850.0,1861.3,3379.0,1242.95,HESTERBIO
2025-06-11,1852.7,1897.4,1852.7,1860.6,3379.0,1242.95,HESTERBIO
2025-06-10,1867.0,1891.7,1836.1,1852.7,3379.0,1242.95,HESTERBIO
2025-06-09,1842.0,1885.8,1842.0,1854.2,3379.0,1242.95,HESTERBIO
2025-06-06,1908.4,1910.0,1850.0,1856.8,3379.0,1242.95,HESTERBIO
2025-06-05,1810.0,1951.6,1808.5,1880.2,3379.0,1242.95,HESTERBIO
2025-06-04,1808.0,1808.0,1762.1,1798.0,3379.0,1242.95,HESTERBIO
2025-06-03,1820.9,1827.3,1770.7,1786.8,3379.0,1242.95,HESTERBIO
2025-06-02,1814.9,1825.9,1767.7,1809.0,3379.0,1242.95,HESTERBIO
2025-05-30,1812.0,1835.9,1777.0,1791.4,3379.0,1242.95,HESTERBIO
2025-05-29,1819.4,1820.9,1800.6,1813.7,3379.0,1242.95,HESTERBIO
2025-05-28,1838.9,1838.9,1807.1,1818.5,3379.0,1242.95,HESTERBIO
2025-05-27,1823.2,1839.0,1795.0,1812.4,3379.0,1242.95,HESTERBIO
2025-05-26,1792.1,1829.0,1780.0,1818.6,3379.0,1242.95,HESTERBIO
2025-05-23,1799.0,1799.0,1755.5,1792.0,3379.0,1242.95,HESTERBIO
2025-05-22,1776.9,1780.5,1730.0,1762.8,3379.0,1242.95,HESTERBIO
2025-05-21,1789.6,1805.9,1744.6,1760.0,3379.0,1242.95,HESTERBIO
2025-05-20,1860.0,1860.0,1766.0,1785.5,3379.0,1242.95,HESTERBIO
2025-05-19,1849.0,1874.0,1836.0,1843.5,3379.0,1242.95,HESTERBIO
2025-05-16,1825.0,1835.0,1793.8,1819.2,3379.0,1242.95,HESTERBIO
2025-05-15,1810.0,1834.8,1776.1,1802.8,3379.0,1242.95,HESTERBIO
2025-05-14,1794.0,1820.0,1758.1,1806.8,3379.0,1242.95,HESTERBIO
2025-05-13,1749.0,1795.0,1732.7,1768.6,3379.0,1242.95,HESTERBIO
2025-05-12,1680.0,1765.0,1680.0,1747.6,3379.0,1242.95,HESTERBIO
2025-05-09,1681.0,1799.0,1626.0,1645.6,3379.0,1242.95,HESTERBIO
2025-05-08,1781.8,1813.9,1680.0,1688.2,3379.0,1242.95,HESTERBIO
2025-05-07,1726.0,1809.0,1689.1,1781.8,3379.0,1242.95,HESTERBIO
2025-05-06,1801.6,1805.3,1720.0,1736.6,3379.0,1242.95,HESTERBIO
2025-05-05,1761.7,1829.9,1740.0,1805.0,3379.0,1242.95,HESTERBIO
2025-05-02,1760.0,1795.0,1740.7,1761.7,3379.0,1242.95,HESTERBIO
2025-04-30,1862.1,1862.1,1766.0,1782.9,3379.0,1242.95,HESTERBIO
2025-04-29,1905.0,1937.0,1826.0,1838.1,3379.0,1242.95,HESTERBIO
2025-04-28,1891.0,1974.0,1852.7,1912.5,3379.0,1242.95,HESTERBIO
2025-04-25,1938.0,2042.3,1826.1,1940.5,3379.0,1242.95,HESTERBIO
2025-04-24,1808.4,1983.0,1793.2,1936.3,3379.0,1242.95,HESTERBIO
2025-04-23,1830.0,1830.0,1751.1,1808.4,3379.0,1242.95,HESTERBIO
