DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,31.0,31.88,30.52,31.53,56.35,29.15,HINDCON
2025-10-20,30.77,31.22,29.15,30.78,56.35,29.15,HINDCON
2025-10-17,31.3,31.59,30.21,30.77,56.35,30.0,HINDCON
2025-10-16,31.25,31.5,30.29,31.2,56.35,30.0,HINDCON
2025-10-15,30.21,31.39,30.0,30.98,56.35,30.0,HINDCON
2025-10-14,31.49,31.49,30.2,30.38,56.35,30.02,HINDCON
2025-10-13,31.31,31.31,30.3,31.05,56.35,30.02,HINDCON
2025-10-10,31.6,31.99,31.11,31.31,56.35,30.02,HINDCON
2025-10-09,31.68,31.98,31.25,31.58,56.35,30.02,HINDCON
2025-10-08,31.51,32.52,31.51,31.67,56.35,30.02,HINDCON
2025-10-07,32.0,32.49,31.76,31.85,56.35,30.02,HINDCON
2025-10-06,32.6,32.79,31.71,32.12,56.35,30.02,HINDCON
2025-10-03,31.26,32.8,31.26,32.6,56.35,30.02,HINDCON
2025-10-01,31.5,32.19,31.01,31.79,56.35,30.02,HINDCON
2025-09-30,31.99,31.99,31.05,31.37,56.35,30.02,HINDCON
2025-09-29,31.5,31.95,31.42,31.63,56.35,30.02,HINDCON
2025-09-26,32.68,32.7,31.51,31.69,56.35,30.02,HINDCON
2025-09-25,32.3,33.0,31.5,32.06,56.35,30.02,HINDCON
2025-09-24,33.0,33.0,32.15,32.58,56.35,30.02,HINDCON
2025-09-23,32.1,33.21,32.1,33.02,56.35,30.02,HINDCON
2025-09-22,32.35,32.95,32.06,32.21,56.35,30.02,HINDCON
2025-09-19,32.94,32.94,32.12,32.35,56.35,30.02,HINDCON
2025-09-18,32.25,32.9,31.75,32.39,56.35,30.02,HINDCON
2025-09-17,31.9,32.92,31.9,32.25,56.35,30.02,HINDCON
2025-09-16,32.59,32.99,31.77,32.21,56.35,30.02,HINDCON
2025-09-15,31.55,32.7,31.55,31.76,56.35,30.02,HINDCON
2025-09-12,31.9,32.34,31.5,31.91,56.35,30.02,HINDCON
2025-09-11,33.0,33.25,31.55,31.96,56.35,30.02,HINDCON
2025-09-10,32.29,33.45,31.5,32.67,56.35,30.02,HINDCON
2025-09-09,32.85,33.3,31.9,32.51,56.35,30.02,HINDCON
2025-09-08,33.44,34.54,31.92,32.17,56.35,30.02,HINDCON
2025-09-05,32.9,33.47,32.36,32.8,56.35,30.02,HINDCON
2025-09-04,33.5,33.5,31.9,32.09,56.35,30.02,HINDCON
2025-09-03,33.06,33.5,32.75,32.81,56.35,30.02,HINDCON
2025-09-02,33.5,33.79,32.11,33.06,56.35,30.02,HINDCON
2025-09-01,32.2,32.4,31.52,32.09,56.35,30.02,HINDCON
2025-08-29,32.12,32.98,31.5,31.91,58.3,30.02,HINDCON
2025-08-28,32.87,32.87,31.72,32.12,58.3,30.02,HINDCON
2025-08-26,32.11,32.77,32.0,32.42,58.3,30.02,HINDCON
2025-08-25,32.95,33.08,32.51,32.69,58.3,30.02,HINDCON
2025-08-22,33.47,33.47,32.01,32.31,59.0,30.02,HINDCON
2025-08-21,33.8,34.29,31.05,32.68,59.0,30.02,HINDCON
2025-08-20,34.47,34.47,33.5,33.84,59.0,30.02,HINDCON
2025-08-19,34.82,34.82,34.25,34.47,59.0,30.02,HINDCON
2025-08-18,33.6,34.95,33.6,34.82,59.0,30.02,HINDCON
2025-08-14,32.06,33.79,32.06,33.57,59.0,30.02,HINDCON
2025-08-13,31.65,32.6,31.65,32.04,59.0,30.02,HINDCON
2025-08-12,32.9,32.9,31.8,32.0,59.0,30.02,HINDCON
2025-08-11,32.59,33.0,32.05,32.26,59.0,30.02,HINDCON
2025-08-08,33.95,33.95,32.31,32.57,59.0,30.02,HINDCON
2025-08-07,33.71,34.49,32.5,33.17,59.0,30.02,HINDCON
2025-08-06,33.9,34.19,33.01,33.87,59.0,30.02,HINDCON
2025-08-05,33.5,34.98,33.1,33.4,59.0,30.02,HINDCON
2025-08-04,32.95,34.99,32.95,33.99,59.0,30.02,HINDCON
2025-08-01,33.87,34.0,32.22,33.26,59.0,30.02,HINDCON
2025-07-31,33.6,34.64,33.44,33.87,59.0,30.02,HINDCON
2025-07-30,33.35,35.49,33.35,34.9,59.0,30.02,HINDCON
2025-07-29,33.81,34.07,33.32,33.86,59.0,30.02,HINDCON
2025-07-28,35.49,35.49,33.0,33.35,59.0,30.02,HINDCON
2025-07-25,35.12,35.94,34.56,34.73,59.0,30.02,HINDCON
2025-07-24,35.5,35.97,35.05,35.64,59.0,30.02,HINDCON
2025-07-23,35.95,35.95,34.74,35.04,59.0,30.02,HINDCON
2025-07-22,36.35,36.35,35.21,35.49,59.0,30.02,HINDCON
2025-07-21,35.85,36.39,35.55,35.78,59.0,30.02,HINDCON
2025-07-18,36.0,36.0,35.11,35.39,59.0,30.02,HINDCON
2025-07-17,35.02,35.79,34.74,35.52,59.0,30.02,HINDCON
2025-07-16,35.89,36.5,33.65,34.73,59.0,30.02,HINDCON
2025-07-15,35.66,36.08,34.47,35.42,59.0,30.02,HINDCON
2025-07-14,35.99,36.27,35.5,35.66,59.0,30.02,HINDCON
2025-07-11,36.19,36.2,35.5,35.57,59.0,30.02,HINDCON
2025-07-10,36.45,36.45,35.41,35.69,59.0,30.02,HINDCON
2025-07-09,36.95,36.95,35.5,35.72,59.0,30.02,HINDCON
2025-07-08,36.47,36.92,35.42,36.53,59.0,30.02,HINDCON
2025-07-07,36.0,36.05,35.36,35.82,59.0,30.02,HINDCON
2025-07-04,36.61,36.61,35.09,35.18,59.0,30.02,HINDCON
2025-07-03,36.48,37.73,36.06,36.09,59.0,30.02,HINDCON
2025-07-02,36.1,36.5,35.2,35.97,59.0,30.02,HINDCON
2025-07-01,35.9,35.96,35.12,35.91,59.0,30.02,HINDCON
2025-06-30,35.14,35.9,35.11,35.49,59.0,30.02,HINDCON
2025-06-27,34.96,35.78,34.96,35.14,59.0,30.02,HINDCON
2025-06-26,35.97,35.97,34.81,34.96,59.0,30.02,HINDCON
2025-06-25,34.56,35.42,34.56,34.96,59.0,30.02,HINDCON
2025-06-24,35.1,36.0,33.97,34.56,59.0,30.02,HINDCON
2025-06-23,34.55,35.34,34.55,35.16,59.0,30.02,HINDCON
2025-06-20,36.2,36.2,35.28,35.48,59.0,30.02,HINDCON
