DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,285.0,286.6,278.8,280.35,432.0,197.51,HONASA
2025-10-15,284.0,285.95,281.0,284.95,432.0,197.51,HONASA
2025-10-14,283.7,290.0,277.2,285.1,432.0,197.51,HONASA
2025-10-13,291.5,291.5,282.6,283.6,432.0,197.51,HONASA
2025-10-10,287.1,295.0,286.25,291.85,448.3,197.51,HONASA
2025-10-09,284.5,289.0,282.25,288.0,448.3,197.51,HONASA
2025-10-08,296.4,297.2,282.1,284.1,448.3,197.51,HONASA
2025-10-07,295.8,296.5,291.95,295.0,448.3,197.51,HONASA
2025-10-06,286.0,296.9,286.0,295.8,448.3,197.51,HONASA
2025-10-03,287.0,299.0,281.35,292.05,464.7,197.51,HONASA
2025-10-01,278.1,287.95,278.1,286.55,464.7,197.51,HONASA
2025-09-30,277.05,282.0,276.0,280.9,464.7,197.51,HONASA
2025-09-29,288.0,288.0,275.55,277.05,464.7,197.51,HONASA
2025-09-26,294.85,294.85,280.55,284.35,493.45,197.51,HONASA
2025-09-25,298.0,300.0,292.95,294.85,493.45,197.51,HONASA
2025-09-24,301.45,302.75,298.9,300.2,493.45,197.51,HONASA
2025-09-23,300.45,302.65,298.25,301.1,493.45,197.51,HONASA
2025-09-22,301.5,304.35,298.65,300.45,493.45,197.51,HONASA
2025-09-19,306.45,308.2,300.0,301.4,496.95,197.51,HONASA
2025-09-18,304.2,306.8,301.1,305.1,496.95,197.51,HONASA
2025-09-17,308.6,310.0,301.2,303.5,496.95,197.51,HONASA
2025-09-16,299.6,307.5,299.25,306.05,496.95,197.51,HONASA
2025-09-15,300.75,302.9,299.2,299.55,496.95,197.51,HONASA
2025-09-12,301.0,302.0,298.75,299.6,547.0,197.51,HONASA
2025-09-11,303.35,304.8,299.1,300.3,547.0,197.51,HONASA
2025-09-10,302.0,304.65,300.5,303.35,547.0,197.51,HONASA
2025-09-09,301.7,306.65,299.3,302.0,547.0,197.51,HONASA
2025-09-08,300.0,302.95,297.1,299.95,547.0,197.51,HONASA
2025-09-05,303.9,303.9,296.85,299.9,547.0,197.51,HONASA
2025-09-04,309.7,309.7,300.0,302.1,547.0,197.51,HONASA
2025-09-03,298.55,304.7,297.3,301.75,547.0,197.51,HONASA
2025-09-02,299.5,302.95,296.35,297.25,547.0,197.51,HONASA
2025-09-01,293.55,300.05,293.0,299.15,547.0,197.51,HONASA
2025-08-29,293.45,297.05,292.15,292.95,547.0,197.51,HONASA
2025-08-28,295.95,296.2,288.6,293.25,547.0,197.51,HONASA
2025-08-26,299.3,300.85,294.3,296.7,547.0,197.51,HONASA
2025-08-25,301.05,304.3,297.6,299.3,547.0,197.51,HONASA
2025-08-22,300.25,309.8,296.95,300.05,547.0,197.51,HONASA
2025-08-21,300.0,302.45,294.6,300.05,547.0,197.51,HONASA
2025-08-20,285.65,299.0,285.15,297.45,547.0,197.51,HONASA
2025-08-19,284.35,287.2,280.25,285.65,547.0,197.51,HONASA
2025-08-18,280.3,288.9,274.55,284.35,547.0,197.51,HONASA
2025-08-14,285.15,288.65,277.0,279.5,547.0,197.51,HONASA
2025-08-13,283.0,304.7,282.75,285.15,547.0,197.51,HONASA
2025-08-12,266.0,275.0,263.3,269.3,547.0,197.51,HONASA
2025-08-11,257.85,268.95,255.45,266.35,547.0,197.51,HONASA
2025-08-08,264.8,265.95,257.85,258.7,547.0,197.51,HONASA
2025-08-07,260.5,270.85,258.45,263.15,547.0,197.51,HONASA
2025-08-06,261.0,264.45,258.6,262.55,547.0,197.51,HONASA
2025-08-05,265.4,269.85,257.35,261.65,547.0,197.51,HONASA
2025-08-04,271.35,271.35,263.8,265.4,547.0,197.51,HONASA
2025-08-01,271.3,276.8,270.1,271.5,547.0,197.51,HONASA
2025-07-31,267.0,277.95,260.55,271.95,547.0,197.51,HONASA
2025-07-30,264.0,270.95,263.0,269.2,547.0,197.51,HONASA
2025-07-29,263.1,267.3,261.55,265.25,547.0,197.51,HONASA
2025-07-28,265.0,267.4,260.5,265.65,547.0,197.51,HONASA
2025-07-25,274.0,274.0,262.0,263.7,547.0,197.51,HONASA
2025-07-24,274.7,277.65,273.1,275.25,547.0,197.51,HONASA
2025-07-23,285.0,285.65,272.55,274.25,547.0,197.51,HONASA
2025-07-22,281.9,286.15,281.0,284.3,547.0,197.51,HONASA
2025-07-21,287.0,287.4,280.5,281.7,547.0,197.51,HONASA
2025-07-18,294.45,295.9,285.5,286.45,547.0,197.51,HONASA
2025-07-17,300.0,300.1,293.1,294.45,547.0,197.51,HONASA
2025-07-16,299.0,299.6,295.35,296.95,547.0,197.51,HONASA
2025-07-15,290.4,301.0,290.4,299.6,547.0,197.51,HONASA
2025-07-14,296.8,296.8,286.6,289.4,547.0,197.51,HONASA
2025-07-11,303.4,303.4,293.05,294.25,547.0,197.51,HONASA
2025-07-10,304.3,304.8,298.45,301.4,547.0,197.51,HONASA
2025-07-09,297.1,302.45,297.1,301.7,547.0,197.51,HONASA
2025-07-08,296.25,308.5,294.15,297.3,547.0,197.51,HONASA
2025-07-07,295.0,301.0,292.5,296.35,547.0,197.51,HONASA
2025-07-04,299.9,299.9,293.25,296.0,547.0,197.51,HONASA
2025-07-03,295.95,300.2,292.0,298.45,547.0,197.51,HONASA
2025-07-02,302.5,302.5,292.3,295.5,547.0,197.51,HONASA
2025-07-01,310.5,311.0,301.1,302.8,547.0,197.51,HONASA
2025-06-30,312.4,313.8,307.55,310.7,547.0,197.51,HONASA
2025-06-27,315.7,322.2,307.05,310.4,547.0,197.51,HONASA
2025-06-26,312.1,315.9,305.05,312.55,547.0,197.51,HONASA
2025-06-25,312.55,314.55,308.0,312.55,547.0,197.51,HONASA
2025-06-24,307.0,314.0,302.4,311.05,547.0,197.51,HONASA
2025-06-23,296.0,305.75,296.0,303.65,547.0,197.51,HONASA
2025-06-20,306.1,311.7,295.65,300.65,547.0,197.51,HONASA
2025-06-19,308.0,308.8,303.6,306.0,547.0,197.51,HONASA
2025-06-18,305.0,308.9,302.55,307.45,547.0,197.51,HONASA
2025-06-17,310.95,311.0,300.15,304.6,547.0,197.51,HONASA
2025-06-16,305.6,311.0,303.75,310.05,547.0,197.51,HONASA
2025-06-13,305.0,310.0,303.75,307.05,547.0,197.51,HONASA
2025-06-12,317.0,319.3,310.2,312.9,547.0,197.51,HONASA
2025-06-11,318.2,321.2,311.3,316.55,547.0,197.51,HONASA
2025-06-10,325.0,328.8,315.4,318.45,547.0,197.51,HONASA
2025-06-09,324.0,334.2,317.8,322.45,547.0,197.51,HONASA
2025-06-06,315.95,320.75,312.45,320.0,547.0,197.51,HONASA
2025-06-05,326.0,329.5,312.1,315.5,547.0,197.51,HONASA
2025-06-04,313.0,329.5,313.0,318.5,547.0,197.51,HONASA
