DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,36495.0,36495.0,35905.0,36015.0,44099.95,31025.0,HONAUT
2025-11-07,36400.0,36405.0,35930.0,36070.0,45999.4,31025.0,HONAUT
2025-11-06,37225.0,37225.0,35640.0,36240.0,45999.4,31025.0,HONAUT
2025-11-04,36995.0,37690.0,36570.0,36745.0,45999.4,31025.0,HONAUT
2025-11-03,36670.0,37050.0,36375.0,36615.0,45999.4,31025.0,HONAUT
2025-10-31,36870.0,37235.0,36395.0,36495.0,49999.0,31025.0,HONAUT
2025-10-30,37315.0,37500.0,36680.0,36870.0,49999.0,31025.0,HONAUT
2025-10-29,37095.0,37530.0,36685.0,37395.0,49999.0,31025.0,HONAUT
2025-10-28,37200.0,37200.0,36700.0,36935.0,49999.0,31025.0,HONAUT
2025-10-27,37110.0,37255.0,36885.0,37010.0,49999.0,31025.0,HONAUT
2025-10-24,36325.0,36750.0,36200.0,36680.0,51999.0,31025.0,HONAUT
2025-10-23,36465.0,36525.0,36030.0,36325.0,51999.0,31025.0,HONAUT
2025-10-21,36345.0,36550.0,36345.0,36460.0,51999.0,31025.0,HONAUT
2025-10-20,36310.0,36495.0,36175.0,36345.0,51999.0,31025.0,HONAUT
2025-10-17,36090.0,36460.0,36040.0,36310.0,51999.0,31025.0,HONAUT
2025-10-16,36450.0,36450.0,36000.0,36090.0,51999.0,31025.0,HONAUT
2025-10-15,36450.0,36450.0,35920.0,36155.0,51999.0,31025.0,HONAUT
2025-10-14,36470.0,36500.0,35890.0,36090.0,51999.0,31025.0,HONAUT
2025-10-13,36355.0,36640.0,36035.0,36155.0,51999.0,31025.0,HONAUT
2025-10-10,36635.0,36635.0,36055.0,36475.0,51999.0,31025.0,HONAUT
2025-10-09,36190.0,36585.0,36025.0,36240.0,51999.0,31025.0,HONAUT
2025-10-08,35715.0,37110.0,35710.0,36175.0,51999.0,31025.0,HONAUT
