DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,9.03,9.06,8.95,9.0,10.47,6.12,IDEA
2025-10-20,8.75,9.02,8.72,8.94,10.47,6.12,IDEA
2025-10-17,8.85,8.91,8.66,8.7,10.47,6.12,IDEA
2025-10-16,8.8,8.99,8.76,8.85,10.47,6.12,IDEA
2025-10-15,8.38,8.82,8.37,8.75,10.47,6.12,IDEA
2025-10-14,8.75,8.79,8.32,8.36,10.47,6.12,IDEA
2025-10-13,9.02,9.19,8.67,8.73,10.47,6.12,IDEA
2025-10-10,9.1,9.22,8.97,9.04,10.47,6.12,IDEA
2025-10-09,9.08,9.28,8.95,9.03,10.47,6.12,IDEA
2025-10-08,9.25,9.4,9.0,9.04,10.47,6.12,IDEA
2025-10-07,8.54,9.27,8.4,9.18,10.47,6.12,IDEA
2025-10-06,8.95,8.95,8.33,8.47,10.47,6.12,IDEA
2025-10-03,8.54,8.86,8.52,8.82,10.68,6.12,IDEA
2025-10-01,8.17,8.58,8.17,8.52,10.68,6.12,IDEA
2025-09-30,8.32,8.34,8.05,8.13,10.68,6.12,IDEA
2025-09-29,8.06,8.38,8.02,8.24,10.68,6.12,IDEA
2025-09-26,8.75,8.79,7.9,8.02,11.94,6.12,IDEA
2025-09-25,8.63,8.84,8.58,8.68,11.94,6.12,IDEA
2025-09-24,8.75,8.8,8.55,8.59,11.94,6.12,IDEA
2025-09-23,8.39,8.97,8.35,8.72,11.94,6.12,IDEA
2025-09-22,8.5,8.67,8.35,8.39,11.94,6.12,IDEA
2025-09-19,7.91,8.82,7.81,8.4,13.5,6.12,IDEA
2025-09-18,7.79,7.93,7.72,7.84,13.5,6.12,IDEA
2025-09-17,7.97,8.0,7.71,7.77,13.5,6.12,IDEA
2025-09-16,8.23,8.24,7.82,7.94,13.5,6.12,IDEA
2025-09-15,7.75,8.38,7.65,8.14,13.5,6.12,IDEA
2025-09-12,7.44,7.7,7.42,7.66,13.77,6.12,IDEA
2025-09-11,7.32,7.45,7.3,7.41,13.77,6.12,IDEA
2025-09-10,7.33,7.51,7.29,7.32,13.77,6.12,IDEA
2025-09-09,7.28,7.49,7.16,7.27,13.77,6.12,IDEA
2025-09-08,7.45,7.45,7.17,7.29,13.77,6.12,IDEA
2025-09-05,6.64,7.45,6.6,7.23,15.58,6.12,IDEA
