DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,382.05,386.9,366.1,373.4,416.7,180.0,IIFLCAPS
2025-10-27,358.4,385.0,358.05,382.6,416.7,180.0,IIFLCAPS
2025-10-24,355.2,364.0,352.5,358.4,448.55,180.0,IIFLCAPS
2025-10-23,349.8,367.35,347.3,358.8,448.55,180.0,IIFLCAPS
2025-10-21,354.95,355.0,346.35,350.45,448.55,180.0,IIFLCAPS
2025-10-20,341.0,348.35,340.0,345.6,448.55,180.0,IIFLCAPS
2025-10-17,344.0,350.55,335.75,340.9,448.95,180.0,IIFLCAPS
2025-10-16,336.7,346.95,333.0,343.3,448.95,180.0,IIFLCAPS
2025-10-15,333.0,340.8,323.05,336.85,448.95,180.0,IIFLCAPS
2025-10-14,306.6,332.45,306.25,327.25,448.95,180.0,IIFLCAPS
2025-10-13,302.3,310.2,298.55,307.15,448.95,180.0,IIFLCAPS
2025-10-10,302.6,306.95,300.05,302.3,448.95,180.0,IIFLCAPS
2025-10-09,300.3,304.2,297.8,301.2,448.95,180.0,IIFLCAPS
2025-10-08,306.5,306.55,298.5,300.05,448.95,180.0,IIFLCAPS
2025-10-07,302.7,309.25,298.15,306.5,448.95,180.0,IIFLCAPS
2025-10-06,295.0,301.45,292.5,300.0,448.95,180.0,IIFLCAPS
2025-10-03,287.0,296.65,286.1,294.65,448.95,180.0,IIFLCAPS
2025-10-01,280.6,288.95,277.7,288.3,448.95,180.0,IIFLCAPS
2025-09-30,276.0,281.15,274.15,279.85,448.95,180.0,IIFLCAPS
2025-09-29,276.0,284.4,272.85,276.85,448.95,180.0,IIFLCAPS
2025-09-26,287.0,287.2,272.2,273.8,448.95,180.0,IIFLCAPS
2025-09-25,290.45,290.95,285.3,288.45,448.95,180.0,IIFLCAPS
2025-09-24,296.35,298.2,289.9,290.95,448.95,180.0,IIFLCAPS
2025-09-23,278.8,307.0,276.35,298.45,448.95,180.0,IIFLCAPS
2025-09-22,287.2,289.45,275.1,278.25,448.95,180.0,IIFLCAPS
2025-09-19,289.35,291.9,286.0,287.2,448.95,180.0,IIFLCAPS
2025-09-18,292.0,292.2,287.8,289.35,448.95,180.0,IIFLCAPS
2025-09-17,292.3,294.95,288.4,290.0,448.95,180.0,IIFLCAPS
2025-09-16,293.95,297.25,283.55,291.05,448.95,180.0,IIFLCAPS
2025-09-15,293.1,301.3,292.0,293.95,448.95,180.0,IIFLCAPS
2025-09-12,300.0,301.05,292.25,293.1,448.95,180.0,IIFLCAPS
2025-09-11,309.65,309.65,297.25,299.5,448.95,180.0,IIFLCAPS
2025-09-10,296.4,307.45,296.4,304.05,448.95,180.0,IIFLCAPS
2025-09-09,301.05,303.95,295.0,296.4,448.95,180.0,IIFLCAPS
2025-09-08,299.95,306.9,298.05,303.35,448.95,180.0,IIFLCAPS
2025-09-05,296.6,302.0,295.85,298.95,448.95,180.0,IIFLCAPS
2025-09-04,308.0,316.0,295.0,296.15,448.95,180.0,IIFLCAPS
2025-09-03,305.45,308.35,301.3,305.8,448.95,180.0,IIFLCAPS
2025-09-02,307.1,307.55,301.2,305.6,448.95,180.0,IIFLCAPS
2025-09-01,295.0,311.85,290.25,305.1,448.95,180.0,IIFLCAPS
2025-08-29,302.85,304.1,289.1,295.9,448.95,180.0,IIFLCAPS
2025-08-28,308.15,308.95,301.55,302.85,448.95,180.0,IIFLCAPS
2025-08-26,320.0,320.6,307.05,308.25,448.95,180.0,IIFLCAPS
2025-08-25,322.15,325.3,316.05,321.95,448.95,180.0,IIFLCAPS
2025-08-22,327.35,331.35,320.0,322.45,448.95,180.0,IIFLCAPS
2025-08-21,323.55,336.75,323.15,327.35,448.95,180.0,IIFLCAPS
2025-08-20,329.65,332.4,321.55,323.15,448.95,180.0,IIFLCAPS
2025-08-19,332.85,335.0,323.85,329.65,448.95,180.0,IIFLCAPS
2025-08-18,316.75,332.9,316.75,331.25,448.95,180.0,IIFLCAPS
2025-08-14,321.15,331.0,312.45,314.2,448.95,180.0,IIFLCAPS
2025-08-13,306.15,325.8,303.0,323.4,448.95,180.0,IIFLCAPS
2025-08-12,307.85,314.45,301.95,303.7,448.95,180.0,IIFLCAPS
2025-08-11,300.0,307.25,297.3,305.75,448.95,180.0,IIFLCAPS
2025-08-08,302.2,310.3,300.0,302.2,448.95,180.0,IIFLCAPS
2025-08-07,302.5,312.95,299.55,301.6,448.95,180.0,IIFLCAPS
2025-08-06,316.0,318.45,302.9,305.05,448.95,180.0,IIFLCAPS
2025-08-05,316.95,325.4,309.9,318.1,448.95,180.0,IIFLCAPS
2025-08-04,312.15,322.85,308.3,317.8,448.95,180.0,IIFLCAPS
2025-08-01,316.0,324.95,310.0,312.2,448.95,180.0,IIFLCAPS
2025-07-31,319.6,328.35,315.6,317.75,448.95,180.0,IIFLCAPS
2025-07-30,332.0,339.25,328.0,330.35,448.95,180.0,IIFLCAPS
2025-07-29,296.5,345.0,296.5,338.15,448.95,180.0,IIFLCAPS
2025-07-28,306.8,310.25,296.8,299.6,448.95,180.0,IIFLCAPS
2025-07-25,325.0,325.0,305.5,306.8,448.95,178.56,IIFLCAPS
2025-07-24,324.0,326.85,320.4,323.4,448.95,178.56,IIFLCAPS
2025-07-23,328.0,328.0,320.2,324.75,448.95,178.56,IIFLCAPS
2025-07-22,321.8,325.9,317.05,324.85,448.95,178.56,IIFLCAPS
2025-07-21,317.9,322.45,314.25,320.8,448.95,178.56,IIFLCAPS
2025-07-18,324.0,328.35,316.85,317.9,448.95,178.56,IIFLCAPS
2025-07-17,329.9,332.0,319.05,323.3,448.95,178.56,IIFLCAPS
2025-07-16,330.8,332.35,324.85,328.85,448.95,178.56,IIFLCAPS
2025-07-15,330.4,332.7,326.65,329.95,448.95,178.56,IIFLCAPS
2025-07-14,326.5,329.85,321.3,326.25,448.95,178.56,IIFLCAPS
2025-07-11,337.4,337.4,326.2,329.95,448.95,178.56,IIFLCAPS
2025-07-10,332.95,339.2,330.0,335.4,448.95,178.56,IIFLCAPS
2025-07-09,337.0,337.6,331.1,331.65,448.95,178.56,IIFLCAPS
2025-07-08,342.0,346.0,332.8,335.9,448.95,178.56,IIFLCAPS
2025-07-07,347.95,349.7,339.0,341.5,448.95,178.56,IIFLCAPS
2025-07-04,357.0,357.0,345.0,347.9,448.95,178.56,IIFLCAPS
2025-07-03,344.75,360.9,338.4,358.45,448.95,178.56,IIFLCAPS
2025-07-02,354.55,356.1,336.95,341.65,448.95,178.56,IIFLCAPS
2025-07-01,351.85,363.0,346.2,351.4,448.95,178.56,IIFLCAPS
2025-06-30,347.5,357.95,345.8,348.75,448.95,178.56,IIFLCAPS
